semantic_identity_id	canonical_display_text	m4q_execution_query_id	m4q_exact_query_text	m8_search_evidence_refs	m4a_authority_query_id	m4a_dominant_top10_page_type	m4a_intent_confidence	search_type	region	depth	group_mode	docs_in_group	family_mode	fix_typo_mode	url_overlap_field	domain_overlap_field	snapshot_role
M8SID_b02e9e70557692e0	ии помощник селлера	M4QR2Q00028	ии помощник селлера	M4Q:M4QR2Q00028:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT
M8SID_afe48225d34ce12b	лучшие сервисы аналитики маркетплейсов	M4QR2Q00030	лучшие сервисы аналитики маркетплейсов	M4Q:M4QR2Q00030:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT
M8SID_c65a5e24dfdb39bc	отчет маркетплейса вайлдберриз	M4QR2Q00032	отчет маркетплейса вайлдберриз	M4Q:M4QR2Q00032:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT
M8SID_ee6b9436900836db	отчет маркетплейса озон	M4QR2Q00033	отчет маркетплейса озон	M4Q:M4QR2Q00033:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT
M8SID_c6b3851b9dcf0b07	отчет о списаниях маркетплейс	M4QR2Q00034	отчет о списаниях маркетплейс	M4Q:M4QR2Q00034:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT
M8SID_d9a5cc3e810be381	отчеты для селлеров маркетплейсов	M4QR2Q00012	отчеты для селлеров маркетплейсов	M4A:R05 | M4Q:M4QR2Q00012:SERP100	R05	ANALYTICS_OR_REPORTING_PRODUCT_PAGE	MEDIUM	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT
M8SID_644f4afb78dc957a	отчеты маркетплейсов	M4QR2Q00035	отчеты маркетплейсов	M4Q:M4QR2Q00035:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT
M8SID_3ebb28124694e272	отчеты продаж маркетплейсов	M4QR2Q00036	отчеты продаж маркетплейсов	M4Q:M4QR2Q00036:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT
M8SID_529f805abccbf8b2	подключить chatgpt к маркетплейсу	M4QR2Q00013	подключить chatgpt к маркетплейсу	M4A:R01 | M4Q:M4QR2Q00013:SERP100	R01	INTEGRATION_OR_CONNECTION_GUIDE	MEDIUM	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT
M8SID_4a1030b3d8bdd2d5	подключить ии к маркетплейсу	M4QR2Q00037	подключить ии к маркетплейсу	M4Q:M4QR2Q00037:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT
M8SID_352b640652184f81	расширение для аналитики маркетплейсов	M4QR2Q00041	расширение для аналитики маркетплейсов	M4Q:M4QR2Q00041:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT
M8SID_c9cbb3939920b7ee	сервис аналитики маркетплейсов	M4QR2Q00042	сервис аналитики маркетплейсов	M4Q:M4QR2Q00042:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT
