requirement_id	topic	scope	current_state	required_state	source_basis	implementation_targets	acceptance_check	blocking	claim_boundary
M13TR011	robots_policy	robots	robots live 200 and references sitemap	200 public robots; canonical Sitemap; no public utility/CSS/favicon block; no YandexAdditional opt-out	Yandex robots; Yandex AI	robots.txt;site-ci.yml;verify-octoport-site.sh	200 text/plain; canonical sitemap line; no forbidden service/favicon/CSS/YandexAdditional Disallow	true	App/API robot behavior separately protected
M13TR012	sitemap	sitemap	live sitemap pre-M12 set	Exact sitemap canonical set HOME + /seller-analytics + /privacy + /support; install/aliases/http/www excluded	Google/Yandex Sitemap guidance; M11/M12; R2 utility-indexability decision	sitemap.xml;site-ci.yml;verify-octoport-site.sh	XML parses; exact canonical loc set=4; HTTP 200	true	Sitemap lists intentionally indexable canonical URLs; sitemap membership does not create commercial SEO ownership
M13TR013	yandex_ai	robots_ai	no AI opt-out observed	Preserve eligibility; no YandexAdditional/YandexAdditionalBot Disallow on indexable pages	Yandex AI	robots.txt;site-ci.yml	No opt-out directive	false	Eligibility does not guarantee citation/ranking
M13TR014	home_metadata	metadata	live historical Title/H1; self canonical	Apply M12 R2 HOME H1/Title; unique description within guidance; self canonical	M12 R2	index.html;site-ci.yml;verify-octoport-site.sh	Exact H1/Title; one H1; unique nonempty description; self canonical	true	M13 does not invent final description copy
M13TR015	analytics_metadata	metadata	page absent	Create M12 R2 analytics H1/Title; unique bounded description; self canonical	M12 R2	seller-analytics.html;site-ci.yml;verify-octoport-site.sh	Exact H1/Title; unique description; one H1; self canonical	true	No held-cluster/external-intelligence coverage
M13TR016	internal_links	ia	HOME cannot link to absent analytics route	Regular HTML HOME->analytics and analytics->HOME according to M12	M12 link contract; crawlable link guidance	index.html;seller-analytics.html;site-ci.yml	Two href edges present in initial HTML; no orphan owner	true	Anchor wording may vary within M12 guidance
M13TR017	initial_html_rendering	rendering	current public pages static HTML/CSS no executable JS	Critical text/H1/links/canonical/metadata in initial static HTML	Yandex rendering; current architecture	public HTML;site-ci.yml	Source parser finds critical SEO surface without JS	true	Future unrelated JS requires separate authority
M13TR018	structured_data	schema	no accepted rich-result structured data; R1 blanket structured-data NONE	No SoftwareApplication/FAQ/review/rating markup at M14 launch; WebSite site-name JSON-LD is separately required by M13TR030	Google SoftwareApplication; Google site names; M12 truth boundary; R2 external audit	index.html;seller-analytics.html;site-ci.yml	No fake price/rating/review/FAQ/app schema; one valid HOME WebSite node is allowed/required	true	WebSite site-name markup is not evidence for app capabilities or rich-result eligibility
M13TR019	open_graph	metadata	HOME has OG; analytics absent	OG truthful; og:url=canonical; analytics OG optional; no unapproved image/capability/availability claim	M13 Level2; M12	index.html;seller-analytics.html	Any OG fields match truthful page job and canonical URL	false	Search metadata and OG need not be identical
M13TR020	mobile	mobile	viewport and responsive CSS present	One responsive URL; viewport; usable at 320 CSS px; no horizontal overflow/content loss	M13 Level2; current source	all public HTML;styles.css;site-ci.yml	Mobile/lab QA at 320 CSS px confirms content/link parity	true	Lab usability not field metric
M13TR021	core_web_vitals	performance	no accepted field CWV data	When real field data exists LCP<=2.5s INP<=200ms CLS<=0.1 at p75; otherwise FIELD_DATA_NOT_AVAILABLE	web.dev/Google CWV	M15/M17 measurement	No fabricated field metric; source/date/segment provenance	false	TBT diagnostic is not INP
M13TR022	runtime_weight	performance	current public site zero executable JS	Preserve low-runtime static architecture; no executable public JS or blocking third-party scripts in M14 SEO scope; static application/ld+json is allowed	M13 Level2; current source	HTML/CSS;site-ci.yml	Executable script count=0; JSON-LD is non-executable and source-validated; asset/runtime weight remains bounded	false	JSON-LD does not violate the zero executable-JS rule
M13TR023	site_ci	implementation_guard	CI knows pre-M12 route set and HOME-only sitemap	Extend CI for analytics, M12 metadata, privacy/support indexability, install noindex, exact 4-URL sitemap, favicon, WebSite JSON-LD, links, redirects and truth guards	M13 dependency map	.github/workflows/site-ci.yml	CI checks complete R2 contract and distinguishes non-executable JSON-LD from executable JS	true	No guard weakening
M13TR024	deploy_guard	implementation_guard	deploy requires only pre-M12 static files	Require seller-analytics and approved favicon.png; validate canonical/key truth/site-name boundaries before install	M13 dependency map	deploy-octoport-site.sh	assert_source fails on missing/wrong analytics, favicon contract, HOME WebSite node or truth boundary	true	Preserve app-ingress/rollback safety
M13TR025	live_verifier	implementation_guard	verifier lacks analytics/noindex/alias checks	Extend verifier for analytics, privacy/support indexability, install noindex, 4-URL sitemap, favicon 200/no-redirect/type, aliases/host redirects and metadata/site-name	M13 dependency map	verify-octoport-site.sh	Postdeploy verifier fails on any R2 route/indexability/favicon/site-name drift	true	Preserve portal/API/TLS/old-docs checks
M13TR026	regression_tests	implementation_guard	tests cover ingress/rollback but not new SEO route contract	Extend tests for analytics presence, alias redirects and R2 deployment guards while preserving app config/rollback	M13 dependency map	test_site_deployment.py	New R2 guards covered; existing application-ingress/rollback safety tests continue passing	true	No live mutation
M13TR027	app_api_boundary	isolation	octoport-apps.conf separate; X-Robots noindex,nofollow,noarchive	Do not modify app/API proxy/auth/session behavior in M14 SEO implementation	EXECUTION_RULES isolation; preparation	octoport-apps.conf read-only; regression/verifier preservation	Application config/behavior unchanged by SEO patch	true	Parallel stream boundary
M13TR028	analytics_proof_gate	truth	analytics page absent; proof gate open	No fake screenshot/case/metric; central analytics value requires accepted real sanitized/source-backed example before production	M12 proof/trust	seller-analytics.html;M14 acceptance evidence	Concrete categories/examples trace to endpoint/product authority; proof requirement satisfied	true	Route creation alone does not prove product result
M13TR029	favicon_search_appearance	site_host	M13 R1 did not specify a favicon search-appearance contract	Provide /favicon.png as approved Octoport brand asset; PNG exactly 120x120, square, stable URL, direct 200/no redirect, crawlable; HOME link rel=icon type=image/png	Google favicon in Search; Yandex favicon; Product Truth brand/maskot	apps/site/public/favicon.png;apps/site/public/index.html;robots.txt;site-ci.yml;deploy-octoport-site.sh;verify-octoport-site.sh	PNG signature and IHDR 120x120; approved brand asset; HOME rel=icon href=/favicon.png type=image/png; live 200 image/png no Location; robots allows	true	Search engines may choose not to display a favicon even when eligible; do not invent a logo if approved asset is unavailable
M13TR030	website_site_name_structured_data	HOME	R1 structured-data policy omitted Google WebSite site-name markup	HOME contains one static WebSite JSON-LD node with name=Octoport, alternateName=[Октопорт, octoport.ru], url=https://octoport.ru/	Google site names; Product Truth brand identity	apps/site/public/index.html;site-ci.yml;deploy-octoport-site.sh;verify-octoport-site.sh	One application/ld+json WebSite node in initial HOME source; exact name/url/alternateName; Schema Markup Validator syntax-valid; HOME crawlable	true	WebSite markup expresses preferred site name only; Google selection is automated and not guaranteed
M13TR031	organization_structured_data	HOME	No accepted public organization identity/address/telephone/logo authority frozen for M14	Organization structured data is DEFERRED / NOT REQUIRED for M14; do not invent legal organization, address, telephone or logo properties	Google Organization structured data; Product Truth	apps/site/public/index.html;site-ci.yml	No Organization node unless a later accepted authority provides truthful applicable properties	false	Absence of Organization markup is intentional and does not block M14
