semantic_identity_id	canonical_display_text	anchor_source	source_query_id	exact_query_text	search_evidence_refs	m4a_authority_query_id	m4a_dominant_top10_page_type	m4a_intent_confidence	search_type	region	depth	group_mode	docs_in_group	family_mode	fix_typo_mode	url_overlap_field	domain_overlap_field	snapshot_role	overlap_source_path	overlap_source_identity	full_snapshot_identity
M8SID_b02e9e70557692e0	ии помощник селлера	M4Q_R2	M4QR2Q00028	ии помощник селлера	M4Q:M4QR2Q00028:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00028:RU225:TOP100
M8SID_afe48225d34ce12b	лучшие сервисы аналитики маркетплейсов	M4Q_R2	M4QR2Q00030	лучшие сервисы аналитики маркетплейсов	M4Q:M4QR2Q00030:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00030:RU225:TOP100
M8SID_c65a5e24dfdb39bc	отчет маркетплейса вайлдберриз	M4Q_R2	M4QR2Q00032	отчет маркетплейса вайлдберриз	M4Q:M4QR2Q00032:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00032:RU225:TOP100
M8SID_ee6b9436900836db	отчет маркетплейса озон	M4Q_R2	M4QR2Q00033	отчет маркетплейса озон	M4Q:M4QR2Q00033:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00033:RU225:TOP100
M8SID_c6b3851b9dcf0b07	отчет о списаниях маркетплейс	M4Q_R2	M4QR2Q00034	отчет о списаниях маркетплейс	M4Q:M4QR2Q00034:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00034:RU225:TOP100
M8SID_d9a5cc3e810be381	отчеты для селлеров маркетплейсов	M4Q_R2	M4QR2Q00012	отчеты для селлеров маркетплейсов	M4A:R05 | M4Q:M4QR2Q00012:SERP100	R05	ANALYTICS_OR_REPORTING_PRODUCT_PAGE	MEDIUM	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00012:RU225:TOP100
M8SID_644f4afb78dc957a	отчеты маркетплейсов	M4Q_R2	M4QR2Q00035	отчеты маркетплейсов	M4Q:M4QR2Q00035:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00035:RU225:TOP100
M8SID_3ebb28124694e272	отчеты продаж маркетплейсов	M4Q_R2	M4QR2Q00036	отчеты продаж маркетплейсов	M4Q:M4QR2Q00036:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00036:RU225:TOP100
M8SID_529f805abccbf8b2	подключить chatgpt к маркетплейсу	M4Q_R2	M4QR2Q00013	подключить chatgpt к маркетплейсу	M4A:R01 | M4Q:M4QR2Q00013:SERP100	R01	INTEGRATION_OR_CONNECTION_GUIDE	MEDIUM	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00013:RU225:TOP100
M8SID_4a1030b3d8bdd2d5	подключить ии к маркетплейсу	M4Q_R2	M4QR2Q00037	подключить ии к маркетплейсу	M4Q:M4QR2Q00037:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00037:RU225:TOP100
M8SID_352b640652184f81	расширение для аналитики маркетплейсов	M4Q_R2	M4QR2Q00041	расширение для аналитики маркетплейсов	M4Q:M4QR2Q00041:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00041:RU225:TOP100
M8SID_c9cbb3939920b7ee	сервис аналитики маркетплейсов	M4Q_R2	M4QR2Q00042	сервис аналитики маркетплейсов	M4Q:M4QR2Q00042:SERP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	result_url_normalized	result_domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/competitors/work_return/M4Q_R2_PASS_B_VISIBILITY_2026-09-23_R1/M4Q_R2_SERP_RESULT_LEDGER.tsv	git_blob:41041493677627bfaf30de8eb7ec88a52ceb0a91	M4Q_R2:M4QR2Q00042:RU225:TOP100
M8SID_f326261dec0f180d	аналитика показателей продавца	M9BR_WAVE1	M9BRQ_001_f326261dec0f180d	аналитика показателей продавца	M9BR_WAVE1:R125:INDEX_0:TOP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	url	domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64	git_blob:cb2d10581aff2810549fc1a9841b51edb652d428; decoded_tsv_sha256:b01d9c0ccbbfb2c7cfcb5af33762c7d9a74c686c2102e5d1419e1bf97491bb95	attachment:search-octoport-m9br-wave1-20260924-r1-r125-0-24.json; sha256:71a33e74c41bfeb73bdcae5d3676df052a9c20bc93a6593bc2aec6821650a841
M8SID_78187c521b37867e	отчеты маркетплейсов примеры	M9BR_WAVE1	M9BRQ_002_78187c521b37867e	отчеты маркетплейсов примеры	M9BR_WAVE1:R125:INDEX_1:TOP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	url	domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64	git_blob:cb2d10581aff2810549fc1a9841b51edb652d428; decoded_tsv_sha256:b01d9c0ccbbfb2c7cfcb5af33762c7d9a74c686c2102e5d1419e1bf97491bb95	attachment:search-octoport-m9br-wave1-20260924-r1-r125-0-24.json; sha256:71a33e74c41bfeb73bdcae5d3676df052a9c20bc93a6593bc2aec6821650a841
M8SID_8850a7f387c57a62	отчет для селлеров	M9BR_WAVE1	M9BRQ_003_8850a7f387c57a62	отчет для селлеров	M9BR_WAVE1:R125:INDEX_2:TOP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	url	domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64	git_blob:cb2d10581aff2810549fc1a9841b51edb652d428; decoded_tsv_sha256:b01d9c0ccbbfb2c7cfcb5af33762c7d9a74c686c2102e5d1419e1bf97491bb95	attachment:search-octoport-m9br-wave1-20260924-r1-r125-0-24.json; sha256:71a33e74c41bfeb73bdcae5d3676df052a9c20bc93a6593bc2aec6821650a841
M8SID_e10faa73a1384257	отчеты для селлеров	M9BR_WAVE1	M9BRQ_004_e10faa73a1384257	отчеты для селлеров	M9BR_WAVE1:R125:INDEX_3:TOP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	url	domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64	git_blob:cb2d10581aff2810549fc1a9841b51edb652d428; decoded_tsv_sha256:b01d9c0ccbbfb2c7cfcb5af33762c7d9a74c686c2102e5d1419e1bf97491bb95	attachment:search-octoport-m9br-wave1-20260924-r1-r125-0-24.json; sha256:71a33e74c41bfeb73bdcae5d3676df052a9c20bc93a6593bc2aec6821650a841
M8SID_8332eb45850054b1	ии аналитика маркетплейсов	M9BR_WAVE1	M9BRQ_005_8332eb45850054b1	ии аналитика маркетплейсов	M9BR_WAVE1:R125:INDEX_4:TOP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	url	domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64	git_blob:cb2d10581aff2810549fc1a9841b51edb652d428; decoded_tsv_sha256:b01d9c0ccbbfb2c7cfcb5af33762c7d9a74c686c2102e5d1419e1bf97491bb95	attachment:search-octoport-m9br-wave1-20260924-r1-r125-0-24.json; sha256:71a33e74c41bfeb73bdcae5d3676df052a9c20bc93a6593bc2aec6821650a841
M8SID_c4d7f4ca514dc5fd	ии анализ продаж маркетплейсов	M9BR_WAVE1	M9BRQ_006_c4d7f4ca514dc5fd	ии анализ продаж маркетплейсов	M9BR_WAVE1:R125:INDEX_5:TOP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	url	domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64	git_blob:cb2d10581aff2810549fc1a9841b51edb652d428; decoded_tsv_sha256:b01d9c0ccbbfb2c7cfcb5af33762c7d9a74c686c2102e5d1419e1bf97491bb95	attachment:search-octoport-m9br-wave1-20260924-r1-r125-0-24.json; sha256:71a33e74c41bfeb73bdcae5d3676df052a9c20bc93a6593bc2aec6821650a841
M8SID_e008cf0c1b28b363	аналитика маркетплейсов с ии	M9BR_WAVE1	M9BRQ_007_e008cf0c1b28b363	аналитика маркетплейсов с ии	M9BR_WAVE1:R125:INDEX_6:TOP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	url	domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64	git_blob:cb2d10581aff2810549fc1a9841b51edb652d428; decoded_tsv_sha256:b01d9c0ccbbfb2c7cfcb5af33762c7d9a74c686c2102e5d1419e1bf97491bb95	attachment:search-octoport-m9br-wave1-20260924-r1-r125-0-24.json; sha256:71a33e74c41bfeb73bdcae5d3676df052a9c20bc93a6593bc2aec6821650a841
M8SID_171a63d986f4ed26	финансовые отчеты маркетплейсов	M9BR_WAVE1	M9BRQ_008_171a63d986f4ed26	финансовые отчеты маркетплейсов	M9BR_WAVE1:R125:INDEX_7:TOP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	url	domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64	git_blob:cb2d10581aff2810549fc1a9841b51edb652d428; decoded_tsv_sha256:b01d9c0ccbbfb2c7cfcb5af33762c7d9a74c686c2102e5d1419e1bf97491bb95	attachment:search-octoport-m9br-wave1-20260924-r1-r125-0-24.json; sha256:71a33e74c41bfeb73bdcae5d3676df052a9c20bc93a6593bc2aec6821650a841
M8SID_3bf57790dda15865	Сверка отчетов с Wildberries	M9BR_WAVE1	M9BRQ_009_3bf57790dda15865	Сверка отчетов с Wildberries	M9BR_WAVE1:R125:INDEX_8:TOP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	url	domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64	git_blob:cb2d10581aff2810549fc1a9841b51edb652d428; decoded_tsv_sha256:b01d9c0ccbbfb2c7cfcb5af33762c7d9a74c686c2102e5d1419e1bf97491bb95	attachment:search-octoport-m9br-wave1-20260924-r1-r125-0-24.json; sha256:71a33e74c41bfeb73bdcae5d3676df052a9c20bc93a6593bc2aec6821650a841
M8SID_7c23963a6f4bc9db	Сверка отчетов с Ozon	M9BR_WAVE1	M9BRQ_010_7c23963a6f4bc9db	Сверка отчетов с Ozon	M9BR_WAVE1:R125:INDEX_9:TOP100		NA_NOT_AUTHORIZED	NA	SEARCH_TYPE_RU	225	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	url	domain	CURRENT_EXACT_QUERY_RU225_TOP100_PRIMARY_CLUSTERING_SNAPSHOT	docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64	git_blob:cb2d10581aff2810549fc1a9841b51edb652d428; decoded_tsv_sha256:b01d9c0ccbbfb2c7cfcb5af33762c7d9a74c686c2102e5d1419e1bf97491bb95	attachment:search-octoport-m9br-wave1-20260924-r1-r125-0-24.json; sha256:71a33e74c41bfeb73bdcae5d3676df052a9c20bc93a6593bc2aec6821650a841
