requirement_id	topic	scope	current_state	required_state	source_basis	implementation_targets	acceptance_check	blocking	claim_boundary
M13TR011	robots_policy	robots	robots live 200 and references sitemap	200 public robots; canonical Sitemap; no service/CSS block; no YandexAdditional opt-out	Yandex robots; Yandex AI	robots.txt;site-ci.yml;verify-octoport-site.sh	200 text/plain; canonical sitemap line; forbidden Disallow absent	true	App/API robot behavior separately protected
M13TR012	sitemap	sitemap	live sitemap pre-M12 owner set	Exact loc set HOME + /seller-analytics; service/aliases/http/www excluded	Yandex Sitemap; Google canonicalization; M11/M12	sitemap.xml;site-ci.yml;verify-octoport-site.sh	XML parse; exact canonical loc set=2; HTTP 200	true	No fabricated lastmod
M13TR013	yandex_ai	robots_ai	no AI opt-out observed	Preserve eligibility; no YandexAdditional/YandexAdditionalBot Disallow on indexable pages	Yandex AI	robots.txt;site-ci.yml	No opt-out directive	false	Eligibility does not guarantee citation/ranking
M13TR014	home_metadata	metadata	live historical Title/H1; self canonical	Apply M12 R2 HOME H1/Title; unique description within guidance; self canonical	M12 R2	index.html;site-ci.yml;verify-octoport-site.sh	Exact H1/Title; one H1; unique nonempty description; self canonical	true	M13 does not invent final description copy
M13TR015	analytics_metadata	metadata	page absent	Create M12 R2 analytics H1/Title; unique bounded description; self canonical	M12 R2	seller-analytics.html;site-ci.yml;verify-octoport-site.sh	Exact H1/Title; unique description; one H1; self canonical	true	No held-cluster/external-intelligence coverage
M13TR016	internal_links	ia	HOME cannot link to absent analytics route	Regular HTML HOME->analytics and analytics->HOME according to M12	M12 link contract; crawlable link guidance	index.html;seller-analytics.html;site-ci.yml	Two href edges present in initial HTML; no orphan owner	true	Anchor wording may vary within M12 guidance
M13TR017	initial_html_rendering	rendering	current public pages static HTML/CSS no executable JS	Critical text/H1/links/canonical/metadata in initial static HTML	Yandex rendering; current architecture	public HTML;site-ci.yml	Source parser finds critical SEO surface without JS	true	Future unrelated JS requires separate authority
M13TR018	structured_data	schema	no accepted structured data	No SoftwareApplication/FAQ/review/rating schema at M14 launch	Google SoftwareApplication; M12	index.html;seller-analytics.html;site-ci.yml	No rich-result markup unless future truthful complete authority reopens	true	No fake price/rating/review/customer evidence
M13TR019	open_graph	metadata	HOME has OG; analytics absent	OG truthful; og:url=canonical; analytics OG optional; no unapproved image/capability/availability claim	M13 Level2; M12	index.html;seller-analytics.html	Any OG fields match truthful page job and canonical URL	false	Search metadata and OG need not be identical
M13TR020	mobile	mobile	viewport and responsive CSS present	One responsive URL; viewport; usable at 320 CSS px; no horizontal overflow/content loss	M13 Level2; current source	all public HTML;styles.css;site-ci.yml	Mobile/lab QA at 320 CSS px confirms content/link parity	true	Lab usability not field metric
M13TR021	core_web_vitals	performance	no accepted field CWV data	When real field data exists LCP<=2.5s INP<=200ms CLS<=0.1 at p75; otherwise FIELD_DATA_NOT_AVAILABLE	web.dev/Google CWV	M15/M17 measurement	No fabricated field metric; source/date/segment provenance	false	TBT diagnostic is not INP
M13TR022	runtime_weight	performance	current public site zero executable JS	Preserve low-runtime static architecture; no blocking third-party scripts in M14 SEO scope	M13 Level2; current source	HTML/CSS;site-ci.yml	Parser script count 0 unless separately authorized; bounded assets	false	Not permanent ban on future JS
M13TR023	site_ci	implementation_guard	CI knows pre-M12 route set and HOME-only sitemap	Extend CI for analytics, M12 metadata, service noindex, exact sitemap, links, redirects, truth guards	M13 dependency map	.github/workflows/site-ci.yml	CI checks complete M14 SEO contract while preserving existing guards	true	No guard weakening
M13TR024	deploy_guard	implementation_guard	deploy requires only pre-M12 static files	Require analytics and validate canonical/key truth boundary before install	M13 dependency map	deploy-octoport-site.sh	assert_source fails on missing/wrong analytics or truth boundary	true	Preserve app-ingress/rollback safety
M13TR025	live_verifier	implementation_guard	verifier lacks analytics/noindex/alias checks	Extend verifier for analytics, service noindex, sitemap, aliases/host redirects and metadata	M13 dependency map	verify-octoport-site.sh	Postdeploy verifier fails on any specified drift	true	Preserve portal/API/TLS/old-docs checks
M13TR026	regression_tests	implementation_guard	tests cover ingress/rollback but not new SEO route contract	Extend tests for analytics presence/aliases while preserving app config/rollback	M13 dependency map	test_site_deployment.py	New guards covered; existing safety tests still pass	true	No live mutation
M13TR027	app_api_boundary	isolation	octoport-apps.conf separate; X-Robots noindex,nofollow,noarchive	Do not modify app/API proxy/auth/session behavior in M14 SEO implementation	EXECUTION_RULES isolation; preparation	octoport-apps.conf read-only; regression/verifier preservation	Application config/behavior unchanged by SEO patch	true	Parallel stream boundary
M13TR028	analytics_proof_gate	truth	analytics page absent; proof gate open	No fake screenshot/case/metric; central analytics value requires accepted real sanitized/source-backed example before production	M12 proof/trust	seller-analytics.html;M14 acceptance evidence	Concrete categories/examples trace to endpoint/product authority; proof requirement satisfied	true	Route creation alone does not prove product result
