authorized_competitor_id	authorized_competitor_name	role_class	queries_visible_top100	queries_visible_top20	queries_visible_top10	queries_visible_top3	total_ranking_occurrences_top100	best_rank	ranking_url_count	ranking_urls	query_ids	rank_bucket_counts	ambiguous_rows_related	current_visibility_status	claim_boundary
REG011	Ilai	RECURRING_PRODUCT_VENDOR	24	6	5	1	25	3	2	https://ilai.io/ || https://ilai.io/ostatki-wildberries	M4QR2Q00003 || M4QR2Q00004 || M4QR2Q00005 || M4QR2Q00006 || M4QR2Q00007 || M4QR2Q00008 || M4QR2Q00010 || M4QR2Q00011 || M4QR2Q00014 || M4QR2Q00015 || M4QR2Q00017 || M4QR2Q00018 || M4QR2Q00019 || M4QR2Q00020 || M4QR2Q00021 || M4QR2Q00022 || M4QR2Q00024 || M4QR2Q00026 || M4QR2Q00027 || M4QR2Q00028 || M4QR2Q00038 || M4QR2Q00041 || M4QR2Q00042 || M4QR2Q00043	TOP3:1 || TOP10:4 || 11_20:1 || 21_100:19	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	9	4	3	2	9	1	2	https://infosell.tech/ || https://infosell.tech/dashboard/reply-ai	M4QR2Q00004 || M4QR2Q00007 || M4QR2Q00008 || M4QR2Q00011 || M4QR2Q00015 || M4QR2Q00018 || M4QR2Q00026 || M4QR2Q00027 || M4QR2Q00028	TOP3:2 || TOP10:1 || 11_20:1 || 21_100:5	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
REG013	Insales	RECURRING_PRODUCT_VENDOR	18	8	3	2	24	1	14	https://www.insales.ru/ || https://www.insales.ru/blogs/university/analitika-wildberries || https://www.insales.ru/blogs/university/drr-na-marketpleysah || https://www.insales.ru/blogs/university/kak-chitat-i-analizirovat-finansoviy-otchet-na-wb || https://www.insales.ru/blogs/university/kak-prodavat-na-wildberries || https://www.insales.ru/blogs/university/kak-rasschitat-yunit-ekonomiku || https://www.insales.ru/blogs/university/kak-razmestit-tovary-na-wildberries || https://www.insales.ru/blogs/university/kak-samozanyatym-prodavat-na-wildberries || https://www.insales.ru/blogs/university/klyuchevyye-slova-na-vayldberriz || https://www.insales.ru/blogs/university/pribylnyy-biznes-plan || https://www.insales.ru/blogs/university/zapolneniya-kartochek-tovara-na-wildberries || https://www.insales.ru/page/ai-analyst || https://www.insales.ru/page/analitika-marketpleysov || https://www.insales.ru/page/marketplace	M4QR2Q00003 || M4QR2Q00004 || M4QR2Q00009 || M4QR2Q00010 || M4QR2Q00012 || M4QR2Q00014 || M4QR2Q00018 || M4QR2Q00022 || M4QR2Q00024 || M4QR2Q00027 || M4QR2Q00029 || M4QR2Q00032 || M4QR2Q00036 || M4QR2Q00038 || M4QR2Q00039 || M4QR2Q00040 || M4QR2Q00044 || M4QR2Q00045	TOP3:2 || TOP10:1 || 11_20:6 || 21_100:15	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
REG014	Itgalaxy	RECURRING_PRODUCT_VENDOR	2	0	0	0	2	21	1	https://itgalaxy.company/ai-agent-wildberries-ozon/	M4QR2Q00006 || M4QR2Q00007	TOP3:0 || TOP10:0 || 11_20:0 || 21_100:2	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
REG015	Jafo	RECURRING_PRODUCT_VENDOR	31	10	8	5	39	1	7	https://jafo.ru/ || https://jafo.ru/blog/avtomatizatsiya-otzyvov-wildberries || https://jafo.ru/blog/drr-wildberries-ozon || https://jafo.ru/blog/ii-agent-dlya-ozon || https://jafo.ru/blog/ii-agent-dlya-wildberries || https://jafo.ru/blog/podklyuchit-claude-chatgpt-k-wildberries-ozon || https://jafo.ru/product/analytics	M4QR2Q00001 || M4QR2Q00002 || M4QR2Q00003 || M4QR2Q00004 || M4QR2Q00005 || M4QR2Q00006 || M4QR2Q00007 || M4QR2Q00008 || M4QR2Q00010 || M4QR2Q00011 || M4QR2Q00012 || M4QR2Q00013 || M4QR2Q00015 || M4QR2Q00016 || M4QR2Q00017 || M4QR2Q00018 || M4QR2Q00019 || M4QR2Q00020 || M4QR2Q00021 || M4QR2Q00024 || M4QR2Q00026 || M4QR2Q00027 || M4QR2Q00028 || M4QR2Q00029 || M4QR2Q00032 || M4QR2Q00033 || M4QR2Q00036 || M4QR2Q00037 || M4QR2Q00042 || M4QR2Q00044 || M4QR2Q00045	TOP3:5 || TOP10:5 || 11_20:3 || 21_100:26	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
REG016	Jvo	RECURRING_PRODUCT_VENDOR	15	5	4	1	20	3	7	https://jvo.ru/ || https://jvo.ru/agent || https://jvo.ru/agent-communication || https://jvo.ru/agent-prices || https://jvo.ru/blog/dolyareklamnyhraskhodovnawbiozonraschyotinormy || https://jvo.ru/blog/marzhinalnost-tovara || https://jvo.ru/blog/poshagovaya-instrukciya-po-registracii-na-wildberries	M4QR2Q00005 || M4QR2Q00006 || M4QR2Q00007 || M4QR2Q00008 || M4QR2Q00010 || M4QR2Q00018 || M4QR2Q00019 || M4QR2Q00020 || M4QR2Q00023 || M4QR2Q00024 || M4QR2Q00027 || M4QR2Q00029 || M4QR2Q00031 || M4QR2Q00037 || M4QR2Q00042	TOP3:1 || TOP10:3 || 11_20:2 || 21_100:14	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
REG017	Klerk	EDITORIAL_OR_PUBLISHER	13	7	1	0	32	9	21	https://www.klerk.ru/blogs/astral/585917/ || https://www.klerk.ru/blogs/gdekurs/620880/ || https://www.klerk.ru/blogs/gdekurs/694422/ || https://www.klerk.ru/blogs/infostart/690092/ || https://www.klerk.ru/blogs/klerk/579363/ || https://www.klerk.ru/blogs/klerk/599768/ || https://www.klerk.ru/blogs/klerk/683726/ || https://www.klerk.ru/blogs/kseniiaonline/604530/ || https://www.klerk.ru/blogs/kseniiaonline/606012/ || https://www.klerk.ru/blogs/moedelo/513714/ || https://www.klerk.ru/blogs/moysklad/573436/ || https://www.klerk.ru/blogs/ranvik/704079/ || https://www.klerk.ru/blogs/rightconsulting/599628/ || https://www.klerk.ru/blogs/ruzfinance/583971/ || https://www.klerk.ru/blogs/scloud/642136/ || https://www.klerk.ru/blogs/servicetrend/607982/ || https://www.klerk.ru/blogs/umnik/693153/ || https://www.klerk.ru/buh/articles/529868/ || https://www.klerk.ru/buh/articles/661965/ || https://www.klerk.ru/buh/articles/663941/ || https://www.klerk.ru/buh/articles/664085/	M4QR2Q00001 || M4QR2Q00011 || M4QR2Q00012 || M4QR2Q00025 || M4QR2Q00030 || M4QR2Q00034 || M4QR2Q00035 || M4QR2Q00036 || M4QR2Q00037 || M4QR2Q00039 || M4QR2Q00040 || M4QR2Q00044 || M4QR2Q00045	TOP3:0 || TOP10:1 || 11_20:7 || 21_100:24	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	1	1	1	1	1	2	1	https://www.kt-team.ru/product-pages/ai-agents-marketplaces	M4QR2Q00008	TOP3:1 || TOP10:0 || 11_20:0 || 21_100:0	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
REG019	Legasoft	RECURRING_PRODUCT_VENDOR	3	2	2	1	3	2	3	https://legasoft.ru/about/blog/marketpleysy/avtomatizatsiya-planirovaniya-postavok-s-pomoshchyu-iskusstvennogo-intellekta/ || https://legasoft.ru/about/blog/marketpleysy/nastroyka-1s-unf-dlya-raboty-s-marketpleysom-operatsii-postuplenie-i-realizatsii/ || https://legasoft.ru/about/blog/marketpleysy/skhema-dokumentooborota-s-marketpleysami-vozvraty-spisaniya-na-primere-1s-unf/?sphrase_id=1691743	M4QR2Q00002 || M4QR2Q00025 || M4QR2Q00034	TOP3:1 || TOP10:1 || 11_20:0 || 21_100:1	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
REG020	Limescope	RECURRING_PRODUCT_VENDOR	13	6	3	1	13	2	1	https://limescope.ru/	M4QR2Q00004 || M4QR2Q00005 || M4QR2Q00017 || M4QR2Q00018 || M4QR2Q00019 || M4QR2Q00022 || M4QR2Q00030 || M4QR2Q00035 || M4QR2Q00041 || M4QR2Q00042 || M4QR2Q00043 || M4QR2Q00044 || M4QR2Q00045	TOP3:1 || TOP10:2 || 11_20:3 || 21_100:7	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
REG021	Marketaut	RECURRING_PRODUCT_VENDOR	5	4	1	0	5	9	1	https://marketaut.ru/	M4QR2Q00006 || M4QR2Q00007 || M4QR2Q00008 || M4QR2Q00026 || M4QR2Q00037	TOP3:0 || TOP10:1 || 11_20:3 || 21_100:1	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
REG022	Marpla	RECURRING_PRODUCT_VENDOR	23	10	6	2	32	1	10	https://marpla.ru/ || https://marpla.ru/blog/kak-analizirovat-otchety-na-wildberries/ || https://marpla.ru/blog/kak-chitat-i-analizirovat-otchety-o-prodazhakh-na-wildberries/ || https://marpla.ru/blog/kak-delat-kartochki-tovara-dlya-wildberries-i-zarabatyvat-na-etom/ || https://marpla.ru/blog/kak-iskat-klyuchevyye-slova-dlya-wildberries/ || https://marpla.ru/blog/kak-rasschitat-chistuyu-pribyl-na-wildberries/ || https://marpla.ru/blog/kak-sozdat-i-oformit-kartochku-tovara-na-wildberries/ || https://marpla.ru/blog/rabochiye-sposoby-vyyavit-aktualnyye-klyuchevyye-zaprosy-na-wildberries/ || https://marpla.ru/blog/raschet-drr-na-wildberries/ || https://marpla.ru/blog/trebovaniya-k-kartochkam-tovara-wildberries-pravila-zapolneniya/	M4QR2Q00003 || M4QR2Q00004 || M4QR2Q00005 || M4QR2Q00009 || M4QR2Q00010 || M4QR2Q00012 || M4QR2Q00014 || M4QR2Q00017 || M4QR2Q00018 || M4QR2Q00020 || M4QR2Q00021 || M4QR2Q00022 || M4QR2Q00024 || M4QR2Q00029 || M4QR2Q00030 || M4QR2Q00032 || M4QR2Q00035 || M4QR2Q00036 || M4QR2Q00038 || M4QR2Q00041 || M4QR2Q00042 || M4QR2Q00044 || M4QR2Q00045	TOP3:2 || TOP10:4 || 11_20:5 || 21_100:21	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
REG023	Mayak	RECURRING_PRODUCT_VENDOR	19	11	4	4	19	1	2	https://mayak.bz/ || https://mayak.bz/plugin	M4QR2Q00003 || M4QR2Q00004 || M4QR2Q00005 || M4QR2Q00015 || M4QR2Q00017 || M4QR2Q00018 || M4QR2Q00019 || M4QR2Q00020 || M4QR2Q00021 || M4QR2Q00022 || M4QR2Q00026 || M4QR2Q00027 || M4QR2Q00028 || M4QR2Q00030 || M4QR2Q00035 || M4QR2Q00036 || M4QR2Q00041 || M4QR2Q00042 || M4QR2Q00043	TOP3:4 || TOP10:0 || 11_20:7 || 21_100:8	0	OBSERVED_CURRENT_TOP100	CURRENT_EXACT_QUERY_RU225_TOP100_ORGANIC_SNAPSHOT_ONLY; NOT_WORDSTAT_DEMAND_OR_PRODUCT_FACT_OR_ALL_DEVICE_REVERSE_INDEX_OR_PAGE_DECISION; zero here means no observed current ranking on these 45 queries, not zero demand or unknown-query recall.
