query_a_id	query_b_id	query_a_family	query_b_family	exact_url_overlap_top10	domain_overlap_top10	url_union_top10	domain_union_top10	url_jaccard_top10	domain_jaccard_top10	shared_urls_top10	shared_domains_top10	relationship_note
R01	R09	F2	F7	0	3	20	14	0.000000	0.214286		mpstats.io | tochka.com | vc.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R01	R10	F2	F7	0	0	20	19	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R01	R11	F2	F8	0	2	20	17	0.000000	0.117647		mpstats.io | tochka.com	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R01	R12	F2	F9	0	1	20	15	0.000000	0.066667		vc.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R02	R03	F2	F2	4	5	16	11	0.250000	0.454545	https://api-master.ru/blog/how-to-connect-chatgpt-to-ozon-wb | https://jafo.ru/ | https://jafo.ru/blog/podklyuchit-claude-chatgpt-k-wildberries-ozon | https://tablichki.tech/ocifrovka_marketplace_blog/tpost/ai_marketplaces	api-master.ru | apimonster.ru | jafo.ru | klerk.ru | tablichki.tech	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R02	R04R1	F2	F3,F9	0	0	20	18	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R02	R05	F2	F3	0	0	20	16	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R02	R06	F2	F4	0	0	20	17	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R02	R07	F2	F5,F8	0	0	20	17	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R02	R08	F2	F6	0	1	20	14	0.000000	0.071429		tablichki.tech	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R02	R09	F2	F7	0	0	20	15	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R02	R10	F2	F7	0	0	20	17	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R02	R11	F2	F8	0	0	20	17	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R02	R12	F2	F9	0	0	20	14	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R03	R04R1	F2	F3,F9	0	0	20	18	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R03	R05	F2	F3	0	0	20	16	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R03	R06	F2	F4	0	0	20	17	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R03	R07	F2	F5,F8	0	0	20	17	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R03	R08	F2	F6	0	1	20	14	0.000000	0.071429		tablichki.tech	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R03	R09	F2	F7	0	0	20	15	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R03	R10	F2	F7	0	0	20	17	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R03	R11	F2	F8	0	0	20	17	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R03	R12	F2	F9	0	0	20	14	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R04R1	R05	F3,F9	F3	0	1	20	17	0.000000	0.058824		tbank.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R04R1	R06	F3,F9	F4	1	1	19	18	0.052632	0.055556	https://sellper.ru/	sellper.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R04R1	R07	F3,F9	F5,F8	0	1	20	18	0.000000	0.055556		tbank.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R04R1	R08	F3,F9	F6	3	3	17	14	0.176471	0.214286	https://mayak.bz/ | https://mpboost.pro/analytics | https://mpstats.io/instruments/analytics	mayak.bz | mpboost.pro | mpstats.io	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R04R1	R09	F3,F9	F7	0	1	20	16	0.000000	0.062500		mpstats.io	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R04R1	R10	F3,F9	F7	0	0	20	19	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R04R1	R11	F3,F9	F8	0	2	20	17	0.000000	0.117647		mpstats.io | tbank.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R04R1	R12	F3,F9	F9	0	0	20	16	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R05	R06	F3	F4	0	0	20	17	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R05	R07	F3	F5,F8	0	3	20	14	0.000000	0.214286		selsup.ru | tbank.ru | tochka.com	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R05	R08	F3	F6	0	0	20	15	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R05	R09	F3	F7	0	1	20	14	0.000000	0.071429		tochka.com	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R05	R10	F3	F7	0	0	20	17	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R05	R11	F3	F8	0	3	20	14	0.000000	0.214286		selsup.ru | tbank.ru | tochka.com	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R05	R12	F3	F9	0	0	20	14	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R06	R07	F4	F5,F8	0	0	20	18	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R06	R08	F4	F6	0	0	20	16	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R06	R09	F4	F7	0	0	20	16	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R06	R10	F4	F7	0	0	20	18	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R06	R11	F4	F8	0	0	20	18	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R06	R12	F4	F9	0	0	20	15	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R07	R08	F5,F8	F6	0	1	20	15	0.000000	0.066667		yandex.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R07	R09	F5,F8	F7	0	3	20	13	0.000000	0.230769		marpla.ru | tochka.com | wildberries.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R07	R10	F5,F8	F7	0	3	20	15	0.000000	0.200000		moysklad.ru | skillbox.ru | wildberries.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R07	R11	F5,F8	F8	0	6	20	12	0.000000	0.500000		promopult.ru | selsup.ru | skillbox.ru | tbank.ru | tochka.com | wildberries.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R07	R12	F5,F8	F9	0	1	20	14	0.000000	0.071429		yandex.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R08	R09	F6	F7	0	1	20	13	0.000000	0.076923		mpstats.io	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R08	R10	F6	F7	0	0	20	16	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R08	R11	F6	F8	0	1	20	15	0.000000	0.066667		mpstats.io	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R08	R12	F6	F9	0	1	20	12	0.000000	0.083333		yandex.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R09	R10	F7	F7	0	3	20	13	0.000000	0.230769		mpmgr.ru | sellermoon.ru | wildberries.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R09	R11	F7	F8	0	3	20	13	0.000000	0.230769		mpstats.io | tochka.com | wildberries.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R09	R12	F7	F9	0	1	20	12	0.000000	0.083333		vc.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R10	R11	F7	F8	0	3	20	15	0.000000	0.200000		skillbox.ru | wbstat.pro | wildberries.ru	Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R10	R12	F7	F9	0	0	20	15	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
R11	R12	F8	F9	0	0	20	15	0.000000	0.000000			Observed similarity only; no automatic merge, cluster, page, or ownership decision.
