collision_id	authority_query_id	occurrence_id_or_query_scope	rank_or_scope	url_or_domain	collision_type	observed_evidence	why_uncertain_or_colliding	classification_effect	downstream_handling
C011	R01	R01-03	3	https://tochka.com/news/chat_gpt_dlya_kartochek_na_marketplace/	CREATIVE_CARD_GENERATION	ChatGPT Точки напишет карточки товаров для... — Банк Точка — Теперь селлеры маркетплейсов могут использовать ChatGPT для создания карточек с описанием товаров. Воспользоваться чат-ботом легко: достаточно отправить в telegram-чат название товара, который нужно описать. В сообщении можно указать точную информацию о товаре, например, цвет, размер и другие характеристики. Чем больше исходной информации предоставит продавец, тем качественнее бот сгенерирует описание.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C012	R01	R01-07	7	https://seller.ozon.ru/media/boost/7-nejrosetej-dlya-prodavcov-na-marketplejsah/	CREATIVE_CARD_GENERATION	Нейросети и ИИ для маркетплейса Ozon: как автоматизировать... — Узнайте, как использовать нейросети и ИИ для автоматизации создания карточек товара на маркетплейсе Ozon. Обзор программ для генерации описаний, обработки изображений и повышения продаж. … Изображение взято с сайта ChatGPT. Зарегистрироваться в ChatGPT с российской электронной почты не получится. Но можно использовать телеграм-боты на его основе: нужно ввести название нейросети в поиске Telegram и выбрать подходящий.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C013	R01	R01-10	10	https://marketprovider.ru/blog/article/integration-of-chat-gpt-and-pim-marketprovider	CREATIVE_CARD_GENERATION	Интеграция ChatGPT и PIM MarketProvider | Market Provider — Эта статья создана ChatGPT. Одним из главных преимуществ интеграции PIM MarketProvider и ChatGPT является возможность автоматической генерации названий и описаний товаров для маркетплейсов: - PIM MarketProvider обеспечивает централизованное управление информацией о продуктах, включая изображения, описания, цены и характеристики.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C014	R01	R01-11	11	https://mpstats.io/media/marketing/fotografii-dlya-kartochki-tovara-chatgpt	CREATIVE_CARD_GENERATION	Как создать продающие фотографии для маркетплейсов... — Как настроить ChatGPT для работы с маркетплейсами. Нейросеть доступна в двух версиях: платная (GPT-4) и бесплатная (GPT-3,5). Для выполнения задач из этой статьи нужна платная версия, с бесплатной ничего не выйдет, потому что в ней нельзя прикреплять изображения.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C015	R01	R01-16	16	https://www.youtube.com/watch?v=19SQhBg9Xz4	CREATIVE_CARD_GENERATION	Карточка товара за 3 минуты в ChatGPT | Нейросеть для... - YouTube — В этом ролике покажу, как в ChatGPT любой селлер и предприниматель на маркетплейсах сможет создать дизайн инфографики для Wildberries и Ozon. Тайм-коды: 00:00 - Что умеет нейросеть 00:34 - Переделываю готовую карточку 03:51 - Прошу ChatGPT придумать фон 06:13 - Добавляю фото товара в руку модели 07:55 - Можно ли делать много карточек таким способом?	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C016	R01	R01-17	17	https://pikabu.ru/story/neyroset_i_marketpleysyi_ispolzuem_chatgpt_dlya_sozdaniya_tovarnyikh_kartochek_11791374	CREATIVE_CARD_GENERATION	Нейросеть и маркетплейсы: используем ChatGPT для... | Пикабу — С помощью Chat GPT селлер может сразу убить двух зайцев: создать продающие описания для карточек товаров на маркетплейсе и сделать привлекательные изображения, используя в данном случае все возможности этой платформы, функционал которой можно попробовать например здесь. Искусственный интеллект также обладает и рядом других преимуществ: Увеличение эффективности и скорости рабочего процесса.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C017	R01	R01-18	18	https://vc.ru/ai/1913036-sozdanie-kartochki-tovara-dlya-marketpleysov-s-pomoshchyu-chatgpt	CREATIVE_CARD_GENERATION	Карточка товара для маркетплейсов без дизайнера. — AI на vc.ru — Создание карточки товара, использование ChatGPT, фото продукта, инфографика, ключевые преимущества товара, маркетплейсы, новые возможности. … Новые возможности ChatGPT. Как сделать? — Определить ключевые преимущества товара или сгенерировать их предварительным запросом в ChatGPT. Карточка товара для маркетплейсов без дизайнера.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C018	R02	R02-04	4	https://blog.fin-academy.pro/finansy-marketplejsov-chatgpt	CLASSIFICATION_UNCERTAINTY	Финансы на маркетплейсах через ChatGPT: выручка, комиссии... — ChatGPT Plus с Code Interpreter собирает финансы маркетплейса из отчётов Wildberries и Ozon за 15-20 минут: выручка, комиссии, логистика, маржа и единый P&L по двум площадкам без ручной склейки.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C019	R02	R02-09	9	https://www.klerk.ru/blogs/gdekurs/694422/	CREATIVE_CARD_GENERATION	ТОП-7 ИИ для создания карточек товаров на Озон в 2026 году... — Как выбрать искусственный интеллект для создания карточек на «Озоне». При выборе нейросети для карточек на Ozon стоит обращать внимание на три основных момента. Если нужны только тексты, подойдут ChatGPT или Claude Haiku, но для доступа из России потребуются агрегаторы вроде «Нейросет» или GPTunnel.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C020	R02	R02-12	12	https://vc.ru/id3015683/2611951-sozdanie-kartochki-tovara-dlya-marketpleysov-s-pomoshchyu-neyroseti	HUMAN_ROLE_OR_TRAINING;CREATIVE_CARD_GENERATION	Как с помощью нейросети создать карточку товара для... — Показываю, как даже из фото с телефона сделать профессиональную карточку товара, которая выделяется на Ozon и Wildberries. Практические советы, ошибки, лучшие нейросети для карточек товара. … День рождения, сезонные распродажи. Если идеи закончились — обращаемся к любой текстовой модели: ChatGPT, DeepSeek, YandexGPT.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C021	R02	R02-15	15	https://vc.ru/ai/2328897-besplatnye-neyroseti-dlya-sozdaniya-kartochek-tovarov	CREATIVE_CARD_GENERATION;WRONG_MARKETPLACE_OR_PLATFORM	6 нейросетей для создания карточек для... — AI на vc.ru — Сервис помогает формировать описания товаров, заголовки и списки характеристик, подбирать ключевые слова, генерировать изображения через ИИ, удалять фон и автоматически создавать инфографику. Готовый контент можно загружать на Wildberries, Ozon, Avito. Платформа интегрирует несколько передовых ИИ-моделей: ChatGPT-5, Claude 4, DALL·E...	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C022	R02	R02-16	16	https://xway.ru/blog/ozon-i-chatgpt-kak-sozdat-prodayushhie-foto-s-pomoshhyu-iskusstvennogo-intellekta	CREATIVE_CARD_GENERATION	Как создать фото на Ozon с помощью... — блог XWAY — Ozon и ChatGPT: как создать продающие фото с помощью искусственного интеллекта. В работе с маркетплейсами важно использовать любые инструменты, которые помогут сэкономить время и силы и обойти конкурентов — в том числе нейросети. В этой статье рассмотрим, как использовать ИИ для создания карточек товара на Озон...	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C023	R02	R02-18	18	https://www.youtube.com/watch?v=19SQhBg9Xz4	CREATIVE_CARD_GENERATION	Карточка товара за 3 минуты в ChatGPT | Нейросеть для... - YouTube — В этом ролике покажу, как в ChatGPT любой селлер и предприниматель на маркетплейсах сможет создать дизайн инфографики для Wildberries и Ozon.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C024	R03	R03-05	5	https://www.youtube.com/watch?v=19SQhBg9Xz4	CREATIVE_CARD_GENERATION	Карточка товара за 3 минуты в ChatGPT | Нейросеть для... - YouTube — В этом ролике покажу, как в ChatGPT любой селлер и предприниматель на маркетплейсах сможет создать дизайн инфографики для Wildberries и Ozon.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C025	R03	R03-15	15	https://www.youtube.com/watch?v=IYKq8GeVlBU	CREATIVE_CARD_GENERATION	Дизайн карточки WB в чате GPT за 10 минут!! - YouTube — ДИЗАЙН КАРТОЧКИ товара на Wildberries: Продающая инфографика с помощью нейросетей БЕСПЛАТНО и просто. Юлия Покоева | Менеджер Wildberries. 44 тыс. 9 мес. назад. … Как Создать Идеальный Дизайн Карточки WB в ChatGPT за минуту! Роман Одуванов.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C026	R03	R03-17	17	https://sellermoon.ru/faq/wildberries/nejroset-chatgpt-i-marketplejsy	CREATIVE_CARD_GENERATION	Нейросеть ChatGPT для описания товара... — SELLER MOON — Инструкция по онлайн-генерации контента для товаров на маркетплейсах с помощью нейросети ChatGPT. Как работать с ИИ для создания нейминга, фотографий, УТП, Tone of voice, продающего описания и отзывов — SELLER MOON. … Главная. Статьи. WILDBERRIES. Нейросеть ChatGPT для описания товара Wildberies и Ozon.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C027	R03	R03-19	19	https://rutube.ru/video/97070bb442d470fdfb80ad6e1a077f2d/	CREATIVE_CARD_GENERATION	SEO оптимизация карточки товара Wildberries: создание СЕО... — В этом видео я подробно рассказываю о создании SEO карточки товара Wildberries с использованием нейросети ChatGPT. Раскрываю важные аспекты SEO-оптимизации карточек товаров Вайлдберриз, включая влияние конверсии, соответствие запросам и видимость товаров.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C028	R04R1	R04R1-02	2	https://sellerden.ru/sellerfox/	WRONG_MARKETPLACE_OR_PLATFORM	Аналитика маркетплейсов (бесплатно) • Сервис «SellerFox» — Бесплатная подписка на сервис аналитики маркетплейсов: Wildberries, Ozon, AliExpress, Магнит Маркет и других: динамика продаж и выручки, прогноз продаж, выбор ниши и другие. … Площадка для сделок между селлерами (продавцами) и поставщиками товаров оптом для маркетплейсов.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C029	R04R1	R04R1-06	6	https://sellmonitor.com/	HUMAN_ROLE_OR_TRAINING;WRONG_MARKETPLACE_OR_PLATFORM	Sellmonitor — аналитика маркетплейсов для профессионалов... — Сервис аналитики и продвижения товаров на Wildberries, Ozon и Яндекс Маркет. Подними свои продажи на маркетплейсах. Sellmonitor поможет найти нишу, оптимизировать поставки, проанализировать стратегию конкурентов, повысить позиции своих товаров в выдаче и многое другое.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C030	R04R1	R04R1-07	7	https://limescope.ru/	WRONG_MARKETPLACE_OR_PLATFORM	LimeScope — аналитика маркетплейсов — Аналитика Ozon, Wildberries и Яндекс Маркета. Вся экономика маркетплейсов — в одном окне. Собирайте продажи, расходы, рекламу, остатки и прибыль всех кабинетов в единую понятную систему. … Для селлеров и команд. Меньше рутины. Больше контроля над бизнесом. Одно рабочее пространство объединяет аналитику, товары, остатки, закупки и команду.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C031	R04R1	R04R1-08	8	https://mpfact.ru/	CREATIVE_CARD_GENERATION	MPfact — сервис аналитики магазина WB и Ozon — 2.Селлер WB и OZON (товары для дома, одежда). 3.Эксперт по Китаю, свой бренд одежды в РФ. 4.Спикер-эксперт в Skillbox, Деловая Среда (сбер), Мой Бизнес (Минфин), MAED и другие площадки. 5.Автор телеграм-канала про оцифровку и бизнес на маркетплейсах. Отчеты по wb и ozon. … Он создан специально для селлеров на Ozon и помогает принимать решения в моменте: что пополнять, какие карточки усиливать и где товар теряет позиции.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C032	R04R1	R04R1-12	12	https://restata.ru/	ACCOUNTING_OR_STATUTORY	Restata — сервис аналитики прибыли на маркетплейсах... — Restata — аналитика прибыли для селлеров Wildberries и Ozon: все комиссии, логистика, хранение, налоги и себестоимость в одном дашборде. … Вы продаёте на Wildberries и Ozon, но не знаете — зарабатываете ли. Wildberries и Ozon снимают десятки видов комиссий, а в личных кабинетах нет единой картины прибыли. Селлеры принимают решения вслепую.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C033	R04R1	R04R1-14	14	https://truestats.ru/	WRONG_MARKETPLACE_OR_PLATFORM	TrueStats: Сервис финансовой аналитики маркетплейсов... — Сервис оцифровки и аналитики продаж на Wildberries, Ozon и Яндекс Маркет. Проанализируем 50+ метрик и подсветим, сколько вы реально заработали после всех удержаний маркетплейса. … Эксперт и крупный селлер на WB и Ozon, продал более 500 000 сумок на маркетплейсах. Разработчик таблиц оцифровки финансов для WB и Ozon, которой пользуются более 2000 селлеров.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C034	R04R1	R04R1-16	16	https://www.sberbank.ru/ru/s_m_business/pro_business/analitika-prodazh-na-marketplejsah	WRONG_MARKETPLACE_OR_PLATFORM	Сервисы аналитики на маркетплейсе — топ предложений за 2025... — Сбер создал для селлеров не просто сервис аналитики — решение объединяет контроль за складом, анализ финансов, оценку рекламных активностей и другие опции. Функции сервиса. Управление продажами и заказами. Автоматическая синхронизация заказов с разных маркетплейсов: Яндекс Маркета, Ozon и Wildberries. Управление остатками: контроль складских запасов, прогнозирование пополнения.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C035	R04R1	R04R1-17	17	https://torgstat.ru/	HUMAN_ROLE_OR_TRAINING	Торгстат – оцифровка Wildberries, Ozon и Яндекс.Маркет. — Аналитика маркетплейсов. Нам доверяют селлеры из ТОП-100 Wildberries. Попробовать бесплатно. Аналитика и автоматизация работы на маркетплейсах. Торгстат предоставляет профессиональные инструменты для оцифровки бизнеса, управления продажами и ведению финансового учета на маркетплейсах – Wildberries, Ozon и Яндекс.Маркет.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C036	R04R1	R04R1-19	19	https://mpstats.io/	WRONG_MARKETPLACE_OR_PLATFORM	MPSTATS — платформа для продавцов на маркетплейсах — MPSTATS — платформа для роста продаж на Wildberries, Ozon и Яндекс Маркет: аналитика, реклама, SEO, управление товарами и поиск точек роста. … Платформа для роста продаж на маркетплейсах. Помогаем продавцам и брендам принимать решения на основе данных.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C037	R05	R05-02	2	https://totalcrm.ru/blog/2026/05/marketplejsy-fns-i-dannye-po-oborotam-chto-selleru-proverit-v-uchete-do-novyh-pravil-2026_301	ACCOUNTING_OR_STATUTORY	"Маркетплейсы, ФНС и данные по оборотам: что селлеру... — Селлер может видеть в личном кабинете маркетплейса одну сумму, в отчёте реализации - другую, в банке - третью, а в бухгалтерии - четвёртую. Пока бизнес маленький, это кажется рабочей сложностью: ""разберёмся в конце месяца"". Но при росте оборота, количества SKU и площадок такая путаница становится опасной. Главная ошибка многих продавцов - считать бизнес по выплатам в банк."	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	NON_TARGET	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C038	R05	R05-04	4	https://www.indeepa.com/blog/nrp-novyy-standart-otchyetnosti-dlya-sellerov-marketpleysov/	ACCOUNTING_OR_STATUTORY	Управленческая и финансовая отчетность для селлеров... — NRP: новый стандарт отчётности для селлеров маркетплейсов. Дата публикации: 22.09.2025. … NRP (Niche Reporting Platform) – нишевая платформа отчётности, созданная как управленческая альтернатива классическому P&L. Ключевое отличие NRP – сочетание оперативных данных, которые поступают через API маркетплейсов, и регламентированных данных из официальных отчётов комиссионеров. Какие данные использует NRP.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C039	R05	R05-05	5	https://secrets.tbank.ru/biznes-s-nulya/kakuyu-nalogovuyu-otchetnost-sdayut-sellery/	ACCOUNTING_OR_STATUTORY	Налоговая отчетность для селлеров маркетплейсов в 2026: что... — 	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C040	R05	R05-07	7	https://www.kontur-extern.ru/info/80161-kak_buxgalteru_vesti_klientov_sellerov	ACCOUNTING_OR_STATUTORY	Как бухгалтеру вести учет для селлеров: документы, сложности... — Как селлеру избегать ошибок в учете. Работа с маркетплейсами — это всегда большой поток данных: отчеты о продажах, возвратах, комиссиях, штрафах и бонусах. При ведении учета легко допустить ошибки, которые могут привести к завышению налогов, искажениям в отчетности или претензиям от налоговой. Разберем самые распространенные ошибки и дадим рекомендации, как их избежать.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C041	R05	R05-08	8	https://uniseller.io/blog/kak-chitat-otchet-o-realizacii-ozon/	ACCOUNTING_OR_STATUTORY	Как читать отчёт о реализации Ozon: инструкция для селлеров — Разбираем отчёт о реализации Ozon: как считать прибыль, учитывать баллы и скидки, работать с УПД. Инструкция для селлеров и бухгалтеров — Uniseller, автоматизация маркетплейсов. … Канал @uniseller_io Чат селлеров. Главная›Блог›Как читать отчёт о реализации Ozon: разбор для селлеров и бухгалтеров. Содержание.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C042	R05	R05-15	15	https://42clouds.com/ru-ru/blog/marketplaces/otchetnost-na-marketplejsah-kakie-otchety-dolzhny-sdavat-sellery/	ACCOUNTING_OR_STATUTORY	Отчетность на маркетплейсах: какие отчеты... - 42CLOUDS — Селлеры обязаны передавать документы о продажах в ФНС. Задержки или ошибки в оформлении бумаг могут привести к штрафам, поэтому важно понимать, какие отчеты сдавать, в какие сроки и как избежать проблем с налоговой инспекцией. Из чего состоит отчетность на маркетплейсах. В состав налоговой отчетности, которую подают селлеры, входят несколько отчетов.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C043	R05	R05-16	16	https://knopka.com/blog/category/buhgalteryia/tpost/ausn-marketplejsy-dohody-i-komissii	ACCOUNTING_OR_STATUTORY;WRONG_MARKETPLACE_OR_PLATFORM	АУСН маркетплейсы 2026: как учитывать доходы и считать налоги — Разбираем АУСН для маркетплейсов в 2026 году. Инструкция, как вносить доход и комиссии в ЛК ФНС, чтобы не платить налог дважды. Учёт для селлеров на Вайлдберис, Озон и Яндекс маркета. … Селлеры, перешедшие на АУСН с 1 января 2026 года, оказались в ловушке. → Налог по УСН за 2025 год рассчитывался по отчётам маркетплейсов, а не по банковской выписке. → Налог по АУСН за январь налоговая считает по банку.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	NON_TARGET	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C044	R05	R05-19	19	https://reccora.ru/analytics/marketplaces	WRONG_MARKETPLACE_OR_PLATFORM	Аналитика маркетплейсов для селлеров · Реккора — Аналитика маркетплейсов для селлеров: Wildberries, Ozon и Яндекс Маркет. Загрузите Excel-отчёты из кабинета маркетплейса — воронку продаж, ленту заказов, еженедельный отчёт реализации — и получите готовые дашборды по выкупу, деньгам и логистике. С прогнозом продаж и рекомендациями к действию.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	TARGET_RELEVANT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
C045	R05	R05-20	20	https://www.cleverence.ru/articles/elektronnaya-kommertsiya/-kak-chitat-otchet-o-realizatsii-ozon-v-2026-godu-podrobnyy-razbor-dlya-buhgalterov-i-sellerov/	ACCOUNTING_OR_STATUTORY	Как читать отчет о реализации Ozon в 2026 году: подробный... — Отчет о реализации Ozon — ключевой документ для учета продаж на маркетплейсе, с важным юридическим и налоговым значением. В статье пошагово разбирается, как читать и сверять финансовые данные, включая прибыль, скидки и компенсации. Также рассмотрены отличия между отчетами и применение УПД-документов для бухгалтерии.	Observed result introduces a different actor, task, marketplace, or product boundary than the query target.	PARTIAL_OR_ADJACENT	Retain evidence; do not admit as product competitor or demand proof without M4B verification.
