domain_id	registrable_domain	entity_name_or_hold	all_occurrence_count	distinct_query_count	top3_query_coverage	top10_query_coverage	rank11_20_query_coverage	distinct_ranking_urls	target_relevant_occurrence_count	target_relevant_distinct_query_count	market_surface_distribution	collision_or_uncertainty_exposure	metric_granularity_notes	source_occurrence_ids
D030	ilai.io	Ilai	3	3	2	3	0	1	3	3	THIRD_PARTY_PRODUCT_VENDOR:3	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S01-03 | S03-09 | R06-03
D031	indeepa.com	Indeepa	1	1	0	1	0	1	0	0	THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R05-04
D032	infosell.tech	Infosell	1	1	1	1	0	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R06-02
D033	insales.by	Insales	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R07-18
D034	insales.ru	Insales	2	2	0	0	2	2	1	1	SERVICE_OR_AGENCY:1 | THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R07-13 | R11-15
D035	intly.ru	Intly	2	2	0	1	1	2	2	2	OTHER:1 | THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S02-09 | S03-16
D036	itgalaxy.company	Itgalaxy	2	2	0	0	2	1	2	2	THIRD_PARTY_PRODUCT_VENDOR:2	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S02-18 | S03-19
D037	jafo.ru	Jafo	11	7	4	5	3	4	9	7	EDITORIAL_OR_PUBLISHER:3 | THIRD_PARTY_PRODUCT_VENDOR:8	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S01-18 | S02-01 | S02-06 | S03-05 | S03-17 | R01-02 | R02-01 | R02-10 | R03-01 | R03-08 | R06-20
D038	jvo.ru	Jvo	2	2	0	2	0	2	1	1	THIRD_PARTY_PRODUCT_VENDOR:2	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S01-10 | R08-10
D039	kak2c.ru	Kak2C	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R10-13
D040	kimmeriets.ru	Kimmeriets	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S02-15
D041	klerk.ru	Klerk	5	5	0	2	3	4	1	1	EDITORIAL_OR_PUBLISHER:5	2	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S02-20 | R02-09 | R03-04 | R05-12 | R08-11
D042	knopka.com	Knopka	1	1	0	0	1	1	0	0	EDITORIAL_OR_PUBLISHER:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R05-16
D043	kontur-extern.ru	Kontur Extern	1	1	0	1	0	1	0	0	THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R05-07
D044	kp.ru	Kp	1	1	0	1	0	1	1	1	EDITORIAL_OR_PUBLISHER:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R12-06
D045	kt-team.ru	Kt Team	1	1	0	1	0	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S01-07
D046	legasoft.ru	Legasoft	2	2	0	1	1	2	1	1	EDITORIAL_OR_PUBLISHER:1 | THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R03-07 | R10-20
D047	limescope.ru	Limescope	2	2	0	1	1	1	2	2	THIRD_PARTY_PRODUCT_VENDOR:2	2	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R04R1-07 | R08-14
D048	litestat.io	Litestat	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R11-11
D049	mango-office.ru	Mango Office	1	1	0	0	1	1	0	0	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R12-14
D050	marketaut.ru	Marketaut	3	3	0	1	2	1	3	3	THIRD_PARTY_PRODUCT_VENDOR:3	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S01-15 | S02-14 | S03-08
D051	marketguru.io	Marketguru	2	2	0	0	2	2	1	1	OTHER:1 | THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R04R1-13 | R09-12
D052	marketprovider.ru	Marketprovider	1	1	0	1	0	1	1	1	EDITORIAL_OR_PUBLISHER:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R01-10
D053	marpla.ru	Marpla	4	3	0	2	2	4	2	2	EDITORIAL_OR_PUBLISHER:1 | THIRD_PARTY_PRODUCT_VENDOR:3	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R07-10 | R07-19 | R08-15 | R09-10
D054	mayak.bz	Mayak	3	3	2	2	1	1	2	2	THIRD_PARTY_PRODUCT_VENDOR:3	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R04R1-01 | R06-15 | R08-01
D055	moysklad.ru	Moysklad	4	4	0	2	2	4	4	4	OTHER:1 | THIRD_PARTY_PRODUCT_VENDOR:3	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R07-05 | R08-17 | R10-04 | R11-13
D056	mpboost.pro	Mpboost	3	3	1	2	1	1	2	2	SERVICE_OR_AGENCY:1 | THIRD_PARTY_PRODUCT_VENDOR:2	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R04R1-05 | R06-13 | R08-03
D057	mpfact.ru	Mpfact	2	2	0	1	1	1	2	2	THIRD_PARTY_PRODUCT_VENDOR:2	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R04R1-08 | R08-18
D058	mpmgr.ru	Mpmgr	5	4	2	2	2	5	5	4	EDITORIAL_OR_PUBLISHER:2 | OTHER:1 | THIRD_PARTY_PRODUCT_VENDOR:2	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S01-14 | R06-11 | R09-03 | R09-06 | R10-02
D059	mpstats.io	Mpstats	14	7	0	6	3	11	10	6	OTHER:3 | THIRD_PARTY_PRODUCT_VENDOR:11	3	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S01-06 | R01-06 | R01-11 | R04R1-09 | R04R1-19 | R04R1-20 | R08-05 | R08-06 | R08-07 | R08-08 | R09-05 | R10-11 | R10-18 | R11-09
D060	mtsbank.ru	Mtsbank	1	1	0	0	1	1	1	1	OTHER:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R11-20
D061	neiro-card.ai	Neiro Card	1	1	0	0	1	1	0	0	THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S02-17
D062	noboring-finance.ru	Noboring Finance	1	1	0	1	0	1	1	1	OTHER:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R05-06
D063	openclaw.ru	Openclaw	2	1	1	1	0	2	2	1	THIRD_PARTY_PRODUCT_VENDOR:2	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S01-02 | S01-09
D064	optomus.ru	Optomus	1	1	0	1	0	1	1	1	EDITORIAL_OR_PUBLISHER:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R10-10
D065	osmi-it.ru	Osmi It	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S01-11
D066	otvetolog.ru	Otvetolog	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R06-14
D067	owlsseller.ru	Owlsseller	1	1	0	0	1	1	0	0	THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R06-18
D068	ozon.ru	Ozon	6	5	0	2	4	3	1	1	NATIVE_MARKETPLACE:6	2	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S02-16 | R01-07 | R02-05 | R02-11 | R04R1-11 | R08-13
D069	pikabu.ru	Pikabu	1	1	0	0	1	1	0	0	EDITORIAL_OR_PUBLISHER:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R01-17
D070	planfact.io	Planfact	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R05-18
D071	ppc.world	Ppc	1	1	0	0	1	1	0	0	EDITORIAL_OR_PUBLISHER:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R01-13
D072	profi.ru	Profi	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R10-19
D073	promopult.ru	Promopult	2	2	0	2	0	2	1	1	THIRD_PARTY_PRODUCT_VENDOR:2	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R07-09 | R11-07
D074	promto.ai	Promto	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S02-13
D075	qmedia.by	Qmedia	1	1	0	0	1	1	0	0	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R01-14
D076	rask.pro	Rask	2	2	0	0	2	1	0	0	THIRD_PARTY_PRODUCT_VENDOR:2	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R06-17 | R08-19
D077	rbc.ru	Rbc	1	1	0	1	0	1	1	1	OTHER:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R11-10
D078	reccora.ru	Reccora	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R05-19
D079	reg.ru	Reg	2	2	0	0	2	2	1	1	EDITORIAL_OR_PUBLISHER:1 | THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R07-12 | R12-18
D080	restata.ru	Restata	1	1	0	0	1	1	0	0	THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R04R1-12
D081	rutube.ru	Rutube	2	2	0	0	2	2	1	1	EDITORIAL_OR_PUBLISHER:2	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R03-19 | R07-20
D082	saby.ru	Saby	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R08-16
D083	saintpack.ru	Saintpack	1	1	0	1	0	1	1	1	SERVICE_OR_AGENCY:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R06-04
D084	sally-seller.ru	Sally Seller	1	1	1	1	0	1	0	0	THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R06-01
D085	sam-x.ru	Sam X	1	1	0	1	0	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S03-10
D086	samreshuuu.ru	Samreshuuu	2	1	0	1	0	2	2	1	OTHER:1 | THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S02-04 | S02-07
D087	sberbank.ru	Sberbank	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R04R1-16
D088	sdvg.vc	Sdvg	1	1	0	1	0	1	0	0	EDITORIAL_OR_PUBLISHER:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R01-04
D089	sellego.com	Sellego	3	2	0	1	2	3	3	2	EDITORIAL_OR_PUBLISHER:2 | THIRD_PARTY_PRODUCT_VENDOR:1	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R09-11 | R10-05 | R10-15
D090	seller24.ru	Seller24	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R04R1-18
D091	sellerden.ai	Sellerden	1	1	0	1	0	1	1	1	OTHER:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R06-08
D092	sellerden.ru	Sellerden	2	2	1	1	1	2	2	2	THIRD_PARTY_PRODUCT_VENDOR:2	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R04R1-02 | R05-17
D093	sellergpt.ru	Sellergpt	1	1	0	1	0	1	0	0	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R06-05
D094	sellermate.io	Sellermate	1	1	0	0	1	1	1	1	OTHER:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R06-12
D095	sellermoon.ru	Sellermoon	9	5	1	2	5	9	8	4	OTHER:2 | THIRD_PARTY_PRODUCT_VENDOR:7	1	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R03-17 | R07-14 | R09-01 | R09-09 | R09-17 | R09-19 | R10-09 | R10-14 | R11-16
D096	sellerstats.ru	Sellerstats	1	1	0	1	0	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R04R1-04
D097	selleru.ai	Selleru	1	1	0	0	1	1	1	1	THIRD_PARTY_PRODUCT_VENDOR:1	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S03-14
D098	sellmonitor.com	Sellmonitor	3	3	0	1	2	2	2	2	EDITORIAL_OR_PUBLISHER:1 | THIRD_PARTY_PRODUCT_VENDOR:2	2	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R04R1-06 | R08-12 | R09-16
D099	sellper.ru	Sellper	3	3	0	2	1	1	3	3	THIRD_PARTY_PRODUCT_VENDOR:3	0	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R04R1-10 | R05-14 | R06-06
D100	selsup.ru	Selsup	6	5	0	3	2	5	4	3	EDITORIAL_OR_PUBLISHER:3 | THIRD_PARTY_PRODUCT_VENDOR:3	2	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	S01-13 | S01-17 | R05-09 | R07-08 | R11-04 | R12-15
D101	skillbox.ru	Skillbox	7	4	3	3	2	7	6	4	EDITORIAL_OR_PUBLISHER:7	2	Unfiltered counts are occurrence-row/all-depth or distinct-query as named; target metrics filter rows to TARGET_RELEVANT, then count rows or distinct queries as named.	R07-02 | R07-06 | R10-03 | R11-02 | R11-18 | R12-16 | R12-17
