page_candidate_id	registry_id	entity_name	ranking_url	normalized_url	authority_query_ids	ranks	rank_buckets	query_families	candidate_class	why_anchor_for_m4b	collection_priority	expected_information_gain	native_baseline_flag	collision_dependency	hold_reason
PAGE011	REG009	Berkuz	https://berkuz.ru/	https://berkuz.ru/	S01 | S02 | S03	S01:1 | S02:3 | S03:4	TOP10_REST | TOP3	F1 | F1,F9	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	HIGH	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE012	REG010	Habr	https://habr.com/ru/articles/1010000/	https://habr.com/ru/articles/1010000	S01	S01:5	TOP10_REST	F1,F9	EDITORIAL_OR_PUBLISHER	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE013	REG011	Ilai	https://ilai.io/	https://ilai.io/	R06 | S01 | S03	R06:3 | S01:3 | S03:9	TOP10_REST | TOP3	F1 | F1,F9 | F4	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	HIGH	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE014	REG012	Infosell	https://infosell.tech/	https://infosell.tech/	R06	R06:2	TOP3	F4	RELEVANT_ONE_OFF_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	HIGH	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	true	
PAGE015	REG013	Insales	https://www.insales.ru/blogs/university/kak-prodavat-na-wildberries	https://www.insales.ru/blogs/university/kak-prodavat-na-wildberries	R11	R11:15	RANK_11_20	F8	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	true	
PAGE016	REG013	Insales	https://www.insales.ru/blogs/university/zapolneniya-kartochek-tovara-na-wildberries	https://www.insales.ru/blogs/university/zapolneniya-kartochek-tovara-na-wildberries	R07	R07:13	RANK_11_20	F5,F8	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE017	REG014	Itgalaxy	https://itgalaxy.company/ai-agent-wildberries-ozon/	https://itgalaxy.company/ai-agent-wildberries-ozon	S02 | S03	S02:18 | S03:19	RANK_11_20	F1	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE018	REG015	Jafo	https://jafo.ru/	https://jafo.ru/	R02 | R03 | R06 | S01	R02:10 | R03:8 | R06:20 | S01:18	RANK_11_20 | TOP10_REST	F1,F9 | F2 | F4	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE019	REG015	Jafo	https://jafo.ru/blog/ii-agent-dlya-ozon	https://jafo.ru/blog/ii-agent-dlya-ozon	S02	S02:6	TOP10_REST	F1	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE020	REG015	Jafo	https://jafo.ru/blog/ii-agent-dlya-wildberries	https://jafo.ru/blog/ii-agent-dlya-wildberries	S03	S03:17	RANK_11_20	F1	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE021	REG015	Jafo	https://jafo.ru/blog/podklyuchit-claude-chatgpt-k-wildberries-ozon	https://jafo.ru/blog/podklyuchit-claude-chatgpt-k-wildberries-ozon	R01 | R02 | R03	R01:2 | R02:1 | R03:1	TOP3	F2	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	HIGH	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE022	REG016	Jvo	https://jvo.ru/	https://jvo.ru/	R08	R08:10	TOP10_REST	F6	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	true	
PAGE023	REG016	Jvo	https://jvo.ru/agent	https://jvo.ru/agent	S01	S01:10	TOP10_REST	F1,F9	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE024	REG017	Klerk	https://www.klerk.ru/blogs/gdekurs/694422/	https://www.klerk.ru/blogs/gdekurs/694422	R02 | S02	R02:9 | S02:20	RANK_11_20 | TOP10_REST	F1 | F2	EDITORIAL_OR_PUBLISHER	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	true	
PAGE025	REG017	Klerk	https://www.klerk.ru/blogs/gdekurs/694545/	https://www.klerk.ru/blogs/gdekurs/694545	R03	R03:4	TOP10_REST	F2	EDITORIAL_OR_PUBLISHER	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE026	REG018	Kt Team	https://www.kt-team.ru/product-pages/ai-agents-marketplaces	https://www.kt-team.ru/product-pages/ai-agents-marketplaces	S01	S01:7	TOP10_REST	F1,F9	RELEVANT_ONE_OFF_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE027	REG019	Legasoft	https://legasoft.ru/about/blog/marketpleysy/avtomatizatsiya-planirovaniya-postavok-s-pomoshchyu-iskusstvennogo-intellekta/	https://legasoft.ru/about/blog/marketpleysy/avtomatizatsiya-planirovaniya-postavok-s-pomoshchyu-iskusstvennogo-intellekta	R03	R03:7	TOP10_REST	F2	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE028	REG019	Legasoft	https://legasoft.ru/about/blog/marketpleysy/kak-vybrat-nishu-v-wildberries-i-ne-oshibitsya-sovety-dlya-uspeshnogo-starta/	https://legasoft.ru/about/blog/marketpleysy/kak-vybrat-nishu-v-wildberries-i-ne-oshibitsya-sovety-dlya-uspeshnogo-starta	R10	R10:20	RANK_11_20	F7	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE029	REG020	Limescope	https://limescope.ru/	https://limescope.ru/	R04R1 | R08	R04R1:7 | R08:14	RANK_11_20 | TOP10_REST	F3,F9 | F6	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	true	
PAGE030	REG021	Marketaut	https://marketaut.ru/	https://marketaut.ru/	S01 | S02 | S03	S01:15 | S02:14 | S03:8	RANK_11_20 | TOP10_REST	F1 | F1,F9	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE031	REG022	Marpla	https://marpla.ru/	https://marpla.ru/	R08	R08:15	RANK_11_20	F6	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE032	REG022	Marpla	https://marpla.ru/blog/kak-iskat-klyuchevyye-slova-dlya-wildberries/	https://marpla.ru/blog/kak-iskat-klyuchevyye-slova-dlya-wildberries	R09	R09:10	TOP10_REST	F7	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE033	REG022	Marpla	https://marpla.ru/blog/kak-sozdat-i-oformit-kartochku-tovara-na-wildberries/	https://marpla.ru/blog/kak-sozdat-i-oformit-kartochku-tovara-na-wildberries	R07	R07:10	TOP10_REST	F5,F8	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE034	REG022	Marpla	https://marpla.ru/blog/trebovaniya-k-kartochkam-tovara-wildberries-pravila-zapolneniya/	https://marpla.ru/blog/trebovaniya-k-kartochkam-tovara-wildberries-pravila-zapolneniya	R07	R07:19	RANK_11_20	F5,F8	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	true	
PAGE035	REG023	Mayak	https://mayak.bz/	https://mayak.bz/	R04R1 | R06 | R08	R04R1:1 | R06:15 | R08:1	RANK_11_20 | TOP3	F3,F9 | F4 | F6	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	HIGH	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE036	REG024	Moysklad	https://www.moysklad.ru/poleznoe/marketplejsy/analitika-marketpleysov/	https://www.moysklad.ru/poleznoe/marketplejsy/analitika-marketpleysov	R08	R08:17	RANK_11_20	F6	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE037	REG024	Moysklad	https://www.moysklad.ru/poleznoe/marketplejsy/kak-nachat-prodavat-na-wildberries/	https://www.moysklad.ru/poleznoe/marketplejsy/kak-nachat-prodavat-na-wildberries	R11	R11:13	RANK_11_20	F8	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE038	REG024	Moysklad	https://www.moysklad.ru/poleznoe/marketplejsy/kartochka-tovara-na-wildberries/	https://www.moysklad.ru/poleznoe/marketplejsy/kartochka-tovara-na-wildberries	R07	R07:5	TOP10_REST	F5,F8	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	true	
PAGE039	REG024	Moysklad	https://www.moysklad.ru/poleznoe/marketplejsy/samye-prodavaemye-tovary-na-wildberries/	https://www.moysklad.ru/poleznoe/marketplejsy/samye-prodavaemye-tovary-na-wildberries	R10	R10:4	TOP10_REST	F7	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE040	REG025	Mpboost	https://mpboost.pro/analytics/	https://mpboost.pro/analytics	R04R1 | R06 | R08	R04R1:5 | R06:13 | R08:3	RANK_11_20 | TOP10_REST | TOP3	F3,F9 | F4 | F6	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	HIGH	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE041	REG026	Mpfact	https://mpfact.ru/	https://mpfact.ru/	R04R1 | R08	R04R1:8 | R08:18	RANK_11_20 | TOP10_REST	F3,F9 | F6	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	true	
PAGE042	REG027	Mpmgr	http://mpmgr.ru/	http://mpmgr.ru/	R06	R06:11	RANK_11_20	F4	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE043	REG027	Mpmgr	https://mpmgr.ru/blog/cards-seo/chastotnost-zaprosov-wildberries	https://mpmgr.ru/blog/cards-seo/chastotnost-zaprosov-wildberries	R09	R09:6	TOP10_REST	F7	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE044	REG027	Mpmgr	https://mpmgr.ru/blog/cards-seo/klyuchevye-slova-wildberries	https://mpmgr.ru/blog/cards-seo/klyuchevye-slova-wildberries	R09	R09:3	TOP3	F7	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	HIGH	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE045	REG027	Mpmgr	https://mpmgr.ru/blog/external-analytics/analiz-nishi-wildberries	https://mpmgr.ru/blog/external-analytics/analiz-nishi-wildberries	R10	R10:2	TOP3	F7	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	HIGH	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE046	REG027	Mpmgr	https://mpmgr.ru/blog/trends/mcp-ii-agenty-dlya-sellerov	https://mpmgr.ru/blog/trends/mcp-ii-agenty-dlya-sellerov	S01	S01:14	RANK_11_20	F1,F9	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE047	REG028	Mpstats	https://mpstats.io/	https://mpstats.io/	R04R1 | R08	R04R1:19 | R08:6	RANK_11_20 | TOP10_REST	F3,F9 | F6	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	true	
PAGE048	REG028	Mpstats	https://mpstats.io/chrome-plugin	https://mpstats.io/chrome-plugin	R04R1 | R08	R04R1:20 | R08:7	RANK_11_20 | TOP10_REST	F3,F9 | F6	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE049	REG028	Mpstats	https://mpstats.io/instruments/ads-analytics	https://mpstats.io/instruments/ads-analytics	R08	R08:8	TOP10_REST	F6	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	true	
PAGE050	REG028	Mpstats	https://mpstats.io/instruments/analytics	https://mpstats.io/instruments/analytics	R04R1 | R08	R04R1:9 | R08:5	TOP10_REST	F3,F9 | F6	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE051	REG028	Mpstats	https://mpstats.io/instruments/connect-ai	https://mpstats.io/instruments/connect-ai	S01	S01:6	TOP10_REST	F1,F9	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE052	REG028	Mpstats	https://mpstats.io/instruments/wildberries/analytics	https://mpstats.io/instruments/wildberries/analytics	R10	R10:11	RANK_11_20	F7	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE053	REG028	Mpstats	https://mpstats.io/media/marketing/chatgpt-marketplejsy	https://mpstats.io/media/marketing/chatgpt-marketplejsy	R01	R01:6	TOP10_REST	F2	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE054	REG028	Mpstats	https://mpstats.io/media/marketing/fotografii-dlya-kartochki-tovara-chatgpt	https://mpstats.io/media/marketing/fotografii-dlya-kartochki-tovara-chatgpt	R01	R01:11	RANK_11_20	F2	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	true	
PAGE055	REG028	Mpstats	https://mpstats.io/media/wildberries/cards/klyuchevyye-slova	https://mpstats.io/media/wildberries/cards/klyuchevyye-slova	R09	R09:5	TOP10_REST	F7	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE056	REG028	Mpstats	https://mpstats.io/media/wildberries/sellers/chto-prodavat-novichku	https://mpstats.io/media/wildberries/sellers/chto-prodavat-novichku	R10	R10:18	RANK_11_20	F7	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE057	REG028	Mpstats	https://mpstats.io/media/wildberries/sellers/obzor-lichnogo-kabineta	https://mpstats.io/media/wildberries/sellers/obzor-lichnogo-kabineta	R11	R11:9	TOP10_REST	F8	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE058	REG029	Openclaw	https://openclaw.ru/for/marketplejsy	https://openclaw.ru/for/marketplejsy	S01	S01:9	TOP10_REST	F1,F9	RELEVANT_ONE_OFF_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE059	REG029	Openclaw	https://openclaw.ru/for/marketplejsy/obyavleniya	https://openclaw.ru/for/marketplejsy/obyavleniya	S01	S01:2	TOP3	F1,F9	RELEVANT_ONE_OFF_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	HIGH	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE060	REG030	Ozon	https://finance.ozon.ru/business/rko/marketpleysy/analitika-prodazh	https://finance.ozon.ru/business/rko/marketpleysy/analitika-prodazh	R04R1 | R08	R04R1:11 | R08:13	RANK_11_20	F3,F9 | F6	NATIVE_MARKETPLACE_BASELINE	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	true	false	
PAGE061	REG030	Ozon	https://seller.ozon.ru/media/boost/7-nejrosetej-dlya-prodavcov-na-marketplejsah/	https://seller.ozon.ru/media/boost/7-nejrosetej-dlya-prodavcov-na-marketplejsah	R01 | R02 | S02	R01:7 | R02:5 | S02:16	RANK_11_20 | TOP10_REST	F1 | F2	NATIVE_MARKETPLACE_BASELINE	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	true	true	
PAGE062	REG031	Promopult	https://blog.promopult.ru/ecommerce/kak-sozdat-i-oformit-kartochku-tovara-na-wildberries.html	https://blog.promopult.ru/ecommerce/kak-sozdat-i-oformit-kartochku-tovara-na-wildberries.html	R07	R07:9	TOP10_REST	F5,F8	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	true	
PAGE063	REG031	Promopult	https://blog.promopult.ru/ecommerce/lichnyj-kabinet-postavshhika-na-wildberries.html	https://blog.promopult.ru/ecommerce/lichnyj-kabinet-postavshhika-na-wildberries.html	R11	R11:7	TOP10_REST	F8	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE064	REG034	Saintpack	https://saintpack.ru/	https://saintpack.ru/	R06	R06:4	TOP10_REST	F4	SERVICE_OR_AGENCY	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE065	REG035	Sam X	https://sam-x.ru/	https://sam-x.ru/	S03	S03:10	TOP10_REST	F1	RELEVANT_ONE_OFF_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE066	REG036	Sellego	https://sellego.com/blog/kejsy-wb/kak-opredelitsya-chto-prodavat-na-wildberries-poshagovyj-analiz-nishi/	https://sellego.com/blog/kejsy-wb/kak-opredelitsya-chto-prodavat-na-wildberries-poshagovyj-analiz-nishi	R10	R10:5	TOP10_REST	F7	EDITORIAL_OR_PUBLISHER	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE067	REG037	Sellerden	https://sellerden.ru/sellerden/vybor-nishi-na-marketplejsah/analytic-reports/	https://sellerden.ru/sellerden/vybor-nishi-na-marketplejsah/analytic-reports	R05	R05:17	RANK_11_20	F3	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
PAGE068	REG037	Sellerden	https://sellerden.ru/sellerfox/	https://sellerden.ru/sellerfox	R04R1	R04R1:2	TOP3	F3,F9	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	HIGH	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	true	
PAGE069	REG038	Sellermoon	https://sellermoon.ru/faq/wildberries/analiz-nishi-na-wildberries	https://sellermoon.ru/faq/wildberries/analiz-nishi-na-wildberries	R10	R10:9	TOP10_REST	F7	RECURRING_PRODUCT_VENDOR	Exact accepted ranking URL for a curated registry entity; anchor only, not final corpus frontier.	MEDIUM	Verify page role, claims, information architecture and entity scope from the live public surface in M4B.	false	false	
