registry_id	entity_name_or_hold	registrable_domain	candidate_class	inclusion_basis	all_query_coverage	top3_query_coverage	top10_query_coverage	rank11_20_query_coverage	target_relevant_query_coverage	distinct_ranking_urls	authority_query_ids	query_families	collision_or_uncertainty_exposure	metric_granularity_notes	m4b_priority	selection_rationale	source_occurrence_ids
REG011	Ilai	ilai.io	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	3	2	3	0	3	1	R06 | S01 | S03	F1 | F1,F9 | F4	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	S01-03 | S03-09 | R06-03
REG012	Infosell	infosell.tech	RELEVANT_ONE_OFF_PRODUCT_VENDOR	One-off vendor has target-relevant Top10 evidence and material M4B information gain.	1	1	1	0	1	1	R06	F4	1	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	One-off vendor has target-relevant Top10 evidence and material M4B information gain. SEARCH COMPETITOR != BUSINESS RIVAL.	R06-02
REG013	Insales	insales.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	2	0	0	2	1	2	R07 | R11	F5,F8 | F8	1	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	R07-13 | R11-15
REG014	Itgalaxy	itgalaxy.company	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	2	0	0	2	2	1	S02 | S03	F1	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	S02-18 | S03-19
REG015	Jafo	jafo.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	7	4	5	3	7	4	R01 | R02 | R03 | R06 | S01 | S02 | S03	F1 | F1,F9 | F2 | F4	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	S01-18 | S02-01 | S02-06 | S03-05 | S03-17 | R01-02 | R02-01 | R02-10 | R03-01 | R03-08 | R06-20
REG016	Jvo	jvo.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	2	0	2	0	1	2	R08 | S01	F1,F9 | F6	1	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	S01-10 | R08-10
REG017	Klerk	klerk.ru	EDITORIAL_OR_PUBLISHER	Recurring editorial/search surface informs competitor and landing-page context.	5	0	2	3	1	4	R02 | R03 | R05 | R08 | S02	F1 | F2 | F3 | F6	2	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	MEDIUM	Recurring editorial/search surface informs competitor and landing-page context. SEARCH COMPETITOR != BUSINESS RIVAL.	S02-20 | R02-09 | R03-04 | R05-12 | R08-11
REG018	Kt Team	kt-team.ru	RELEVANT_ONE_OFF_PRODUCT_VENDOR	One-off vendor has target-relevant Top10 evidence and material M4B information gain.	1	0	1	0	1	1	S01	F1,F9	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	MEDIUM	One-off vendor has target-relevant Top10 evidence and material M4B information gain. SEARCH COMPETITOR != BUSINESS RIVAL.	S01-07
REG019	Legasoft	legasoft.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	2	0	1	1	1	2	R03 | R10	F2 | F7	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	R03-07 | R10-20
REG020	Limescope	limescope.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	2	0	1	1	2	1	R04R1 | R08	F3,F9 | F6	2	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	R04R1-07 | R08-14
REG021	Marketaut	marketaut.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	3	0	1	2	3	1	S01 | S02 | S03	F1 | F1,F9	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	S01-15 | S02-14 | S03-08
REG022	Marpla	marpla.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	3	0	2	2	2	4	R07 | R08 | R09	F5,F8 | F6 | F7	1	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	R07-10 | R07-19 | R08-15 | R09-10
REG023	Mayak	mayak.bz	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	3	2	2	1	2	1	R04R1 | R06 | R08	F3,F9 | F4 | F6	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	R04R1-01 | R06-15 | R08-01
REG024	Moysklad	moysklad.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	4	0	2	2	4	4	R07 | R08 | R10 | R11	F5,F8 | F6 | F7 | F8	1	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	R07-05 | R08-17 | R10-04 | R11-13
REG025	Mpboost	mpboost.pro	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	3	1	2	1	2	1	R04R1 | R06 | R08	F3,F9 | F4 | F6	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	R04R1-05 | R06-13 | R08-03
REG026	Mpfact	mpfact.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	2	0	1	1	2	1	R04R1 | R08	F3,F9 | F6	1	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	R04R1-08 | R08-18
REG027	Mpmgr	mpmgr.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	4	2	2	2	4	5	R06 | R09 | R10 | S01	F1,F9 | F4 | F7	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	S01-14 | R06-11 | R09-03 | R09-06 | R10-02
REG028	Mpstats	mpstats.io	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	7	0	6	3	6	11	R01 | R04R1 | R08 | R09 | R10 | R11 | S01	F1,F9 | F2 | F3,F9 | F6 | F7 | F8	3	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	S01-06 | R01-06 | R01-11 | R04R1-09 | R04R1-19 | R04R1-20 | R08-05 | R08-06 | R08-07 | R08-08 | R09-05 | R10-11 | R10-18 | R11-09
REG029	Openclaw	openclaw.ru	RELEVANT_ONE_OFF_PRODUCT_VENDOR	One-off vendor has target-relevant Top10 evidence and material M4B information gain.	1	1	1	0	1	2	S01	F1,F9	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	One-off vendor has target-relevant Top10 evidence and material M4B information gain. SEARCH COMPETITOR != BUSINESS RIVAL.	S01-02 | S01-09
REG030	Ozon	ozon.ru	NATIVE_MARKETPLACE_BASELINE	Native marketplace surface observed in accepted rankings; kept separate from third-party competitors.	5	0	2	4	1	3	R01 | R02 | R04R1 | R08 | S02	F1 | F2 | F3,F9 | F6	2	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Native marketplace surface observed in accepted rankings; kept separate from third-party competitors. SEARCH COMPETITOR != BUSINESS RIVAL.	S02-16 | R01-07 | R02-05 | R02-11 | R04R1-11 | R08-13
REG031	Promopult	promopult.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	2	0	2	0	1	2	R07 | R11	F5,F8 | F8	1	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	R07-09 | R11-07
REG032	Reg	reg.ru	EDITORIAL_OR_PUBLISHER	Recurring editorial/search surface informs competitor and landing-page context.	2	0	0	2	1	2	R07 | R12	F5,F8 | F9	1	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	MEDIUM	Recurring editorial/search surface informs competitor and landing-page context. SEARCH COMPETITOR != BUSINESS RIVAL.	R07-12 | R12-18
REG033	Rutube	rutube.ru	EDITORIAL_OR_PUBLISHER	Recurring editorial/search surface informs competitor and landing-page context.	2	0	0	2	1	2	R03 | R07	F2 | F5,F8	1	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	MEDIUM	Recurring editorial/search surface informs competitor and landing-page context. SEARCH COMPETITOR != BUSINESS RIVAL.	R03-19 | R07-20
REG034	Saintpack	saintpack.ru	SERVICE_OR_AGENCY	Service/agency surface materially ranks in Top10 for a target query.	1	0	1	0	1	1	R06	F4	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	MEDIUM	Service/agency surface materially ranks in Top10 for a target query. SEARCH COMPETITOR != BUSINESS RIVAL.	R06-04
REG035	Sam X	sam-x.ru	RELEVANT_ONE_OFF_PRODUCT_VENDOR	One-off vendor has target-relevant Top10 evidence and material M4B information gain.	1	0	1	0	1	1	S03	F1	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	MEDIUM	One-off vendor has target-relevant Top10 evidence and material M4B information gain. SEARCH COMPETITOR != BUSINESS RIVAL.	S03-10
REG036	Sellego	sellego.com	EDITORIAL_OR_PUBLISHER	Recurring editorial/search surface informs competitor and landing-page context.	2	0	1	2	2	3	R09 | R10	F7	1	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	MEDIUM	Recurring editorial/search surface informs competitor and landing-page context. SEARCH COMPETITOR != BUSINESS RIVAL.	R09-11 | R10-05 | R10-15
REG037	Sellerden	sellerden.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	2	1	1	1	2	2	R04R1 | R05	F3 | F3,F9	1	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	R04R1-02 | R05-17
REG038	Sellermoon	sellermoon.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	5	1	2	5	4	9	R03 | R07 | R09 | R10 | R11	F2 | F5,F8 | F7 | F8	1	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	R03-17 | R07-14 | R09-01 | R09-09 | R09-17 | R09-19 | R10-09 | R10-14 | R11-16
REG039	Sellerstats	sellerstats.ru	RELEVANT_ONE_OFF_PRODUCT_VENDOR	One-off vendor has target-relevant Top10 evidence and material M4B information gain.	1	0	1	0	1	1	R04R1	F3,F9	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	MEDIUM	One-off vendor has target-relevant Top10 evidence and material M4B information gain. SEARCH COMPETITOR != BUSINESS RIVAL.	R04R1-04
REG040	Sellmonitor	sellmonitor.com	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	3	0	1	2	2	2	R04R1 | R08 | R09	F3,F9 | F6 | F7	2	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	R04R1-06 | R08-12 | R09-16
REG041	Sellper	sellper.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	3	0	2	1	3	1	R04R1 | R05 | R06	F3 | F3,F9 | F4	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	R04R1-10 | R05-14 | R06-06
REG042	Selsup	selsup.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	5	0	3	2	3	5	R05 | R07 | R11 | R12 | S01	F1,F9 | F3 | F5,F8 | F8 | F9	2	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	S01-13 | S01-17 | R05-09 | R07-08 | R11-04 | R12-15
REG043	Skillbox	skillbox.ru	EDITORIAL_OR_PUBLISHER	Recurring editorial/search surface informs competitor and landing-page context.	4	3	3	2	4	7	R07 | R10 | R11 | R12	F5,F8 | F7 | F8 | F9	2	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Recurring editorial/search surface informs competitor and landing-page context. SEARCH COMPETITOR != BUSINESS RIVAL.	R07-02 | R07-06 | R10-03 | R11-02 | R11-18 | R12-16 | R12-17
REG044	Softrest	softrest.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	2	0	0	2	2	1	S02 | S03	F1	1	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	S02-19 | S03-18
REG045	Superintellect	superintellect.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	3	0	2	3	3	5	S01 | S02 | S03	F1 | F1,F9	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	S01-19 | S02-08 | S02-11 | S03-06 | S03-11
REG046	Tablichki	tablichki.tech	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	5	1	3	2	3	4	R02 | R03 | R05 | R08 | S03	F1 | F2 | F3 | F6	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	S03-12 | R02-06 | R03-06 | R05-11 | R08-02
REG047	Tbank	tbank.ru	EDITORIAL_OR_PUBLISHER	Recurring editorial/search surface informs competitor and landing-page context.	6	3	5	1	4	7	R04R1 | R05 | R07 | R11 | R12 | S01	F1,F9 | F3 | F3,F9 | F5,F8 | F8 | F9	2	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Recurring editorial/search surface informs competitor and landing-page context. SEARCH COMPETITOR != BUSINESS RIVAL.	S01-04 | R04R1-03 | R05-01 | R05-05 | R07-04 | R11-03 | R12-12
REG048	Tochka	tochka.com	EDITORIAL_OR_PUBLISHER	Recurring editorial/search surface informs competitor and landing-page context.	5	1	5	3	4	10	R01 | R05 | R07 | R09 | R11	F2 | F3 | F5,F8 | F7 | F8	1	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	MEDIUM	Recurring editorial/search surface informs competitor and landing-page context. SEARCH COMPETITOR != BUSINESS RIVAL.	R01-03 | R05-10 | R05-13 | R07-07 | R07-11 | R09-07 | R09-14 | R09-18 | R11-06 | R11-08
REG049	Torgstat	torgstat.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	2	0	0	2	1	1	R04R1 | R08	F3,F9 | F6	1	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	R04R1-17 | R08-20
REG050	Tulpari	tulpari.ru	RELEVANT_ONE_OFF_PRODUCT_VENDOR	One-off vendor has target-relevant Top10 evidence and material M4B information gain.	1	0	1	0	1	1	S03	F1	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	MEDIUM	One-off vendor has target-relevant Top10 evidence and material M4B information gain. SEARCH COMPETITOR != BUSINESS RIVAL.	S03-07
REG051	Uniseller	uniseller.io	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	2	0	1	1	1	2	R05 | S01	F1,F9 | F3	1	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	S01-12 | R05-08
REG052	VC.ru	vc.ru	EDITORIAL_OR_PUBLISHER	Recurring editorial/search surface informs competitor and landing-page context.	8	3	5	6	5	17	R01 | R02 | R03 | R09 | R10 | R12 | S02 | S03	F1 | F2 | F7 | F9	7	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Recurring editorial/search surface informs competitor and landing-page context. SEARCH COMPETITOR != BUSINESS RIVAL.	S02-02 | S03-03 | R01-08 | R01-12 | R01-18 | R02-12 | R02-15 | R02-19 | R03-12 | R03-18 | R09-08 | R09-15 | R10-12 | R12-01 | R12-05 | R12-07 | R12-08 | R12-09 | R12-20
REG053	Wbcon	wbcon.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	3	0	1	3	1	3	R02 | R03 | R10	F2 | F7	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	R02-13 | R02-17 | R03-10 | R03-16 | R10-16
REG054	Wbstat	wbstat.pro	EDITORIAL_OR_PUBLISHER	Recurring editorial/search surface informs competitor and landing-page context.	3	0	2	1	3	4	R07 | R10 | R11	F5,F8 | F7 | F8	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	MEDIUM	Recurring editorial/search surface informs competitor and landing-page context. SEARCH COMPETITOR != BUSINESS RIVAL.	R07-17 | R10-06 | R10-07 | R11-05
REG055	Wildberries	wildberries.ru	NATIVE_MARKETPLACE_BASELINE	Native marketplace surface observed in accepted rankings; kept separate from third-party competitors.	4	4	4	1	4	6	R07 | R09 | R10 | R11	F5,F8 | F7 | F8	1	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Native marketplace surface observed in accepted rankings; kept separate from third-party competitors. SEARCH COMPETITOR != BUSINESS RIVAL.	R07-01 | R09-02 | R09-04 | R10-01 | R11-01 | R11-12
REG056	Wildcrm	wildcrm.ru	RECURRING_PRODUCT_VENDOR	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence.	2	0	1	1	2	2	R09 | R10	F7	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Third-party product/vendor recurs across at least two accepted queries with target-relevant evidence. SEARCH COMPETITOR != BUSINESS RIVAL.	R09-13 | R10-08
REG057	Yandex	yandex.ru	AGGREGATOR_DIRECTORY	Recurring aggregator/directory materially shapes accepted SERPs.	3	1	3	0	3	3	R07 | R08 | R12	F5,F8 | F6 | F9	0	Coverage fields are distinct-query counts at the named depth; target coverage counts distinct queries with at least one TARGET_RELEVANT occurrence.	HIGH	Recurring aggregator/directory materially shapes accepted SERPs. SEARCH COMPETITOR != BUSINESS RIVAL.	R07-03 | R08-09 | R12-04
