occurrence_id	authority_query_id	query_text	query_family	rank	rank_bucket	raw_url	normalized_url	host	registrable_domain	title	snippet_or_description	target_relevance	page_type	content_format	market_surface	entity_collision	classification_basis	classification_confidence	source_export_path	source_analysis_path	source_revision_or_hash	authority_status	notes
S01-11	S01	ии агенты для маркетплейсов	F1,F9	11	RANK_11_20	https://osmi-it.ru/chat-boty-dlya-biznesa/marketplace/	https://osmi-it.ru/chat-boty-dlya-biznesa/marketplace	osmi-it.ru	osmi-it.ru	ИИ агент для маркетплейса под ключ, разработка чат-ботов для...	ИИ-агенты для маркетплейсов помогают автоматизировать часть этих процессов. Они могут участвовать в создании карточек товаров, анализировать отклики, отслеживать изменения цен конкурентов и автоматически корректировать стоимость товаров с учётом рыночной ситуации помогать с обработкой клиентских обращений и собирать данные для аналитики.	TARGET_RELEVANT	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	PRODUCT_OR_SERVICE_LANDING	THIRD_PARTY_PRODUCT_VENDOR	PRESENT	Observed title/snippet and URL classified against S01/F1,F9; no page browsing.	HIGH	docs/seo/serp/exports/S01_ИИ_АГЕНТЫ_ДЛЯ_МАРКЕТПЛЕЙСОВ_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S01_06_COLLECT_SUCCEEDED_2026-09-16.md	revision=5;sha256=6a669f140e0b1b0f4e697195d3eed74b44cab8139151970a7c1d3471c04566c6	ACCEPTED_R3	CREATIVE_CARD_GENERATION
S01-12	S01	ии агенты для маркетплейсов	F1,F9	12	RANK_11_20	https://uniseller.io/blog/5-ii-agentov-dlya-sellerov-avtomatizatsiya-rutiny/	https://uniseller.io/blog/5-ii-agentov-dlya-sellerov-avtomatizatsiya-rutiny	uniseller.io	uniseller.io	5 ИИ-агентов для селлеров: автоматизация рутины на...	Собрали пять инструментов, которые закрывают самые частые боли продавцов на маркетплейсах. #Как выбрать ИИ-агента под свои задачи. Начните с одного повторяющегося процесса, на который уходит 2–3 часа в день. Это может быть обработка сообщений от покупателей, создание контента для соцсетей или выгрузка данных из личного кабинета маркетплейса в таблицы.	TARGET_RELEVANT	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	PRODUCT_OR_SERVICE_LANDING	THIRD_PARTY_PRODUCT_VENDOR	NONE	Observed title/snippet and URL classified against S01/F1,F9; no page browsing.	HIGH	docs/seo/serp/exports/S01_ИИ_АГЕНТЫ_ДЛЯ_МАРКЕТПЛЕЙСОВ_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S01_06_COLLECT_SUCCEEDED_2026-09-16.md	revision=5;sha256=6a669f140e0b1b0f4e697195d3eed74b44cab8139151970a7c1d3471c04566c6	ACCEPTED_R3	
S01-13	S01	ии агенты для маркетплейсов	F1,F9	13	RANK_11_20	https://selsup.ru/blog/ii-ofis-dlya-sellerov-i-marketplejsov/	https://selsup.ru/blog/ii-ofis-dlya-sellerov-i-marketplejsov	selsup.ru	selsup.ru	ИИ для селлеров: ИИ-офис и агенты маркетплейсов	ИИ-офис для селлеров: как агенты управляют процессами маркетплейсов. … Именно здесь начинается ИИ‑офис — рабочий контур, который не только отвечает, но и проводит задачу через данные, правила, действия и контроль. В этой статье не будет очередного рейтинга генераторов текста. Если вам нужны отдельные сервисы для описаний, изображений и видео, начните с обзора нейросетей для маркетплейсов и селлеров.	TARGET_RELEVANT	CREATIVE_OR_CARD_TOOL_PAGE	PRODUCT_OR_SERVICE_LANDING	THIRD_PARTY_PRODUCT_VENDOR	PRESENT	Observed title/snippet and URL classified against S01/F1,F9; no page browsing.	HIGH	docs/seo/serp/exports/S01_ИИ_АГЕНТЫ_ДЛЯ_МАРКЕТПЛЕЙСОВ_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S01_06_COLLECT_SUCCEEDED_2026-09-16.md	revision=5;sha256=6a669f140e0b1b0f4e697195d3eed74b44cab8139151970a7c1d3471c04566c6	ACCEPTED_R3	CREATIVE_CARD_GENERATION
S01-14	S01	ии агенты для маркетплейсов	F1,F9	14	RANK_11_20	https://mpmgr.ru/blog/trends/mcp-ii-agenty-dlya-sellerov	https://mpmgr.ru/blog/trends/mcp-ii-agenty-dlya-sellerov	mpmgr.ru	mpmgr.ru	MCP: как подключить ИИ-агента к продажам на маркетплейсах...	ИИ-агенты прочно вошли в повседневную работу продавцов на маркетплейсах. Но большинство селлеров используют нейросети поверхностно: сгенерировать описание, перевести текст, придумать заголовок. Meanwhile, реальный потенциал ИИ гораздо шире. С помощью MCP-протокола можно подключить AI-ассистента напрямую к данным вашего магазина и управлять продажами через естественный язык.	TARGET_RELEVANT	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	PRODUCT_OR_SERVICE_LANDING	THIRD_PARTY_PRODUCT_VENDOR	NONE	Observed title/snippet and URL classified against S01/F1,F9; no page browsing.	HIGH	docs/seo/serp/exports/S01_ИИ_АГЕНТЫ_ДЛЯ_МАРКЕТПЛЕЙСОВ_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S01_06_COLLECT_SUCCEEDED_2026-09-16.md	revision=5;sha256=6a669f140e0b1b0f4e697195d3eed74b44cab8139151970a7c1d3471c04566c6	ACCEPTED_R3	
S01-15	S01	ии агенты для маркетплейсов	F1,F9	15	RANK_11_20	https://marketaut.ru/	https://marketaut.ru/	marketaut.ru	marketaut.ru	MarketAut - ИИ-агенты для Wildberries, Ozon	ИИ-агенты для Wildberries, Ozon. MarketAut — это подключение вашего магазина к любой нейросети за 10 минут. Используйте ChatGPT, Claude, Gemini или любую другую подписку. … Подключение ко всем доступным маркетплейсам. Интеграция с мессенджерами.	TARGET_RELEVANT	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	PRODUCT_OR_SERVICE_LANDING	THIRD_PARTY_PRODUCT_VENDOR	NONE	Observed title/snippet and URL classified against S01/F1,F9; no page browsing.	HIGH	docs/seo/serp/exports/S01_ИИ_АГЕНТЫ_ДЛЯ_МАРКЕТПЛЕЙСОВ_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S01_06_COLLECT_SUCCEEDED_2026-09-16.md	revision=5;sha256=6a669f140e0b1b0f4e697195d3eed74b44cab8139151970a7c1d3471c04566c6	ACCEPTED_R3	
S01-16	S01	ии агенты для маркетплейсов	F1,F9	16	RANK_11_20	https://helpdesk.bitrix24.ru/open/27694310/	https://helpdesk.bitrix24.ru/open/27694310	helpdesk.bitrix24.ru	bitrix24.ru	ИИ Агенты – приложения	С приложениями в подписке Битрикс24 Маркетплейс у вас появится возможность создавать персонализированных ИИ-агентов для решения бизнес-задач. Каждый агент может быть настроен под конкретную область знаний, обучен на ваших документах и использован для консультаций, поддержки или автоматизации рутинных процессов.	TARGET_RELEVANT	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	PRODUCT_OR_SERVICE_LANDING	THIRD_PARTY_PRODUCT_VENDOR	PRESENT	Observed title/snippet and URL classified against S01/F1,F9; no page browsing.	HIGH	docs/seo/serp/exports/S01_ИИ_АГЕНТЫ_ДЛЯ_МАРКЕТПЛЕЙСОВ_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S01_06_COLLECT_SUCCEEDED_2026-09-16.md	revision=5;sha256=6a669f140e0b1b0f4e697195d3eed74b44cab8139151970a7c1d3471c04566c6	ACCEPTED_R3	HUMAN_ROLE_OR_TRAINING
S01-17	S01	ии агенты для маркетплейсов	F1,F9	17	RANK_11_20	https://selsup.ru/blog/top-9-nejrosetej-dlya-marketplejsov-i-sellerov-polnyj-obzor/	https://selsup.ru/blog/top-9-nejrosetej-dlya-marketplejsov-i-sellerov-polnyj-obzor	selsup.ru	selsup.ru	Нейросети для маркетплейсов в 2026: 10 сервисов	10 нейросетей для маркетплейсов и селлеров в 2026 году: контент и ИИ-агенты. … 10 нейросетей для контента и аналитики маркетплейсов: возможности, ограничения и переход от генерации к ИИ-агентам под контролем человека.	TARGET_RELEVANT	ANALYTICS_OR_REPORTING_PRODUCT_PAGE	PRODUCT_OR_SERVICE_LANDING	THIRD_PARTY_PRODUCT_VENDOR	NONE	Observed title/snippet and URL classified against S01/F1,F9; no page browsing.	HIGH	docs/seo/serp/exports/S01_ИИ_АГЕНТЫ_ДЛЯ_МАРКЕТПЛЕЙСОВ_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S01_06_COLLECT_SUCCEEDED_2026-09-16.md	revision=5;sha256=6a669f140e0b1b0f4e697195d3eed74b44cab8139151970a7c1d3471c04566c6	ACCEPTED_R3	
S01-18	S01	ии агенты для маркетплейсов	F1,F9	18	RANK_11_20	https://jafo.ru/	https://jafo.ru/	jafo.ru	jafo.ru	JAFO — ИИ-ассистент для Wildberries и Ozon	ИИ-ассистент для Wildberries и Ozon. Один ИИ-агент управляет каталогом, ценами, рекламой и аналитикой на двух маркетплейсах сразу. Думает, планирует и действует за вас — через обычный диалог. Попробовать бесплатно → Тарифы.	TARGET_RELEVANT	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	PRODUCT_OR_SERVICE_LANDING	THIRD_PARTY_PRODUCT_VENDOR	NONE	Observed title/snippet and URL classified against S01/F1,F9; no page browsing.	HIGH	docs/seo/serp/exports/S01_ИИ_АГЕНТЫ_ДЛЯ_МАРКЕТПЛЕЙСОВ_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S01_06_COLLECT_SUCCEEDED_2026-09-16.md	revision=5;sha256=6a669f140e0b1b0f4e697195d3eed74b44cab8139151970a7c1d3471c04566c6	ACCEPTED_R3	
S01-19	S01	ии агенты для маркетплейсов	F1,F9	19	RANK_11_20	https://superintellect.ru/guides/ii-agent-dlya-prodavca-marketplejsov	https://superintellect.ru/guides/ii-agent-dlya-prodavca-marketplejsov	superintellect.ru	superintellect.ru	ИИ-агент для продавца маркетплейсов: гайд — СуперИнтеллект	Полный гайд по ИИ-агенту для продавца на Ozon и Wildberries: какие задачи он закрывает (контент карточек, цены, аналитика, остатки, ответы покупателям), как подключить кабинеты и склад и с чего начать — со сценариями и примерами. … Подключите кабинет маркетплейса к ИИ-агенту и начните с утренней сводки. Тариф Free: 0 ₽ и 100 нейронов.	TARGET_RELEVANT	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	PRODUCT_OR_SERVICE_LANDING	THIRD_PARTY_PRODUCT_VENDOR	NONE	Observed title/snippet and URL classified against S01/F1,F9; no page browsing.	HIGH	docs/seo/serp/exports/S01_ИИ_АГЕНТЫ_ДЛЯ_МАРКЕТПЛЕЙСОВ_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S01_06_COLLECT_SUCCEEDED_2026-09-16.md	revision=5;sha256=6a669f140e0b1b0f4e697195d3eed74b44cab8139151970a7c1d3471c04566c6	ACCEPTED_R3	
S01-20	S01	ии агенты для маркетплейсов	F1,F9	20	RANK_11_20	https://clawwow.net/sellers	https://clawwow.net/sellers	clawwow.net	clawwow.net	ИИ-агент для селлеров маркетплейсов | ClawWow	На базе OpenClaw — мировой стандарт ИИ-агентов. ИИ-агент, который продаёт за вас на маркетплейсах. Автоматизируйте рутину на Wildberries, Ozon и Авито. Анализ конкурентов, оптимизация карточек, управление отзывами --- всё в одном агенте.	TARGET_RELEVANT	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	PRODUCT_OR_SERVICE_LANDING	THIRD_PARTY_PRODUCT_VENDOR	NONE	Observed title/snippet and URL classified against S01/F1,F9; no page browsing.	HIGH	docs/seo/serp/exports/S01_ИИ_АГЕНТЫ_ДЛЯ_МАРКЕТПЛЕЙСОВ_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S01_06_COLLECT_SUCCEEDED_2026-09-16.md	revision=5;sha256=6a669f140e0b1b0f4e697195d3eed74b44cab8139151970a7c1d3471c04566c6	ACCEPTED_R3	
S02-01	S02	ии агент для озон	F1	1	TOP3	https://jafo.ru/	https://jafo.ru/	jafo.ru	jafo.ru	JAFO — ИИ-ассистент для Wildberries и Ozon		NON_TARGET	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	PRODUCT_OR_SERVICE_LANDING	THIRD_PARTY_PRODUCT_VENDOR	NONE	Observed title/snippet and URL classified against S02/F1; no page browsing.	HIGH	docs/seo/serp/exports/S02_ИИ_АГЕНТ_ДЛЯ_ОЗОН_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S02_EXPORT_AND_INTENT_2026-09-16.md	revision=5;sha256=b67eaba22dc8b3a949ecddbcf87646ede7141ff5d2cf660d875084c88a3b3bf2	ACCEPTED_R3	
S02-02	S02	ии агент для озон	F1	2	TOP3	https://vc.ru/ai/3124090-podklyuchenie-ii-agenta-k-wildberries-i-ozon	https://vc.ru/ai/3124090-podklyuchenie-ii-agenta-k-wildberries-i-ozon	vc.ru	vc.ru	ИИ-агент для Wildberries и Ozon: как подключить ИИ... — AI на vc.ru	ИИ-агент для Wildberries и Ozon, подключение к кабинету продавца, автоматизация отчетности, работа с API, управление остатками и ценами. … Как подключить ИИ к кабинету Wildberries и Ozon. Шаг 1. Получить ключ API Wildberries. seller.wildberries.ru → Настройки → Доступ к API. Создайте токен, отметьте нужные категории. Для старта хватит категорий на чтение.	TARGET_RELEVANT	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	PRODUCT_OR_SERVICE_LANDING	EDITORIAL_OR_PUBLISHER	NONE	Observed title/snippet and URL classified against S02/F1; no page browsing.	HIGH	docs/seo/serp/exports/S02_ИИ_АГЕНТ_ДЛЯ_ОЗОН_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S02_EXPORT_AND_INTENT_2026-09-16.md	revision=5;sha256=b67eaba22dc8b3a949ecddbcf87646ede7141ff5d2cf660d875084c88a3b3bf2	ACCEPTED_R3	
S02-03	S02	ии агент для озон	F1	3	TOP3	https://berkuz.ru/	https://berkuz.ru/	berkuz.ru	berkuz.ru	AI‑агенты для управления магазином на Wildberries и Ozon	AI-агенты БЕРКУЗ управляют магазином на Wildberries и Ozon: SEO, реклама, остатки, финансы и отзывы. … Подключим «AI-Агента» под ключ — он возьмёт на себя аналитику и рутину. Интеграция с текущим сайтом. 8 AI-агентов для маркетплейсов. Отчёты и подсказки 24/7. Цена по запросу.	TARGET_RELEVANT	ADVERTISING_TOOL_OR_SERVICE_PAGE	PRODUCT_OR_SERVICE_LANDING	THIRD_PARTY_PRODUCT_VENDOR	NONE	Observed title/snippet and URL classified against S02/F1; no page browsing.	HIGH	docs/seo/serp/exports/S02_ИИ_АГЕНТ_ДЛЯ_ОЗОН_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S02_EXPORT_AND_INTENT_2026-09-16.md	revision=5;sha256=b67eaba22dc8b3a949ecddbcf87646ede7141ff5d2cf660d875084c88a3b3bf2	ACCEPTED_R3	
S02-04	S02	ии агент для озон	F1	4	TOP10_REST	https://samreshuuu.ru/resources/kak-podklyuchit-ii-k-ozon	https://samreshuuu.ru/resources/kak-podklyuchit-ii-k-ozon	samreshuuu.ru	samreshuuu.ru	Как подключить ИИ к Ozon: что агент делает в кабинете селлера	Разбор: чем ИИ-агент для Ozon отличается от репрайсера и дашборда, как подключить по Seller API за пару шагов, сравнение и чек-лист. … «Подключить ИИ к Ozon» можно четырьмя разными способами, и они дают разный результат. Коннектор-обвязка (Albato, Make, ApiX-Drive) переносит данные между сервисами по правилу «если — то»; интеллекта в нём нет.	TARGET_RELEVANT	INTEGRATION_OR_CONNECTION_GUIDE	ARTICLE_OR_GUIDE	OTHER	NONE	Observed title/snippet and URL classified against S02/F1; no page browsing.	HIGH	docs/seo/serp/exports/S02_ИИ_АГЕНТ_ДЛЯ_ОЗОН_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S02_EXPORT_AND_INTENT_2026-09-16.md	revision=5;sha256=b67eaba22dc8b3a949ecddbcf87646ede7141ff5d2cf660d875084c88a3b3bf2	ACCEPTED_R3	
S02-05	S02	ии агент для озон	F1	5	TOP10_REST	https://ainsider.ru/blog/ii-v-prodazhah/ii-agent-dlya-ozon-kak-avtomatizirovat-prodazhi-na-marketpleyse	https://ainsider.ru/blog/ii-v-prodazhah/ii-agent-dlya-ozon-kak-avtomatizirovat-prodazhi-na-marketpleyse	ainsider.ru	ainsider.ru	ИИ-агент для автоматизации продаж на Ozon: подключение...	Содержание … Интеграция Ozon API с ИИ-агентом: как подключить … Какие задачи отдать AI-ассистенту для управления магазином на Озон	TARGET_RELEVANT	AI_AGENT_OR_ASSISTANT_PRODUCT_PAGE	PRODUCT_OR_SERVICE_LANDING	THIRD_PARTY_PRODUCT_VENDOR	NONE	Observed title/snippet and URL classified against S02/F1; no page browsing.	HIGH	docs/seo/serp/exports/S02_ИИ_АГЕНТ_ДЛЯ_ОЗОН_NORMALIZED_2026-09-16.json	docs/seo/serp/analysis/S02_EXPORT_AND_INTENT_2026-09-16.md	revision=5;sha256=b67eaba22dc8b3a949ecddbcf87646ede7141ff5d2cf660d875084c88a3b3bf2	ACCEPTED_R3	
