m5_hypothesis_id	hypothesis_comparison_key	marketplace_scope	task_or_intent_scope	direct_current_query_ids	direct_m10a_cluster_ids	direct_link_count	non_direct_candidate_cluster_ids	final_disposition	selected_case_ids	disposition_basis	expected_information_gain_summary	evidence_refs	claim_boundary
M5H00011	как быстро получить рекламный отчёт ozon используя chatgpt или claude code с помощью actions, бд и mcp	OZON	seller-owned report reading and delivery versus statutory reconciliation or accounting	M4QR2Q00012 | M4QR2Q00025 | M4QR2Q00032 | M4QR2Q00033 | M4QR2Q00035 | M4QR2Q00036	M9CL_0ac1770f2755faaf | M9CL_4a7d76c662c7f172 | M9CL_5807efab0bbb4b64 | M9CL_5aa7113efc724f06 | M9CL_88cb2602f75e6f48 | M9CL_c71fcf5e270aecd7	6	NONE_NOT_AUTHORIZED	HOLD_AMBIGUOUS_M10A_LINK	NONE	Mechanical query citation exists, but accepted M5 source-specific LLM/marketplace/task or unsupported mutation/accounting nuance differs materially from the generic direct query; selected generic prompt would not test that nuance without a rewritten query. No coverage by a non-equivalent case.	UNPROVEN under the exact current-query prompt; HOLD until a materially matching diagnostic can be justified.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00011 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00012 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_c71fcf5e270aecd7 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00025 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_5807efab0bbb4b64 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00032 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_0ac1770f2755faaf | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00033 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_88cb2602f75e6f48 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00035 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_5aa7113efc724f06 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00036 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_4a7d76c662c7f172	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00012	как правильно подключать chatgpt к ozon и wb. с помощью actions, бд и api	OZON	chosen LLM to authorized seller data versus generic third-party integrations	M4QR2Q00001 | M4QR2Q00002 | M4QR2Q00013 | M4QR2Q00037	M9CL_3f05678ef9d62960 | M9CL_710c43ac2fdf4cc7 | M9CL_bae58ac9423f9f3c | M9CL_ddc2616f80ca85b6	4	NONE_NOT_AUTHORIZED	SELECT_FINAL_AI_DIAGNOSTIC	M10BCASE_9ef8cb07387160b6	Exact query M4QR2Q00013 names frozen cluster M9CL_710c43ac2fdf4cc7 and 2 causally compatible material HOLD pair IDs found in a full 1399-pair scan; OWN_LLM_CONNECT has distinct causal page-role/owner uncertainty. Other M5 query mentions are contextual, not automatically selected.	Capture connector/API/help source mix and explanation of seller-owned read-only data access for the exact Search wording; test adjacent frozen connector boundaries without claiming LLM coverage.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00012 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_bae58ac9423f9f3c | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00002 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_ddc2616f80ca85b6 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00013 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_710c43ac2fdf4cc7 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00037 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_3f05678ef9d62960	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00013	mcp-серверы для работы с аналитикой маркетплейсов через chatgpt, deepseek, claude code	OZON_AND_WILDBERRIES	chosen LLM to authorized seller data versus generic third-party integrations	M4QR2Q00001 | M4QR2Q00002 | M4QR2Q00013 | M4QR2Q00037	M9CL_3f05678ef9d62960 | M9CL_710c43ac2fdf4cc7 | M9CL_bae58ac9423f9f3c | M9CL_ddc2616f80ca85b6	4	NONE_NOT_AUTHORIZED	HOLD_AMBIGUOUS_M10A_LINK	NONE	Mechanical query citation exists, but accepted M5 source-specific LLM/marketplace/task or unsupported mutation/accounting nuance differs materially from the generic direct query; selected generic prompt would not test that nuance without a rewritten query. No coverage by a non-equivalent case.	UNPROVEN under the exact current-query prompt; HOLD until a materially matching diagnostic can be justified.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00013 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_bae58ac9423f9f3c | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00002 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_ddc2616f80ca85b6 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00013 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_710c43ac2fdf4cc7 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00037 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_3f05678ef9d62960	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00014	how the asi biont ai agent automates wildberries: 5-minute api integration	WILDBERRIES	chosen LLM to authorized seller data versus generic third-party integrations	M4QR2Q00001 | M4QR2Q00002 | M4QR2Q00013 | M4QR2Q00037	M9CL_3f05678ef9d62960 | M9CL_710c43ac2fdf4cc7 | M9CL_bae58ac9423f9f3c | M9CL_ddc2616f80ca85b6	4	NONE_NOT_AUTHORIZED	HOLD_AMBIGUOUS_M10A_LINK	NONE	Mechanical query citation exists, but accepted M5 source-specific LLM/marketplace/task or unsupported mutation/accounting nuance differs materially from the generic direct query; selected generic prompt would not test that nuance without a rewritten query. No coverage by a non-equivalent case.	UNPROVEN under the exact current-query prompt; HOLD until a materially matching diagnostic can be justified.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00014 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_bae58ac9423f9f3c | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00002 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_ddc2616f80ca85b6 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00013 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_710c43ac2fdf4cc7 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00037 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_3f05678ef9d62960	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00015	how the asi biont ai agent automates work with wildberries via api: monitoring, analytics, and reports without code	WILDBERRIES	seller-owned report reading and delivery versus statutory reconciliation or accounting	M4QR2Q00012 | M4QR2Q00025 | M4QR2Q00032 | M4QR2Q00033 | M4QR2Q00035 | M4QR2Q00036	M9CL_0ac1770f2755faaf | M9CL_4a7d76c662c7f172 | M9CL_5807efab0bbb4b64 | M9CL_5aa7113efc724f06 | M9CL_88cb2602f75e6f48 | M9CL_c71fcf5e270aecd7	6	NONE_NOT_AUTHORIZED	HOLD_AMBIGUOUS_M10A_LINK	NONE	Mechanical query citation exists, but accepted M5 source-specific LLM/marketplace/task or unsupported mutation/accounting nuance differs materially from the generic direct query; selected generic prompt would not test that nuance without a rewritten query. No coverage by a non-equivalent case.	UNPROVEN under the exact current-query prompt; HOLD until a materially matching diagnostic can be justified.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00015 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00012 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_c71fcf5e270aecd7 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00025 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_5807efab0bbb4b64 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00032 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_0ac1770f2755faaf | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00033 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_88cb2602f75e6f48 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00035 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_5aa7113efc724f06 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00036 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_4a7d76c662c7f172	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00016	ai-агент для маркетплейсов как помощник продавца — беркуз	OZON_AND_WILDBERRIES	seller-owned chat assistance versus a human manager, autonomous agent, or native marketplace bot	M4QR2Q00006 | M4QR2Q00007 | M4QR2Q00008 | M4QR2Q00026 | M4QR2Q00028	M9CL_02025a258eff8c3d | M9CL_086ce4445a21d4fd | M9CL_25bf819e5778d7d3 | M9CL_b875735bfe0783e3 | M9CL_f0e07ec6b2f588c0	5	NONE_NOT_AUTHORIZED	SELECT_FINAL_AI_DIAGNOSTIC	M10BCASE_503322b8af3825a8	Exact query M4QR2Q00008 names frozen cluster M9CL_25bf819e5778d7d3 and 7 causally compatible material HOLD pair IDs found in a full 1399-pair scan; ASSISTANT_ROLE has distinct causal page-role/owner uncertainty. Other M5 query mentions are contextual, not automatically selected.	Compare cited source roles and framing for an agent/helper task against the frozen Search-only owner/page-role HOLD; an AI answer may de-risk or enrich interpretation but cannot itself merge/split pages.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00016 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00006 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_b875735bfe0783e3 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00007 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_086ce4445a21d4fd | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00008 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_25bf819e5778d7d3 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00026 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_02025a258eff8c3d | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00028 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f0e07ec6b2f588c0	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00017	кому поручить управление магазином — ai или менеджеру	MARKETPLACE_UNSPECIFIED	seller-owned chat assistance versus a human manager, autonomous agent, or native marketplace bot	M4QR2Q00006 | M4QR2Q00007 | M4QR2Q00008 | M4QR2Q00026 | M4QR2Q00028	M9CL_02025a258eff8c3d | M9CL_086ce4445a21d4fd | M9CL_25bf819e5778d7d3 | M9CL_b875735bfe0783e3 | M9CL_f0e07ec6b2f588c0	5	NONE_NOT_AUTHORIZED	HOLD_AMBIGUOUS_M10A_LINK	NONE	The M5 wording compares store management by AI versus a human manager; the selected seller-helper query cannot safely cover management/autonomous-write uncertainty.	UNPROVEN under the exact current-query prompt; HOLD until a materially matching diagnostic can be justified.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00017 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00006 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_b875735bfe0783e3 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00007 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_086ce4445a21d4fd | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00008 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_25bf819e5778d7d3 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00026 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_02025a258eff8c3d | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00028 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f0e07ec6b2f588c0	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00018	аналитика wildberries — сервис для продавцов wb с ai | ilai	WILDBERRIES	seller-owned store analytics versus external market intelligence or promised automation	M4QR2Q00027 | M4QR2Q00042	M9CL_db048338baaeca8c | M9CL_ed2d7aae5a2e620a	2	NONE_NOT_AUTHORIZED	HOLD_AMBIGUOUS_M10A_LINK	NONE	Mechanical query citation exists, but accepted M5 source-specific LLM/marketplace/task or unsupported mutation/accounting nuance differs materially from the generic direct query; selected generic prompt would not test that nuance without a rewritten query. No coverage by a non-equivalent case.	UNPROVEN under the exact current-query prompt; HOLD until a materially matching diagnostic can be justified.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00018 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00027 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_db048338baaeca8c | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00042 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_ed2d7aae5a2e620a	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00019	аналитика wildberries с ai-помощником	WILDBERRIES	seller-owned store analytics versus external market intelligence or promised automation	M4QR2Q00027 | M4QR2Q00042	M9CL_db048338baaeca8c | M9CL_ed2d7aae5a2e620a	2	NONE_NOT_AUTHORIZED	HOLD_AMBIGUOUS_M10A_LINK	NONE	Mechanical query citation exists, but accepted M5 source-specific LLM/marketplace/task or unsupported mutation/accounting nuance differs materially from the generic direct query; selected generic prompt would not test that nuance without a rewritten query. No coverage by a non-equivalent case.	UNPROVEN under the exact current-query prompt; HOLD until a materially matching diagnostic can be justified.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00019 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00027 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_db048338baaeca8c | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00042 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_ed2d7aae5a2e620a	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00020	ai-помощник для wildberries, ozon и яндекс.маркета - mp manager	OZON_AND_WILDBERRIES	seller-owned chat assistance versus a human manager, autonomous agent, or native marketplace bot	M4QR2Q00006 | M4QR2Q00007 | M4QR2Q00008 | M4QR2Q00026 | M4QR2Q00028	M9CL_02025a258eff8c3d | M9CL_086ce4445a21d4fd | M9CL_25bf819e5778d7d3 | M9CL_b875735bfe0783e3 | M9CL_f0e07ec6b2f588c0	5	NONE_NOT_AUTHORIZED	HOLD_AMBIGUOUS_M10A_LINK	NONE	M5 source wording additionally names Yandex Market, which is outside frozen Ozon/WB product scope; a generic agent case cannot cover that marketplace/entity collision.	UNPROVEN under the exact current-query prompt; HOLD until a materially matching diagnostic can be justified.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00020 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00006 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_b875735bfe0783e3 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00007 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_086ce4445a21d4fd | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00008 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_25bf819e5778d7d3 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00026 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_02025a258eff8c3d | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00028 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_f0e07ec6b2f588c0	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00021	7 задач в работе с карточками, которые решает искусственный интеллект	MARKETPLACE_UNSPECIFIED	operational card review and preparation versus image generation or automatic publication	NONE	NONE	0	NONE_NOT_AUTHORIZED	NO_MATERIAL_M10A_DECISION_LINK	NONE	No direct current query and no defensible task/intent, marketplace, product-boundary and accepted M5 Search-context match to a named M10A owner/page-role HOLD; source wording or topic resemblance does not authorize a case.	UNPROVEN; revisit only with accepted, task-specific M10A and M5 linkage evidence.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00021 | NO_DIRECT_CURRENT_QUERY_LINK	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
M5H00022	sellmonitor mcp: wildberries-mcp и ozon-mcp для ai-ассистентов	OZON_AND_WILDBERRIES	chosen LLM to authorized seller data versus generic third-party integrations	M4QR2Q00001 | M4QR2Q00002 | M4QR2Q00013 | M4QR2Q00037	M9CL_3f05678ef9d62960 | M9CL_710c43ac2fdf4cc7 | M9CL_bae58ac9423f9f3c | M9CL_ddc2616f80ca85b6	4	NONE_NOT_AUTHORIZED	HOLD_AMBIGUOUS_M10A_LINK	NONE	Mechanical query citation exists, but accepted M5 source-specific LLM/marketplace/task or unsupported mutation/accounting nuance differs materially from the generic direct query; selected generic prompt would not test that nuance without a rewritten query. No coverage by a non-equivalent case.	UNPROVEN under the exact current-query prompt; HOLD until a materially matching diagnostic can be justified.	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv#M5H00022 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00001 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_bae58ac9423f9f3c | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00002 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_ddc2616f80ca85b6 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00013 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_710c43ac2fdf4cc7 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv#M4QR2Q00037 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv#M9CL_3f05678ef9d62960	M5 provisional source/accepted Search context only; no AI evidence, extra demand, new Search cluster, page owner or authorized provider execution.
