diagnostic_id	diagnostic_class	expected	observed	final_resolution	affected_universe	changed_output	sibling_impact_checked	exact_evidence	notes
M10BQ_011	NO_DUPLICATE_PROMPT_CLUSTER_UNCERTAINTY	0	0	PASS	65 M5 hypotheses / 104 M10A clusters / 1399 M10A material boundaries	false	FULL_UNIVERSE_CHECKED	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Original M5 and M10A files read-only; provider execution remains 0.
M10BQ_012	NO_MARKETPLACE_ENTITY_COLLAPSE	0	0	PASS	65 M5 hypotheses / 104 M10A clusters / 1399 M10A material boundaries	false	FULL_UNIVERSE_CHECKED	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Original M5 and M10A files read-only; provider execution remains 0.
M10BQ_013	NO_READONLY_WRITEBACK_COLLAPSE	0	0	PASS	65 M5 hypotheses / 104 M10A clusters / 1399 M10A material boundaries	false	FULL_UNIVERSE_CHECKED	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Original M5 and M10A files read-only; provider execution remains 0.
M10BQ_014	EVERY_SELECTED_CASE_M10A_HOLD	15/15	15/15	PASS	65 M5 hypotheses / 104 M10A clusters / 1399 M10A material boundaries	false	FULL_UNIVERSE_CHECKED	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Original M5 and M10A files read-only; provider execution remains 0.
M10BQ_015	SELECTED_COVERED_HYPOTHESIS_XREF	18/18	18/18	PASS	65 M5 hypotheses / 104 M10A clusters / 1399 M10A material boundaries	false	FULL_UNIVERSE_CHECKED	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Original M5 and M10A files read-only; provider execution remains 0.
M10BQ_016	EXACT_BOUNDARY_XREF	166/166	166/166	PASS	65 M5 hypotheses / 104 M10A clusters / 1399 M10A material boundaries	false	FULL_UNIVERSE_CHECKED	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Original M5 and M10A files read-only; provider execution remains 0.
M10BQ_017	COMPLETE_CAUSAL_BOUNDARY_COVERAGE	166/166	166/166	PASS	65 M5 hypotheses / 104 M10A clusters / 1399 M10A material boundaries	false	FULL_UNIVERSE_CHECKED	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Original M5 and M10A files read-only; provider execution remains 0.
M10BQ_018	BOUNDED_SNAPSHOTS	15/15	15/15	PASS	65 M5 hypotheses / 104 M10A clusters / 1399 M10A material boundaries	false	FULL_UNIVERSE_CHECKED	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Original M5 and M10A files read-only; provider execution remains 0.
M10BQ_019	NO_AI_RESULT_OR_PREDICTED_DELTA	0	0	PASS	65 M5 hypotheses / 104 M10A clusters / 1399 M10A material boundaries	false	FULL_UNIVERSE_CHECKED	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Original M5 and M10A files read-only; provider execution remains 0.
M10BQ_020	M10A_SEARCH_BASELINE_UNCHANGED	104+1399	104+1399	PASS	65 M5 hypotheses / 104 M10A clusters / 1399 M10A material boundaries	false	FULL_UNIVERSE_CHECKED	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Original M5 and M10A files read-only; provider execution remains 0.
M10BQ_021	NO_PROVIDER_EXECUTION	0	0	PASS	65 M5 hypotheses / 104 M10A clusters / 1399 M10A material boundaries	false	FULL_UNIVERSE_CHECKED	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Original M5 and M10A files read-only; provider execution remains 0.
M10BQ_022	NO_GENERIC_MATCH_AS_CASE	0	0	PASS	65 M5 hypotheses / 104 M10A clusters / 1399 M10A material boundaries	false	FULL_UNIVERSE_CHECKED	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Original M5 and M10A files read-only; provider execution remains 0.
M10BQ_023	NO_HUMAN_MANAGER_OR_YANDEX_MARKET_FALSE_COVERAGE	0	0	PASS	65 M5 hypotheses / 104 M10A clusters / 1399 M10A material boundaries	false	FULL_UNIVERSE_CHECKED	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Original M5 and M10A files read-only; provider execution remains 0.
M10BQ_024	ZERO_CRITICAL_DEFECTS	0	0	PASS	65 M5 hypotheses / 104 M10A clusters / 1399 M10A material boundaries	false	FULL_UNIVERSE_CHECKED	docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CLUSTER_PAGE_IA_BASELINE.tsv; docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Original M5 and M10A files read-only; provider execution remains 0.
M10BQ_025	MECHANISM_FIX_FULL_BOUNDARY_UNIVERSE	ALL_CAUSALLY_MATCHING_PAIRS	166 case-pair rows / 184 case-hypothesis-cluster rows	PASS	All 65 M5 hypotheses and 1399 M10A material boundaries; all case XREF rows rebuilt	true	All incident pairs rechecked for every selected case; no illustrative two-pair cap remains	docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv; docs/seo/work_return/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER_2026-09-23_R1/M5_AI_DIAGNOSTIC_HYPOTHESIS_REGISTER.tsv	Root cause: illustrative pair list incorrectly treated as an XREF limit. Producer now scans all 1399 pair rows per selected case. Earlier 30 case-pair rows expanded to 166 and 48 cluster XREF rows expanded to 184. Two unsafe coverage assignments moved to HOLD; marketplace/task fixture corrections applied and complete 65-row universe regenerated.
