semantic_identity_id	canonical_display_text	preacquisition_disposition	query_form_class	current_material_hold_degree	accepted_exact_query_authority	exact_query_text_if_authorized	provider_information_gain_status	provider_action_authorized	terminal_identity_disposition	carry_forward_state	reopen_trigger	evidence_refs	claim_boundary
M8SID_7455a5a41ec9db71	Отчёт о реализации Wildberries: как читать финансовый отчёт и сверить выплату	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	36	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_7455a5a41ec9db71 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_7455a5a41ec9db71 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_7c14f16157d077b9	Отчёт по рекламе Wildberries: где смотреть и как анализировать	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	20	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_7c14f16157d077b9 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_7c14f16157d077b9 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_81a0551c95b1343e	Отчет по операциям с маркетплейса	QUERY_FORM_AMBIGUOUS_HOLD	AMBIGUOUS_QUERY_FORM	60	NO	NONE	QUERY_FORM_UNRESOLVED	NO	QUERY_FORM_AMBIGUOUS_HOLD	CARRY_SEARCH_ONLY_HOLD_TO_M10A	OWNER_RESOLVED_QUERY_FORM	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_81a0551c95b1343e | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_81a0551c95b1343e | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_853c71e68bd46c94	Аналитика вайлдберриз: в каком отчете верные данные	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	57	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_853c71e68bd46c94 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_853c71e68bd46c94 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_91da785ba085dc94	Правила работы с возвратами на маркетплейсах: условия торговых платформ и советы по снижению показателя	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	23	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_91da785ba085dc94 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_91da785ba085dc94 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_985f150bb9d0478c	Отчёт о реализации Ozon: где найти и как сверить выплату	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	19	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_985f150bb9d0478c | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_985f150bb9d0478c | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_9abd6603016eb220	Комиссии на Wildberries: почему в отчёте одна ставка, а в тарифах другая	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	36	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_9abd6603016eb220 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_9abd6603016eb220 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_9f67c7e74f7f9587	Финансовый отчет WILDBERRIES – как читать?	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	36	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_9f67c7e74f7f9587 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_9f67c7e74f7f9587 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_a0b46005e544f2a9	Аналитика комиссии Wildberries: отчёты, сверка и контроль аномалий	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	36	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_a0b46005e544f2a9 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_a0b46005e544f2a9 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_a0eeffff2d867dcb	Отчёт по возвратам Wildberries: разбор операций и удержаний	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	22	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_a0eeffff2d867dcb | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_a0eeffff2d867dcb | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_a5452022da8e1c54	Аналитика Wildberries: отчёты, метрики и дашборды продавца	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	57	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_a5452022da8e1c54 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_a5452022da8e1c54 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_a7efef13fa5d09dc	ДРР на Wildberries — как рассчитать и оптимизировать	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	20	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_a7efef13fa5d09dc | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_a7efef13fa5d09dc | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_aeb8b283519ced02	ии для продаж на маркетплейсах	DEFER_SEARCH_CANDIDATE	DEMAND_OR_TESTED_EXACT_QUERY	0	YES	ии для продаж на маркетплейсах	ZERO_CURRENT_MATERIAL_HOLD_GAIN	NO	NO_INCREMENTAL_GAIN_EXACT_QUERY	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_MATERIAL_BOUNDARY_WITH_EXACT_QUERY_REQUIRING_SEARCH	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_aeb8b283519ced02 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_aeb8b283519ced02 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_b2c582967d3dea97	Как читать финансовый отчет WILDBERRIES за 5 минут?	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	28	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_b2c582967d3dea97 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_b2c582967d3dea97 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
M8SID_b494df2d754aba5f	Отчет «География» в разделах «Продавцы» и «Бренды»	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	PAGE_TITLE_OR_SOURCE_PHRASE	60	NO	NONE	NO_ACCEPTED_SAFE_EXACT_QUERY	NO	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_b494df2d754aba5f | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_b494df2d754aba5f | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv	Search-only terminal state under current accepted query-form authority; not a final page or permanent impossibility.
