semantic_identity_id	canonical_display_text	safe_exact_query_authority	exact_query_text	current_material_hold_degree	incremental_information_gain	provider_action_authorized	provider_action_block_reason	reopen_condition	evidence_refs
M8SID_7455a5a41ec9db71	Отчёт о реализации Wildberries: как читать финансовый отчёт и сверить выплату	NO	NONE	36	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_7455a5a41ec9db71 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_7455a5a41ec9db71 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_7c14f16157d077b9	Отчёт по рекламе Wildberries: где смотреть и как анализировать	NO	NONE	20	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_7c14f16157d077b9 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_7c14f16157d077b9 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_81a0551c95b1343e	Отчет по операциям с маркетплейса	NO	NONE	60	NOT_AUTHORIZED_QUERY_FORM	NO	Exact query form remains ambiguous; no provider query can be composed by Work.	OWNER_RESOLVED_QUERY_FORM	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_81a0551c95b1343e | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_81a0551c95b1343e | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_853c71e68bd46c94	Аналитика вайлдберриз: в каком отчете верные данные	NO	NONE	57	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_853c71e68bd46c94 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_853c71e68bd46c94 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_91da785ba085dc94	Правила работы с возвратами на маркетплейсах: условия торговых платформ и советы по снижению показателя	NO	NONE	23	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_91da785ba085dc94 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_91da785ba085dc94 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_985f150bb9d0478c	Отчёт о реализации Ozon: где найти и как сверить выплату	NO	NONE	19	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_985f150bb9d0478c | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_985f150bb9d0478c | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_9abd6603016eb220	Комиссии на Wildberries: почему в отчёте одна ставка, а в тарифах другая	NO	NONE	36	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_9abd6603016eb220 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_9abd6603016eb220 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_9f67c7e74f7f9587	Финансовый отчет WILDBERRIES – как читать?	NO	NONE	36	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_9f67c7e74f7f9587 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_9f67c7e74f7f9587 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_a0b46005e544f2a9	Аналитика комиссии Wildberries: отчёты, сверка и контроль аномалий	NO	NONE	36	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_a0b46005e544f2a9 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_a0b46005e544f2a9 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_a0eeffff2d867dcb	Отчёт по возвратам Wildberries: разбор операций и удержаний	NO	NONE	22	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_a0eeffff2d867dcb | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_a0eeffff2d867dcb | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_a5452022da8e1c54	Аналитика Wildberries: отчёты, метрики и дашборды продавца	NO	NONE	57	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_a5452022da8e1c54 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_a5452022da8e1c54 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_a7efef13fa5d09dc	ДРР на Wildberries — как рассчитать и оптимизировать	NO	NONE	20	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_a7efef13fa5d09dc | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_a7efef13fa5d09dc | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_aeb8b283519ced02	ии для продаж на маркетплейсах	YES	ии для продаж на маркетплейсах	0	NO_CURRENT_MATERIAL_BOUNDARY_GAIN	NO	Accepted exact M2R/tested query is safe, but current material-HOLD degree is zero; no unresolved M9 boundary receives new information.	NEW_MATERIAL_BOUNDARY_WITH_EXACT_QUERY_REQUIRING_SEARCH	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_aeb8b283519ced02 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_aeb8b283519ced02 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | M2R:line=42:B01/B01-01 | M2R:line=387:B02/B02-03 | M2R:line=388:B02/B02-03
M8SID_b2c582967d3dea97	Как читать финансовый отчет WILDBERRIES за 5 минут?	NO	NONE	28	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_b2c582967d3dea97 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_b2c582967d3dea97 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_b494df2d754aba5f	Отчет «География» в разделах «Продавцы» и «Бренды»	NO	NONE	60	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_b494df2d754aba5f | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_b494df2d754aba5f | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_b5ddcf597a798e80	Удержания рядом с комиссией Wildberries: как разделить начисления в отчёте	NO	NONE	36	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_b5ddcf597a798e80 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_b5ddcf597a798e80 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_c673d63396e872d3	Внутренняя аналитика WILDBERRIES. Как читать отчеты в личном кабинете?	NO	NONE	57	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_c673d63396e872d3 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_c673d63396e872d3 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_c8bd772d7a8b9ccb	Как сверить отчёты маркетплейсов и найти скрытые удержания	NO	NONE	30	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_c8bd772d7a8b9ccb | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_c8bd772d7a8b9ccb | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_c9ca51837b06e207	Отчёт «Поисковые запросы на WB»	NO	NONE	21	NOT_AUTHORIZED_QUERY_FORM	NO	Exact query form remains ambiguous; no provider query can be composed by Work.	OWNER_RESOLVED_QUERY_FORM	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_c9ca51837b06e207 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_c9ca51837b06e207 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_ce5c460b3a2124bb	Воронка продаж на Wildberries: как сравнивать периоды и показатели площадки	NO	NONE	23	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_ce5c460b3a2124bb | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_ce5c460b3a2124bb | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
M8SID_ce7224790a6414bc	Аналитика Wildberries: ТОП показателей и инструментов	NO	NONE	25	NOT_AUTHORIZED_QUERY_FORM	NO	Accepted wording is a page title/source phrase; converting or rewriting it into a provider query is forbidden.	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_ce7224790a6414bc | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_PREACQ_2026-09-24_R1/M9BR_IDENTITY_DISPOSITION.tsv#M8SID_ce7224790a6414bc | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv | NONE
