pair_id	semantic_identity_id_a	semantic_identity_id_b	canonical_text_a	canonical_text_b	anchor_availability_class	current_query_id_a	current_query_id_b	material_hold_verified	provider_information_gain_class	terminal_search_only_disposition	why_no_current_search_call	carry_forward_state	reopen_trigger	evidence_refs	claim_boundary
M9PAIR_01e40bb29507ce3d	M8SID_c4d7f4ca514dc5fd	M8SID_c65a5e24dfdb39bc	ии анализ продаж маркетплейсов	отчет маркетплейса вайлдберриз	ANCHOR_TO_ANCHOR	M9BRQ_006_c4d7f4ca514dc5fd	M4QR2Q00032	YES	CURRENT_EXACT_SEARCH_ALREADY_PRESENT	TERMINAL_CURRENT_SEARCH_CONFLICT	Both accepted exact current Search snapshots exist; repeating either query in the same context has no proven incremental boundary information.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_CURRENT_SEARCH_EVIDENCE_OR_NEW_ACCEPTED_AUTHORITY	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_01e40bb29507ce3d | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00011 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_01f592185674b16a	M8SID_ce7224790a6414bc	M8SID_f1b688e71eecda16	Аналитика Wildberries: ТОП показателей и инструментов	программы аналитика маркетплейсов	ANCHOR_TO_NONANCHOR	NONE	M9BRQ_020_f1b688e71eecda16	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_01f592185674b16a | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00012 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_02bc817b692d0a57	M8SID_0ce35825bf4cba3b	M8SID_f89f2eed596da6c9	Воронка продаж на Wildberries: как бесплатный отчёт находит слабые места	как загрузить отчеты маркетплейса	ANCHOR_TO_NONANCHOR	NONE	M9BRW2Q_009_f89f2eed596da6c9	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_02bc817b692d0a57 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00013 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_02d777076d8144f1	M8SID_2a1f3b8d04a0da08	M8SID_b2c582967d3dea97	Отчёт «Доходы и расходы» Wildberries: как читать и сверять	Как читать финансовый отчет WILDBERRIES за 5 минут?	NONANCHOR_TO_NONANCHOR	NONE	NONE	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_02d777076d8144f1 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00014 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_02e15602fba578a7	M8SID_def0afbc32106614	M8SID_ee6b9436900836db	Сводный отчёт по продавцу	отчет маркетплейса озон	ANCHOR_TO_NONANCHOR	NONE	M4QR2Q00033	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_02e15602fba578a7 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00015 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_03305c96e284e084	M8SID_b2c582967d3dea97	M8SID_b5ea13003e4c370e	Как читать финансовый отчет WILDBERRIES за 5 минут?	где скачать отчет о выкупах маркетплейсов	ANCHOR_TO_NONANCHOR	NONE	M9BRW2Q_008_b5ea13003e4c370e	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_03305c96e284e084 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00016 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_0362ec473e06f313	M8SID_78187c521b37867e	M8SID_91da785ba085dc94	отчеты маркетплейсов примеры	Правила работы с возвратами на маркетплейсах: условия торговых платформ и советы по снижению показателя	ANCHOR_TO_NONANCHOR	M9BRQ_002_78187c521b37867e	NONE	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_0362ec473e06f313 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00017 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_03ec4f79eb4b496e	M8SID_9abd6603016eb220	M8SID_ed858336de500ab2	Комиссии на Wildberries: почему в отчёте одна ставка, а в тарифах другая	Внутренняя аналитика Wildberries: карта отчётов и еженедельный разбор	NONANCHOR_TO_NONANCHOR	NONE	NONE	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_03ec4f79eb4b496e | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00018 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_03f882369ac9890e	M8SID_544e197891683f4c	M8SID_c4d7f4ca514dc5fd	Аналитика продавца Wildberries: как читать отчёты и находить точки роста	ии анализ продаж маркетплейсов	ANCHOR_TO_NONANCHOR	NONE	M9BRQ_006_c4d7f4ca514dc5fd	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_03f882369ac9890e | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00019 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_03fca9079007b4f0	M8SID_3ebb28124694e272	M8SID_a5452022da8e1c54	отчеты продаж маркетплейсов	Аналитика Wildberries: отчёты, метрики и дашборды продавца	ANCHOR_TO_NONANCHOR	M4QR2Q00036	NONE	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_03fca9079007b4f0 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00020 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_0412f131723c8ab3	M8SID_0ce35825bf4cba3b	M8SID_50e949b2f6a4c494	Воронка продаж на Wildberries: как бесплатный отчёт находит слабые места	Работа c маркетплейсом: отчеты и аналитика	NONANCHOR_TO_NONANCHOR	NONE	NONE	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_0412f131723c8ab3 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00021 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_0426e145ad54471c	M8SID_2b25fa19b017655f	M8SID_d9a5cc3e810be381	Как сверить финансовые отчеты Wildberries?	отчеты для селлеров маркетплейсов	ANCHOR_TO_ANCHOR	M9BRW2Q_013_2b25fa19b017655f	M4QR2Q00012	YES	CURRENT_EXACT_SEARCH_ALREADY_PRESENT	TERMINAL_CURRENT_SEARCH_CONFLICT	Both accepted exact current Search snapshots exist; repeating either query in the same context has no proven incremental boundary information.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_CURRENT_SEARCH_EVIDENCE_OR_NEW_ACCEPTED_AUTHORITY	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_0426e145ad54471c | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00022 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
M9PAIR_0439710ea4d25f44	M8SID_0943a1068e9402f4	M8SID_50e949b2f6a4c494	загрузка отчетов с маркетплейсов	Работа c маркетплейсом: отчеты и аналитика	ANCHOR_TO_NONANCHOR	M4QR2Q00025	NONE	YES	MISSING_SAFE_EXACT_QUERY_AUTHORITY	HOLD_NO_SAFE_EXACT_QUERY_AUTHORITY	Unanchored endpoint(s) have only page-title/source-derived or ambiguous query forms; no safe exact query with positive current HOLD gain exists.	CARRY_SEARCH_ONLY_HOLD_TO_M10A	NEW_ACCEPTED_EXACT_QUERY_AUTHORITY_OR_LATER_CAUSAL_EVIDENCE	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_0439710ea4d25f44 | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_HOLD_BOUNDARY_LEDGER.tsv#M9HOLD_00023 | docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv	Accepted M9 HOLD persists; no merge/split/page owner is inferred by terminal classification.
