target_type	target_id	case_ids	case_count	case_outcomes	effect_classes	cross_case_state	synthesis	m11_constraint	evidence_refs
BOUNDARY	M9PAIR_f2cd48777d5156c5	M10BCASE_840dee47a90532a8 | M10BCASE_975659397140bfbd	2	DE_RISK | ENRICH	NARROW_HOLD | ENRICH_ONLY	COMPLEMENTARY	Distinct exact queries contribute bounded observations at this shared target: CASE03 AUTONOMOUS_AGENT_VS_READ_ONLY_HELPER [NARROW_HOLD], CASE10 ASSISTANT_THIRD_PARTY_VS_NATIVE_BYO [ENRICH_ONLY]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE03_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_840dee47a90532a8 | docs/seo/M10C_CASE10_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_975659397140bfbd
CLUSTER	M9CL_02025a258eff8c3d	M10BCASE_503322b8af3825a8 | M10BCASE_840dee47a90532a8 | M10BCASE_975659397140bfbd | M10BCASE_a6a64d20ed4e5695 | M10BCASE_e5e5533784063649	5	DE_RISK | DE_RISK | ENRICH | ENRICH | HOLD	PRESERVE | PRESERVE | ENRICH_ONLY | PRESERVE | PRESERVE	CONSISTENT	Distinct exact queries contribute bounded observations at this shared target: CASE07 GENERIC_AUTONOMOUS_AGENT_VS_ASSISTANCE [PRESERVE], CASE03 AUTONOMOUS_AGENT_VS_READ_ONLY_HELPER [PRESERVE], CASE10 ASSISTANT_THIRD_PARTY_VS_NATIVE_BYO [ENRICH_ONLY], CASE11 WB_AGENT_AUTONOMY_WITH_BYO_SIGNAL [PRESERVE], CASE01 ASSISTANT_ROLE_AND_WRITE_CAPABILITY [PRESERVE]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE07_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_503322b8af3825a8 | docs/seo/M10C_CASE03_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_840dee47a90532a8 | docs/seo/M10C_CASE10_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_975659397140bfbd | docs/seo/M10C_CASE11_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_a6a64d20ed4e5695 | docs/seo/M10C_CASE01_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_e5e5533784063649
CLUSTER	M9CL_086ce4445a21d4fd	M10BCASE_503322b8af3825a8 | M10BCASE_840dee47a90532a8 | M10BCASE_975659397140bfbd | M10BCASE_e5e5533784063649	4	DE_RISK | DE_RISK | ENRICH | HOLD	PRESERVE | NARROW_HOLD | PRESERVE | PRESERVE	CONSISTENT	Distinct exact queries contribute bounded observations at this shared target: CASE07 GENERIC_AUTONOMOUS_AGENT_VS_ASSISTANCE [PRESERVE], CASE03 AUTONOMOUS_AGENT_VS_READ_ONLY_HELPER [NARROW_HOLD], CASE10 ASSISTANT_THIRD_PARTY_VS_NATIVE_BYO [PRESERVE], CASE01 ASSISTANT_ROLE_AND_WRITE_CAPABILITY [PRESERVE]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE07_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_503322b8af3825a8 | docs/seo/M10C_CASE03_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_840dee47a90532a8 | docs/seo/M10C_CASE10_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_975659397140bfbd | docs/seo/M10C_CASE01_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_e5e5533784063649
CLUSTER	M9CL_0ac1770f2755faaf	M10BCASE_905d903673405cdf | M10BCASE_93993613e7003b69 | M10BCASE_adb2e167115fbbbd	3	HOLD | DE_RISK | ENRICH	HOLD | PRESERVE | PRESERVE	HOLD	Unresolved case evidence remains at this shared target: CASE12 WB_REPORT_OFFICIAL_VS_ACCOUNTING [HOLD], CASE09 AI_ANALYTICS_OWN_STORE_VS_EXTERNAL [PRESERVE], CASE14 CROSS_MARKET_REPORT_VS_ACCOUNTING [PRESERVE]. A narrower observation cannot automatically resolve the mixed or unsupported one.	Keep unresolved cross-case HOLD explicit; independently reconcile if M11 considers the target.	docs/seo/M10C_CASE12_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_905d903673405cdf | docs/seo/M10C_CASE09_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_93993613e7003b69 | docs/seo/M10C_CASE14_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_adb2e167115fbbbd
CLUSTER	M9CL_0aed479a81711e7f	M10BCASE_93993613e7003b69 | M10BCASE_d3950384418e3bbd	2	DE_RISK | HOLD	PRESERVE | PRESERVE	CONSISTENT	Distinct exact queries contribute bounded observations at this shared target: CASE09 AI_ANALYTICS_OWN_STORE_VS_EXTERNAL [PRESERVE], CASE08 OWN_STORE_VS_EXTERNAL_ANALYTICS [PRESERVE]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE09_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_93993613e7003b69 | docs/seo/M10C_CASE08_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_d3950384418e3bbd
CLUSTER	M9CL_1590e99dd5f53a49	M10BCASE_905d903673405cdf | M10BCASE_adb2e167115fbbbd	2	HOLD | ENRICH	PRESERVE | PRESERVE	CONSISTENT	Distinct exact queries contribute bounded observations at this shared target: CASE12 WB_REPORT_OFFICIAL_VS_ACCOUNTING [PRESERVE], CASE14 CROSS_MARKET_REPORT_VS_ACCOUNTING [PRESERVE]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE12_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_905d903673405cdf | docs/seo/M10C_CASE14_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_adb2e167115fbbbd
CLUSTER	M9CL_18591a5da8d7a451	M10BCASE_905d903673405cdf | M10BCASE_adb2e167115fbbbd | M10BCASE_d7c8eaf031abe40a	3	HOLD | ENRICH | HOLD	PRESERVE | PRESERVE | PRESERVE	CONSISTENT	Distinct exact queries contribute bounded observations at this shared target: CASE12 WB_REPORT_OFFICIAL_VS_ACCOUNTING [PRESERVE], CASE14 CROSS_MARKET_REPORT_VS_ACCOUNTING [PRESERVE], CASE15 OZON_SELLER_REPORT_VS_CORPORATE_ACCOUNTING [PRESERVE]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE12_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_905d903673405cdf | docs/seo/M10C_CASE14_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_adb2e167115fbbbd | docs/seo/M10C_CASE15_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_d7c8eaf031abe40a
CLUSTER	M9CL_1de66900c2146c5b	M10BCASE_905d903673405cdf | M10BCASE_adb2e167115fbbbd	2	HOLD | ENRICH	PRESERVE | PRESERVE	CONSISTENT	Distinct exact queries contribute bounded observations at this shared target: CASE12 WB_REPORT_OFFICIAL_VS_ACCOUNTING [PRESERVE], CASE14 CROSS_MARKET_REPORT_VS_ACCOUNTING [PRESERVE]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE12_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_905d903673405cdf | docs/seo/M10C_CASE14_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_adb2e167115fbbbd
CLUSTER	M9CL_25bf819e5778d7d3	M10BCASE_503322b8af3825a8 | M10BCASE_840dee47a90532a8 | M10BCASE_975659397140bfbd | M10BCASE_a6a64d20ed4e5695 | M10BCASE_e5e5533784063649	5	DE_RISK | DE_RISK | ENRICH | ENRICH | HOLD	NARROW_HOLD | PRESERVE | PRESERVE | PRESERVE | PRESERVE	CONSISTENT	Distinct exact queries contribute bounded observations at this shared target: CASE07 GENERIC_AUTONOMOUS_AGENT_VS_ASSISTANCE [NARROW_HOLD], CASE03 AUTONOMOUS_AGENT_VS_READ_ONLY_HELPER [PRESERVE], CASE10 ASSISTANT_THIRD_PARTY_VS_NATIVE_BYO [PRESERVE], CASE11 WB_AGENT_AUTONOMY_WITH_BYO_SIGNAL [PRESERVE], CASE01 ASSISTANT_ROLE_AND_WRITE_CAPABILITY [PRESERVE]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE07_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_503322b8af3825a8 | docs/seo/M10C_CASE03_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_840dee47a90532a8 | docs/seo/M10C_CASE10_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_975659397140bfbd | docs/seo/M10C_CASE11_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_a6a64d20ed4e5695 | docs/seo/M10C_CASE01_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_e5e5533784063649
CLUSTER	M9CL_261f95ceaf310c3a	M10BCASE_905d903673405cdf | M10BCASE_adb2e167115fbbbd	2	HOLD | ENRICH	PRESERVE | PRESERVE	CONSISTENT	Distinct exact queries contribute bounded observations at this shared target: CASE12 WB_REPORT_OFFICIAL_VS_ACCOUNTING [PRESERVE], CASE14 CROSS_MARKET_REPORT_VS_ACCOUNTING [PRESERVE]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE12_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_905d903673405cdf | docs/seo/M10C_CASE14_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_adb2e167115fbbbd
CLUSTER	M9CL_2637e53fc435b258	M10BCASE_905d903673405cdf | M10BCASE_93993613e7003b69 | M10BCASE_adb2e167115fbbbd	3	HOLD | DE_RISK | ENRICH	PRESERVE | PRESERVE | PRESERVE	CONSISTENT	Distinct exact queries contribute bounded observations at this shared target: CASE12 WB_REPORT_OFFICIAL_VS_ACCOUNTING [PRESERVE], CASE09 AI_ANALYTICS_OWN_STORE_VS_EXTERNAL [PRESERVE], CASE14 CROSS_MARKET_REPORT_VS_ACCOUNTING [PRESERVE]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE12_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_905d903673405cdf | docs/seo/M10C_CASE09_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_93993613e7003b69 | docs/seo/M10C_CASE14_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_adb2e167115fbbbd
CLUSTER	M9CL_274a77f40055dc26	M10BCASE_93993613e7003b69 | M10BCASE_d3950384418e3bbd	2	DE_RISK | HOLD	PRESERVE | PRESERVE	CONSISTENT	Distinct exact queries contribute bounded observations at this shared target: CASE09 AI_ANALYTICS_OWN_STORE_VS_EXTERNAL [PRESERVE], CASE08 OWN_STORE_VS_EXTERNAL_ANALYTICS [PRESERVE]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE09_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_93993613e7003b69 | docs/seo/M10C_CASE08_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_d3950384418e3bbd
CLUSTER	M9CL_32544b5109994d76	M10BCASE_905d903673405cdf | M10BCASE_adb2e167115fbbbd	2	HOLD | ENRICH	PRESERVE | PRESERVE	CONSISTENT	Distinct exact queries contribute bounded observations at this shared target: CASE12 WB_REPORT_OFFICIAL_VS_ACCOUNTING [PRESERVE], CASE14 CROSS_MARKET_REPORT_VS_ACCOUNTING [PRESERVE]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE12_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_905d903673405cdf | docs/seo/M10C_CASE14_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_adb2e167115fbbbd
CLUSTER	M9CL_3291d5bba9e4f595	M10BCASE_503322b8af3825a8 | M10BCASE_840dee47a90532a8 | M10BCASE_975659397140bfbd | M10BCASE_a6a64d20ed4e5695 | M10BCASE_e5e5533784063649	5	DE_RISK | DE_RISK | ENRICH | ENRICH | HOLD	PRESERVE | PRESERVE | PRESERVE | PRESERVE | PRESERVE	CONSISTENT	Distinct exact queries contribute bounded observations at this shared target: CASE07 GENERIC_AUTONOMOUS_AGENT_VS_ASSISTANCE [PRESERVE], CASE03 AUTONOMOUS_AGENT_VS_READ_ONLY_HELPER [PRESERVE], CASE10 ASSISTANT_THIRD_PARTY_VS_NATIVE_BYO [PRESERVE], CASE11 WB_AGENT_AUTONOMY_WITH_BYO_SIGNAL [PRESERVE], CASE01 ASSISTANT_ROLE_AND_WRITE_CAPABILITY [PRESERVE]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE07_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_503322b8af3825a8 | docs/seo/M10C_CASE03_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_840dee47a90532a8 | docs/seo/M10C_CASE10_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_975659397140bfbd | docs/seo/M10C_CASE11_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_a6a64d20ed4e5695 | docs/seo/M10C_CASE01_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_e5e5533784063649
CLUSTER	M9CL_3a8d523d2578edae	M10BCASE_789a835e7de15e13 | M10BCASE_c0815ba7ee0ba5b2 | M10BCASE_e56413a05b57e358	3	ENRICH | DE_RISK | ENRICH	PRESERVE | PRESERVE | PRESERVE	CONSISTENT	Distinct exact queries contribute bounded observations at this shared target: CASE05 WB_CHATGPT_LIVE_VS_FILE_MODE [PRESERVE], CASE02 CONNECT_OWN_LLM_TO_SELLER_DATA [PRESERVE], CASE04 OZON_CHATGPT_MODE_MIX [PRESERVE]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE05_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_789a835e7de15e13 | docs/seo/M10C_CASE02_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_c0815ba7ee0ba5b2 | docs/seo/M10C_CASE04_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_e56413a05b57e358
CLUSTER	M9CL_3e9cae524f2ba50c	M10BCASE_93993613e7003b69 | M10BCASE_d3950384418e3bbd	2	DE_RISK | HOLD	PRESERVE | PRESERVE	CONSISTENT	Distinct exact queries contribute bounded observations at this shared target: CASE09 AI_ANALYTICS_OWN_STORE_VS_EXTERNAL [PRESERVE], CASE08 OWN_STORE_VS_EXTERNAL_ANALYTICS [PRESERVE]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE09_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_93993613e7003b69 | docs/seo/M10C_CASE08_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_d3950384418e3bbd
CLUSTER	M9CL_3f05678ef9d62960	M10BCASE_789a835e7de15e13 | M10BCASE_9ef8cb07387160b6 | M10BCASE_c0815ba7ee0ba5b2 | M10BCASE_e56413a05b57e358	4	ENRICH | HOLD | DE_RISK | ENRICH	PRESERVE | PRESERVE | NARROW_HOLD | PRESERVE	CONSISTENT	Distinct exact queries contribute bounded observations at this shared target: CASE05 WB_CHATGPT_LIVE_VS_FILE_MODE [PRESERVE], CASE06 GENERIC_MARKETPLACE_REFERENT [PRESERVE], CASE02 CONNECT_OWN_LLM_TO_SELLER_DATA [NARROW_HOLD], CASE04 OZON_CHATGPT_MODE_MIX [PRESERVE]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE05_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_789a835e7de15e13 | docs/seo/M10C_CASE06_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_9ef8cb07387160b6 | docs/seo/M10C_CASE02_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_c0815ba7ee0ba5b2 | docs/seo/M10C_CASE04_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_e56413a05b57e358
CLUSTER	M9CL_433249de25051688	M10BCASE_93993613e7003b69 | M10BCASE_d3950384418e3bbd	2	DE_RISK | HOLD	PRESERVE | PRESERVE	CONSISTENT	Distinct exact queries contribute bounded observations at this shared target: CASE09 AI_ANALYTICS_OWN_STORE_VS_EXTERNAL [PRESERVE], CASE08 OWN_STORE_VS_EXTERNAL_ANALYTICS [PRESERVE]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE09_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_93993613e7003b69 | docs/seo/M10C_CASE08_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_d3950384418e3bbd
CLUSTER	M9CL_4a7d76c662c7f172	M10BCASE_905d903673405cdf | M10BCASE_93993613e7003b69 | M10BCASE_d7c8eaf031abe40a	3	HOLD | DE_RISK | HOLD	PRESERVE | PRESERVE | PRESERVE	CONSISTENT	Distinct exact queries contribute bounded observations at this shared target: CASE12 WB_REPORT_OFFICIAL_VS_ACCOUNTING [PRESERVE], CASE09 AI_ANALYTICS_OWN_STORE_VS_EXTERNAL [PRESERVE], CASE15 OZON_SELLER_REPORT_VS_CORPORATE_ACCOUNTING [PRESERVE]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE12_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_905d903673405cdf | docs/seo/M10C_CASE09_TERMINAL_CLOSURE_2026-09-24_R1.md#M10BCASE_93993613e7003b69 | docs/seo/M10C_CASE15_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_d7c8eaf031abe40a
CLUSTER	M9CL_5807efab0bbb4b64	M10BCASE_905d903673405cdf | M10BCASE_adb2e167115fbbbd | M10BCASE_d7c8eaf031abe40a	3	HOLD | ENRICH | HOLD	PRESERVE | PRESERVE | PRESERVE	CONSISTENT	Distinct exact queries contribute bounded observations at this shared target: CASE12 WB_REPORT_OFFICIAL_VS_ACCOUNTING [PRESERVE], CASE14 CROSS_MARKET_REPORT_VS_ACCOUNTING [PRESERVE], CASE15 OZON_SELLER_REPORT_VS_CORPORATE_ACCOUNTING [PRESERVE]. No case supplies an owner or page merge/split.	Carry only the compatible, target-specific context; preserve the frozen M10A HOLD and decide independently in M11.	docs/seo/M10C_CASE12_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_905d903673405cdf | docs/seo/M10C_CASE14_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_adb2e167115fbbbd | docs/seo/M10C_CASE15_TERMINAL_CLOSURE_2026-09-25_R1.md#M10BCASE_d7c8eaf031abe40a
