hold_id	pair_id	semantic_identity_id_a	semantic_identity_id_b	cluster_id_a	cluster_id_b	pair_reason_code	exact_unknown	current_evidence	missing_evidence	why_not_guess	blocking_for_m10a	reopen_trigger	claim_boundary
M9H_c0b3b3a89b72d744	M9PAIR_a9646170277e450d	M8SID_0943a1068e9402f4	M8SID_3ebb28124694e272	M9CL_5807efab0bbb4b64	M9CL_4a7d76c662c7f172	H_SEARCH_EVIDENCE_CONFLICT	Whether загрузка отчетов с маркетплейсов and отчеты продаж маркетплейсов can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100 | M4QR2Q00036:RU225:TOP100; current URL Top10=1/19; task=COMPATIBLE; intent=SAME	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_d59cb78b34e21e98	M9PAIR_0439710ea4d25f44	M8SID_0943a1068e9402f4	M8SID_50e949b2f6a4c494	M9CL_5807efab0bbb4b64	M9CL_9d782abd2186f6e2	H_MIXED_INTENT_BOUNDARY	Whether загрузка отчетов с маркетплейсов and Работа c маркетплейсом: отчеты и аналитика can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=AMBIGUOUS	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_a297d291e76e2513	M9PAIR_3ac17d4aaafe901a	M8SID_0943a1068e9402f4	M8SID_544e197891683f4c	M9CL_5807efab0bbb4b64	M9CL_261f95ceaf310c3a	H_MIXED_INTENT_BOUNDARY	Whether загрузка отчетов с маркетплейсов and Аналитика продавца Wildberries: как читать отчёты и находить точки роста can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=AMBIGUOUS	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_ccac6c6fad422c08	M9PAIR_79fb3608711541d2	M8SID_0943a1068e9402f4	M8SID_644f4afb78dc957a	M9CL_5807efab0bbb4b64	M9CL_5aa7113efc724f06	H_SEARCH_EVIDENCE_CONFLICT	Whether загрузка отчетов с маркетплейсов and отчеты маркетплейсов can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100 | M4QR2Q00035:RU225:TOP100; current URL Top10=1/19; task=COMPATIBLE; intent=SAME	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_987b6545f804dcc3	M9PAIR_cc3be72af3adb907	M8SID_0943a1068e9402f4	M8SID_7455a5a41ec9db71	M9CL_5807efab0bbb4b64	M9CL_a7c25b124fa757fd	H_MIXED_INTENT_BOUNDARY	Whether загрузка отчетов с маркетплейсов and Отчёт о реализации Wildberries: как читать финансовый отчёт и сверить выплату can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=AMBIGUOUS	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_848db971af40861d	M9PAIR_2df4b14d6e23b65d	M8SID_0943a1068e9402f4	M8SID_78187c521b37867e	M9CL_5807efab0bbb4b64	M9CL_76d530948f2a83bc	H_ONE_SERP_INSUFFICIENT	Whether загрузка отчетов с маркетплейсов and отчеты маркетплейсов примеры can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=SAME	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_07d9f1ee6a5dfefa	M9PAIR_f5b39c8254770692	M8SID_0943a1068e9402f4	M8SID_7c23963a6f4bc9db	M9CL_5807efab0bbb4b64	M9CL_653a524075c126d1	H_MIXED_INTENT_BOUNDARY	Whether загрузка отчетов с маркетплейсов and Сверка отчетов с Ozon can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=AMBIGUOUS	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_945e0fdb31bd407e	M9PAIR_412cecd2c051039d	M8SID_0943a1068e9402f4	M8SID_81a0551c95b1343e	M9CL_5807efab0bbb4b64	M9CL_ffefa36c3120e974	H_MIXED_INTENT_BOUNDARY	Whether загрузка отчетов с маркетплейсов and Отчет по операциям с маркетплейса can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=AMBIGUOUS	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_e1b7e95b48d41a1e	M9PAIR_b2b00100f1fc98ba	M8SID_0943a1068e9402f4	M8SID_853c71e68bd46c94	M9CL_5807efab0bbb4b64	M9CL_af749ec09b819751	H_MIXED_INTENT_BOUNDARY	Whether загрузка отчетов с маркетплейсов and Аналитика вайлдберриз: в каком отчете верные данные can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=AMBIGUOUS	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_b1dbc6e9bd7f5328	M9PAIR_a4c645108eee33d8	M8SID_0943a1068e9402f4	M8SID_8850a7f387c57a62	M9CL_5807efab0bbb4b64	M9CL_caacbc319d4bcb6f	H_GENERIC_SPECIFIC_UNRESOLVED	Whether загрузка отчетов с маркетплейсов and отчет для селлеров can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=SAME	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_acb377051a614a3b	M9PAIR_7d09e33b5769628b	M8SID_0943a1068e9402f4	M8SID_91da785ba085dc94	M9CL_5807efab0bbb4b64	M9CL_18591a5da8d7a451	H_MIXED_INTENT_BOUNDARY	Whether загрузка отчетов с маркетплейсов and Правила работы с возвратами на маркетплейсах: условия торговых платформ и советы по снижению показателя can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=AMBIGUOUS	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_df724a185f0fde53	M9PAIR_0efd0231c88eca74	M8SID_0943a1068e9402f4	M8SID_985f150bb9d0478c	M9CL_5807efab0bbb4b64	M9CL_abd1bf5b4bfcf6a2	H_MIXED_INTENT_BOUNDARY	Whether загрузка отчетов с маркетплейсов and Отчёт о реализации Ozon: где найти и как сверить выплату can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=AMBIGUOUS	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_21d05d2e2a69d8c7	M9PAIR_1543e9cbe3d0e6ba	M8SID_0943a1068e9402f4	M8SID_9abd6603016eb220	M9CL_5807efab0bbb4b64	M9CL_a376985a8068ec48	H_MIXED_INTENT_BOUNDARY	Whether загрузка отчетов с маркетплейсов and Комиссии на Wildberries: почему в отчёте одна ставка, а в тарифах другая can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=AMBIGUOUS	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_cca5b6925a7da731	M9PAIR_19fe3a7ed7e8c852	M8SID_0943a1068e9402f4	M8SID_9f67c7e74f7f9587	M9CL_5807efab0bbb4b64	M9CL_1de66900c2146c5b	H_MIXED_INTENT_BOUNDARY	Whether загрузка отчетов с маркетплейсов and Финансовый отчет WILDBERRIES – как читать? can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=AMBIGUOUS	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_12331e5c0314386a	M9PAIR_345fcfba028d3255	M8SID_0943a1068e9402f4	M8SID_a0b46005e544f2a9	M9CL_5807efab0bbb4b64	M9CL_b9a650f7e0f5ffc5	H_MIXED_INTENT_BOUNDARY	Whether загрузка отчетов с маркетплейсов and Аналитика комиссии Wildberries: отчёты, сверка и контроль аномалий can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=AMBIGUOUS	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_4f845439a2a4cf49	M9PAIR_936bb86455dc50e3	M8SID_0943a1068e9402f4	M8SID_a0eeffff2d867dcb	M9CL_5807efab0bbb4b64	M9CL_fdfbaa2be042b32a	H_MIXED_INTENT_BOUNDARY	Whether загрузка отчетов с маркетплейсов and Отчёт по возвратам Wildberries: разбор операций и удержаний can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=AMBIGUOUS	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_d57b2286c0c62b97	M9PAIR_6d63ff65c21f27b0	M8SID_0943a1068e9402f4	M8SID_a5452022da8e1c54	M9CL_5807efab0bbb4b64	M9CL_7b0e9f96b0e08782	H_MIXED_INTENT_BOUNDARY	Whether загрузка отчетов с маркетплейсов and Аналитика Wildberries: отчёты, метрики и дашборды продавца can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=AMBIGUOUS	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_10ebc8ea8b224e3f	M9PAIR_4a066b285f2f04d1	M8SID_0943a1068e9402f4	M8SID_b494df2d754aba5f	M9CL_5807efab0bbb4b64	M9CL_f667a169d39bce9d	H_MIXED_INTENT_BOUNDARY	Whether загрузка отчетов с маркетплейсов and Отчет «География» в разделах «Продавцы» и «Бренды» can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=AMBIGUOUS	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_3499de3f733dd7de	M9PAIR_bcdb5a7368dc435c	M8SID_0943a1068e9402f4	M8SID_b5ddcf597a798e80	M9CL_5807efab0bbb4b64	M9CL_6950959fa0c762cf	H_MIXED_INTENT_BOUNDARY	Whether загрузка отчетов с маркетплейсов and Удержания рядом с комиссией Wildberries: как разделить начисления в отчёте can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=AMBIGUOUS	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_d70f23f04091e137	M9PAIR_447f5be5def2a5cf	M8SID_0943a1068e9402f4	M8SID_c65a5e24dfdb39bc	M9CL_5807efab0bbb4b64	M9CL_0ac1770f2755faaf	H_GENERIC_SPECIFIC_UNRESOLVED	Whether загрузка отчетов с маркетплейсов and отчет маркетплейса вайлдберриз can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100 | M4QR2Q00032:RU225:TOP100; current URL Top10=0/20; task=COMPATIBLE; intent=SAME	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_72f297eb3287725c	M9PAIR_4cedf2545379810a	M8SID_0943a1068e9402f4	M8SID_c673d63396e872d3	M9CL_5807efab0bbb4b64	M9CL_896f32bed9216251	H_MIXED_INTENT_BOUNDARY	Whether загрузка отчетов с маркетплейсов and Внутренняя аналитика WILDBERRIES. Как читать отчеты в личном кабинете? can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100; current URL Top10=NA_NOT_COMPARABLE/NA_NOT_COMPARABLE; task=COMPATIBLE; intent=AMBIGUOUS	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
M9H_9cc5487cd4e3673d	M9PAIR_38c5b6baf87f02d8	M8SID_0943a1068e9402f4	M8SID_c6b3851b9dcf0b07	M9CL_5807efab0bbb4b64	M9CL_80cd29d458ea642b	H_SEARCH_EVIDENCE_CONFLICT	Whether загрузка отчетов с маркетплейсов and отчет о списаниях маркетплейс can be satisfied by one Search answer under their actual marketplace and intent boundaries.	M4QR2Q00025:RU225:TOP100 | M4QR2Q00034:RU225:TOP100; current URL Top10=1/19; task=COMPATIBLE; intent=SAME	Accepted bilateral exact Search behavior or distinct task/product answer resolving this particular compatibility.	Missing current SERP does not imply zero overlap, and lexical family does not prove common page satisfaction.	YES_FOR_THIS_BOUNDARY	Accepted current comparable Search or explicit accepted task/product distinction; rerun entire affected pair universe	Unresolved Search-only cluster relation; no page owner or IA.
