seed_id	seed_type	page_candidate_id	source_occurrence_id	registry_id	entity_name	registrable_domain	candidate_class	ranking_url	normalized_url	authority_query_ids	ranks	rank_buckets	query_families	target_relevance	page_type	collision_or_uncertainty	native_baseline_flag	source_authority	notes
M4B2S011	M4A_PAGE_CANDIDATE_ANCHOR	PAGE066		REG036	Sellego	sellego.com	EDITORIAL_OR_PUBLISHER	https://sellego.com/blog/kejsy-wb/kak-opredelitsya-chto-prodavat-na-wildberries-poshagovyj-analiz-nishi/	https://sellego.com/blog/kejsy-wb/kak-opredelitsya-chto-prodavat-na-wildberries-poshagovyj-analiz-nishi	R10	R10:5	TOP10_REST	F7				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S012	M4A_PAGE_CANDIDATE_ANCHOR	PAGE087		REG043	Skillbox	skillbox.ru	EDITORIAL_OR_PUBLISHER	https://skillbox.ru/media/marketing/kak-delat-kartochki-na-wildberries-chtoby-tovar-nahodili-i-pokupali/	https://skillbox.ru/media/marketing/kak-delat-kartochki-na-wildberries-chtoby-tovar-nahodili-i-pokupali	R07	R07:2	TOP3	F5,F8				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S013	M4A_PAGE_CANDIDATE_ANCHOR	PAGE088		REG043	Skillbox	skillbox.ru	EDITORIAL_OR_PUBLISHER	https://skillbox.ru/media/marketing/kak-ponyat-chto-prodavat-na-wildberries-ponyatnaya-instruktsiya-po-analizu-nishi/	https://skillbox.ru/media/marketing/kak-ponyat-chto-prodavat-na-wildberries-ponyatnaya-instruktsiya-po-analizu-nishi	R10	R10:3	TOP3	F7				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S014	M4A_PAGE_CANDIDATE_ANCHOR	PAGE089		REG043	Skillbox	skillbox.ru	EDITORIAL_OR_PUBLISHER	https://skillbox.ru/media/marketing/kak-rabotat-s-kartochkami-tovarov-na-wildberries-sozdavat-zapolnyat-optimizirovat/	https://skillbox.ru/media/marketing/kak-rabotat-s-kartochkami-tovarov-na-wildberries-sozdavat-zapolnyat-optimizirovat	R07	R07:6	TOP10_REST	F5,F8				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S015	M4A_PAGE_CANDIDATE_ANCHOR	PAGE090		REG043	Skillbox	skillbox.ru	EDITORIAL_OR_PUBLISHER	https://skillbox.ru/media/marketing/kak-ustroen-wb-seller-lichnyy-kabinet-prodavca-na-wildberries/	https://skillbox.ru/media/marketing/kak-ustroen-wb-seller-lichnyy-kabinet-prodavca-na-wildberries	R11	R11:2	TOP3	F8				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S016	M4A_PAGE_CANDIDATE_ANCHOR	PAGE101		REG047	Tbank	tbank.ru	EDITORIAL_OR_PUBLISHER	https://secrets.tbank.ru/biznes-s-nulya/kak-nachat-prodavat-na-wildberries-poshagovaya-instrukcziya/	https://secrets.tbank.ru/biznes-s-nulya/kak-nachat-prodavat-na-wildberries-poshagovaya-instrukcziya	R11	R11:3	TOP3	F8				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S017	M4A_PAGE_CANDIDATE_ANCHOR	PAGE102		REG047	Tbank	tbank.ru	EDITORIAL_OR_PUBLISHER	https://secrets.tbank.ru/biznes-s-nulya/kakuyu-nalogovuyu-otchetnost-sdayut-sellery/	https://secrets.tbank.ru/biznes-s-nulya/kakuyu-nalogovuyu-otchetnost-sdayut-sellery	R05	R05:5	TOP10_REST	F3				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S018	M4A_PAGE_CANDIDATE_ANCHOR	PAGE103		REG047	Tbank	tbank.ru	EDITORIAL_OR_PUBLISHER	https://secrets.tbank.ru/blogi-kompanij/kak-sdelat-ii-agenta-dlya-sellera/	https://secrets.tbank.ru/blogi-kompanij/kak-sdelat-ii-agenta-dlya-sellera	S01	S01:4	TOP10_REST	F1,F9				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S019	M4A_PAGE_CANDIDATE_ANCHOR	PAGE104		REG047	Tbank	tbank.ru	EDITORIAL_OR_PUBLISHER	https://secrets.tbank.ru/razvitie/chistaya-pribyl-na-marketplejse/	https://secrets.tbank.ru/razvitie/chistaya-pribyl-na-marketplejse	R05	R05:1	TOP3	F3				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S020	M4A_PAGE_CANDIDATE_ANCHOR	PAGE105		REG047	Tbank	tbank.ru	EDITORIAL_OR_PUBLISHER	https://secrets.tbank.ru/razvitie/kartochka-wildberries/	https://secrets.tbank.ru/razvitie/kartochka-wildberries	R07	R07:4	TOP10_REST	F5,F8				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S021	M4A_PAGE_CANDIDATE_ANCHOR	PAGE106		REG047	Tbank	tbank.ru	EDITORIAL_OR_PUBLISHER	https://www.tbank.ru/business/help/sales/tinkoff-seller/start-use/analytics/	https://www.tbank.ru/business/help/sales/tinkoff-seller/start-use/analytics	R04R1	R04R1:3	TOP3	F3,F9				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S022	M4A_PAGE_CANDIDATE_ANCHOR	PAGE107		REG048	Tochka	tochka.com	EDITORIAL_OR_PUBLISHER	https://tochka.com/knowledge/marketpleisy/chto_takoe_kabinet_wb_seller_i_kak_on_rabotaet/	https://tochka.com/knowledge/marketpleisy/chto_takoe_kabinet_wb_seller_i_kak_on_rabotaet	R11	R11:8	TOP10_REST	F8				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S023	M4A_PAGE_CANDIDATE_ANCHOR	PAGE108		REG048	Tochka	tochka.com	EDITORIAL_OR_PUBLISHER	https://tochka.com/knowledge/marketpleisy/kak-oformit-kartocku-tovara-na-wildberries/	https://tochka.com/knowledge/marketpleisy/kak-oformit-kartocku-tovara-na-wildberries	R07	R07:7	TOP10_REST	F5,F8				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S024	M4A_PAGE_CANDIDATE_ANCHOR	PAGE109		REG048	Tochka	tochka.com	EDITORIAL_OR_PUBLISHER	https://tochka.com/knowledge/marketpleisy/kak-zaiti-v-kabinet-prodavca-na-wildberries-registraciya-i-vozmoznosti/	https://tochka.com/knowledge/marketpleisy/kak-zaiti-v-kabinet-prodavca-na-wildberries-registraciya-i-vozmoznosti	R11	R11:6	TOP10_REST	F8				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S025	M4A_PAGE_CANDIDATE_ANCHOR	PAGE110		REG048	Tochka	tochka.com	EDITORIAL_OR_PUBLISHER	https://tochka.com/news/chat_gpt_dlya_kartochek_na_marketplace/	https://tochka.com/news/chat_gpt_dlya_kartochek_na_marketplace	R01	R01:3	TOP3	F2				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S026	M4A_PAGE_CANDIDATE_ANCHOR	PAGE111		REG048	Tochka	tochka.com	EDITORIAL_OR_PUBLISHER	https://tochka.com/rko/marketplace-cabinet/analitika-prodazh-na-marketplejsah/otchet-seller/	https://tochka.com/rko/marketplace-cabinet/analitika-prodazh-na-marketplejsah/otchet-seller	R05	R05:10	TOP10_REST	F3				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S027	M4A_PAGE_CANDIDATE_ANCHOR	PAGE116		REG052	VC.ru	vc.ru	EDITORIAL_OR_PUBLISHER	https://vc.ru/ai/2198354-luchshie-neyroseti-dlya-sozdaniya-kartochek-tovarov-na-marketpleysakh	https://vc.ru/ai/2198354-luchshie-neyroseti-dlya-sozdaniya-kartochek-tovarov-na-marketpleysakh	R12	R12:5	TOP10_REST	F9				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S028	M4A_PAGE_CANDIDATE_ANCHOR	PAGE117		REG052	VC.ru	vc.ru	EDITORIAL_OR_PUBLISHER	https://vc.ru/ai/2284976-neyroseti-dlya-marketpleysov-9-luchshikh-ii	https://vc.ru/ai/2284976-neyroseti-dlya-marketpleysov-9-luchshikh-ii	R12	R12:7	TOP10_REST	F9				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S029	M4A_PAGE_CANDIDATE_ANCHOR	PAGE118		REG052	VC.ru	vc.ru	EDITORIAL_OR_PUBLISHER	https://vc.ru/ai/2634842-luchshie-neuroseti-dlya-kartochek-tovarov	https://vc.ru/ai/2634842-luchshie-neuroseti-dlya-kartochek-tovarov	R12	R12:8	TOP10_REST	F9				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S030	M4A_PAGE_CANDIDATE_ANCHOR	PAGE119		REG052	VC.ru	vc.ru	EDITORIAL_OR_PUBLISHER	https://vc.ru/ai/2884634-ii-dlya-kartochek-tovara	https://vc.ru/ai/2884634-ii-dlya-kartochek-tovara	R12	R12:9	TOP10_REST	F9				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S031	M4A_PAGE_CANDIDATE_ANCHOR	PAGE120		REG052	VC.ru	vc.ru	EDITORIAL_OR_PUBLISHER	https://vc.ru/ai/3124090-podklyuchenie-ii-agenta-k-wildberries-i-ozon	https://vc.ru/ai/3124090-podklyuchenie-ii-agenta-k-wildberries-i-ozon	S02 | S03	S02:2 | S03:3	TOP3	F1				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S032	M4A_PAGE_CANDIDATE_ANCHOR	PAGE121		REG052	VC.ru	vc.ru	EDITORIAL_OR_PUBLISHER	https://vc.ru/marketing/1083960-poiskovye-zaprosy-klastery-i-presety-v-seo-optimizacii-i-reklame-tovarov-na-wildberries	https://vc.ru/marketing/1083960-poiskovye-zaprosy-klastery-i-presety-v-seo-optimizacii-i-reklame-tovarov-na-wildberries	R09	R09:8	TOP10_REST	F7				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S033	M4A_PAGE_CANDIDATE_ANCHOR	PAGE122		REG052	VC.ru	vc.ru	EDITORIAL_OR_PUBLISHER	https://vc.ru/marketing/3087623-top-neyrosetey-dlya-sozdaniya-kartochek-tovarov-na-marketpleysakh	https://vc.ru/marketing/3087623-top-neyrosetey-dlya-sozdaniya-kartochek-tovarov-na-marketpleysakh	R12	R12:1	TOP3	F9				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S034	M4A_PAGE_CANDIDATE_ANCHOR	PAGE126		REG054	Wbstat	wbstat.pro	EDITORIAL_OR_PUBLISHER	https://wbstat.pro/blog/kak-analizirovat-kategorii-nishi-i-konkyrentov-i-kakim-tovarom-torgovat-na-wildberries/	https://wbstat.pro/blog/kak-analizirovat-kategorii-nishi-i-konkyrentov-i-kakim-tovarom-torgovat-na-wildberries	R10	R10:7	TOP10_REST	F7				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S035	M4A_PAGE_CANDIDATE_ANCHOR	PAGE127		REG054	Wbstat	wbstat.pro	EDITORIAL_OR_PUBLISHER	https://wbstat.pro/blog/sekrety-lichnogo-kabineta-postavshchika-wildberries/	https://wbstat.pro/blog/sekrety-lichnogo-kabineta-postavshchika-wildberries	R11	R11:5	TOP10_REST	F8				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S036	M4A_PAGE_CANDIDATE_ANCHOR	PAGE128		REG054	Wbstat	wbstat.pro	EDITORIAL_OR_PUBLISHER	https://wbstat.pro/faq/kak-proanalizirovat-nishu-na-wildberries/	https://wbstat.pro/faq/kak-proanalizirovat-nishu-na-wildberries	R10	R10:6	TOP10_REST	F7				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S037	M4A_PAGE_CANDIDATE_ANCHOR	PAGE129		REG055	Wildberries	wildberries.ru	NATIVE_MARKETPLACE_BASELINE	https://dev.wildberries.ru/knowledge-base/articles/019d49a4-0f6a-70bb-a87b-c1237a1a0714/poiskovye-zaprosy-po-vashim-tovaram	https://dev.wildberries.ru/knowledge-base/articles/019d49a4-0f6a-70bb-a87b-c1237a1a0714/poiskovye-zaprosy-po-vashim-tovaram	R09	R09:4	TOP10_REST	F7				true	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S038	M4A_PAGE_CANDIDATE_ANCHOR	PAGE130		REG055	Wildberries	wildberries.ru	NATIVE_MARKETPLACE_BASELINE	https://seller.wildberries.ru/instructions/ru/ru/categories	https://seller.wildberries.ru/instructions/ru/ru/categories	R11	R11:12	RANK_11_20	F8				true	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S039	M4A_PAGE_CANDIDATE_ANCHOR	PAGE131		REG055	Wildberries	wildberries.ru	NATIVE_MARKETPLACE_BASELINE	https://seller.wildberries.ru/instructions/ru/ru/material/how-to-create-card	https://seller.wildberries.ru/instructions/ru/ru/material/how-to-create-card	R07	R07:1	TOP3	F5,F8				true	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S040	M4A_PAGE_CANDIDATE_ANCHOR	PAGE132		REG055	Wildberries	wildberries.ru	NATIVE_MARKETPLACE_BASELINE	https://seller.wildberries.ru/instructions/ru/ru/material/product-niche-analytics	https://seller.wildberries.ru/instructions/ru/ru/material/product-niche-analytics	R10	R10:1	TOP3	F7				true	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S041	M4A_PAGE_CANDIDATE_ANCHOR	PAGE133		REG055	Wildberries	wildberries.ru	NATIVE_MARKETPLACE_BASELINE	https://seller.wildberries.ru/instructions/ru/ru/material/search-analytics-report	https://seller.wildberries.ru/instructions/ru/ru/material/search-analytics-report	R09	R09:2	TOP3	F7				true	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S042	M4A_PAGE_CANDIDATE_ANCHOR	PAGE134		REG055	Wildberries	wildberries.ru	NATIVE_MARKETPLACE_BASELINE	https://seller.wildberries.ru/instructions/ru/ru/subcategory/how-to-start-selling-at-wildberries	https://seller.wildberries.ru/instructions/ru/ru/subcategory/how-to-start-selling-at-wildberries	R11	R11:1	TOP3	F8				true	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S043	M4A_PAGE_CANDIDATE_ANCHOR	PAGE137		REG057	Yandex	yandex.ru	AGGREGATOR_DIRECTORY	https://partner.market.yandex.ru/chtojournal/effektivnost-reklamy-na-marketpleyse/	https://partner.market.yandex.ru/chtojournal/effektivnost-reklamy-na-marketpleyse	R08	R08:9	TOP10_REST	F6				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S044	M4A_PAGE_CANDIDATE_ANCHOR	PAGE138		REG057	Yandex	yandex.ru	AGGREGATOR_DIRECTORY	https://practicum.yandex.ru/blog/kartochka-tovara-wildberries-kak-sozdat/	https://practicum.yandex.ru/blog/kartochka-tovara-wildberries-kak-sozdat	R07	R07:3	TOP3	F5,F8				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S045	M4A_PAGE_CANDIDATE_ANCHOR	PAGE139		REG057	Yandex	yandex.ru	AGGREGATOR_DIRECTORY	https://practicum.yandex.ru/blog/neyroseti-dlya-raboty-s-marketpleysami/	https://practicum.yandex.ru/blog/neyroseti-dlya-raboty-s-marketpleysami	R12	R12:4	TOP10_REST	F9				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S046	M4A_PAGE_CANDIDATE_ANCHOR	PAGE141		REG059	YouTube	youtube.com	EDITORIAL_OR_PUBLISHER	https://www.youtube.com/watch?v=19SQhBg9Xz4	https://www.youtube.com/watch?v=19SQhBg9Xz4	R01 | R02 | R03	R01:16 | R02:18 | R03:5	RANK_11_20 | TOP10_REST	F2				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
M4B2S047	M4A_PAGE_CANDIDATE_ANCHOR	PAGE142		REG059	YouTube	youtube.com	EDITORIAL_OR_PUBLISHER	https://www.youtube.com/watch?v=BcoCxYGabWk	https://www.youtube.com/watch?v=BcoCxYGabWk	R02 | R03	R02:20 | R03:9	RANK_11_20 | TOP10_REST	F2				false	M4A_PAGE_CANDIDATES_R3	Accepted M4A page-candidate anchor; preserve as anchor authority only, not final corpus frontier.
