target_id	registry_id	ranking_url	best_current_rank	query_count	execution_query_ids	exact_query_texts	source_pass_b_file	source_relation	m4c_url_ledger_status	required_action	claim_boundary
M4QR2TR0030	REG028	https://mpstats.io/media/wildberries/uchet/kak-rasschitat-rentabelnost-na-marketpleisah	18	1	M4QR2Q00039	прибыль на маркетплейсах	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0031	REG037	https://sellerden.ru/sellerfox/	1	5	M4QR2Q00004 || M4QR2Q00017 || M4QR2Q00018 || M4QR2Q00020 || M4QR2Q00042	аналитика запросов маркетплейсов || аналитика карточек маркетплейсов || аналитика маркетплейсов для селлеров || аналитика продаж на маркетплейсах || сервис аналитики маркетплейсов	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0032	REG042	https://selsup.ru/blog/11-sposobov-uvelichit-marzhinalnost-na-marketplejsah/	7	1	M4QR2Q00031	маржинальность на маркетплейсах	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0033	REG042	https://selsup.ru/blog/analitika-marketplejsov-chto-nuzhno-proveryat-dlya-uspeshnyh-prodazh/	12	2	M4QR2Q00022 || M4QR2Q00043	внутренняя аналитика маркетплейсов || финансовая аналитика маркетплейсов	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0034	REG042	https://selsup.ru/blog/finansovy-otchet-wildberries/	8	1	M4QR2Q00032	отчет маркетплейса вайлдберриз	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0035	REG042	https://selsup.ru/blog/gde-v-ozone-najti-finansovyj-otchet/	17	1	M4QR2Q00033	отчет маркетплейса озон	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0036	REG042	https://selsup.ru/blog/ii-ofis-dlya-sellerov-i-marketplejsov/	13	1	M4QR2Q00008	ии агенты для маркетплейсов	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0037	REG042	https://selsup.ru/blog/kak-pravilno-sozdat-kartochku-tovara-na-wildberries-v-2024-godu-poshagovaya-instruktsiya/	11	1	M4QR2Q00009	как заполнить карточку товара wildberries	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0038	REG042	https://selsup.ru/blog/kak-stat-prodavtsom-na-wildberries-poshagovaya-instruktsiya-po-registratsii-v-lichnom-kabinete/	5	2	M4QR2Q00010 || M4QR2Q00029	как работать в кабинете wildberries || как работать в кабинете wildberries продавцу	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0039	REG042	https://selsup.ru/blog/kak-vnutrennyaya-analitika-marketplejsov-pomogaet-uvelichit-vyruchku-magazina/	7	1	M4QR2Q00022	внутренняя аналитика маркетплейсов	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0040	REG042	https://selsup.ru/blog/kakie-vidy-pribyli-sushhestvuyut-i-zachem-ih-schitat-pri-torgovle-na-marketplejsa/	9	2	M4QR2Q00039 || M4QR2Q00044	прибыль на маркетплейсах || чистая прибыль на маркетплейсе	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0041	REG042	https://selsup.ru/blog/servisy-analitiki-prodazh-na-marketplejsah-top-6-dlya-vseh-ploshhadok/	6	1	M4QR2Q00030	лучшие сервисы аналитики маркетплейсов	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
M4QR2TR0042	REG042	https://selsup.ru/blog/top-9-nejrosetej-dlya-marketplejsov-i-sellerov-polnyj-obzor/	18	1	M4QR2Q00027	ии для аналитики маркетплейсов	M4Q_R2_M4C_M6_RECONCILIATION.tsv	CURRENT_TOP20_VENDOR_URL_OUTSIDE_ACCEPTED_M4C	ABSENT_CONFIRMED_BY_MAIN_CHAT	TARGETED_EXACT_URL_PAGE_RECHECK	CURRENT_SEARCH_RANKING_URL_EVIDENCE_ONLY; NOT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_PAGE_DECISION
