input_group	role	path	blob_sha	size_bytes	required	notes
M4A_R3	DATA	docs/seo/serp/competitors/work_return/M4A_HARDENED_2026-09-18_R3/M4A_COLLISION_UNCERTAINTY_LEDGER.tsv	12c52d209a67eee06c5ed9276a5dfbd15c043f07	81907	true	Read complete frozen file; preserve source provenance.
M4A_R3	DATA	docs/seo/serp/competitors/work_return/M4A_HARDENED_2026-09-18_R3/M4A_DOMAIN_RECURRENCE.tsv	a131d27ceab7e5273ae0ab2ec7f4230841776654	33557	true	Read complete frozen file; preserve source provenance.
M4A_R3	DATA	docs/seo/serp/competitors/work_return/M4A_HARDENED_2026-09-18_R3/M4A_PAGE_CANDIDATES.tsv	c388aba7b1deaded3b5bb46b9d39212cf3eb94db	61639	true	Read complete frozen file; preserve source provenance.
M4A_R3	DATA	docs/seo/serp/competitors/work_return/M4A_HARDENED_2026-09-18_R3/M4A_QUERY_PROFILES.tsv	69bd0f12165c15d43b336a8eee41fc58e3b1ac3c	9998	true	Read complete frozen file; preserve source provenance.
M4A_R3	DATA	docs/seo/serp/competitors/work_return/M4A_HARDENED_2026-09-18_R3/M4A_SERP_OCCURRENCES_CLASSIFIED.tsv	0028a743c8617c569ba37dfa4b59e92b5f56e18d	366854	true	Read complete frozen file; preserve source provenance.
M4A_R3	MANIFEST	docs/seo/serp/competitors/work_return/M4A_HARDENED_2026-09-18_R3/M4A_RETURN_MANIFEST.json	ce72593bdcb28aa65f78fca3bb07f5d70f0f93aa	2882	true	Read complete frozen file; preserve source provenance.
M4B1_R1	DATA	docs/seo/serp/competitors/work_return/M4B1_PRODUCT_VENDOR_2026-09-18_R1/M4B1_SCOPE_LEDGER.tsv	3a0af7e2745d46d14634760b1e464a85c590b4c7	18146	true	Read complete frozen file; preserve source provenance.
M4B1_R1	DATA	docs/seo/serp/competitors/work_return/M4B1_PRODUCT_VENDOR_2026-09-18_R1/M4B1_URL_LEDGER.tsv	a9b3f1bf9878e6008d82994e512c4e3fdb3c5165	204931	true	Read complete frozen file; preserve source provenance.
M4B1_R1	DATA	docs/seo/serp/competitors/work_return/M4B1_PRODUCT_VENDOR_2026-09-18_R1/M4B1_PAGE_EVIDENCE.tsv	b24772cbd3b9d54b9ff300510f362ca7459cc883	492450	true	Read complete frozen file; preserve source provenance.
M4B1_R1	DATA	docs/seo/serp/competitors/work_return/M4B1_PRODUCT_VENDOR_2026-09-18_R1/M4B1_CANDIDATE_TERMS.tsv	472f67d63c96c9572d6041bc05749bc5a5aba3da	154137	true	Read complete frozen file; preserve source provenance.
M4B1_R1	DATA	docs/seo/serp/competitors/work_return/M4B1_PRODUCT_VENDOR_2026-09-18_R1/M4B1_ENTITY_SYNTHESIS.tsv	fb7d19e54281dfa2b6433235b05b2ea6ebf65d07	51653	true	Read complete frozen file; preserve source provenance.
M4B1_R1	MANIFEST	docs/seo/serp/competitors/work_return/M4B1_PRODUCT_VENDOR_2026-09-18_R1/M4B1_RETURN_MANIFEST.json	87a7f807774ac532c5d8724e3cf32bb0186ebb33	2866	true	Read complete frozen file; preserve source provenance.
M4B1_R2	DATA	docs/seo/serp/competitors/work_return/M4B1_RECOVERY_2026-09-18_R2/M4B1R2_URL_LEDGER_OVERLAY.tsv	90d6dd1d483a8e6c78bcbab1033c39466b7714bb	744623	true	Read complete frozen file; preserve source provenance.
M4B1_R2	DATA	docs/seo/serp/competitors/work_return/M4B1_RECOVERY_2026-09-18_R2/M4B1R2_PAGE_EVIDENCE_OVERLAY.tsv	c7b0a8774ed83088a00ea79dabc8f0d48a2db050	792071	true	Read complete frozen file; preserve source provenance.
M4B1_R2	DATA	docs/seo/serp/competitors/work_return/M4B1_RECOVERY_2026-09-18_R2/M4B1R2_CANDIDATE_TERMS_OVERLAY.tsv	3db09b18b70037785c83d1191b99381f323c6d92	746598	true	Read complete frozen file; preserve source provenance.
M4B1_R2	DATA	docs/seo/serp/competitors/work_return/M4B1_RECOVERY_2026-09-18_R2/M4B1R2_ENTITY_SYNTHESIS_CURRENT.tsv	860a1eca42054bb3b04a1c307da879ecf27d97ac	60820	true	Read complete frozen file; preserve source provenance.
M4B1_R2	DATA	docs/seo/serp/competitors/work_return/M4B1_RECOVERY_2026-09-18_R2/M4B1R2_FRONTIER_RECONCILIATION.tsv	af9e801cdf3af66700fd122371a2187de748df5f	6433	true	Read complete frozen file; preserve source provenance.
M4B1_R2	MANIFEST	docs/seo/serp/competitors/work_return/M4B1_RECOVERY_2026-09-18_R2/M4B1R2_RETURN_MANIFEST.json	ff8a288b136e0dbd72893cda98eaf9d1b254fc29	3939	true	Read complete frozen file; preserve source provenance.
M4B1_R3_CURRENT	DATA	docs/seo/serp/competitors/work_return/M4B1_COVERAGE_CLOSURE_2026-09-18_R3/M4B1R3_URL_OVERLAY.tsv	f626d3fcb68a140ef84eaf8ccfaa988294e466be	8527663	true	Read complete frozen file; preserve source provenance.
M4B1_R3_CURRENT	DATA	docs/seo/serp/competitors/work_return/M4B1_COVERAGE_CLOSURE_2026-09-18_R3/M4B1R3_PAGE_EVIDENCE_OVERLAY.tsv	9fbc93e71d8aa9e45b0ba68d946912c4d31b4778	16311713	true	Read complete frozen file; preserve source provenance.
M4B1_R3_CURRENT	DATA	docs/seo/serp/competitors/work_return/M4B1_COVERAGE_CLOSURE_2026-09-18_R3/M4B1R3_CANDIDATE_TERMS_OVERLAY.tsv	c96f86f49d572134a48999c33fbd620e651d2a74	3604557	true	Read complete frozen file; preserve source provenance.
M4B1_R3_CURRENT	DATA	docs/seo/serp/competitors/work_return/M4B1_COVERAGE_CLOSURE_2026-09-18_R3/M4B1R3_DISCOVERY_CHANNEL_COVERAGE.tsv	b929fd44fb867a290607e92ed52f8c418b71f448	38707	true	Read complete frozen file; preserve source provenance.
M4B1_R3_CURRENT	DATA	docs/seo/serp/competitors/work_return/M4B1_COVERAGE_CLOSURE_2026-09-18_R3/M4B1R3_ENTITY_SYNTHESIS_CURRENT.tsv	d0e91c92057a782c56f1830abbad91d52a0d496b	124086	true	Read complete frozen file; preserve source provenance.
M4B1_R3_CURRENT	DATA	docs/seo/serp/competitors/work_return/M4B1_COVERAGE_CLOSURE_2026-09-18_R3/M4B1R3_FRONTIER_RECONCILIATION.tsv	24e66df2f419b06472e65054279e1c5d27f83738	6585	true	Read complete frozen file; preserve source provenance.
M4B1_R3_CURRENT	MANIFEST	docs/seo/serp/competitors/work_return/M4B1_COVERAGE_CLOSURE_2026-09-18_R3/M4B1R3_RETURN_MANIFEST.json	d8b20b3eacca44fe77c67587e4fadaa94e6ec022	4950	true	Read complete frozen file; preserve source provenance.
M4B1_R4_DURABLE	DATA	docs/seo/serp/competitors/work_return/M4B1_COVERAGE_RECOVERY_2026-09-18_R4/M4B1R4_URL_OVERLAY.tsv	3f3ac8c3bbcd7a377a99925877423c425f37a96a	7152	true	Read complete frozen file; preserve source provenance.
M4B1_R4_DURABLE	DATA	docs/seo/serp/competitors/work_return/M4B1_COVERAGE_RECOVERY_2026-09-18_R4/M4B1R4_PAGE_EVIDENCE_OVERLAY.tsv	78f8d853fe3f6b65677614a7a28078f30d7d6fa9	11138	true	Read complete frozen file; preserve source provenance.
M4B1_R4_DURABLE	DATA	docs/seo/serp/competitors/work_return/M4B1_COVERAGE_RECOVERY_2026-09-18_R4/M4B1R4_CANDIDATE_TERMS_OVERLAY.tsv	19eaa7dbaca4f1482b6bfcb8031b5024c68a4c40	192	true	Read complete frozen file; preserve source provenance.
M4B1_R4_DURABLE	DATA	docs/seo/serp/competitors/work_return/M4B1_COVERAGE_RECOVERY_2026-09-18_R4/M4B1R4_DISCOVERY_CHANNEL_COVERAGE.tsv	4fff73bc4d1dd272594fc85fa81cd554dab74817	39070	true	Read complete frozen file; preserve source provenance.
M4B1_R4_DURABLE	DATA	docs/seo/serp/competitors/work_return/M4B1_COVERAGE_RECOVERY_2026-09-18_R4/M4B1R4_ENTITY_SYNTHESIS_CURRENT.tsv	6c1ab78f79de5b342d98a96842dc71697f0719dc	66199	true	Read complete frozen file; preserve source provenance.
M4B1_R4_DURABLE	DATA	docs/seo/serp/competitors/work_return/M4B1_COVERAGE_RECOVERY_2026-09-18_R4/M4B1R4_FRONTIER_RECONCILIATION.tsv	14c8414d2cfdda55c7fa9af12bd55f8254671016	6633	true	Read complete frozen file; preserve source provenance.
M4B1_R4_DURABLE	MANIFEST	docs/seo/serp/competitors/work_return/M4B1_COVERAGE_RECOVERY_2026-09-18_R4/M4B1R4_RETURN_MANIFEST.json	0e858f91851fe91e7ec1c464b2fb9622fc5589c9	3503	true	Read complete frozen file; preserve source provenance.
M4B1_R5_DURABLE	DATA	docs/seo/serp/competitors/work_return/M4B1_UNISELLER_URL_TERMINALIZATION_2026-09-21_R5/M4B1R5_URL_OVERLAY.tsv	ec51c05675ed14392a1cfa015be8fc19b2662f24	3187434	true	Read complete frozen file; preserve source provenance.
M4B1_R5_DURABLE	DATA	docs/seo/serp/competitors/work_return/M4B1_UNISELLER_URL_TERMINALIZATION_2026-09-21_R5/M4B1R5_PAGE_EVIDENCE_OVERLAY.tsv	a88ba468f18dd3d7dfb3b2e46cc70f3247a156d8	9791792	true	Read complete frozen file; preserve source provenance.
M4B1_R5_DURABLE	DATA	docs/seo/serp/competitors/work_return/M4B1_UNISELLER_URL_TERMINALIZATION_2026-09-21_R5/M4B1R5_CANDIDATE_TERMS_OVERLAY.tsv	19eaa7dbaca4f1482b6bfcb8031b5024c68a4c40	192	true	Read complete frozen file; preserve source provenance.
M4B1_R5_DURABLE	DATA	docs/seo/serp/competitors/work_return/M4B1_UNISELLER_URL_TERMINALIZATION_2026-09-21_R5/M4B1R5_DISCOVERY_CHANNEL_COVERAGE.tsv	4738c3777d3086376e64883b7a672421c0ba4204	39183	true	Read complete frozen file; preserve source provenance.
M4B1_R5_DURABLE	DATA	docs/seo/serp/competitors/work_return/M4B1_UNISELLER_URL_TERMINALIZATION_2026-09-21_R5/M4B1R5_ENTITY_SYNTHESIS_CURRENT.tsv	27e710dd5dc156102612c49dcaea57102ce3795a	66108	true	Read complete frozen file; preserve source provenance.
M4B1_R5_DURABLE	DATA	docs/seo/serp/competitors/work_return/M4B1_UNISELLER_URL_TERMINALIZATION_2026-09-21_R5/M4B1R5_FRONTIER_RECONCILIATION.tsv	0d4f847bee8c7227d229edae9e783fae80e0bb14	6544	true	Read complete frozen file; preserve source provenance.
M4B1_R5_DURABLE	MANIFEST	docs/seo/serp/competitors/work_return/M4B1_UNISELLER_URL_TERMINALIZATION_2026-09-21_R5/M4B1R5_RETURN_MANIFEST.json	2d1cc9fc35184ba6f2ec2824fa32d58402a52710	3488	true	Read complete frozen file; preserve source provenance.
M4B1_R5_A1	DATA	docs/seo/serp/competitors/work_return/M4B1_R5_ACCEPTANCE_CORRECTION_2026-09-22_A1_CORRECTED/M4B1R5A_UNISELLER_OCCURRENCE_LEDGER.tsv	497ac36d82770c778d81ad3b7c89d17271e22a90	4722844	true	Read complete frozen file; preserve source provenance.
M4B1_R5_A1	DATA	docs/seo/serp/competitors/work_return/M4B1_R5_ACCEPTANCE_CORRECTION_2026-09-22_A1_CORRECTED/M4B1R5A_FRONTIER_RECONCILIATION.tsv	492f944085a470ed33b586fb849afc9ec514545f	8007	true	Read complete frozen file; preserve source provenance.
M4B1_R5_A1	MANIFEST	docs/seo/serp/competitors/work_return/M4B1_R5_ACCEPTANCE_CORRECTION_2026-09-22_A1_CORRECTED/M4B1R5A_RETURN_MANIFEST.json	22aba5700ec7f145b3984a45ffe0fa07bbf67d67	3544	true	Read complete frozen file; preserve source provenance.
M4B2_R1	DATA	docs/seo/serp/competitors/work_return/M4B2_CONTEXT_BASELINE_2026-09-22_R1/M4B2_URL_LEDGER.tsv	a45fc6f4b5c6efff334919ba497eed29a10552a9	1142596	true	Read complete frozen file; preserve source provenance.
M4B2_R1	DATA	docs/seo/serp/competitors/work_return/M4B2_CONTEXT_BASELINE_2026-09-22_R1/M4B2_PAGE_EVIDENCE.tsv	636719a9e9cf888fa9a26bc8a48122fc65aa98d7	4624085	true	Read complete frozen file; preserve source provenance.
M4B2_R1	DATA	docs/seo/serp/competitors/work_return/M4B2_CONTEXT_BASELINE_2026-09-22_R1/M4B2_CANDIDATE_TERMS.tsv	88a9537719f1d85f4ae7e8ffd9002355624825fc	852478	true	Read complete frozen file; preserve source provenance.
M4B2_R1	DATA	docs/seo/serp/competitors/work_return/M4B2_CONTEXT_BASELINE_2026-09-22_R1/M4B2_DISCOVERY_CHANNEL_COVERAGE.tsv	ccc6b1234b653f45494aa7fb2a190a1bcdf31f20	7112	true	Read complete frozen file; preserve source provenance.
M4B2_R1	DATA	docs/seo/serp/competitors/work_return/M4B2_CONTEXT_BASELINE_2026-09-22_R1/M4B2_ENTITY_SYNTHESIS_CURRENT.tsv	094207bbef8e74141f736ddbb93e17ec42f64268	16211	true	Read complete frozen file; preserve source provenance.
M4B2_R1	DATA	docs/seo/serp/competitors/work_return/M4B2_CONTEXT_BASELINE_2026-09-22_R1/M4B2_FRONTIER_RECONCILIATION.tsv	2717b545cb92c623011d402eefb711d31eefa647	2897	true	Read complete frozen file; preserve source provenance.
M4B2_R1	MANIFEST	docs/seo/serp/competitors/work_return/M4B2_CONTEXT_BASELINE_2026-09-22_R1/M4B2_RETURN_MANIFEST.json	ba446d7a5602f18081799fcb69aeeba5e31d2c10	2712	true	Read complete frozen file; preserve source provenance.
