pair_id	semantic_identity_id_a	semantic_identity_id_b	canonical_text_a	canonical_text_b	preliminary_family_a	preliminary_family_b	user_task_relation	intent_relation	marketplace_scope_relation	product_fit_relation	search_comparability	current_query_id_a	current_query_id_b	exact_url_overlap_top10_count	exact_url_union_top10_count	exact_url_jaccard_top10	exact_url_overlap_top20_count	exact_url_union_top20_count	exact_url_jaccard_top20	domain_overlap_top10_count	domain_union_top10_count	domain_jaccard_top10	result_page_type_relation	search_evidence_refs	evidence_grade	pair_decision	pair_reason_code	rationale	claim_boundary	m10d_effect_summary	m11_owner_compatibility	owner_id_a	owner_id_b	m11_pair_disposition	m11_rationale	m11_evidence_refs
M9PAIR_9025460f622fc78d	M8SID_1d9b00510d4544c8	M8SID_e008cf0c1b28b363	Управление остатками на Wildberries: как использовать отчёт «История остатков»	аналитика маркетплейсов с ии	F3	F3	DIFFERENT	AMBIGUOUS	GENERIC_SPECIFIC_COMPATIBLE	COMPATIBLE	ONE_CURRENT_SERP	NONE	M9BRQ_007_e008cf0c1b28b363	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	M9BRQ_007_e008cf0c1b28b363:RU225:TOP100:ACCEPTED_TOP20_PROJECTION	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_TASK_DIFFERENT	Accepted M8/M9 task signatures require distinct satisfaction jobs; Search URLs do not override different tasks. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_9025460f622fc78d | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
M9PAIR_a1991942951d7ff7	M8SID_1d9b00510d4544c8	M8SID_e10faa73a1384257	Управление остатками на Wildberries: как использовать отчёт «История остатков»	отчеты для селлеров	F3	F3	COMPATIBLE	AMBIGUOUS	AMBIGUOUS	COMPATIBLE	ONE_CURRENT_SERP	NONE	M9BRQ_004_e10faa73a1384257	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	M9BRQ_004_e10faa73a1384257:RU225:TOP100:ACCEPTED_TOP20_PROJECTION	H_INSUFFICIENT_BOUNDARY	HOLD_BOUNDARY	H_MIXED_INTENT_BOUNDARY	Mixed versus single-funnel intent leaves one shared-answer decision unresolved; URL overlap alone does not settle it. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 HOLD_BOUNDARY remains immutable; this material owner boundary is not resolved.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_a1991942951d7ff7 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_a1991942951d7ff7 | NO_TARGETED_M10D_EFFECT
M9PAIR_3b8ae72e94ccb273	M8SID_1d9b00510d4544c8	M8SID_eaab889abab5ccd5	Управление остатками на Wildberries: как использовать отчёт «История остатков»	ии для работы с маркетплейсами	F3	F4	DIFFERENT	SAME	GENERIC_SPECIFIC_COMPATIBLE	COMPATIBLE	ONE_CURRENT_SERP	NONE	M9BRW2Q_004_eaab889abab5ccd5	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	M9BRW2Q_004_eaab889abab5ccd5:RU225:TOP100:ACCEPTED_TOP20_PROJECTION	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_TASK_DIFFERENT	Accepted M8/M9 task signatures require distinct satisfaction jobs; Search URLs do not override different tasks. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_3b8ae72e94ccb273 | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
M9PAIR_cadbd0b006f2599d	M8SID_1d9b00510d4544c8	M8SID_ed13eac8643c4ddc	Управление остатками на Wildberries: как использовать отчёт «История остатков»	Интеграция Gemini AI и Ozon Seller	F3	F2	DIFFERENT	AMBIGUOUS	DIFFERENT	COMPATIBLE	NO_CURRENT_SERP	NONE	NONE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	NO_CURRENT_EXACT_SERP	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_TASK_DIFFERENT	Accepted M8/M9 task signatures require distinct satisfaction jobs; Search URLs do not override different tasks. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_cadbd0b006f2599d | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
M9PAIR_de521ac7b4ad583d	M8SID_1d9b00510d4544c8	M8SID_ed858336de500ab2	Управление остатками на Wildberries: как использовать отчёт «История остатков»	Внутренняя аналитика Wildberries: карта отчётов и еженедельный разбор	F3	F3	COMPATIBLE	SAME	SAME	COMPATIBLE	NO_CURRENT_SERP	NONE	NONE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	NO_CURRENT_EXACT_SERP	H_INSUFFICIENT_BOUNDARY	HOLD_BOUNDARY	H_NO_BILATERAL_SERP_SAME_TASK	Neither exact current RU225 Search snapshot exists; accepted task compatibility remains unresolved, not zero overlap. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 HOLD_BOUNDARY remains immutable; this material owner boundary is not resolved.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_de521ac7b4ad583d | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_de521ac7b4ad583d | NO_TARGETED_M10D_EFFECT
M9PAIR_9cb0fad3d55e957f	M8SID_1d9b00510d4544c8	M8SID_ee6b9436900836db	Управление остатками на Wildberries: как использовать отчёт «История остатков»	отчет маркетплейса озон	F3	F3	COMPATIBLE	AMBIGUOUS	DIFFERENT	COMPATIBLE	ONE_CURRENT_SERP	NONE	M4QR2Q00033	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	M4QR2Q00033:RU225:TOP100	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_MARKETPLACE_ANSWER_DIFFERENT	Ozon and Wildberries named cabinet/report procedures or data answer differ for this frozen seller task; URL recurrence cannot erase marketplace-specific answer. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_9cb0fad3d55e957f | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
M9PAIR_65d830d4ca0d30f1	M8SID_1d9b00510d4544c8	M8SID_f1b688e71eecda16	Управление остатками на Wildberries: как использовать отчёт «История остатков»	программы аналитика маркетплейсов	F3	F3	DIFFERENT	AMBIGUOUS	GENERIC_SPECIFIC_COMPATIBLE	COMPATIBLE	ONE_CURRENT_SERP	NONE	M9BRQ_020_f1b688e71eecda16	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	M9BRQ_020_f1b688e71eecda16:RU225:TOP100:ACCEPTED_TOP20_PROJECTION	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_TASK_DIFFERENT	Accepted M8/M9 task signatures require distinct satisfaction jobs; Search URLs do not override different tasks. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_65d830d4ca0d30f1 | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
M9PAIR_8fe056718131aa7e	M8SID_1d9b00510d4544c8	M8SID_f326261dec0f180d	Управление остатками на Wildberries: как использовать отчёт «История остатков»	аналитика показателей продавца	F3	F3	COMPATIBLE	SAME	AMBIGUOUS	COMPATIBLE	ONE_CURRENT_SERP	NONE	M9BRQ_001_f326261dec0f180d	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	M9BRQ_001_f326261dec0f180d:RU225:TOP100:ACCEPTED_TOP20_PROJECTION	H_INSUFFICIENT_BOUNDARY	HOLD_BOUNDARY	H_GENERIC_SPECIFIC_UNRESOLVED	Accepted marketplace/entity scope relation is ambiguous; same-page satisfaction cannot be decided from URLs alone. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 HOLD_BOUNDARY remains immutable; this material owner boundary is not resolved.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_8fe056718131aa7e | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_8fe056718131aa7e | NO_TARGETED_M10D_EFFECT
M9PAIR_a72430e6cdd2343d	M8SID_1d9b00510d4544c8	M8SID_f56a9426dbf7f0a2	Управление остатками на Wildberries: как использовать отчёт «История остатков»	сервис аналитика маркетплейсов бесплатно	F3	F3	DIFFERENT	AMBIGUOUS	GENERIC_SPECIFIC_COMPATIBLE	COMPATIBLE	ONE_CURRENT_SERP	NONE	M9BRQ_021_f56a9426dbf7f0a2	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	M9BRQ_021_f56a9426dbf7f0a2:RU225:TOP100:ACCEPTED_TOP20_PROJECTION	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_TASK_DIFFERENT	Accepted M8/M9 task signatures require distinct satisfaction jobs; Search URLs do not override different tasks. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_a72430e6cdd2343d | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
M9PAIR_a4bd4ecde872ee5b	M8SID_1d9b00510d4544c8	M8SID_f5fd17b7b76a574d	Управление остатками на Wildberries: как использовать отчёт «История остатков»	ДРР на Wildberries и Ozon: что это, формула и какая норма	F3	F6	DIFFERENT	SAME	GENERIC_SPECIFIC_COMPATIBLE	COMPATIBLE	NO_CURRENT_SERP	NONE	NONE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	NO_CURRENT_EXACT_SERP	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_TASK_DIFFERENT	Accepted M8/M9 task signatures require distinct satisfaction jobs; Search URLs do not override different tasks. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_a4bd4ecde872ee5b | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
M9PAIR_f2c87c0741252a78	M8SID_1d9b00510d4544c8	M8SID_f89f2eed596da6c9	Управление остатками на Wildberries: как использовать отчёт «История остатков»	как загрузить отчеты маркетплейса	F3	F3	COMPATIBLE	AMBIGUOUS	GENERIC_SPECIFIC_COMPATIBLE	COMPATIBLE	ONE_CURRENT_SERP	NONE	M9BRW2Q_009_f89f2eed596da6c9	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	M9BRW2Q_009_f89f2eed596da6c9:RU225:TOP100:ACCEPTED_TOP20_PROJECTION	H_INSUFFICIENT_BOUNDARY	HOLD_BOUNDARY	H_MIXED_INTENT_BOUNDARY	Mixed versus single-funnel intent leaves one shared-answer decision unresolved; URL overlap alone does not settle it. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 HOLD_BOUNDARY remains immutable; this material owner boundary is not resolved.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_f2c87c0741252a78 | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv#M9PAIR_f2c87c0741252a78 | NO_TARGETED_M10D_EFFECT
M9PAIR_10ad8596b20b0bb0	M8SID_1d9b00510d4544c8	M8SID_fb4d67f1c380d11c	Управление остатками на Wildberries: как использовать отчёт «История остатков»	аналитика маркетплейсов топ сервисов	F3	F3	DIFFERENT	AMBIGUOUS	GENERIC_SPECIFIC_COMPATIBLE	COMPATIBLE	ONE_CURRENT_SERP	NONE	M9BRW2Q_002_fb4d67f1c380d11c	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	M9BRW2Q_002_fb4d67f1c380d11c:RU225:TOP100:ACCEPTED_TOP20_PROJECTION	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_TASK_DIFFERENT	Accepted M8/M9 task signatures require distinct satisfaction jobs; Search URLs do not override different tasks. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_10ad8596b20b0bb0 | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
M9PAIR_cb350b435639ec94	M8SID_1d9b00510d4544c8	M8SID_fd88d7d9e3b2e406	Управление остатками на Wildberries: как использовать отчёт «История остатков»	chatgpt для маркетплейсов	F3	F2	DIFFERENT	AMBIGUOUS	GENERIC_SPECIFIC_COMPATIBLE	COMPATIBLE	ONE_CURRENT_SERP	NONE	M4QR2Q00016	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	M4QR2Q00016:RU225:TOP100	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_TASK_DIFFERENT	Accepted M8/M9 task signatures require distinct satisfaction jobs; Search URLs do not override different tasks. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_cb350b435639ec94 | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
M9PAIR_770e5774f6f7b526	M8SID_1d9b00510d4544c8	M8SID_fec20a96bbee4f45	Управление остатками на Wildberries: как использовать отчёт «История остатков»	Статистика и аналитика продаж на Wildberries	F3	F3	DIFFERENT	SAME	SAME	COMPATIBLE	NO_CURRENT_SERP	NONE	NONE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	NO_CURRENT_EXACT_SERP	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_TASK_DIFFERENT	Accepted M8/M9 task signatures require distinct satisfaction jobs; Search URLs do not override different tasks. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_770e5774f6f7b526 | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
M9PAIR_29917c1a7633e29e	M8SID_21a051e61744f9fa	M8SID_21a8a6bdb4a71db0	Сверка отчётов и выплат Wildberries: статусы, источники и контрольные суммы	ии агент для селлера	F3	F1	DIFFERENT	AMBIGUOUS	AMBIGUOUS	COMPATIBLE	ONE_CURRENT_SERP	NONE	M9BRW2Q_005_21a8a6bdb4a71db0	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	M9BRW2Q_005_21a8a6bdb4a71db0:RU225:TOP100:ACCEPTED_TOP20_PROJECTION	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_TASK_DIFFERENT	Accepted M8/M9 task signatures require distinct satisfaction jobs; Search URLs do not override different tasks. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_29917c1a7633e29e | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
M9PAIR_3e85d31f7696bfea	M8SID_21a051e61744f9fa	M8SID_24825275388a8170	Сверка отчётов и выплат Wildberries: статусы, источники и контрольные суммы	нейросеть для работы с маркетплейсами	F3	F4	DIFFERENT	SAME	GENERIC_SPECIFIC_COMPATIBLE	COMPATIBLE	ONE_CURRENT_SERP	NONE	M9BRW2Q_003_24825275388a8170	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	M9BRW2Q_003_24825275388a8170:RU225:TOP100:ACCEPTED_TOP20_PROJECTION	C_NON_SERP_TASK_SPLIT	SPLIT_SUPPORTED	S_TASK_DIFFERENT	Accepted M8/M9 task signatures require distinct satisfaction jobs; Search URLs do not override different tasks. Search visibility is not Wordstat demand; no page owner assigned.	Current exact RU225 Top10/Top20 URL/domain sets only where bilateral; M4A page type only from frozen R2 relation. No Alice, demand inference or page owner.	NONE_NO_TARGETED_M10D_OBSERVATION	NOT_APPLICABLE_HOLD_OWNER	NONE_HOLD	NONE_HOLD	NON_OWNER_PAIR	At least one M9 cluster has HOLD_NO_FINAL_OWNER; M9 SPLIT_SUPPORTED remains immutable; no page-owner compatibility verdict is inferred for an unassigned endpoint.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv#M9PAIR_3e85d31f7696bfea | NON_MATERIAL_M9_PAIR | NO_TARGETED_M10D_EFFECT
