test_id	scenario	expected_guard	observed	verdict	evidence_refs
AD11_MATERIAL_HOLD_NO_IMPLICIT_RESOLUTION	Material hold no implicit resolution	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	all 1399 material boundaries retained, none silently resolved	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD12_ENRICH_NOT_OWNER_AUTHORITY	Enrich not owner authority	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	ENRICH not promoted into owner authority	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD13_M10D_HOLD_NOT_SILENTLY_RESOLVED	M10d hold not silently resolved	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	M10D HOLD never silently resolved	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD14_FAKE_CREATE_FORBIDDEN	Fake create forbidden	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	one distinct Search-supported bounded analytical CREATE; AI alone not CREATE evidence	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD15_DUPLICATE_PAGE_PURPOSE	Duplicate page purpose	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	HOME/analytics page-purpose separation independently supported	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD16_PRODUCT_TRUTH_BOUNDARY	Product truth boundary	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	both owners bound to permitted seller data, no mutation or unsupported intelligence	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD17_EXISTING_SURFACE_NOT_AUTO_OWNER	Existing surface not auto owner	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	physical privacy/support/install do not become SEO owner	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD18_SECONDARY_CLUSTER_ROUTE_RULE	Secondary cluster route rule	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	no held cluster silently routed as secondary coverage	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD19_ORPHAN_ASSIGNED_OWNER	Orphan assigned owner	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	each non-home assigned indexable page has required incoming link	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD20_IA_ENDPOINT_VALIDITY	Ia endpoint validity	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	IA endpoints valid; no self edge	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD21_PARENT_CHILD_ACYCLIC	Parent child acyclic	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	parent-child DAG consists solely of HOME -> analytics	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD22_FINAL_URL_H1_TITLE_FORBIDDEN	Final url h1 title forbidden	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	no planned URL/H1/Title/description decision	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD23_PROVIDER_WEB_SITE_MUTATION_FORBIDDEN	Provider web site mutation forbidden	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	all governing Git files remain unchanged; no provider/web/GitHub/site mutations issued	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
AD24_M12_EXECUTION_LEAK_FORBIDDEN	M12 execution leak forbidden	Full-volume frozen Search, Product Truth, M10A and target-specific M10D constraints must hold	page jobs and IA only; no M12 content specification	PASS	docs/seo/M11_FINAL_PAGE_OWNERSHIP_IA_INPUT_MANIFEST_2026-09-25_R1.json | docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R2/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv | docs/seo/work_return/M10A_SEARCH_ONLY_PAGE_IA_BASELINE_2026-09-24_R1/M10A_CANNIBALIZATION_BOUNDARY.tsv | docs/seo/work_return/M10D_SEARCH_VS_AI_RECONCILIATION_2026-09-25_R1/M10D_CASE_RECONCILIATION.tsv
