cluster_id	cluster_state	member_count	member_semantic_identity_ids	canonical_cluster_label	primary_user_job	intent_primary	intent_mixed_notes	marketplace_scope	product_fit_boundary	search_anchor_identity_ids	exact_serp_member_count	pairwise_merge_count	external_material_hold_count	serp_evidence_summary	exact_url_overlap_summary	result_page_type_expectation	merge_rationale	split_boundary_rationale	cannibalization_risk	ambiguity_hold	hold_reopen_rule	upstream_m8_refs	search_evidence_refs	claim_boundary
M9CL_a03366ab2f0a93ef	HOLD_CLUSTER_BOUNDARY	1	M8SID_21a8a6bdb4a71db0	ии агент для селлера	Find a suitable AI assistant for Ozon/WB seller work through an owned web AI	COMMERCIAL_INVESTIGATION	NONE	UNSPECIFIED	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	M8SID_21a8a6bdb4a71db0	1	0	10	1 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 0 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	10 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_21a8a6bdb4a71db0	M9BRW2Q_005_21a8a6bdb4a71db0:RU225:TOP100	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_994f2db1cb2d47e9	HOLD_CLUSTER_BOUNDARY	1	M8SID_24825275388a8170	нейросеть для работы с маркетплейсами	Get help understanding daily seller operations from permitted data	MIXED	NONE	GENERIC	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	M8SID_24825275388a8170	1	0	13	1 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 1 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	13 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_24825275388a8170	M9BRW2Q_003_24825275388a8170:RU225:TOP100	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_6bc077568abecff2	HOLD_CLUSTER_BOUNDARY	1	M8SID_250abbb38cffed7a	Как скачать отчёт о продажах на Wildberries	Read and interpret available seller-owned marketplace reports and metrics	INFORMATIONAL	NONE	WILDBERRIES	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	M8SID_250abbb38cffed7a	1	0	39	1 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 0 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	39 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_250abbb38cffed7a	M9BRW2Q_012_250abbb38cffed7a:RU225:TOP100	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_279f4d817e7dce07	HOLD_CLUSTER_BOUNDARY	1	M8SID_26313942bc9cfe04	Аналитика продаж на Вайлдберриз в программе для интеграции с маркетплейсами	Read and interpret available seller-owned marketplace reports and metrics	MIXED	NONE	WILDBERRIES	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	NONE	0	0	25	0 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 0 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	25 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_26313942bc9cfe04	NO_CURRENT_EXACT_SERP	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_8f0e6e3238f52a2b	HOLD_CLUSTER_BOUNDARY	1	M8SID_2a1f3b8d04a0da08	Отчёт «Доходы и расходы» Wildberries: как читать и сверять	Read and interpret available seller-owned marketplace reports and metrics	MIXED	NONE	WILDBERRIES	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	NONE	0	0	36	0 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 0 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	36 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_2a1f3b8d04a0da08	NO_CURRENT_EXACT_SERP	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_46d51fc29ba2e60b	HOLD_CLUSTER_BOUNDARY	1	M8SID_2b25fa19b017655f	Как сверить финансовые отчеты Wildberries?	Read and interpret available seller-owned marketplace reports and metrics	INFORMATIONAL	NONE	WILDBERRIES	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	M8SID_2b25fa19b017655f	1	0	28	1 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 0 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	28 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_2b25fa19b017655f	M9BRW2Q_013_2b25fa19b017655f:RU225:TOP100	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_02025a258eff8c3d	HOLD_CLUSTER_BOUNDARY	1	M8SID_3251f136551cd109	ии ассистент для маркетплейсов	Find a suitable AI assistant for Ozon/WB seller work through an owned web AI	COMMERCIAL_INVESTIGATION	NONE	GENERIC	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	M8SID_3251f136551cd109	1	0	10	1 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 0 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	10 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_3251f136551cd109	M4QR2Q00026:RU225:TOP100	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_9d0077e8f75a1708	HOLD_CLUSTER_BOUNDARY	1	M8SID_352b640652184f81	расширение для аналитики маркетплейсов	Inspect and understand seller-owned sales and report data with an owned AI	COMMERCIAL_INVESTIGATION	NONE	GENERIC	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	M8SID_352b640652184f81	1	0	22	1 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 3 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	22 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_352b640652184f81	M4QR2Q00041:RU225:TOP100	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_db048338baaeca8c	HOLD_CLUSTER_BOUNDARY	1	M8SID_3584fdc5b76fc551	ии для аналитики маркетплейсов	Inspect and understand seller-owned sales and report data with an owned AI	COMMERCIAL_INVESTIGATION	NONE	GENERIC	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	M8SID_3584fdc5b76fc551	1	0	39	1 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 2 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	39 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_3584fdc5b76fc551	M4QR2Q00027:RU225:TOP100	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_cfaa51fe2ecad73f	HOLD_CLUSTER_BOUNDARY	1	M8SID_3a3efaeed3152b7e	ии ассистент для озон	Find a suitable AI assistant for Ozon/WB seller work through an owned web AI	COMMERCIAL_INVESTIGATION	NONE	OZON	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	M8SID_3a3efaeed3152b7e	1	0	9	1 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 0 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	9 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_3a3efaeed3152b7e	M9BRW2Q_011_3a3efaeed3152b7e:RU225:TOP100	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_2bf4cc28a5b1b541	HOLD_CLUSTER_BOUNDARY	1	M8SID_3ac8d30877f874f9	сервисы аналитики маркетплейсов топ	Inspect and understand seller-owned sales and report data with an owned AI	COMMERCIAL_INVESTIGATION	NONE	GENERIC	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	M8SID_3ac8d30877f874f9	1	0	17	1 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 4 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	17 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_3ac8d30877f874f9	M9BRQ_022_3ac8d30877f874f9:RU225:TOP100	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_a1aadae12e8466eb	HOLD_CLUSTER_BOUNDARY	1	M8SID_3b03ea8b493492c0	Как сквозная аналитика продаж поможет вам больше зарабатывать на маркетплейсах	Read and interpret available seller-owned marketplace reports and metrics	INFORMATIONAL	NONE	GENERIC	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	NONE	0	0	18	0 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 0 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	18 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_3b03ea8b493492c0	NO_CURRENT_EXACT_SERP	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_e6914021014018ac	HOLD_CLUSTER_BOUNDARY	1	M8SID_3b92dfcc2a1d077e	сервис аналитика продаж на маркетплейсах	Inspect and understand seller-owned sales and report data with an owned AI	COMMERCIAL_INVESTIGATION	NONE	GENERIC	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	M8SID_3b92dfcc2a1d077e	1	0	24	1 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 1 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	24 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_3b92dfcc2a1d077e	M9BRQ_013_3b92dfcc2a1d077e:RU225:TOP100	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_d755a1fe3e51ac2e	HOLD_CLUSTER_BOUNDARY	1	M8SID_3bf57790dda15865	Сверка отчетов с Wildberries	Read and interpret available seller-owned marketplace reports and metrics	MIXED	NONE	WILDBERRIES	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	M8SID_3bf57790dda15865	1	0	36	1 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 0 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	36 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_3bf57790dda15865	M9BRQ_009_3bf57790dda15865:RU225:TOP100	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_433249de25051688	HOLD_CLUSTER_BOUNDARY	1	M8SID_3e26a6dc912542f5	бесплатный сервис аналитики маркетплейсов	Inspect and understand seller-owned sales and report data with an owned AI	COMMERCIAL_INVESTIGATION	NONE	GENERIC	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	M8SID_3e26a6dc912542f5	1	0	24	1 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 1 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	24 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_3e26a6dc912542f5	M9BRQ_014_3e26a6dc912542f5:RU225:TOP100	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
M9CL_4a7d76c662c7f172	HOLD_CLUSTER_BOUNDARY	1	M8SID_3ebb28124694e272	отчеты продаж маркетплейсов	Inspect and understand seller-owned sales and report data with an owned AI	COMMERCIAL_INVESTIGATION	NONE	GENERIC	SUPPORTED_WITH_BOUNDARY; seller-owned permitted data, read-only and no unsupported write-back	M8SID_3ebb28124694e272	1	0	23	1 accepted current exact RU225 Search anchor(s); 22 M4Q and 25 Wave1 sources remain distinct.	NO_INTRA_PAIR; NA_NOT_COMPARABLE	NA_NOT_AUTHORIZED	0 fully supported intra pair(s); 1 positive external pair(s) remain in pair evidence.	Other supported splits remain in complete pair evidence; absent Search never automatically implies split.	UNRESOLVED_POTENTIAL_OVERLAP	23 external material unresolved boundary pair(s)	Resolve exact residual pair boundary with accepted same-context Search or distinct task/product authority; rerun all 5356 pairs	M8SID_3ebb28124694e272	M4QR2Q00036:RU225:TOP100	Search-only M9 cluster status, not final page ownership, URL, H1, Title, IA or Alice evidence.
