hold_id	pair_id	semantic_identity_id_a	semantic_identity_id_b	cluster_id_a	cluster_id_b	pair_reason_code	exact_unknown	current_evidence	missing_evidence	why_not_guess	blocking_for_m10a	reopen_trigger	claim_boundary
M9HOLD_00011	M9PAIR_01e40bb29507ce3d	M8SID_c4d7f4ca514dc5fd	M8SID_c65a5e24dfdb39bc	M9CL_3e9cae524f2ba50c	M9CL_0ac1770f2755faaf	H_GENERIC_SPECIFIC_UNRESOLVED	One honest shared user answer for 'ии анализ продаж маркетплейсов' and 'отчет маркетплейса вайлдберриз' remains unproved under frozen task/intent/scope/product boundaries.	BOTH_CURRENT_SERP; Top10 exact URL overlap 0; Top20 0; reason H_GENERIC_SPECIFIC_UNRESOLVED; M9BRQ_006_c4d7f4ca514dc5fd:RU225:TOP100:ACCEPTED_TOP20_PROJECTION | M4QR2Q00032:RU225:TOP100.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00012	M9PAIR_01f592185674b16a	M8SID_ce7224790a6414bc	M8SID_f1b688e71eecda16	M9CL_3fa365944fd8b8fa	M9CL_c8ef71d4b04d08cf	H_MIXED_INTENT_BOUNDARY	One honest shared user answer for 'Аналитика Wildberries: ТОП показателей и инструментов' and 'программы аналитика маркетплейсов' remains unproved under frozen task/intent/scope/product boundaries.	ONE_CURRENT_SERP; Top10 exact URL overlap NA_NOT_COMPARABLE; Top20 NA_NOT_COMPARABLE; reason H_MIXED_INTENT_BOUNDARY; M9BRQ_020_f1b688e71eecda16:RU225:TOP100:ACCEPTED_TOP20_PROJECTION.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00013	M9PAIR_02bc817b692d0a57	M8SID_0ce35825bf4cba3b	M8SID_f89f2eed596da6c9	M9CL_ee5c28cd547da2e7	M9CL_60ecfdfdf15511dc	H_MIXED_INTENT_BOUNDARY	One honest shared user answer for 'Воронка продаж на Wildberries: как бесплатный отчёт находит слабые места' and 'как загрузить отчеты маркетплейса' remains unproved under frozen task/intent/scope/product boundaries.	ONE_CURRENT_SERP; Top10 exact URL overlap NA_NOT_COMPARABLE; Top20 NA_NOT_COMPARABLE; reason H_MIXED_INTENT_BOUNDARY; M9BRW2Q_009_f89f2eed596da6c9:RU225:TOP100:ACCEPTED_TOP20_PROJECTION.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00014	M9PAIR_02d777076d8144f1	M8SID_2a1f3b8d04a0da08	M8SID_b2c582967d3dea97	M9CL_8f0e6e3238f52a2b	M9CL_584563dff9997c98	H_MIXED_INTENT_BOUNDARY	One honest shared user answer for 'Отчёт «Доходы и расходы» Wildberries: как читать и сверять' and 'Как читать финансовый отчет WILDBERRIES за 5 минут?' remains unproved under frozen task/intent/scope/product boundaries.	NO_CURRENT_SERP; Top10 exact URL overlap NA_NOT_COMPARABLE; Top20 NA_NOT_COMPARABLE; reason H_MIXED_INTENT_BOUNDARY; NO_CURRENT_EXACT_SERP.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00015	M9PAIR_02e15602fba578a7	M8SID_def0afbc32106614	M8SID_ee6b9436900836db	M9CL_50d7bf9bbe2a0dff	M9CL_88cb2602f75e6f48	H_MIXED_INTENT_BOUNDARY	One honest shared user answer for 'Сводный отчёт по продавцу' and 'отчет маркетплейса озон' remains unproved under frozen task/intent/scope/product boundaries.	ONE_CURRENT_SERP; Top10 exact URL overlap NA_NOT_COMPARABLE; Top20 NA_NOT_COMPARABLE; reason H_MIXED_INTENT_BOUNDARY; M4QR2Q00033:RU225:TOP100.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00016	M9PAIR_03305c96e284e084	M8SID_b2c582967d3dea97	M8SID_b5ea13003e4c370e	M9CL_584563dff9997c98	M9CL_2f145a3b5c056ace	H_ONE_SERP_INSUFFICIENT	One honest shared user answer for 'Как читать финансовый отчет WILDBERRIES за 5 минут?' and 'где скачать отчет о выкупах маркетплейсов' remains unproved under frozen task/intent/scope/product boundaries.	ONE_CURRENT_SERP; Top10 exact URL overlap NA_NOT_COMPARABLE; Top20 NA_NOT_COMPARABLE; reason H_ONE_SERP_INSUFFICIENT; M9BRW2Q_008_b5ea13003e4c370e:RU225:TOP100:ACCEPTED_TOP20_PROJECTION.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00017	M9PAIR_0362ec473e06f313	M8SID_78187c521b37867e	M8SID_91da785ba085dc94	M9CL_76d530948f2a83bc	M9CL_18591a5da8d7a451	H_MIXED_INTENT_BOUNDARY	One honest shared user answer for 'отчеты маркетплейсов примеры' and 'Правила работы с возвратами на маркетплейсах: условия торговых платформ и советы по снижению показателя' remains unproved under frozen task/intent/scope/product boundaries.	ONE_CURRENT_SERP; Top10 exact URL overlap NA_NOT_COMPARABLE; Top20 NA_NOT_COMPARABLE; reason H_MIXED_INTENT_BOUNDARY; M9BRQ_002_78187c521b37867e:RU225:TOP100:ACCEPTED_TOP20_PROJECTION.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00018	M9PAIR_03ec4f79eb4b496e	M8SID_9abd6603016eb220	M8SID_ed858336de500ab2	M9CL_a376985a8068ec48	M9CL_2637e53fc435b258	H_NO_BILATERAL_SERP_SAME_TASK	One honest shared user answer for 'Комиссии на Wildberries: почему в отчёте одна ставка, а в тарифах другая' and 'Внутренняя аналитика Wildberries: карта отчётов и еженедельный разбор' remains unproved under frozen task/intent/scope/product boundaries.	NO_CURRENT_SERP; Top10 exact URL overlap NA_NOT_COMPARABLE; Top20 NA_NOT_COMPARABLE; reason H_NO_BILATERAL_SERP_SAME_TASK; NO_CURRENT_EXACT_SERP.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00019	M9PAIR_03f882369ac9890e	M8SID_544e197891683f4c	M8SID_c4d7f4ca514dc5fd	M9CL_261f95ceaf310c3a	M9CL_3e9cae524f2ba50c	H_MIXED_INTENT_BOUNDARY	One honest shared user answer for 'Аналитика продавца Wildberries: как читать отчёты и находить точки роста' and 'ии анализ продаж маркетплейсов' remains unproved under frozen task/intent/scope/product boundaries.	ONE_CURRENT_SERP; Top10 exact URL overlap NA_NOT_COMPARABLE; Top20 NA_NOT_COMPARABLE; reason H_MIXED_INTENT_BOUNDARY; M9BRQ_006_c4d7f4ca514dc5fd:RU225:TOP100:ACCEPTED_TOP20_PROJECTION.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00020	M9PAIR_03fca9079007b4f0	M8SID_3ebb28124694e272	M8SID_a5452022da8e1c54	M9CL_4a7d76c662c7f172	M9CL_7b0e9f96b0e08782	H_MIXED_INTENT_BOUNDARY	One honest shared user answer for 'отчеты продаж маркетплейсов' and 'Аналитика Wildberries: отчёты, метрики и дашборды продавца' remains unproved under frozen task/intent/scope/product boundaries.	ONE_CURRENT_SERP; Top10 exact URL overlap NA_NOT_COMPARABLE; Top20 NA_NOT_COMPARABLE; reason H_MIXED_INTENT_BOUNDARY; M4QR2Q00036:RU225:TOP100.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00021	M9PAIR_0412f131723c8ab3	M8SID_0ce35825bf4cba3b	M8SID_50e949b2f6a4c494	M9CL_ee5c28cd547da2e7	M9CL_9d782abd2186f6e2	H_NO_BILATERAL_SERP_SAME_TASK	One honest shared user answer for 'Воронка продаж на Wildberries: как бесплатный отчёт находит слабые места' and 'Работа c маркетплейсом: отчеты и аналитика' remains unproved under frozen task/intent/scope/product boundaries.	NO_CURRENT_SERP; Top10 exact URL overlap NA_NOT_COMPARABLE; Top20 NA_NOT_COMPARABLE; reason H_NO_BILATERAL_SERP_SAME_TASK; NO_CURRENT_EXACT_SERP.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00022	M9PAIR_0426e145ad54471c	M8SID_2b25fa19b017655f	M8SID_d9a5cc3e810be381	M9CL_46d51fc29ba2e60b	M9CL_c71fcf5e270aecd7	H_MIXED_INTENT_BOUNDARY	One honest shared user answer for 'Как сверить финансовые отчеты Wildberries?' and 'отчеты для селлеров маркетплейсов' remains unproved under frozen task/intent/scope/product boundaries.	BOTH_CURRENT_SERP; Top10 exact URL overlap 0; Top20 0; reason H_MIXED_INTENT_BOUNDARY; M9BRW2Q_013_2b25fa19b017655f:RU225:TOP100:ACCEPTED_TOP20_PROJECTION | M4QR2Q00012:RU225:TOP100.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00023	M9PAIR_0439710ea4d25f44	M8SID_0943a1068e9402f4	M8SID_50e949b2f6a4c494	M9CL_5807efab0bbb4b64	M9CL_9d782abd2186f6e2	H_MIXED_INTENT_BOUNDARY	One honest shared user answer for 'загрузка отчетов с маркетплейсов' and 'Работа c маркетплейсом: отчеты и аналитика' remains unproved under frozen task/intent/scope/product boundaries.	ONE_CURRENT_SERP; Top10 exact URL overlap NA_NOT_COMPARABLE; Top20 NA_NOT_COMPARABLE; reason H_MIXED_INTENT_BOUNDARY; M4QR2Q00025:RU225:TOP100.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00024	M9PAIR_05343261bdf86576	M8SID_15cbb2efd88933f0	M8SID_c9cbb3939920b7ee	M9CL_8dc41c74759b520e	M9CL_ed2d7aae5a2e620a	H_SEARCH_EVIDENCE_CONFLICT	One honest shared user answer for 'плагин аналитики маркетплейсов' and 'сервис аналитики маркетплейсов' remains unproved under frozen task/intent/scope/product boundaries.	BOTH_CURRENT_SERP; Top10 exact URL overlap 1; Top20 1; reason H_SEARCH_EVIDENCE_CONFLICT; M9BRQ_011_15cbb2efd88933f0:RU225:TOP100:ACCEPTED_TOP20_PROJECTION | M4QR2Q00042:RU225:TOP100.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00025	M9PAIR_054aa12a9de2ce50	M8SID_83f33ee4e629a7c9	M8SID_a5452022da8e1c54	M9CL_adcead7701b4a4b4	M9CL_7b0e9f96b0e08782	H_MIXED_INTENT_BOUNDARY	One honest shared user answer for 'Как читать финансовый отчёт Wildberries и Ozon' and 'Аналитика Wildberries: отчёты, метрики и дашборды продавца' remains unproved under frozen task/intent/scope/product boundaries.	ONE_CURRENT_SERP; Top10 exact URL overlap NA_NOT_COMPARABLE; Top20 NA_NOT_COMPARABLE; reason H_MIXED_INTENT_BOUNDARY; M9BRW2Q_010_83f33ee4e629a7c9:RU225:TOP100:ACCEPTED_TOP20_PROJECTION.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00026	M9PAIR_055ef56343f0aaf4	M8SID_8850a7f387c57a62	M8SID_c6b3851b9dcf0b07	M9CL_caacbc319d4bcb6f	M9CL_80cd29d458ea642b	H_GENERIC_SPECIFIC_UNRESOLVED	One honest shared user answer for 'отчет для селлеров' and 'отчет о списаниях маркетплейс' remains unproved under frozen task/intent/scope/product boundaries.	BOTH_CURRENT_SERP; Top10 exact URL overlap 0; Top20 0; reason H_GENERIC_SPECIFIC_UNRESOLVED; M9BRQ_003_8850a7f387c57a62:RU225:TOP100:ACCEPTED_TOP20_PROJECTION | M4QR2Q00034:RU225:TOP100.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00027	M9PAIR_055fc061686140d2	M8SID_7455a5a41ec9db71	M8SID_a5452022da8e1c54	M9CL_a7c25b124fa757fd	M9CL_7b0e9f96b0e08782	H_NO_BILATERAL_SERP_SAME_TASK	One honest shared user answer for 'Отчёт о реализации Wildberries: как читать финансовый отчёт и сверить выплату' and 'Аналитика Wildberries: отчёты, метрики и дашборды продавца' remains unproved under frozen task/intent/scope/product boundaries.	NO_CURRENT_SERP; Top10 exact URL overlap NA_NOT_COMPARABLE; Top20 NA_NOT_COMPARABLE; reason H_NO_BILATERAL_SERP_SAME_TASK; NO_CURRENT_EXACT_SERP.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00028	M9PAIR_056b91dfc90452a1	M8SID_b5ddcf597a798e80	M8SID_df79f0c3371689ed	M9CL_6950959fa0c762cf	M9CL_9f80eb481788313c	H_NO_BILATERAL_SERP_SAME_TASK	One honest shared user answer for 'Удержания рядом с комиссией Wildberries: как разделить начисления в отчёте' and 'Отчёт о продажах Wildberries: как читать и выгружать' remains unproved under frozen task/intent/scope/product boundaries.	NO_CURRENT_SERP; Top10 exact URL overlap NA_NOT_COMPARABLE; Top20 NA_NOT_COMPARABLE; reason H_NO_BILATERAL_SERP_SAME_TASK; NO_CURRENT_EXACT_SERP.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
M9HOLD_00029	M9PAIR_066f46fc2810caab	M8SID_3ebb28124694e272	M8SID_c673d63396e872d3	M9CL_4a7d76c662c7f172	M9CL_896f32bed9216251	H_MIXED_INTENT_BOUNDARY	One honest shared user answer for 'отчеты продаж маркетплейсов' and 'Внутренняя аналитика WILDBERRIES. Как читать отчеты в личном кабинете?' remains unproved under frozen task/intent/scope/product boundaries.	ONE_CURRENT_SERP; Top10 exact URL overlap NA_NOT_COMPARABLE; Top20 NA_NOT_COMPARABLE; reason H_MIXED_INTENT_BOUNDARY; M4QR2Q00036:RU225:TOP100.	Accepted distinct page-satisfaction proof or resolving exact current Search/task/product evidence; URL count alone is insufficient.	Frozen user task/intent/product/scope remain compatible or ambiguous and evidence cannot license merge or split.	YES	Accepted resolution of exact pair after full M9 rerun or separately governed evidence; no one-pair patch.	Material pair HOLD blocks retained cluster state; not a provisional URL/page owner.
