diagnostic_id	diagnostic_class	tested_universe	observed_conflict	expected_review	final_resolution	changed_by_diagnostic	sibling_impact_checked	notes	evidence_refs
M9DIAG_011	UNCHANGED_SEARCH_DECISION_STABILITY	3655 unchanged-comparability pairs	0 pair state/reason change.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Includes all 1081 accepted R1 bilateral pairs.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_012	ONE_SIDED_HOLD_NEW_EVIDENCE	all R1 ONE pairs	Every decision change requires a new accepted Wave2 anchor; zero stable pair changes.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Full pair old/new relation scan.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_013	NO_SERP_HOLD_NEW_EVIDENCE	all R1 NO pairs	Every decision change requires a new accepted Wave2 anchor; zero stable pair changes.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Full pair old/new relation scan.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_014	ZERO_OVERLAP_SPLIT	all bilateral zero-overlap splits	1483 splits all carry accepted non-overlap semantic/page-type separation.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	No split reason solely based on zero URL.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_015	HIGH_OVERLAP_DIFFERENT_TASK	all bilateral pairs	6 task-DIFFERENT pairs with at least 3 Top10 common URLs, all split by task.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Shared URLs never override distinct seller jobs.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_016	COMPLETE_LINK_TRANSITIVE	all 28 supported edges; 104 memberships	0 non-merge intra pairs in retained clusters; 28 supported edges remain unmaterialized due external HOLD.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	No transitive chain group.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_017	GIANT_F3_ANALYTICS	all F3 intra pairs	No broad F3 family turned into a retained page cluster.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Complete-link plus material-HOLD gate.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_018	MARKETPLACE_GENERIC_SPECIFIC	all scope-different/generic-specific pairs	No generic/Ozon/Wildberries overmerge from lexical recurrence.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Materially distinct named reports retain separate answer.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_019	SERVICE_COMPARISON_VS_REPORT	all 5356 pairs	Different comparison/report satisfaction jobs never merged.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Frozen task signatures and intent applied before Search overlap.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_020	F1_AGENT_VS_F2_CONNECT	all 5356 pairs	Different agent-discovery and bring-own-AI connection jobs never merged.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Frozen task and product boundaries retained.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_021	REPORT_VS_AD_DRR	all 5356 pairs	Ads/DRR versus generic reports never merged by generic marketplace tokens.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Frozen task/product semantics retained.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_022	EXTERNAL_MATERIAL_HOLD	1399 recomputed material HOLDs; 104 clusters	0 retained with an outside material HOLD.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Material predicate independently rederived from all final pairs.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_023	NO_SERP_SINGLETON	39 missing exact snapshots	0 no-SERP singleton retained on missing Search alone.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Missing exact authority never treated as zero overlap.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_024	NONWORKING_ADMISSION	7913 M8 eligibility rows	0 Review-Hold/Excluded/Brand in pair, cluster or membership.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	104 Working identities only.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_025	DUPLICATE_MEMBERSHIP	104 eligible identities	0 duplicated/missing member or inconsistent cluster ID.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	Deterministic SHA256 group IDs audited.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_026	ALL_21_PRIOR_POSITIVE_EDGES	21 accepted R1 merge edges	21/21 independently rechecked under current exact evidence; 0 lost.	Full frozen Search/task/product/page-type contract.	PASS	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	R1 pair IDs joined to final pair ledger and new Search comparability.	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_027	ORIGINAL_MERGE_EDGE_1	one historic positive edge	M9PAIR_63bc080d35f91592: MERGE_SUPPORTED, M_SERP_URL_CONVERGENCE, BOTH_CURRENT_SERP.	Full frozen Search/task/product/page-type contract.	PASS; unmaterialized while external HOLD remains.	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	отчеты продаж маркетплейсов ↔ отчеты маркетплейсов	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_028	ORIGINAL_MERGE_EDGE_2	one historic positive edge	M9PAIR_d8d09565d02e3ba1: MERGE_SUPPORTED, M_SERP_URL_CONVERGENCE, BOTH_CURRENT_SERP.	Full frozen Search/task/product/page-type contract.	PASS; unmaterialized while external HOLD remains.	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	программа аналитики маркетплейсов ↔ сервис аналитики маркетплейсов	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
M9DIAG_029	ORIGINAL_MERGE_EDGE_3	one historic positive edge	M9PAIR_716f412c856d8db5: MERGE_SUPPORTED, M_SERP_URL_CONVERGENCE, BOTH_CURRENT_SERP.	Full frozen Search/task/product/page-type contract.	PASS; unmaterialized while external HOLD remains.	0	ALL_5356_RECOMPUTED; 0 pair decision(s) changed at mechanism review; no membership changes.	подключить chatgpt к маркетплейсу ↔ chatgpt для маркетплейсов	docs/seo/work_return/M9_BOUNDARY_RESOLUTION_FULL_RERUN_2026-09-24_R1/M9_PAIRWISE_CLUSTER_EVIDENCE.tsv; docs/seo/M9_BOUNDARY_RESOLUTION_SEARCH_ANCHOR_MAP_2026-09-24_R2.tsv; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE1_2026-09-24_R1/M9BR_WAVE1_TOP20_URL_DOMAIN.tsv.gz.b64; docs/seo/serp/raw/M9_BOUNDARY_RESOLUTION_WAVE2_2026-09-24_R1/M9BR_WAVE2_TOP20_URL_DOMAIN.tsv.gz.b64
