semantic_identity_id	cluster_id	cluster_state	m8_primary_state	canonical_display_text	task_signature_for_comparison	marketplace_scope	current_search_anchor_query_id	membership_basis	unresolved_external_material_hold_count	unmaterialized_supported_pair_count	upstream_m8_refs	claim_boundary
M8SID_21a8a6bdb4a71db0	M9CL_a03366ab2f0a93ef	HOLD_CLUSTER_BOUNDARY	WORKING	ии агент для селлера	DISCOVER_AI_ASSISTANT	UNSPECIFIED	M9BRW2Q_005_21a8a6bdb4a71db0	SINGLETON; 10 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	10	0	M8SID_21a8a6bdb4a71db0; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_24825275388a8170	M9CL_994f2db1cb2d47e9	HOLD_CLUSTER_BOUNDARY	WORKING	нейросеть для работы с маркетплейсами	DAILY_AI_HELP	GENERIC	M9BRW2Q_003_24825275388a8170	SINGLETON; 13 material external HOLD pair(s); 1 supported pair(s) remain separately traceable.	13	1	M8SID_24825275388a8170; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_250abbb38cffed7a	M9CL_6bc077568abecff2	HOLD_CLUSTER_BOUNDARY	WORKING	Как скачать отчёт о продажах на Wildberries	REPORT_ACCESS	WILDBERRIES	M9BRW2Q_012_250abbb38cffed7a	SINGLETON; 39 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	39	0	M8SID_250abbb38cffed7a; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_26313942bc9cfe04	M9CL_279f4d817e7dce07	HOLD_CLUSTER_BOUNDARY	WORKING	Аналитика продаж на Вайлдберриз в программе для интеграции с маркетплейсами	ANALYTICS_TOOL	WILDBERRIES	NONE	SINGLETON; 25 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	25	0	M8SID_26313942bc9cfe04; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_2a1f3b8d04a0da08	M9CL_8f0e6e3238f52a2b	HOLD_CLUSTER_BOUNDARY	WORKING	Отчёт «Доходы и расходы» Wildberries: как читать и сверять	REPORT_FINANCIAL	WILDBERRIES	NONE	SINGLETON; 36 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	36	0	M8SID_2a1f3b8d04a0da08; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_2b25fa19b017655f	M9CL_46d51fc29ba2e60b	HOLD_CLUSTER_BOUNDARY	WORKING	Как сверить финансовые отчеты Wildberries?	REPORT_FINANCIAL	WILDBERRIES	M9BRW2Q_013_2b25fa19b017655f	SINGLETON; 28 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	28	0	M8SID_2b25fa19b017655f; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_3251f136551cd109	M9CL_02025a258eff8c3d	HOLD_CLUSTER_BOUNDARY	WORKING	ии ассистент для маркетплейсов	DISCOVER_AI_ASSISTANT	GENERIC	M4QR2Q00026	SINGLETON; 10 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	10	0	M8SID_3251f136551cd109; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_352b640652184f81	M9CL_9d0077e8f75a1708	HOLD_CLUSTER_BOUNDARY	WORKING	расширение для аналитики маркетплейсов	ANALYTICS_TOOL	GENERIC	M4QR2Q00041	SINGLETON; 22 material external HOLD pair(s); 3 supported pair(s) remain separately traceable.	22	3	M8SID_352b640652184f81; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_3584fdc5b76fc551	M9CL_db048338baaeca8c	HOLD_CLUSTER_BOUNDARY	WORKING	ии для аналитики маркетплейсов	AI_ANALYTICS_USE	GENERIC	M4QR2Q00027	SINGLETON; 39 material external HOLD pair(s); 2 supported pair(s) remain separately traceable.	39	2	M8SID_3584fdc5b76fc551; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_3a3efaeed3152b7e	M9CL_cfaa51fe2ecad73f	HOLD_CLUSTER_BOUNDARY	WORKING	ии ассистент для озон	DISCOVER_AI_ASSISTANT	OZON	M9BRW2Q_011_3a3efaeed3152b7e	SINGLETON; 9 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	9	0	M8SID_3a3efaeed3152b7e; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_3ac8d30877f874f9	M9CL_2bf4cc28a5b1b541	HOLD_CLUSTER_BOUNDARY	WORKING	сервисы аналитики маркетплейсов топ	ANALYTICS_COMPARE	GENERIC	M9BRQ_022_3ac8d30877f874f9	SINGLETON; 17 material external HOLD pair(s); 4 supported pair(s) remain separately traceable.	17	4	M8SID_3ac8d30877f874f9; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_3b03ea8b493492c0	M9CL_a1aadae12e8466eb	HOLD_CLUSTER_BOUNDARY	WORKING	Как сквозная аналитика продаж поможет вам больше зарабатывать на маркетплейсах	REPORT_SALES	GENERIC	NONE	SINGLETON; 18 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	18	0	M8SID_3b03ea8b493492c0; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_3b92dfcc2a1d077e	M9CL_e6914021014018ac	HOLD_CLUSTER_BOUNDARY	WORKING	сервис аналитика продаж на маркетплейсах	ANALYTICS_TOOL	GENERIC	M9BRQ_013_3b92dfcc2a1d077e	SINGLETON; 24 material external HOLD pair(s); 1 supported pair(s) remain separately traceable.	24	1	M8SID_3b92dfcc2a1d077e; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_3bf57790dda15865	M9CL_d755a1fe3e51ac2e	HOLD_CLUSTER_BOUNDARY	WORKING	Сверка отчетов с Wildberries	REPORT_FINANCIAL	WILDBERRIES	M9BRQ_009_3bf57790dda15865	SINGLETON; 36 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	36	0	M8SID_3bf57790dda15865; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_3e26a6dc912542f5	M9CL_433249de25051688	HOLD_CLUSTER_BOUNDARY	WORKING	бесплатный сервис аналитики маркетплейсов	ANALYTICS_TOOL	GENERIC	M9BRQ_014_3e26a6dc912542f5	SINGLETON; 24 material external HOLD pair(s); 1 supported pair(s) remain separately traceable.	24	1	M8SID_3e26a6dc912542f5; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_3ebb28124694e272	M9CL_4a7d76c662c7f172	HOLD_CLUSTER_BOUNDARY	WORKING	отчеты продаж маркетплейсов	REPORT_SALES	GENERIC	M4QR2Q00036	SINGLETON; 23 material external HOLD pair(s); 1 supported pair(s) remain separately traceable.	23	1	M8SID_3ebb28124694e272; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_400f6c28e9d7fc9b	M9CL_6f345eee3ba09af0	HOLD_CLUSTER_BOUNDARY	WORKING	Интеграция Claude AI (Anthropic) и Ozon Seller	CONNECT_OWN_AI	OZON	NONE	SINGLETON; 1 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	1	0	M8SID_400f6c28e9d7fc9b; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_41128f837d61e865	M9CL_710651ebc4bae2f1	HOLD_CLUSTER_BOUNDARY	WORKING	аналитика маркетплейсов сервисы анализа	ANALYTICS_COMPARE	GENERIC	M9BRQ_023_41128f837d61e865	SINGLETON; 17 material external HOLD pair(s); 4 supported pair(s) remain separately traceable.	17	4	M8SID_41128f837d61e865; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_437d0cbcb94b3694	M9CL_adc8b5ec6197bdf3	HOLD_CLUSTER_BOUNDARY	WORKING	программа аналитики маркетплейсов	ANALYTICS_TOOL	GENERIC	M9BRW2Q_001_437d0cbcb94b3694	SINGLETON; 23 material external HOLD pair(s); 2 supported pair(s) remain separately traceable.	23	2	M8SID_437d0cbcb94b3694; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_4a1030b3d8bdd2d5	M9CL_3f05678ef9d62960	HOLD_CLUSTER_BOUNDARY	WORKING	подключить ии к маркетплейсу	CONNECT_OWN_AI	GENERIC	M4QR2Q00037	SINGLETON; 8 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	8	0	M8SID_4a1030b3d8bdd2d5; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_4d97378705ba844a	M9CL_274a77f40055dc26	HOLD_CLUSTER_BOUNDARY	WORKING	плагин аналитика маркетплейсов	ANALYTICS_TOOL	GENERIC	M9BRQ_015_4d97378705ba844a	SINGLETON; 22 material external HOLD pair(s); 3 supported pair(s) remain separately traceable.	22	3	M8SID_4d97378705ba844a; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_4ffce42718223241	M9CL_0aed479a81711e7f	HOLD_CLUSTER_BOUNDARY	WORKING	расширение аналитика маркетплейсов	ANALYTICS_TOOL	GENERIC	M9BRQ_016_4ffce42718223241	SINGLETON; 22 material external HOLD pair(s); 3 supported pair(s) remain separately traceable.	22	3	M8SID_4ffce42718223241; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_50e949b2f6a4c494	M9CL_9d782abd2186f6e2	HOLD_CLUSTER_BOUNDARY	WORKING	Работа c маркетплейсом: отчеты и аналитика	REPORT_GENERAL	GENERIC	NONE	SINGLETON; 60 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	60	0	M8SID_50e949b2f6a4c494; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_50ea99098ca3f75a	M9CL_c02ee193ae04ebad	HOLD_CLUSTER_BOUNDARY	WORKING	бесплатная аналитика маркетплейсов расширение	ANALYTICS_TOOL	GENERIC	M9BRQ_017_50ea99098ca3f75a	SINGLETON; 25 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	25	0	M8SID_50ea99098ca3f75a; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_51050ceda2b330da	M9CL_342b5dc4aa0b6cf8	HOLD_CLUSTER_BOUNDARY	WORKING	Как читать и анализировать отчеты о продажах на Wildberries	REPORT_SALES	WILDBERRIES	M9BRW2Q_017_51050ceda2b330da	SINGLETON; 17 material external HOLD pair(s); 1 supported pair(s) remain separately traceable.	17	1	M8SID_51050ceda2b330da; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_529f805abccbf8b2	M9CL_710c43ac2fdf4cc7	HOLD_CLUSTER_BOUNDARY	WORKING	подключить chatgpt к маркетплейсу	CONNECT_OWN_AI	GENERIC	M4QR2Q00013	SINGLETON; 3 material external HOLD pair(s); 1 supported pair(s) remain separately traceable.	3	1	M8SID_529f805abccbf8b2; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_544e197891683f4c	M9CL_261f95ceaf310c3a	HOLD_CLUSTER_BOUNDARY	WORKING	Аналитика продавца Wildberries: как читать отчёты и находить точки роста	REPORT_GENERAL	WILDBERRIES	NONE	SINGLETON; 57 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	57	0	M8SID_544e197891683f4c; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_5fc65259888e054b	M9CL_fe2be547bb98cbe2	HOLD_CLUSTER_BOUNDARY	WORKING	ии ассистент селлера	DISCOVER_AI_ASSISTANT	UNSPECIFIED	M9BRW2Q_006_5fc65259888e054b	SINGLETON; 10 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	10	0	M8SID_5fc65259888e054b; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_644f4afb78dc957a	M9CL_5aa7113efc724f06	HOLD_CLUSTER_BOUNDARY	WORKING	отчеты маркетплейсов	REPORT_GENERAL	GENERIC	M4QR2Q00035	SINGLETON; 45 material external HOLD pair(s); 1 supported pair(s) remain separately traceable.	45	1	M8SID_644f4afb78dc957a; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_6abd740c63a2528a	M9CL_d3c8e648c51f98ec	HOLD_CLUSTER_BOUNDARY	WORKING	аналитика маркетплейсов сервис	ANALYTICS_TOOL	GENERIC	M9BRQ_018_6abd740c63a2528a	SINGLETON; 25 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	25	0	M8SID_6abd740c63a2528a; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_6eb6592464294694	M9CL_a2b4ef64efdfb9f6	HOLD_CLUSTER_BOUNDARY	WORKING	сервис для аналитики продаж на маркетплейсах	ANALYTICS_TOOL	GENERIC	M9BRQ_019_6eb6592464294694	SINGLETON; 24 material external HOLD pair(s); 1 supported pair(s) remain separately traceable.	24	1	M8SID_6eb6592464294694; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_7455a5a41ec9db71	M9CL_a7c25b124fa757fd	HOLD_CLUSTER_BOUNDARY	WORKING	Отчёт о реализации Wildberries: как читать финансовый отчёт и сверить выплату	REPORT_FINANCIAL	WILDBERRIES	NONE	SINGLETON; 36 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	36	0	M8SID_7455a5a41ec9db71; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_78187c521b37867e	M9CL_76d530948f2a83bc	HOLD_CLUSTER_BOUNDARY	WORKING	отчеты маркетплейсов примеры	REPORT_GENERAL	GENERIC	M9BRQ_002_78187c521b37867e	SINGLETON; 46 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	46	0	M8SID_78187c521b37867e; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_7c14f16157d077b9	M9CL_9ef9d5ed87d0b015	HOLD_CLUSTER_BOUNDARY	WORKING	Отчёт по рекламе Wildberries: где смотреть и как анализировать	AD_PERFORMANCE	WILDBERRIES	NONE	SINGLETON; 20 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	20	0	M8SID_7c14f16157d077b9; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_7c23963a6f4bc9db	M9CL_653a524075c126d1	HOLD_CLUSTER_BOUNDARY	WORKING	Сверка отчетов с Ozon	REPORT_FINANCIAL	OZON	M9BRQ_010_7c23963a6f4bc9db	SINGLETON; 19 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	19	0	M8SID_7c23963a6f4bc9db; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_81a0551c95b1343e	M9CL_ffefa36c3120e974	HOLD_CLUSTER_BOUNDARY	WORKING	Отчет по операциям с маркетплейса	REPORT_GENERAL	GENERIC	NONE	SINGLETON; 60 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	60	0	M8SID_81a0551c95b1343e; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_81d8f3590bddaaab	M9CL_e8585808991d65bd	HOLD_CLUSTER_BOUNDARY	WORKING	Как построить воронку продаж на маркетплейсе	REPORT_FUNNEL	GENERIC	M9BRW2Q_018_81d8f3590bddaaab	SINGLETON; 17 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	17	0	M8SID_81d8f3590bddaaab; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_8332eb45850054b1	M9CL_f2b595fb3a090d8f	HOLD_CLUSTER_BOUNDARY	WORKING	ии аналитика маркетплейсов	AI_ANALYTICS_USE	GENERIC	M9BRQ_005_8332eb45850054b1	SINGLETON; 39 material external HOLD pair(s); 2 supported pair(s) remain separately traceable.	39	2	M8SID_8332eb45850054b1; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_83f33ee4e629a7c9	M9CL_adcead7701b4a4b4	HOLD_CLUSTER_BOUNDARY	WORKING	Как читать финансовый отчёт Wildberries и Ozon	REPORT_FINANCIAL	BOTH	M9BRW2Q_010_83f33ee4e629a7c9	SINGLETON; 30 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	30	0	M8SID_83f33ee4e629a7c9; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_853c71e68bd46c94	M9CL_af749ec09b819751	HOLD_CLUSTER_BOUNDARY	WORKING	Аналитика вайлдберриз: в каком отчете верные данные	REPORT_GENERAL	WILDBERRIES	NONE	SINGLETON; 57 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	57	0	M8SID_853c71e68bd46c94; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_8850a7f387c57a62	M9CL_caacbc319d4bcb6f	HOLD_CLUSTER_BOUNDARY	WORKING	отчет для селлеров	REPORT_GENERAL	UNSPECIFIED	M9BRQ_003_8850a7f387c57a62	SINGLETON; 45 material external HOLD pair(s); 1 supported pair(s) remain separately traceable.	45	1	M8SID_8850a7f387c57a62; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_8c1225a6582027f4	M9CL_bae58ac9423f9f3c	HOLD_CLUSTER_BOUNDARY	WORKING	chatgpt для ozon	CONNECT_OWN_AI	OZON	M4QR2Q00001	SINGLETON; 3 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	3	0	M8SID_8c1225a6582027f4; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_8df9f34f2bb7e11a	M9CL_25bf819e5778d7d3	HOLD_CLUSTER_BOUNDARY	WORKING	ии агенты для маркетплейсов	DISCOVER_AI_ASSISTANT	GENERIC	M4QR2Q00008	SINGLETON; 10 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	10	0	M8SID_8df9f34f2bb7e11a; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_91da785ba085dc94	M9CL_18591a5da8d7a451	HOLD_CLUSTER_BOUNDARY	WORKING	Правила работы с возвратами на маркетплейсах: условия торговых платформ и советы по снижению показателя	REPORT_RETURNS	GENERIC	NONE	SINGLETON; 23 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	23	0	M8SID_91da785ba085dc94; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_91db5a13422632c2	M9CL_c6f9d55c55d0a25d	HOLD_CLUSTER_BOUNDARY	WORKING	дрр wildberries	AD_PERFORMANCE	WILDBERRIES	M4QR2Q00024	SINGLETON; 20 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	20	0	M8SID_91db5a13422632c2; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_985f150bb9d0478c	M9CL_abd1bf5b4bfcf6a2	HOLD_CLUSTER_BOUNDARY	WORKING	Отчёт о реализации Ozon: где найти и как сверить выплату	REPORT_FINANCIAL	OZON	NONE	SINGLETON; 19 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	19	0	M8SID_985f150bb9d0478c; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_9abd6603016eb220	M9CL_a376985a8068ec48	HOLD_CLUSTER_BOUNDARY	WORKING	Комиссии на Wildberries: почему в отчёте одна ставка, а в тарифах другая	REPORT_COMMISSION	WILDBERRIES	NONE	SINGLETON; 36 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	36	0	M8SID_9abd6603016eb220; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_9ebe0f620e9744e6	M9CL_d9c788dddddda566	HOLD_CLUSTER_BOUNDARY	WORKING	аналитика маркетплейсов лучшие сервисы	ANALYTICS_COMPARE	GENERIC	M9BRQ_024_9ebe0f620e9744e6	SINGLETON; 17 material external HOLD pair(s); 4 supported pair(s) remain separately traceable.	17	4	M8SID_9ebe0f620e9744e6; W_M2R_PRODUCT_MATCH	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_9f67c7e74f7f9587	M9CL_1de66900c2146c5b	HOLD_CLUSTER_BOUNDARY	WORKING	Финансовый отчет WILDBERRIES – как читать?	REPORT_FINANCIAL	WILDBERRIES	NONE	SINGLETON; 36 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	36	0	M8SID_9f67c7e74f7f9587; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
M8SID_a0b46005e544f2a9	M9CL_b9a650f7e0f5ffc5	HOLD_CLUSTER_BOUNDARY	WORKING	Аналитика комиссии Wildberries: отчёты, сверка и контроль аномалий	REPORT_COMMISSION	WILDBERRIES	NONE	SINGLETON; 36 material external HOLD pair(s); 0 supported pair(s) remain separately traceable.	36	0	M8SID_a0b46005e544f2a9; W_PRODUCT_BOUNDED_COMPETITOR_LANGUAGE	Search-only preliminary M9 cluster state; no final page/URL/title/IA.
