boundary_query_id	wave_order	semantic_identity_id	exact_query_text	query_text_source	query_form_class	query_form_basis	unicode_codepoint_length	word_count	provider_limit_status	open_decision	affected_hold_pair_ids	affected_material_hold_count	affected_anchor_hold_count	blocks_supported_merge_materialization	supported_merge_blocked_edge_ids	one_current_serp_hold_degree	expected_incremental_information_gain	m8_demand_evidence_state	m8_demand_evidence_refs	claim_boundary
M9BRQ_011_15cbb2efd88933f0	11	M8SID_15cbb2efd88933f0	плагин аналитики маркетплейсов	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_15cbb2efd88933f0.canonical_display_text	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	30	3	PASS	Resolve M9 M9PAIR_02cd1039fc0d9603 one-sided HOLD: can exact 'плагин аналитики маркетплейсов' and existing anchor 'расширение для аналитики маркетплейсов' share a product-safe Search answer?	M9PAIR_02cd1039fc0d9603 | M9PAIR_05343261bdf86576 | M9PAIR_0c8046b6a5d93f5b | M9PAIR_10ab517fd3368472 | M9PAIR_2a0525cbff0a4474 | M9PAIR_2d52d9211bf3bfe8 | M9PAIR_2fa9672e175099c7 | M9PAIR_333f6222b7ec9092 | M9PAIR_39e8b92b527236f9 | M9PAIR_63cba01917f5df94 | M9PAIR_69217f4ce009135e | M9PAIR_766bb67539f59ed7 | M9PAIR_811ce2e3a1ea0b5d | M9PAIR_8257266b5436b2a1 | M9PAIR_89a68df2c5fc99a8 | M9PAIR_998ee3ae6bfa2cbd | M9PAIR_a2cdad2a2147e7d2 | M9PAIR_a4ef1d4b786aca36 | M9PAIR_af73fffd86225e5e | M9PAIR_b863961315fb7a78 | M9PAIR_b936493c0d4a0b09 | M9PAIR_c2587f05b4699095 | M9PAIR_d50bbc5dba92f2ef | M9PAIR_ed18bf8d6830596d | M9PAIR_fcae817065a0e8d6 | M9PAIR_fd8980c0162cb6bf	25	4	YES	M9PAIR_d8d09565d02e3ba1	4	Adds current RU225 Top100 exact-query Search side for 4 one-sided HOLD pair(s), including M9PAIR_02cd1039fc0d9603; 4 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_d8d09565d02e3ba1.	M2R_DIRECT_RESULT	M2R:line=684:M2R/M2R-A01	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
M9BRQ_012_17638a451bed5dec	12	M8SID_17638a451bed5dec	сервис внутренней аналитики маркетплейсов	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_17638a451bed5dec.canonical_display_text	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT|TESTED_SEED; empty/totalCount-only is not positive demand.	41	4	PASS	Resolve M9 M9PAIR_7ca2a73712db8d8d one-sided HOLD: can exact 'сервис внутренней аналитики маркетплейсов' and existing anchor 'расширение для аналитики маркетплейсов' share a product-safe Search answer?	M9PAIR_0ca5e58efc9b12a1 | M9PAIR_20fb29a2bc93ad4d | M9PAIR_37c166518ea8bf00 | M9PAIR_3b91dcda56b2b16f | M9PAIR_4c8c240de60b3caf | M9PAIR_4de167aea6070bd1 | M9PAIR_4e869dad89ae5dc1 | M9PAIR_51f4f2edaf46dc88 | M9PAIR_6298c73f65ce9f71 | M9PAIR_635da38f35161689 | M9PAIR_6d04639274ce1fa7 | M9PAIR_740fa609af149a4b | M9PAIR_7ca2a73712db8d8d | M9PAIR_7e7de042bc708dbc | M9PAIR_8f4064bf102dc5c9 | M9PAIR_9f6db73f22b58d99 | M9PAIR_a02e40cb3e4562a0 | M9PAIR_aa0346c05e67540a | M9PAIR_b936493c0d4a0b09 | M9PAIR_c2422cd1636a17b1 | M9PAIR_c5a0e469954d254f | M9PAIR_d0ac1eb9808ef456 | M9PAIR_ec840bcb7a2f6545 | M9PAIR_fc9a5af171f5fa8e | M9PAIR_ff2835105a36bee7 | M9PAIR_ff65092d06705582	25	4	YES	M9PAIR_d8d09565d02e3ba1	4	Adds current RU225 Top100 exact-query Search side for 4 one-sided HOLD pair(s), including M9PAIR_7ca2a73712db8d8d; 4 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_d8d09565d02e3ba1.	M2R_DIRECT_RESULT|TESTED_SEED	M2R:line=317:B01/B01-14 | M2R:line=563:B02/B02-12 | M2R:line=564:B02/B02-12 | M2R:line=733:M2R/M2R-A01	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
M9BRQ_013_3b92dfcc2a1d077e	13	M8SID_3b92dfcc2a1d077e	сервис аналитика продаж на маркетплейсах	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_3b92dfcc2a1d077e.canonical_display_text	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT|TESTED_SEED; empty/totalCount-only is not positive demand.	40	5	PASS	Resolve M9 M9PAIR_7d368ef41c5d422b one-sided HOLD: can exact 'сервис аналитика продаж на маркетплейсах' and existing anchor 'расширение для аналитики маркетплейсов' share a product-safe Search answer?	M9PAIR_15f1a6e85db2f8b5 | M9PAIR_1922dd817a86b387 | M9PAIR_351e1bdeb81f331a | M9PAIR_3bd2db2ce67b84e3 | M9PAIR_3fb5c977657ab95e | M9PAIR_499c7bf225762be3 | M9PAIR_621cf0c357119122 | M9PAIR_639ef977db9a837a | M9PAIR_668830225d12c4c4 | M9PAIR_69217f4ce009135e | M9PAIR_7d368ef41c5d422b | M9PAIR_7ebf3bb50f6ee4ed | M9PAIR_82d2716a44e01046 | M9PAIR_830d7b953ee70908 | M9PAIR_85c3d8cd787c0de7 | M9PAIR_879ab6721f2734c9 | M9PAIR_96dc741dd182ed21 | M9PAIR_aa0346c05e67540a | M9PAIR_ac1f1bd0e24fd860 | M9PAIR_bcce8e1bfacf298d | M9PAIR_cb777dc5b95ac94b | M9PAIR_cdcf66d7b4f8a7d5 | M9PAIR_dc349abe2dc253a2 | M9PAIR_de5ff30c7c238e55 | M9PAIR_eb078a9192cd074c | M9PAIR_f916c357e8a3a789	25	4	YES	M9PAIR_d8d09565d02e3ba1	4	Adds current RU225 Top100 exact-query Search side for 4 one-sided HOLD pair(s), including M9PAIR_7d368ef41c5d422b; 4 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_d8d09565d02e3ba1.	M2R_DIRECT_RESULT|TESTED_SEED	M2R:line=312:B01/B01-14 | M2R:line=524:B02/B02-10 | M2R:line=525:B02/B02-10 | M2R:line=692:M2R/M2R-A01 | M2R:line=810:M2R/M2R-A02	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
M9BRQ_014_3e26a6dc912542f5	14	M8SID_3e26a6dc912542f5	бесплатный сервис аналитики маркетплейсов	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_3e26a6dc912542f5.canonical_display_text	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	41	4	PASS	Resolve M9 M9PAIR_607773bda16f2fda one-sided HOLD: can exact 'бесплатный сервис аналитики маркетплейсов' and existing anchor 'расширение для аналитики маркетплейсов' share a product-safe Search answer?	M9PAIR_11f695f2751b28cb | M9PAIR_13b72bb50f086672 | M9PAIR_15f1a6e85db2f8b5 | M9PAIR_1eb1e329a71fa166 | M9PAIR_35e6f9e2229fc292 | M9PAIR_3f736efb50f50c7b | M9PAIR_41a2130186448083 | M9PAIR_5027f42bc4c146f3 | M9PAIR_5f20bc5966f431fc | M9PAIR_607773bda16f2fda | M9PAIR_766bb67539f59ed7 | M9PAIR_8627c4340cdca87d | M9PAIR_918153824af2bfe9 | M9PAIR_a1f031a5f4aaec9b | M9PAIR_a81bc46949afde13 | M9PAIR_b175b099a59f3ecb | M9PAIR_b8269cff7fb3b1ca | M9PAIR_b9859b30fc2d45b2 | M9PAIR_c146e07e6f13e778 | M9PAIR_cb724884bbdc112a | M9PAIR_d1222cea0d5cfd06 | M9PAIR_d1d9f4753b6222ae | M9PAIR_da723d356e74c731 | M9PAIR_e6c74df135e3dc38 | M9PAIR_ec840bcb7a2f6545 | M9PAIR_f52e0619a08ecc9a	25	4	YES	M9PAIR_d8d09565d02e3ba1	4	Adds current RU225 Top100 exact-query Search side for 4 one-sided HOLD pair(s), including M9PAIR_607773bda16f2fda; 4 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_d8d09565d02e3ba1.	M2R_DIRECT_RESULT	M2R:line=310:B01/B01-14 | M2R:line=686:M2R/M2R-A01	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
M9BRQ_015_4d97378705ba844a	15	M8SID_4d97378705ba844a	плагин аналитика маркетплейсов	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_4d97378705ba844a.canonical_display_text	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	30	3	PASS	Resolve M9 M9PAIR_9e9fbf4667b178a8 one-sided HOLD: can exact 'плагин аналитика маркетплейсов' and existing anchor 'расширение для аналитики маркетплейсов' share a product-safe Search answer?	M9PAIR_0ce20aaaf8461925 | M9PAIR_16f20ba21a09d226 | M9PAIR_17d0af5bbaa9f4be | M9PAIR_1f5f704f29920b0b | M9PAIR_232d50f70d722a6f | M9PAIR_3c236f9059cf3429 | M9PAIR_41d6f2ee266220cc | M9PAIR_51f4f2edaf46dc88 | M9PAIR_639ef977db9a837a | M9PAIR_7093325c73b686e4 | M9PAIR_734eeb55d129eb7d | M9PAIR_89a68df2c5fc99a8 | M9PAIR_8d092437fefbf78a | M9PAIR_8f38c870dbf06e30 | M9PAIR_93e6b6c1fa7fba39 | M9PAIR_98197132c6b16f27 | M9PAIR_9e9fbf4667b178a8 | M9PAIR_c67ed48f1093245f | M9PAIR_c91dd74f53d13677 | M9PAIR_c9f666abde6cac49 | M9PAIR_d1d9f4753b6222ae | M9PAIR_ea54250d0b831c5e | M9PAIR_f4709ae0e28c087d | M9PAIR_f5f1b5999b8ade7c | M9PAIR_f895f349da5ff150 | M9PAIR_f8a07a97153ecd76	25	4	YES	M9PAIR_d8d09565d02e3ba1	4	Adds current RU225 Top100 exact-query Search side for 4 one-sided HOLD pair(s), including M9PAIR_9e9fbf4667b178a8; 4 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_d8d09565d02e3ba1.	M2R_DIRECT_RESULT	M2R:line=683:M2R/M2R-A01	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
M9BRQ_016_4ffce42718223241	16	M8SID_4ffce42718223241	расширение аналитика маркетплейсов	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_4ffce42718223241.canonical_display_text	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	34	3	PASS	Resolve M9 M9PAIR_f38707954e1c5c1b one-sided HOLD: can exact 'расширение аналитика маркетплейсов' and existing anchor 'расширение для аналитики маркетплейсов' share a product-safe Search answer?	M9PAIR_0c8046b6a5d93f5b | M9PAIR_1277d577c8fabc52 | M9PAIR_1a81fb618e8554cf | M9PAIR_41057d1be2903f0b | M9PAIR_4523ba45e7121879 | M9PAIR_5bf96287094e9934 | M9PAIR_60268f65ee5a1d8b | M9PAIR_6464c7e9a1655851 | M9PAIR_679f1f8a41765c80 | M9PAIR_67ac4d0961d48bf4 | M9PAIR_79313fbb615334d4 | M9PAIR_82d7c04aee4f8293 | M9PAIR_8359774fed8c5d77 | M9PAIR_8d092437fefbf78a | M9PAIR_8df413f5fa4dc877 | M9PAIR_96a5718a9135d494 | M9PAIR_97dc46b87e31115d | M9PAIR_9a7b442e97106bb5 | M9PAIR_a02e40cb3e4562a0 | M9PAIR_a81bc46949afde13 | M9PAIR_b7209ac0bd071911 | M9PAIR_b8196809d0238e40 | M9PAIR_d9e043f6da9a7bd5 | M9PAIR_dc349abe2dc253a2 | M9PAIR_e676bb914537ec49 | M9PAIR_f38707954e1c5c1b	25	4	YES	M9PAIR_d8d09565d02e3ba1	4	Adds current RU225 Top100 exact-query Search side for 4 one-sided HOLD pair(s), including M9PAIR_f38707954e1c5c1b; 4 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_d8d09565d02e3ba1.	M2R_DIRECT_RESULT	M2R:line=639:M2R/M2R-A01	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
M9BRQ_017_50ea99098ca3f75a	17	M8SID_50ea99098ca3f75a	бесплатная аналитика маркетплейсов расширение	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_50ea99098ca3f75a.canonical_display_text	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	45	4	PASS	Resolve M9 M9PAIR_abb9221a894d6dc7 one-sided HOLD: can exact 'бесплатная аналитика маркетплейсов расширение' and existing anchor 'расширение для аналитики маркетплейсов' share a product-safe Search answer?	M9PAIR_0ca5e58efc9b12a1 | M9PAIR_0e52cbe485e94f76 | M9PAIR_20d13838481d6fa0 | M9PAIR_232d50f70d722a6f | M9PAIR_26f1001e004d180f | M9PAIR_2a0525cbff0a4474 | M9PAIR_3432578c688cfcad | M9PAIR_38d47347fd4a109e | M9PAIR_4082b166c50c93f9 | M9PAIR_458b570d73f08a61 | M9PAIR_5d399bbceb59f9f2 | M9PAIR_5de259a7ffb5bdc2 | M9PAIR_5f20bc5966f431fc | M9PAIR_6b51cdeb78267028 | M9PAIR_72baef51b47b872e | M9PAIR_7345d6209e9f2caf | M9PAIR_77d7ad841295a7fa | M9PAIR_7adfbdf17bbc1c0e | M9PAIR_85c3d8cd787c0de7 | M9PAIR_a97741c7cf3b295b | M9PAIR_abb9221a894d6dc7 | M9PAIR_b8196809d0238e40 | M9PAIR_c05fac88564caaaa | M9PAIR_e003c684fe556e79 | M9PAIR_e7d1a2df946f4cba | M9PAIR_efc6db17ddbcf012	25	4	YES	M9PAIR_d8d09565d02e3ba1	4	Adds current RU225 Top100 exact-query Search side for 4 one-sided HOLD pair(s), including M9PAIR_abb9221a894d6dc7; 4 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_d8d09565d02e3ba1.	M2R_DIRECT_RESULT	M2R:line=714:M2R/M2R-A01	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
M9BRQ_018_6abd740c63a2528a	18	M8SID_6abd740c63a2528a	аналитика маркетплейсов сервис	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_6abd740c63a2528a.canonical_display_text	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	30	3	PASS	Resolve M9 M9PAIR_aa14a0ae8375d4cb one-sided HOLD: can exact 'аналитика маркетплейсов сервис' and existing anchor 'расширение для аналитики маркетплейсов' share a product-safe Search answer?	M9PAIR_089d9acbd1d608ec | M9PAIR_0a7f7708c1437eee | M9PAIR_0c716a3f7738336f | M9PAIR_0ce20aaaf8461925 | M9PAIR_28e38775776d93b2 | M9PAIR_2bea808f3390e91c | M9PAIR_3f259a54b0ae5142 | M9PAIR_424edc1db1da10f4 | M9PAIR_4523ba45e7121879 | M9PAIR_47b4a36ccc06c786 | M9PAIR_4d31161281d0691c | M9PAIR_5027f42bc4c146f3 | M9PAIR_6a81b1b6f7f74ccb | M9PAIR_7345d6209e9f2caf | M9PAIR_8232394063376d75 | M9PAIR_879ab6721f2734c9 | M9PAIR_93904485527750d9 | M9PAIR_99f575eae99e2b5b | M9PAIR_aa14a0ae8375d4cb | M9PAIR_af73fffd86225e5e | M9PAIR_c03e1146997e6c19 | M9PAIR_d1640bc8db85826a | M9PAIR_d3c49c4c32d9f341 | M9PAIR_ee1670609222eb08 | M9PAIR_fd9506ebfa8e12a4 | M9PAIR_ff65092d06705582	25	4	YES	M9PAIR_d8d09565d02e3ba1	4	Adds current RU225 Top100 exact-query Search side for 4 one-sided HOLD pair(s), including M9PAIR_aa14a0ae8375d4cb; 4 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_d8d09565d02e3ba1.	M2R_DIRECT_RESULT	M2R:line=305:B01/B01-14 | M2R:line=631:M2R/M2R-A01	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
M9BRQ_019_6eb6592464294694	19	M8SID_6eb6592464294694	сервис для аналитики продаж на маркетплейсах	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_6eb6592464294694.canonical_display_text	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT|TESTED_SEED; empty/totalCount-only is not positive demand.	44	6	PASS	Resolve M9 M9PAIR_c00dd35fc645c09f one-sided HOLD: can exact 'сервис для аналитики продаж на маркетплейсах' and existing anchor 'расширение для аналитики маркетплейсов' share a product-safe Search answer?	M9PAIR_0819b4df836c146e | M9PAIR_0ea52645c3752c3a | M9PAIR_105151d6a252e6a1 | M9PAIR_1e9707bb4d2a3777 | M9PAIR_249f519b62b6dab1 | M9PAIR_28e38775776d93b2 | M9PAIR_2b1748f0aad7e352 | M9PAIR_3432578c688cfcad | M9PAIR_363a3e822103eff5 | M9PAIR_3f736efb50f50c7b | M9PAIR_679f1f8a41765c80 | M9PAIR_77e88dfcd4f8e2a1 | M9PAIR_7bb8ada0e195e701 | M9PAIR_8bb4f8cd9e416f51 | M9PAIR_94a4a2cf30b49d7a | M9PAIR_9620d364be33d2e2 | M9PAIR_96605ed7d1d77250 | M9PAIR_a4ef1d4b786aca36 | M9PAIR_ac1f1bd0e24fd860 | M9PAIR_be716e7dbe1c2b1c | M9PAIR_c00dd35fc645c09f | M9PAIR_d0ac1eb9808ef456 | M9PAIR_d2c1bb9e9da851f7 | M9PAIR_d916646821308fe0 | M9PAIR_f5f1b5999b8ade7c | M9PAIR_fc16b3718fc6300e	25	4	YES	M9PAIR_d8d09565d02e3ba1	4	Adds current RU225 Top100 exact-query Search side for 4 one-sided HOLD pair(s), including M9PAIR_c00dd35fc645c09f; 4 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_d8d09565d02e3ba1.	M2R_DIRECT_RESULT|TESTED_SEED	M2R:line=316:B01/B01-14 | M2R:line=526:B02/B02-10 | M2R:line=544:B02/B02-11 | M2R:line=545:B02/B02-11 | M2R:line=732:M2R/M2R-A01 | M2R:line=812:M2R/M2R-A02	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
M9BRQ_020_f1b688e71eecda16	20	M8SID_f1b688e71eecda16	программы аналитика маркетплейсов	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_f1b688e71eecda16.canonical_display_text	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	33	3	PASS	Resolve M9 M9PAIR_385cefa8344f7880 one-sided HOLD: can exact 'программы аналитика маркетплейсов' and existing anchor 'расширение для аналитики маркетплейсов' share a product-safe Search answer?	M9PAIR_01f592185674b16a | M9PAIR_089d9acbd1d608ec | M9PAIR_15d498181981273e | M9PAIR_385cefa8344f7880 | M9PAIR_38d47347fd4a109e | M9PAIR_3a2502b5e27935cc | M9PAIR_3ef6f27c4738ae69 | M9PAIR_4737b8376ca2a98e | M9PAIR_49c3f5d3454e4dab | M9PAIR_6464c7e9a1655851 | M9PAIR_7e7de042bc708dbc | M9PAIR_829df6a430a4a492 | M9PAIR_86cb401861cb7c2a | M9PAIR_8bb4f8cd9e416f51 | M9PAIR_93e6b6c1fa7fba39 | M9PAIR_9cf0c0490d19aba6 | M9PAIR_a7e15ae5f642f783 | M9PAIR_aa4832a40f6786ff | M9PAIR_bcce8e1bfacf298d | M9PAIR_c3d693554bb291d4 | M9PAIR_c61b98f8a0f99f0c | M9PAIR_e6369f4cb3ca9b54 | M9PAIR_e6c74df135e3dc38 | M9PAIR_ea4e1c8ccd6b9f8c | M9PAIR_ed18bf8d6830596d | M9PAIR_f63f3409856ad557	25	4	YES	M9PAIR_d8d09565d02e3ba1	4	Adds current RU225 Top100 exact-query Search side for 4 one-sided HOLD pair(s), including M9PAIR_385cefa8344f7880; 4 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_d8d09565d02e3ba1.	M2R_DIRECT_RESULT	M2R:line=675:M2R/M2R-A01	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
M9BRQ_021_f56a9426dbf7f0a2	21	M8SID_f56a9426dbf7f0a2	сервис аналитика маркетплейсов бесплатно	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_f56a9426dbf7f0a2.canonical_display_text	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	40	4	PASS	Resolve M9 M9PAIR_f78531d2bdd1579c one-sided HOLD: can exact 'сервис аналитика маркетплейсов бесплатно' and existing anchor 'расширение для аналитики маркетплейсов' share a product-safe Search answer?	M9PAIR_0b4ff8c11525a6b9 | M9PAIR_0b84b8ab4532b74b | M9PAIR_10fcacff16a32fc3 | M9PAIR_15d498181981273e | M9PAIR_2284718f3efecfeb | M9PAIR_377c34fb730e4dc8 | M9PAIR_41057d1be2903f0b | M9PAIR_47b4a36ccc06c786 | M9PAIR_4f96f3ce2b3f203f | M9PAIR_63c99829e2abe2fa | M9PAIR_690008a115c8cb8d | M9PAIR_6b51cdeb78267028 | M9PAIR_757e30d315e55529 | M9PAIR_82d2716a44e01046 | M9PAIR_8f4064bf102dc5c9 | M9PAIR_96605ed7d1d77250 | M9PAIR_98197132c6b16f27 | M9PAIR_a546169d4254616a | M9PAIR_b0b240dcd9c5c243 | M9PAIR_b8beb4cf159d1cb3 | M9PAIR_c146e07e6f13e778 | M9PAIR_c73fca7b6631e774 | M9PAIR_d5c2cca1bb9774f1 | M9PAIR_e248da27ab3b8529 | M9PAIR_f78531d2bdd1579c | M9PAIR_fcae817065a0e8d6	25	4	YES	M9PAIR_d8d09565d02e3ba1	4	Adds current RU225 Top100 exact-query Search side for 4 one-sided HOLD pair(s), including M9PAIR_f78531d2bdd1579c; 4 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_d8d09565d02e3ba1.	M2R_DIRECT_RESULT	M2R:line=311:B01/B01-14 | M2R:line=687:M2R/M2R-A01	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
M9BRQ_022_3ac8d30877f874f9	22	M8SID_3ac8d30877f874f9	сервисы аналитики маркетплейсов топ	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_3ac8d30877f874f9.canonical_display_text	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	35	4	PASS	Resolve M9 M9PAIR_160eb83ca9433733 one-sided HOLD: can exact 'сервисы аналитики маркетплейсов топ' and existing anchor 'расширение для аналитики маркетплейсов' share a product-safe Search answer?	M9PAIR_160eb83ca9433733 | M9PAIR_26f1001e004d180f | M9PAIR_351e1bdeb81f331a | M9PAIR_363a3e822103eff5 | M9PAIR_3aa9996ea4928075 | M9PAIR_41d6f2ee266220cc | M9PAIR_4d31161281d0691c | M9PAIR_4de167aea6070bd1 | M9PAIR_59b71433485dad0d | M9PAIR_63e1a7ba4db584ea | M9PAIR_6b7a90ff0209c8b8 | M9PAIR_918153824af2bfe9 | M9PAIR_b0cd12ee33b34f87 | M9PAIR_c3d693554bb291d4 | M9PAIR_cd1caddf6422d3db | M9PAIR_d5c2cca1bb9774f1 | M9PAIR_d72bdb85abc61fc1 | M9PAIR_e676bb914537ec49 | M9PAIR_e7883f7c11fba27c | M9PAIR_e7f782f1ba0f20a0 | M9PAIR_fb15871655e5fabe | M9PAIR_fd8980c0162cb6bf	21	3	YES	M9PAIR_d8d09565d02e3ba1	3	Adds current RU225 Top100 exact-query Search side for 3 one-sided HOLD pair(s), including M9PAIR_160eb83ca9433733; 3 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_d8d09565d02e3ba1.	M2R_DIRECT_RESULT	M2R:line=324:B01/B01-14 | M2R:line=758:M2R/M2R-A01	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
M9BRQ_023_41128f837d61e865	23	M8SID_41128f837d61e865	аналитика маркетплейсов сервисы анализа	docs/seo/work_return/M8_SEARCH_ONLY_SEMANTIC_MASTER_2026-09-24_R3/M8_SEMANTIC_IDENTITY_MASTER.tsv#M8SID_41128f837d61e865.canonical_display_text	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	39	4	PASS	Resolve M9 M9PAIR_c1c2b158a61b1ed0 one-sided HOLD: can exact 'аналитика маркетплейсов сервисы анализа' and existing anchor 'расширение для аналитики маркетплейсов' share a product-safe Search answer?	M9PAIR_1e9707bb4d2a3777 | M9PAIR_1eb1e329a71fa166 | M9PAIR_296ac30ee8b6f00b | M9PAIR_2fa9672e175099c7 | M9PAIR_30185c19b86585f6 | M9PAIR_37c166518ea8bf00 | M9PAIR_458b570d73f08a61 | M9PAIR_46ea1172cfdf0814 | M9PAIR_659716195f951151 | M9PAIR_67ac4d0961d48bf4 | M9PAIR_81d45ae1bff72eff | M9PAIR_99f575eae99e2b5b | M9PAIR_a40f8e901b4b5391 | M9PAIR_a7e15ae5f642f783 | M9PAIR_c1c2b158a61b1ed0 | M9PAIR_c7d5a42872675440 | M9PAIR_cb777dc5b95ac94b | M9PAIR_ddab99bdfcecbb9f | M9PAIR_e248da27ab3b8529 | M9PAIR_e7f782f1ba0f20a0 | M9PAIR_ea54250d0b831c5e | M9PAIR_f04b18a3a65537ed	21	3	YES	M9PAIR_d8d09565d02e3ba1	3	Adds current RU225 Top100 exact-query Search side for 3 one-sided HOLD pair(s), including M9PAIR_c1c2b158a61b1ed0; 3 are material anchor boundaries. Tests external HOLD blocking supported merge edge(s) M9PAIR_d8d09565d02e3ba1.	M2R_DIRECT_RESULT	M2R:line=322:B01/B01-14 | M2R:line=753:M2R/M2R-A01	PLANNING ONLY; no provider release or semantic decision from an unexecuted query.
