semantic_identity_id	canonical_display_text	query_form_class	preacquisition_disposition	deferral_reason	query_form_basis	material_hold_degree	material_hold_to_existing_anchor_degree	one_current_serp_hold_degree	blocks_supported_merge_materialization	reopen_trigger	claim_boundary
M8SID_2a1f3b8d04a0da08	Отчёт «Доходы и расходы» Wildberries: как читать и сверять	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	36	5	5	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_2b25fa19b017655f	Как сверить финансовые отчеты Wildberries?	NATURAL_EXACT_SEARCH_PROBE_NO_DEMAND	DEFER_SEARCH_CANDIDATE	WAVE1_CAP_RANK	Complete standalone question about reconciling WB financial reports.	28	1	1	NO	After terminal Wave 1 and full M9 rerun, reassess residual exact-query gain under a new release.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_3a3efaeed3152b7e	ии ассистент для озон	DEMAND_OR_TESTED_EXACT_QUERY	DEFER_SEARCH_CANDIDATE	WAVE1_CAP_RANK	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT|TESTED_SEED; empty/totalCount-only is not positive demand.	9	4	5	NO	After terminal Wave 1 and full M9 rerun, reassess residual exact-query gain under a new release.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_3b03ea8b493492c0	Как сквозная аналитика продаж поможет вам больше зарабатывать на маркетплейсах	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact wording is an editorial marketing proposition about earnings; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	18	1	1	NO	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_400f6c28e9d7fc9b	Интеграция Claude AI (Anthropic) и Ozon Seller	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact provider/marketplace pairing has a source integration-page title shape; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	1	1	1	NO	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_437d0cbcb94b3694	программа аналитики маркетплейсов	DEMAND_OR_TESTED_EXACT_QUERY	DEFER_SEARCH_CANDIDATE	WAVE1_CAP_RANK	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	24	3	3	NO	After terminal Wave 1 and full M9 rerun, reassess residual exact-query gain under a new release.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_50e949b2f6a4c494	Работа c маркетплейсом: отчеты и аналитика	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	60	9	9	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_51050ceda2b330da	Как читать и анализировать отчеты о продажах на Wildberries	NATURAL_EXACT_SEARCH_PROBE_NO_DEMAND	DEFER_SEARCH_CANDIDATE	WAVE1_CAP_RANK	Complete standalone question about analysing WB sales reports.	18	1	1	NO	After terminal Wave 1 and full M9 rerun, reassess residual exact-query gain under a new release.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_544e197891683f4c	Аналитика продавца Wildberries: как читать отчёты и находить точки роста	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	57	8	8	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_5fc65259888e054b	ии ассистент селлера	DEMAND_OR_TESTED_EXACT_QUERY	DEFER_SEARCH_CANDIDATE	WAVE1_CAP_RANK	Accepted M2R exact-identity result/tested-seed lineage: M2R_TOTALCOUNT_ONLY_SEED; empty/totalCount-only is not positive demand.	10	5	5	NO	After terminal Wave 1 and full M9 rerun, reassess residual exact-query gain under a new release.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_7455a5a41ec9db71	Отчёт о реализации Wildberries: как читать финансовый отчёт и сверить выплату	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	36	5	5	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_7c14f16157d077b9	Отчёт по рекламе Wildberries: где смотреть и как анализировать	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	20	4	4	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_81a0551c95b1343e	Отчет по операциям с маркетплейса	AMBIGUOUS_QUERY_FORM	QUERY_FORM_AMBIGUOUS_HOLD	EXACT_QUERY_FORM_UNRESOLVED	Could be a named accounting/report feature or a user query; source wording does not disambiguate.	60	9	9	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_81d8f3590bddaaab	Как построить воронку продаж на маркетплейсе	NATURAL_EXACT_SEARCH_PROBE_NO_DEMAND	DEFER_SEARCH_CANDIDATE	WAVE1_CAP_RANK	Complete standalone question about marketplace funnel analysis.	17	1	1	NO	After terminal Wave 1 and full M9 rerun, reassess residual exact-query gain under a new release.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_83f33ee4e629a7c9	Как читать финансовый отчёт Wildberries и Ozon	NATURAL_EXACT_SEARCH_PROBE_NO_DEMAND	DEFER_SEARCH_CANDIDATE	WAVE1_CAP_RANK	Complete standalone question about reading reports of both marketplaces.	30	1	1	NO	After terminal Wave 1 and full M9 rerun, reassess residual exact-query gain under a new release.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_853c71e68bd46c94	Аналитика вайлдберриз: в каком отчете верные данные	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	57	8	8	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_91da785ba085dc94	Правила работы с возвратами на маркетплейсах: условия торговых платформ и советы по снижению показателя	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	23	5	5	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_985f150bb9d0478c	Отчёт о реализации Ozon: где найти и как сверить выплату	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	19	5	5	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_9abd6603016eb220	Комиссии на Wildberries: почему в отчёте одна ставка, а в тарифах другая	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	36	5	5	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_9f67c7e74f7f9587	Финансовый отчет WILDBERRIES – как читать?	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact wording uses a headline dash and a second explanatory clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	36	5	5	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_a0b46005e544f2a9	Аналитика комиссии Wildberries: отчёты, сверка и контроль аномалий	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	36	5	5	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_a0eeffff2d867dcb	Отчёт по возвратам Wildberries: разбор операций и удержаний	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	22	4	4	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_a5452022da8e1c54	Аналитика Wildberries: отчёты, метрики и дашборды продавца	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	57	8	8	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_a7efef13fa5d09dc	ДРР на Wildberries — как рассчитать и оптимизировать	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact wording uses a headline dash and a second explanatory clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	20	4	4	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_a80ecbe39e0f75b9	Как читать и анализировать финансовый отчёт Wildberries	NATURAL_EXACT_SEARCH_PROBE_NO_DEMAND	DEFER_SEARCH_CANDIDATE	WAVE1_CAP_RANK	Complete standalone question about reading/analysing a WB financial report.	28	1	1	NO	After terminal Wave 1 and full M9 rerun, reassess residual exact-query gain under a new release.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_aeb8b283519ced02	ии для продаж на маркетплейсах	DEMAND_OR_TESTED_EXACT_QUERY	DEFER_SEARCH_CANDIDATE	WAVE1_CAP_RANK	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT|TESTED_SEED; empty/totalCount-only is not positive demand.	0	0	22	NO	After terminal Wave 1 and full M9 rerun, reassess residual exact-query gain under a new release.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_b2c582967d3dea97	Как читать финансовый отчет WILDBERRIES за 5 минут?	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the long exact wording combines multiple source-title concepts rather than a standalone user question; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	28	1	1	NO	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_b494df2d754aba5f	Отчет «География» в разделах «Продавцы» и «Бренды»	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text uses a quoted named report/feature like a source title; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	60	9	9	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_b5ddcf597a798e80	Удержания рядом с комиссией Wildberries: как разделить начисления в отчёте	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	36	5	5	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_b5ea13003e4c370e	где скачать отчет о выкупах маркетплейсов	DEMAND_OR_TESTED_EXACT_QUERY	DEFER_SEARCH_CANDIDATE	WAVE1_CAP_RANK	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	41	1	1	NO	After terminal Wave 1 and full M9 rerun, reassess residual exact-query gain under a new release.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_c41c83a50b6900cb	ии агенты маркетплейсы отчеты	DEMAND_OR_TESTED_EXACT_QUERY	DEFER_SEARCH_CANDIDATE	WAVE1_CAP_RANK	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	10	5	5	NO	After terminal Wave 1 and full M9 rerun, reassess residual exact-query gain under a new release.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_c673d63396e872d3	Внутренняя аналитика WILDBERRIES. Как читать отчеты в личном кабинете?	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the long exact wording combines multiple source-title concepts rather than a standalone user question; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	57	8	8	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_c8bd772d7a8b9ccb	Как сверить отчёты маркетплейсов и найти скрытые удержания	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the long exact wording combines multiple source-title concepts rather than a standalone user question; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	30	1	1	NO	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_c9ca51837b06e207	Отчёт «Поисковые запросы на WB»	AMBIGUOUS_QUERY_FORM	QUERY_FORM_AMBIGUOUS_HOLD	EXACT_QUERY_FORM_UNRESOLVED	Quotation marks identify a possible native report title; query usefulness is uncertain.	21	4	4	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_ce5c460b3a2124bb	Воронка продаж на Wildberries: как сравнивать периоды и показатели площадки	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	23	4	4	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_ce7224790a6414bc	Аналитика Wildberries: ТОП показателей и инструментов	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	25	4	4	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_d7ea4f8099802690	Интеграция ChatGPT (OpenAI) и Wildberries	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact provider/marketplace pairing has a source integration-page title shape; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	4	4	5	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_dd5178f08e076841	Как читать финансовый отчёт Wildberries и сверять итоговую сумму	AMBIGUOUS_QUERY_FORM	QUERY_FORM_AMBIGUOUS_HOLD	EXACT_QUERY_FORM_UNRESOLVED	Long compound task statement may be an editorial headline; exact query use is uncertain.	28	1	1	NO	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_def0afbc32106614	Сводный отчёт по продавцу	AMBIGUOUS_QUERY_FORM	QUERY_FORM_AMBIGUOUS_HOLD	EXACT_QUERY_FORM_UNRESOLVED	Could be the exact title of a native seller report; standalone search formulation unproven.	60	9	9	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_df79f0c3371689ed	Отчёт о продажах Wildberries: как читать и выгружать	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	48	6	6	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_eaab889abab5ccd5	ии для работы с маркетплейсами	DEMAND_OR_TESTED_EXACT_QUERY	DEFER_SEARCH_CANDIDATE	WAVE1_CAP_RANK	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT|TESTED_SEED; empty/totalCount-only is not positive demand.	14	6	6	NO	After terminal Wave 1 and full M9 rerun, reassess residual exact-query gain under a new release.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_ed13eac8643c4ddc	Интеграция Gemini AI и Ozon Seller	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact provider/marketplace pairing has a source integration-page title shape; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	1	1	1	NO	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_ed858336de500ab2	Внутренняя аналитика Wildberries: карта отчётов и еженедельный разбор	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	57	8	8	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_f5fd17b7b76a574d	ДРР на Wildberries и Ozon: что это, формула и какая норма	PAGE_TITLE_OR_SOURCE_PHRASE	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	SOURCE_TITLE_NOT_USER_QUERY	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	21	5	5	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_f89f2eed596da6c9	как загрузить отчеты маркетплейса	DEMAND_OR_TESTED_EXACT_QUERY	DEFER_SEARCH_CANDIDATE	WAVE1_CAP_RANK	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	41	1	1	NO	After terminal Wave 1 and full M9 rerun, reassess residual exact-query gain under a new release.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_fb4d67f1c380d11c	аналитика маркетплейсов топ сервисов	DEMAND_OR_TESTED_EXACT_QUERY	DEFER_SEARCH_CANDIDATE	WAVE1_CAP_RANK	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	21	3	3	YES	After terminal Wave 1 and full M9 rerun, reassess residual exact-query gain under a new release.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
M8SID_fec20a96bbee4f45	Статистика и аналитика продаж на Wildberries	AMBIGUOUS_QUERY_FORM	QUERY_FORM_AMBIGUOUS_HOLD	EXACT_QUERY_FORM_UNRESOLVED	Broad noun phrase also reads like a page heading; its exact query purpose is uncertain.	29	6	6	YES	Establish exact standalone user-query form from accepted evidence; do not rewrite this M8 text in Work.	HOLD persists; graph degree or competitor wording alone cannot release provider acquisition.
