semantic_identity_id	canonical_display_text	m8_primary_state	m9_eligibility	current_exact_serp_state	current_query_id	query_form_class	query_form_basis	preacquisition_disposition	disposition_basis	unicode_codepoint_length	word_count	provider_limit_status	boundary_impact_ref	m8_demand_evidence_state	m8_demand_evidence_refs	claim_boundary
M8SID_21a8a6bdb4a71db0	ии агент для селлера	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_TOTALCOUNT_ONLY_SEED; empty/totalCount-only is not positive demand.	DEFER_SEARCH_CANDIDATE	Query passes gates; bounded first wave ranks earlier candidates higher.	20	4	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_21a8a6bdb4a71db0	M2R_TOTALCOUNT_ONLY_SEED	M2R:line=625:B02/B02-15	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_24825275388a8170	нейросеть для работы с маркетплейсами	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	DEFER_SEARCH_CANDIDATE	Query passes gates; bounded first wave ranks earlier candidates higher.	37	5	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_24825275388a8170	M2R_DIRECT_RESULT	M2R:line=137:B01/B01-02	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_250abbb38cffed7a	Как скачать отчёт о продажах на Wildberries	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	NATURAL_EXACT_SEARCH_PROBE_NO_DEMAND	Complete standalone question about downloading the sales report.	DEFER_SEARCH_CANDIDATE	Query passes gates; bounded first wave ranks earlier candidates higher.	43	7	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_250abbb38cffed7a	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_26313942bc9cfe04	Аналитика продаж на Вайлдберриз в программе для интеграции с маркетплейсами	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the long exact wording combines multiple source-title concepts rather than a standalone user question; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	75	10	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_26313942bc9cfe04	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_2a1f3b8d04a0da08	Отчёт «Доходы и расходы» Wildberries: как читать и сверять	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	58	9	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_2a1f3b8d04a0da08	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_2b25fa19b017655f	Как сверить финансовые отчеты Wildberries?	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	NATURAL_EXACT_SEARCH_PROBE_NO_DEMAND	Complete standalone question about reconciling WB financial reports.	DEFER_SEARCH_CANDIDATE	Query passes gates; bounded first wave ranks earlier candidates higher.	42	5	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_2b25fa19b017655f	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_3251f136551cd109	ии ассистент для маркетплейсов	WORKING	CLUSTER_ELIGIBLE	CURRENT_EXACT_RU225	M4QR2Q00026	NOT_APPLICABLE_EXISTING_ANCHOR	Frozen current M9 Search anchor; no duplicate acquisition.	EXISTING_CURRENT_SEARCH_ANCHOR	Already mapped to current exact RU225 Search authority.	30	4	PASS		M2R_DIRECT_RESULT|TESTED_SEED	M2R:line=58:B01/B01-01 | M2R:line=428:B02/B02-05 | M2R:line=429:B02/B02-05	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_352b640652184f81	расширение для аналитики маркетплейсов	WORKING	CLUSTER_ELIGIBLE	CURRENT_EXACT_RU225	M4QR2Q00041	NOT_APPLICABLE_EXISTING_ANCHOR	Frozen current M9 Search anchor; no duplicate acquisition.	EXISTING_CURRENT_SEARCH_ANCHOR	Already mapped to current exact RU225 Search authority.	38	4	PASS		M2R_DIRECT_RESULT	M2R:line=716:M2R/M2R-A01	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_3584fdc5b76fc551	ии для аналитики маркетплейсов	WORKING	CLUSTER_ELIGIBLE	CURRENT_EXACT_RU225	M4QR2Q00027	NOT_APPLICABLE_EXISTING_ANCHOR	Frozen current M9 Search anchor; no duplicate acquisition.	EXISTING_CURRENT_SEARCH_ANCHOR	Already mapped to current exact RU225 Search authority.	30	4	PASS		M2R_DIRECT_RESULT|TESTED_SEED	M2R:line=55:B01/B01-01 | M2R:line=407:B02/B02-04 | M2R:line=408:B02/B02-04 | M2R:line=743:M2R/M2R-A01	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_3a3efaeed3152b7e	ии ассистент для озон	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT|TESTED_SEED; empty/totalCount-only is not positive demand.	DEFER_SEARCH_CANDIDATE	Query passes gates; bounded first wave ranks earlier candidates higher.	21	4	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_3a3efaeed3152b7e	M2R_DIRECT_RESULT|TESTED_SEED	M2R:line=217:B01/B01-06 | M2R:line=484:B02/B02-08 | M2R:line=485:B02/B02-08	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_3ac8d30877f874f9	сервисы аналитики маркетплейсов топ	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	WAVE1_SEARCH_CANDIDATE	Named one-sided HOLD; passed query/limits/duplicate gates; deterministic Wave 1 rank.	35	4	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_3ac8d30877f874f9	M2R_DIRECT_RESULT	M2R:line=324:B01/B01-14 | M2R:line=758:M2R/M2R-A01	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_3b03ea8b493492c0	Как сквозная аналитика продаж поможет вам больше зарабатывать на маркетплейсах	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact wording is an editorial marketing proposition about earnings; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	78	10	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_3b03ea8b493492c0	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_3b92dfcc2a1d077e	сервис аналитика продаж на маркетплейсах	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT|TESTED_SEED; empty/totalCount-only is not positive demand.	WAVE1_SEARCH_CANDIDATE	Named one-sided HOLD; passed query/limits/duplicate gates; deterministic Wave 1 rank.	40	5	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_3b92dfcc2a1d077e	M2R_DIRECT_RESULT|TESTED_SEED	M2R:line=312:B01/B01-14 | M2R:line=524:B02/B02-10 | M2R:line=525:B02/B02-10 | M2R:line=692:M2R/M2R-A01 | M2R:line=810:M2R/M2R-A02	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_3bf57790dda15865	Сверка отчетов с Wildberries	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	NATURAL_EXACT_SEARCH_PROBE_NO_DEMAND	Plain seller task of reconciling Wildberries reports.	WAVE1_SEARCH_CANDIDATE	Named one-sided HOLD; passed query/limits/duplicate gates; deterministic Wave 1 rank.	28	4	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_3bf57790dda15865	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_3e26a6dc912542f5	бесплатный сервис аналитики маркетплейсов	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	WAVE1_SEARCH_CANDIDATE	Named one-sided HOLD; passed query/limits/duplicate gates; deterministic Wave 1 rank.	41	4	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_3e26a6dc912542f5	M2R_DIRECT_RESULT	M2R:line=310:B01/B01-14 | M2R:line=686:M2R/M2R-A01	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_3ebb28124694e272	отчеты продаж маркетплейсов	WORKING	CLUSTER_ELIGIBLE	CURRENT_EXACT_RU225	M4QR2Q00036	NOT_APPLICABLE_EXISTING_ANCHOR	Frozen current M9 Search anchor; no duplicate acquisition.	EXISTING_CURRENT_SEARCH_ANCHOR	Already mapped to current exact RU225 Search authority.	27	3	PASS		M2R_DIRECT_RESULT|TESTED_SEED	M2R:line=833:M2R/M2R-A03 | M2R:line=906:M2R/M2R-A05 | M2R:line=907:M2R/M2R-A05	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_400f6c28e9d7fc9b	Интеграция Claude AI (Anthropic) и Ozon Seller	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact provider/marketplace pairing has a source integration-page title shape; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	46	7	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_400f6c28e9d7fc9b	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_41128f837d61e865	аналитика маркетплейсов сервисы анализа	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	WAVE1_SEARCH_CANDIDATE	Named one-sided HOLD; passed query/limits/duplicate gates; deterministic Wave 1 rank.	39	4	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_41128f837d61e865	M2R_DIRECT_RESULT	M2R:line=322:B01/B01-14 | M2R:line=753:M2R/M2R-A01	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_437d0cbcb94b3694	программа аналитики маркетплейсов	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	DEFER_SEARCH_CANDIDATE	Query passes gates; bounded first wave ranks earlier candidates higher.	33	3	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_437d0cbcb94b3694	M2R_DIRECT_RESULT	M2R:line=674:M2R/M2R-A01	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_4a1030b3d8bdd2d5	подключить ии к маркетплейсу	WORKING	CLUSTER_ELIGIBLE	CURRENT_EXACT_RU225	M4QR2Q00037	NOT_APPLICABLE_EXISTING_ANCHOR	Frozen current M9 Search anchor; no duplicate acquisition.	EXISTING_CURRENT_SEARCH_ANCHOR	Already mapped to current exact RU225 Search authority.	28	4	PASS		M2R_EMPTY_SUCCESS_SEED	M2R:line=303:B01/B01-13	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_4d97378705ba844a	плагин аналитика маркетплейсов	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	WAVE1_SEARCH_CANDIDATE	Named one-sided HOLD; passed query/limits/duplicate gates; deterministic Wave 1 rank.	30	3	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_4d97378705ba844a	M2R_DIRECT_RESULT	M2R:line=683:M2R/M2R-A01	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_4ffce42718223241	расширение аналитика маркетплейсов	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	WAVE1_SEARCH_CANDIDATE	Named one-sided HOLD; passed query/limits/duplicate gates; deterministic Wave 1 rank.	34	3	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_4ffce42718223241	M2R_DIRECT_RESULT	M2R:line=639:M2R/M2R-A01	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_50e949b2f6a4c494	Работа c маркетплейсом: отчеты и аналитика	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	42	6	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_50e949b2f6a4c494	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_50ea99098ca3f75a	бесплатная аналитика маркетплейсов расширение	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	WAVE1_SEARCH_CANDIDATE	Named one-sided HOLD; passed query/limits/duplicate gates; deterministic Wave 1 rank.	45	4	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_50ea99098ca3f75a	M2R_DIRECT_RESULT	M2R:line=714:M2R/M2R-A01	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_51050ceda2b330da	Как читать и анализировать отчеты о продажах на Wildberries	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	NATURAL_EXACT_SEARCH_PROBE_NO_DEMAND	Complete standalone question about analysing WB sales reports.	DEFER_SEARCH_CANDIDATE	Query passes gates; bounded first wave ranks earlier candidates higher.	59	9	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_51050ceda2b330da	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_529f805abccbf8b2	подключить chatgpt к маркетплейсу	WORKING	CLUSTER_ELIGIBLE	CURRENT_EXACT_RU225	M4QR2Q00013	NOT_APPLICABLE_EXISTING_ANCHOR	Frozen current M9 Search anchor; no duplicate acquisition.	EXISTING_CURRENT_SEARCH_ANCHOR	Already mapped to current exact RU225 Search authority.	33	4	PASS		NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_544e197891683f4c	Аналитика продавца Wildberries: как читать отчёты и находить точки роста	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	PAGE_TITLE_OR_SOURCE_PHRASE	the exact text contains a headline colon and a second editorial clause; no accepted M2R exact-query lineage; searching this string could test source retrieval rather than the M9 task boundary.	PERSISTENT_HOLD_NO_EXACT_QUERY_PROBE	Exact source/title wording fails useful user-query proof; no rewrite.	72	10	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_544e197891683f4c	NO_ACCEPTED_WORDSTAT_EVIDENCE	NONE	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_5fc65259888e054b	ии ассистент селлера	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_TOTALCOUNT_ONLY_SEED; empty/totalCount-only is not positive demand.	DEFER_SEARCH_CANDIDATE	Query passes gates; bounded first wave ranks earlier candidates higher.	20	3	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_5fc65259888e054b	M2R_TOTALCOUNT_ONLY_SEED	M2R:line=1084:M2R/M2R-A15	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_644f4afb78dc957a	отчеты маркетплейсов	WORKING	CLUSTER_ELIGIBLE	CURRENT_EXACT_RU225	M4QR2Q00035	NOT_APPLICABLE_EXISTING_ANCHOR	Frozen current M9 Search anchor; no duplicate acquisition.	EXISTING_CURRENT_SEARCH_ANCHOR	Already mapped to current exact RU225 Search authority.	20	2	PASS		M2R_DIRECT_RESULT|TESTED_SEED	M2R:line=831:M2R/M2R-A03 | M2R:line=832:M2R/M2R-A03	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_6abd740c63a2528a	аналитика маркетплейсов сервис	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT; empty/totalCount-only is not positive demand.	WAVE1_SEARCH_CANDIDATE	Named one-sided HOLD; passed query/limits/duplicate gates; deterministic Wave 1 rank.	30	3	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_6abd740c63a2528a	M2R_DIRECT_RESULT	M2R:line=305:B01/B01-14 | M2R:line=631:M2R/M2R-A01	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
M8SID_6eb6592464294694	сервис для аналитики продаж на маркетплейсах	WORKING	CLUSTER_ELIGIBLE	NO_CURRENT_EXACT_SERP	NONE	DEMAND_OR_TESTED_EXACT_QUERY	Accepted M2R exact-identity result/tested-seed lineage: M2R_DIRECT_RESULT|TESTED_SEED; empty/totalCount-only is not positive demand.	WAVE1_SEARCH_CANDIDATE	Named one-sided HOLD; passed query/limits/duplicate gates; deterministic Wave 1 rank.	44	6	PASS	M9BR_BOUNDARY_IMPACT_LEDGER.tsv#M8SID_6eb6592464294694	M2R_DIRECT_RESULT|TESTED_SEED	M2R:line=316:B01/B01-14 | M2R:line=526:B02/B02-10 | M2R:line=544:B02/B02-11 | M2R:line=545:B02/B02-11 | M2R:line=732:M2R/M2R-A01 | M2R:line=812:M2R/M2R-A02	Pre-acquisition planning only; Search probe does not prove Wordstat demand or page ownership.
