m6_source_row_id	raw_candidate_text	fact_family	main_chat_resolution	resolution_basis	owner_input_required_now	authority_refs	reopen_rule
M6SRC03602	Штрафы Wildberries за упаковку: 4 новых склада с 15 июня — что нужно знать продавцам	FINES_DISPUTE	HOLD_ENDPOINT_AND_WORKFLOW_EVIDENCE_REQUIRED	Time-specific penalty/rule facts require current official source plus exact accessible fields; not proven as Octoport capability.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC03633	В чем разница между валовой и чистой прибылью на маркетплейсе?	PROFIT_COST_MARGIN	HOLD_DATA_COMPLETENESS_OR_INPUT_EVIDENCE_REQUIRED	Educational explanation is possible in principle, but a product claim to calculate complete net profit needs proven input completeness.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC03796	Сезонность на Wildberries: прогноз спроса, запасы и стратегия цен	FORECAST_SEASONALITY	HOLD_HISTORY_AND_FORECAST_METHOD_REQUIRED	Forecasting requires proven historical inputs plus an accepted forecasting method; current Product Truth does not establish either as launch capability.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC03910	Ozon отчитался за 2025 год: чистая прибыль, рост оборота до 4,16 трлн и 65 млн покупателей	CORPORATE_NEWS	OUT_OF_PRODUCT_SCOPE	Corporate Ozon financial/news metrics are not a seller-owned operational task solved through the Octoport marketplace-data bridge.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC04018	За что штрафуют на Wildberries и как понять основание штрафа	FINES_DISPUTE	HOLD_ENDPOINT_AND_WORKFLOW_EVIDENCE_REQUIRED	Exact penalty reason fields are not yet established as accessible/implemented authority.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC04106	Штрафы и удержания Wildberries: как проверить начисление и оспорить	FINES_DISPUTE	HOLD_ENDPOINT_AND_WORKFLOW_EVIDENCE_REQUIRED	Exact deductions/penalties data plus dispute workflow are not proven by current product authority.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC04437	Штраф за приёмку Wildberries: как определить причину и защитить деньги	FINES_DISPUTE	HOLD_ENDPOINT_AND_WORKFLOW_EVIDENCE_REQUIRED	Current authority does not prove the exact acceptance-penalty evidence surface or an appeal workflow.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC04710	Как посчитать чистую прибыль на Wildberries и Ozon	PROFIT_COST_MARGIN	HOLD_DATA_COMPLETENESS_OR_INPUT_EVIDENCE_REQUIRED	Cross-marketplace net profit needs complete fees/costs/COGS/external expenses or a bounded definition; not yet proven.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC05186	Целевая аудитория Wildberries: как читать отчёт «Портрет покупателя»	BUYER_PORTRAIT	HOLD_WB_ENDPOINT_EVIDENCE_REQUIRED	Exact report/API access is not confirmed; competitor/public wording is insufficient product authority.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC05204	Как определиться, что продавать на Wildberries: пошаговый анализ ниши	EXTERNAL_NICHE_INTELLIGENCE	HOLD_CAPABILITY_EVIDENCE_REQUIRED	Niche selection depends on external market intelligence whose full WB API coverage is explicitly unknown.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC05565	Базовые шаблоны для увеличения чистой прибыли селлера WB и Ozon	PROFIT_COST_MARGIN	HOLD_DATA_COMPLETENESS_OR_INPUT_EVIDENCE_REQUIRED	Profit optimization can only be claimed after the underlying complete profit inputs and allowed output are established.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC05981	Как найти информацию о штрафах на ВБ	FINES_DISPUTE	HOLD_ENDPOINT_AND_WORKFLOW_EVIDENCE_REQUIRED	Product Truth does not yet identify the exact WB endpoint/data surface for penalty information.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC05984	Как рассчитать чистую прибыль на Вайлдберриз	PROFIT_COST_MARGIN	HOLD_DATA_COMPLETENESS_OR_INPUT_EVIDENCE_REQUIRED	Complete net-profit calculation is not proven from current launch data authority.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC05985	Расчет чистой прибыли и маржинальности на WB	PROFIT_COST_MARGIN	HOLD_DATA_COMPLETENESS_OR_INPUT_EVIDENCE_REQUIRED	Requires proven revenue/cost/fee/COGS completeness or a narrower accepted metric definition.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC06024	Как посчитать чистую прибыль на Wildberries и Ozon по каждому товару — MPfact	PROFIT_COST_MARGIN	HOLD_DATA_COMPLETENESS_OR_INPUT_EVIDENCE_REQUIRED	Per-SKU net profit requires complete SKU-level cost attribution beyond currently proven Product Truth.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC06025	Как правильно считать чистую прибыль на Wildberries и Ozon по каждому артикулу	PROFIT_COST_MARGIN	HOLD_DATA_COMPLETENESS_OR_INPUT_EVIDENCE_REQUIRED	Per-article complete net profit is not yet supported by accepted data-completeness authority.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC06077	Импорт финансовой аналитики из Wildberries	IMPORT_WORKFLOW	HOLD_IMPORT_WORKFLOW_UNCONFIRMED	Current Product Truth defines API-based read/data retrieval but does not establish a manual financial-import workflow.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC06078	Импорт финансовой аналитики из Ozon	IMPORT_WORKFLOW	HOLD_IMPORT_WORKFLOW_UNCONFIRMED	Current Product Truth defines API-based read/data retrieval but does not establish a manual financial-import workflow.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC06103	Как рассчитать чистую прибыль на Wildberries	PROFIT_COST_MARGIN	HOLD_DATA_COMPLETENESS_OR_INPUT_EVIDENCE_REQUIRED	Complete net-profit calculation remains unproven at the required data/input boundary.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
M6SRC06104	Расчет чистой прибыли и маржинальности на Wildberries	PROFIT_COST_MARGIN	HOLD_DATA_COMPLETENESS_OR_INPUT_EVIDENCE_REQUIRED	Complete profit/margin calculation needs explicit metric/input completeness before becoming product scope.	false	docs/seo/PRODUCT_TRUTH.md || docs/seo/evidence/M0_SCOPE_SOURCE_RETRO_CONSOLIDATION_2026-09-18.md || docs/seo/LEVEL2/M6_GAP_CLOSURE_AND_PROVIDER_RULES.md	Reopen only after accepted endpoint/API/implementation/product authority materially changes the stated capability boundary.
