registry_id	entity_name	r1_current_url_count	r2_added_url_count	r3_added_url_count	r4_added_url_count	r5_added_url_count	current_merged_unique_normalized_url_count	terminal_current_url_count	anchors_status	primary_nav_taxonomy_status	breadcrumb_local_subtree_status	sitemap_status	pagination_status	open_url_unresolved_count	open_channel_hold_count	r2_child_link_diagnostic_count	completion_state	phase_additive_sum	count_equation_pass	equation	unresolved_reason
REG022	Marpla	4	26	0	0	0	30	30	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	12	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	30	true	4 + 26 + 0 + 0 + 0 = 30	
REG023	Mayak	34	5	0	0	0	39	39	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	1	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	39	true	34 + 5 + 0 + 0 + 0 = 39	
REG024	Moysklad	4	109	12	10	0	135	135	COMPLETE	COMPLETE	COMPLETE	UNSCOPABLE_WITH_REASON	ACCESS_BLOCKED	0	0	17	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	135	true	4 + 109 + 12 + 10 + 0 = 135	
REG025	Mpboost	1	10	0	0	0	11	11	COMPLETE	COMPLETE	NOT_APPLICABLE	NOT_FOUND	NOT_APPLICABLE	0	0	1	COMPLETE	11	true	1 + 10 + 0 + 0 + 0 = 11	
REG026	Mpfact	1	18	0	0	0	19	19	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	4	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	19	true	1 + 18 + 0 + 0 + 0 = 19	
REG027	Mpmgr	5	60	0	0	0	65	65	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	ACCESS_BLOCKED	0	0	50	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	65	true	5 + 60 + 0 + 0 + 0 = 65	
REG028	Mpstats	11	31	0	0	0	42	42	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	15	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	42	true	11 + 31 + 0 + 0 + 0 = 42	
REG029	Openclaw	8	0	0	0	0	8	8	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	8	true	8 + 0 + 0 + 0 + 0 = 8	
REG031	Promopult	2	183	0	0	0	185	185	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	16	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	185	true	2 + 183 + 0 + 0 + 0 = 185	
REG034	Saintpack	1	19	65	0	0	85	85	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	COMPLETE	0	0	10	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	85	true	1 + 19 + 65 + 0 + 0 = 85	
REG035	Sam X	2	11	0	0	0	13	13	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	13	true	2 + 11 + 0 + 0 + 0 = 13	
REG037	Sellerden	51	70	15	0	0	136	136	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	ACCESS_BLOCKED	0	0	9	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	136	true	51 + 70 + 15 + 0 + 0 = 136	
REG038	Sellermoon	9	67	0	0	0	76	76	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	ACCESS_BLOCKED	0	0	61	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	76	true	9 + 67 + 0 + 0 + 0 = 76	
REG039	Sellerstats	1	17	0	0	0	18	18	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	ACCESS_BLOCKED	0	0	10	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	18	true	1 + 17 + 0 + 0 + 0 = 18	
REG040	Sellmonitor	2	27	30	0	0	59	59	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	12	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	59	true	2 + 27 + 30 + 0 + 0 = 59	
REG041	Sellper	1	25	0	0	0	26	26	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	12	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	26	true	1 + 25 + 0 + 0 + 0 = 26	
REG042	Selsup	5	42	2446	0	0	2493	2493	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	COMPLETE	0	0	27	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	2493	true	5 + 42 + 2446 + 0 + 0 = 2493	
REG044	Softrest	19	0	0	0	0	19	19	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	19	true	19 + 0 + 0 + 0 + 0 = 19	
REG045	Superintellect	15	68	0	0	0	83	83	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	83	true	15 + 68 + 0 + 0 + 0 = 83	
REG046	Tablichki	15	4	0	0	0	19	19	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	19	true	15 + 4 + 0 + 0 + 0 = 19	
REG049	Torgstat	3	0	0	0	0	3	3	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	3	true	3 + 0 + 0 + 0 + 0 = 3	
REG050	Tulpari	1	0	0	0	0	1	1	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	1	true	1 + 0 + 0 + 0 + 0 = 1	
REG051	Uniseller	2	66	0	0	5455	5523	5523	COMPLETE	COMPLETE	COMPLETE	ACCESS_BLOCKED	ACCESS_BLOCKED	0	0	55	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	5523	true	2 + 66 + 0 + 0 + 5455 = 5523	
REG053	Wbcon	13	20	0	0	0	33	33	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	COMPLETE	0	0	10	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	33	true	13 + 20 + 0 + 0 + 0 = 33	
REG056	Wildcrm	2	14	0	0	0	16	16	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	9	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	16	true	2 + 14 + 0 + 0 + 0 = 16	
REG058	Yoolip	1	10	0	0	0	11	11	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	3	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	11	true	1 + 10 + 0 + 0 + 0 = 11	
REG060	Zinaida	4	0	0	0	0	4	4	COMPLETE	COMPLETE	NOT_APPLICABLE	ACCESS_BLOCKED	NOT_APPLICABLE	0	0	0	COMPLETE_WITH_INACCESSIBLE_EVIDENCE	4	true	4 + 0 + 0 + 0 + 0 = 4	
