occurrence_index	snapshot_id	snapshot_timestamp	extraction_chunk_id	extraction_chunk_status	source_collection_url	raw_href	absolute_url	normalized_identity	identity_class	duplicate_occurrence_rank	first_occurrence_index	unique_or_duplicate	reconciliation_state	accepted_identity_source	r5_url_id	retained_occurrence_id	retained_collection_index	observed_date	observed_title	observed_excerpt	observed_tags	original_extraction_batch	first_seen_provenance
12	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/prodvizhenie/	https://uniseller.io/blog/tema/prodvizhenie/	https://uniseller.io/blog/tema/prodvizhenie	THEME_TAXONOMY	1	12	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00008	R5O00012	11		продвижение			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
13	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/servisy/	https://uniseller.io/blog/tema/servisy/	https://uniseller.io/blog/tema/servisy	THEME_TAXONOMY	1	13	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00009	R5O00013	12		сервисы			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
14	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/tovary/	https://uniseller.io/blog/tema/tovary/	https://uniseller.io/blog/tema/tovary	THEME_TAXONOMY	1	14	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00010	R5O00014	13		товары			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
15	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/aktsii/	https://uniseller.io/blog/tema/aktsii/	https://uniseller.io/blog/tema/aktsii	THEME_TAXONOMY	1	15	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00011	R5O00015	14		акции			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
16	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/fns/	https://uniseller.io/blog/tema/fns/	https://uniseller.io/blog/tema/fns	THEME_TAXONOMY	1	16	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00012	R5O00016	15		фнс			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
17	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/ozon-2/	https://uniseller.io/blog/tema/ozon-2/	https://uniseller.io/blog/tema/ozon-2	THEME_TAXONOMY	1	17	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00013	R5O00017	16		Ozon			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
18	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/analitika/	https://uniseller.io/blog/tema/analitika/	https://uniseller.io/blog/tema/analitika	THEME_TAXONOMY	1	18	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00014	R5O00018	17		аналитика			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
19	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/reklama/	https://uniseller.io/blog/tema/reklama/	https://uniseller.io/blog/tema/reklama	THEME_TAXONOMY	1	19	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00015	R5O00019	18		реклама			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
20	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/avtomatizatsiya/	https://uniseller.io/blog/tema/avtomatizatsiya/	https://uniseller.io/blog/tema/avtomatizatsiya	THEME_TAXONOMY	1	20	FIRST_OCCURRENCE	ALREADY_ACCEPTED	R2_M4B1R2_URL_LEDGER_OVERLAY.tsv		R5O00020	19		автоматизация			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
21	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/problemy/	https://uniseller.io/blog/tema/problemy/	https://uniseller.io/blog/tema/problemy	THEME_TAXONOMY	1	21	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00016	R5O00021	20		проблемы			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
22	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/kartochka-tovara/	https://uniseller.io/blog/tema/kartochka-tovara/	https://uniseller.io/blog/tema/kartochka-tovara	THEME_TAXONOMY	1	22	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00017	R5O00022	21		карточка товара			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
23	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/sertifikatsiya/	https://uniseller.io/blog/tema/sertifikatsiya/	https://uniseller.io/blog/tema/sertifikatsiya	THEME_TAXONOMY	1	23	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00018	R5O00023	22		сертификация			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
24	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/yunit-ekonomika/	https://uniseller.io/blog/tema/yunit-ekonomika/	https://uniseller.io/blog/tema/yunit-ekonomika	THEME_TAXONOMY	1	24	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00019	R5O00024	23		юнит-экономика			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
25	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/komissii/	https://uniseller.io/blog/tema/komissii/	https://uniseller.io/blog/tema/komissii	THEME_TAXONOMY	1	25	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00020	R5O00025	24		комиссии			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
26	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/fbs/	https://uniseller.io/blog/tema/fbs/	https://uniseller.io/blog/tema/fbs	THEME_TAXONOMY	1	26	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00021	R5O00026	25		fbs			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
27	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/shtrafy/	https://uniseller.io/blog/tema/shtrafy/	https://uniseller.io/blog/tema/shtrafy	THEME_TAXONOMY	1	27	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00022	R5O00027	26		штрафы			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
28	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/vozvraty/	https://uniseller.io/blog/tema/vozvraty/	https://uniseller.io/blog/tema/vozvraty	THEME_TAXONOMY	1	28	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00023	R5O00028	27		возвраты			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
29	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/konversiya/	https://uniseller.io/blog/tema/konversiya/	https://uniseller.io/blog/tema/konversiya	THEME_TAXONOMY	1	29	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00024	R5O00029	28		конверсия			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
30	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/fbs-2/	https://uniseller.io/blog/tema/fbs-2/	https://uniseller.io/blog/tema/fbs-2	THEME_TAXONOMY	1	30	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00025	R5O00030	29		FBS			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
31	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/marketing/	https://uniseller.io/blog/tema/marketing/	https://uniseller.io/blog/tema/marketing	THEME_TAXONOMY	1	31	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00026	R5O00031	30		маркетинг			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
32	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/selleram/	https://uniseller.io/blog/tema/selleram/	https://uniseller.io/blog/tema/selleram	THEME_TAXONOMY	1	32	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00027	R5O00032	31		селлерам			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
33	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/otzyvy/	https://uniseller.io/blog/tema/otzyvy/	https://uniseller.io/blog/tema/otzyvy	THEME_TAXONOMY	1	33	FIRST_OCCURRENCE	ALREADY_ACCEPTED	R2_M4B1R2_URL_LEDGER_OVERLAY.tsv		R5O00033	32		отзывы			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
34	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/yandeks-market-2/	https://uniseller.io/blog/tema/yandeks-market-2/	https://uniseller.io/blog/tema/yandeks-market-2	THEME_TAXONOMY	1	34	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00028	R5O00034	33		Яндекс Маркет			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
35	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/tarify/	https://uniseller.io/blog/tema/tarify/	https://uniseller.io/blog/tema/tarify	THEME_TAXONOMY	1	35	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00029	R5O00035	34		тарифы			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
36	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/dostavka/	https://uniseller.io/blog/tema/dostavka/	https://uniseller.io/blog/tema/dostavka	THEME_TAXONOMY	1	36	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00030	R5O00036	35		доставка			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
37	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/markirovka/	https://uniseller.io/blog/tema/markirovka/	https://uniseller.io/blog/tema/markirovka	THEME_TAXONOMY	1	37	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00031	R5O00037	36		маркировка			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
38	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/seo/	https://uniseller.io/blog/tema/seo/	https://uniseller.io/blog/tema/seo	THEME_TAXONOMY	1	38	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00032	R5O00038	37		SEO			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
39	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/pribyl/	https://uniseller.io/blog/tema/pribyl/	https://uniseller.io/blog/tema/pribyl	THEME_TAXONOMY	1	39	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00033	R5O00039	38		прибыль			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
40	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/e-commerce/	https://uniseller.io/blog/tema/e-commerce/	https://uniseller.io/blog/tema/e-commerce	THEME_TAXONOMY	1	40	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00034	R5O00040	39		e-commerce			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
41	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/sklady/	https://uniseller.io/blog/tema/sklady/	https://uniseller.io/blog/tema/sklady	THEME_TAXONOMY	1	41	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00035	R5O00041	40		склады			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
42	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/iskusstvennyy-intellekt/	https://uniseller.io/blog/tema/iskusstvennyy-intellekt/	https://uniseller.io/blog/tema/iskusstvennyy-intellekt	THEME_TAXONOMY	1	42	FIRST_OCCURRENCE	ALREADY_ACCEPTED	R2_M4B1R2_URL_LEDGER_OVERLAY.tsv		R5O00042	41		искусственный интеллект			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
43	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/fulfilment/	https://uniseller.io/blog/tema/fulfilment/	https://uniseller.io/blog/tema/fulfilment	THEME_TAXONOMY	1	43	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00036	R5O00043	42		фулфилмент			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
44	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/biznes/	https://uniseller.io/blog/tema/biznes/	https://uniseller.io/blog/tema/biznes	THEME_TAXONOMY	1	44	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00037	R5O00044	43		бизнес			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
45	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/fns-2/	https://uniseller.io/blog/tema/fns-2/	https://uniseller.io/blog/tema/fns-2	THEME_TAXONOMY	1	45	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00038	R5O00045	44		ФНС			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
46	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/neyroseti/	https://uniseller.io/blog/tema/neyroseti/	https://uniseller.io/blog/tema/neyroseti	THEME_TAXONOMY	1	46	FIRST_OCCURRENCE	ALREADY_ACCEPTED	R2_M4B1R2_URL_LEDGER_OVERLAY.tsv		R5O00046	45		нейросети			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
47	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/skidki/	https://uniseller.io/blog/tema/skidki/	https://uniseller.io/blog/tema/skidki	THEME_TAXONOMY	1	47	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00039	R5O00047	46		скидки			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
48	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/tsenoobrazovanie/	https://uniseller.io/blog/tema/tsenoobrazovanie/	https://uniseller.io/blog/tema/tsenoobrazovanie	THEME_TAXONOMY	1	48	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00040	R5O00048	47		ценообразование			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
49	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/sklad/	https://uniseller.io/blog/tema/sklad/	https://uniseller.io/blog/tema/sklad	THEME_TAXONOMY	1	49	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00041	R5O00049	48		склад			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
50	UNISELLER_BLOG_R5_20260921T132714781Z	2026-09-21T13:27:14.781Z	R5A_CHUNK_001	RECONSTRUCTED_SUCCESS	https://uniseller.io/blog/	/blog/tema/prodazhi-na-marketpleysah/	https://uniseller.io/blog/tema/prodazhi-na-marketpleysah/	https://uniseller.io/blog/tema/prodazhi-na-marketpleysah	THEME_TAXONOMY	1	50	FIRST_OCCURRENCE	R5_NEW_TERMINAL_IDENTITY	NOT_APPLICABLE	M4B1R5U00042	R5O00050	49		продажи на маркетплейсах			DOM_BATCH_01	PUBLIC_UNISELLER_BLOG_DOM_2026-09-21
