ID	Ozon_исходная_задача	Исторический_статус_Ozon	Источник	WB_адаптация	WB_семейство_данных_кандидат	Проверяемый_результат	Что_может_понадобиться_от_владельца	Разделение_проверок	WB_проверка_операций	Ozon_ChatGPT_Standard	Ozon_ChatGPT_Work	Ozon_Alice	WB_ChatGPT_Standard	WB_ChatGPT_Work	WB_Alice
STD-11	У меня исчез товар с FBO, а продаж с этого склада не было. Разберись, куда он мог деться и какие доказательства есть в данных.	PASS	OZON_AI_WORKER_STANDARD_LIVE_BENCHMARK_V2_2026-09-02.md	Исчезновение остатков без видимых продаж	Остатки + движения/финансы/возвраты	Различены продажа, возврат, перемещение, списание и пробел данных; нет выдуманного движения	Период и известный проблемный товар, если есть	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
STD-12	Какие мои поставки сейчас активны и что с каждой происходит?	PASS	OZON_AI_WORKER_STANDARD_LIVE_BENCHMARK_V2_2026-09-02.md	Активные поставки и их статусы	Поставки FBW/FBS	Собственная модель статусов WB; список полон в границах явных страниц	Нет	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
STD-13	Я уже привёз товар на Ozon, но он не принят или не появился в продаже. Разберись, где он застрял.	PASS_WITH_EXPLICIT_PROVENANCE_LIMIT	OZON_AI_WORKER_STANDARD_LIVE_BENCHMARK_V2_2026-09-02.md	Поставка привезена, но не принята/не продаётся	Поставки + приёмка + остатки	Статус родителя и товара/приёмки не смешаны; указано последнее подтверждённое событие	Номер проблемной поставки необязателен, если API позволяет найти	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
STD-14	Почему товар есть в кабинете и остаток есть, а покупателю он не показывается или доставка недоступна?	PASS_NO_CURRENT_CASE_FOUND	OZON_AI_WORKER_STANDARD_LIVE_BENCHMARK_V2_2026-09-02.md	Остаток есть, но карточка/доставка недоступна	Контент + остатки + ограничения	Нет обещания единой Ozon visibility-операции на WB; проверены доступные признаки, остальное явно неизвестно	Регион покупателя/пример проблемы при необходимости	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
STD-15	Какие товары или склады сейчас имеют ограничения доставки и что именно не так?	PASS_CURRENT_ZERO	OZON_AI_WORKER_STANDARD_LIVE_BENCHMARK_V2_2026-09-02.md	Ограничения доставки товаров/складов	Склады + логистика + доступные ограничения	Различены ограничения API и фактическая доставка конкретному покупателю	География, если проверяется конкретная доставка	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
STD-16	Дай рекламные расходы за последние 7 дней и покажи, какие кампании потратили больше всего.	PASS	OZON_AI_WORKER_STANDARD_LIVE_BENCHMARK_V2_2026-09-02.md	Расходы рекламы за 7 дней и дорогие кампании	Продвижение/рекламная статистика	Период/валюта/статус отчёта явны; расходы не суммированы повторно из двух источников	Рекламные права; период с расходами	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
STD-17	Какие кампании и товары сейчас больше всего съедают рекламный бюджет и где результат слабый?	PASS	OZON_AI_WORKER_STANDARD_LIVE_BENCHMARK_V2_2026-09-02.md	Рекламные расходы при слабом результате	Реклама + продажи	Определены CTR/CPC/ДРР и окна атрибуции; рекомендация не выдаётся за гарантированный эффект	Бизнес-порог эффективности необязателен для диагностики	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
STD-18	Какие товары я сейчас рекламирую, хотя они заканчиваются или уже отсутствуют на нужных складах?	PASS	OZON_AI_WORKER_STANDARD_LIVE_BENCHMARK_V2_2026-09-02.md	Реклама товаров с дефицитом	Реклама + остатки	Соединение по проверенному ID; отсутствующий ответ остатков не равен отсутствию товара	Нет	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
STD-19	На какие товары я трачу рекламу, хотя карточка плохо заполнена, невидима или имеет ограничения?	PASS_WITH_TWO_ADVERTISED_FAILED_UPDATE_WARNINGS_AND_UNIFORM_RICH_CONTENT_GAP	OZON_AI_WORKER_STANDARD_LIVE_BENCHMARK_V2_2026-09-02.md	Реклама проблемных карточек	Реклама + контент/доступность	Неполнота контента доказана; доступность покупателю не выдумана	Нет	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
STD-20	Почему у меня вырос ДРР? Разбери, что изменилось в рекламе и продажах.	PASS_WITH_RECORDED_TRANSIENT_ANALYTICS_429_RECOVERY	OZON_AI_WORKER_STANDARD_LIVE_BENCHMARK_V2_2026-09-02.md	Почему вырос ДРР	Реклама + продажи	Показаны числитель/знаменатель, окна, сравнимые периоды; расходы не задвоены	Два сопоставимых периода	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-01	Catalog / product inventory awareness	PASS	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Найти ассортимент без ручного перечисления SKU	Контент/каталог	Пагинация явная; покрытие каталога и идентификаторы подтверждены	Нет	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-02	Product visibility awareness	PASS	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Определить видимость и доступность товаров	Контент/ошибки/остатки	Не подменять недоступную WB-метрику Ozon visibility эвристикой; ограничение явно	Нет	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-03	Content/card quality awareness	PASS	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Найти проблемы заполнения карточек	Контент/характеристики/диагностика	Разделены официальные ошибки и экспертная оценка качества	Нет	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-04	Current stock by warehouse awareness	PASS	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Получить складские остатки правильным источником	Остатки + склады	FBW/FBS/размеры не смешаны; идентичность и полнота известны	Нет	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-05	Stock turnover / stock analytics awareness	PASS_WITH_PROVIDER_OMISSION_LIMIT	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Оценить оборачиваемость и запас	Аналитика/продажи + остатки	Расчётная метрика помечена; пропуски не нули	Срок пополнения только для рекомендации заказа	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-06	Warehouses / clusters / logistics geography	PASS	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Найти склады и географию логистики	Справочники складов/офисов	WB справочники не выданы за Ozon кластеры; тип ID фиксирован	Нет	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-07	Supply-order list/status	PASS	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Найти текущие поставки	Поставки	Не выводить полный список из одного неполного ответа	Нет	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-08	Supply details / acceptance drill-down	PASS	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Раскрыть детали поставки и приёмки	Поставки/приёмка	Следующий read только явной командой; поставка и заказ различены	Нет	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-09	FBO postings/orders	PASS	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Получить заказы/продажи по схемам WB	Заказы/продажи FBW/FBS	WB модели не названы Ozon postings; статусы/отмены/возвраты сохранены	Период с нужными схемами	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-10	Prices / price details	PASS_WITH_ENTITLEMENT_BOUNDARY	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Проверить цены и скидки	Цены/скидки + доступные детали	Цена продавца, скидка платформы и цена покупателя различены; нет обещания недоступной метрики	Нет	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-11	Promotions/actions	PASS	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Проверить участие в акциях	Календарь акций/участие/цены	Чтение без изменения участия/цен; источник участия явен	Период с акцией или корректный пустой ответ	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-12	Returns/cancellations	PASS	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Разобрать возвраты и отмены	Заказы/возвраты/отчёты	Реальные события отдельно от справочника причин; продолжение явное	Период с возвратами; иначе покрытие live неполно	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-13	Finance balance/accruals	PASS	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Объяснить начисления и выплаты	Финансовые/реализационные отчёты	Выручка не равна перечислению; отсутствие полного баланса не скрыто	Закрытый расчётный период	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-14	Finance transactions/reconciliation	PASS_WITH_TRANSIENT_PROVIDER_RATE_LIMIT_RECOVERY	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Сверить начисления и удержания	Детализация реализации/удержаний	Суммы/знаки/типы строк и округление воспроизводимы; поздние корректировки указаны	Официальный итог периода, если независимая сверка	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-15	Ratings / FBS error index	PASS	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Проверить рейтинг и ошибки исполнения	Рейтинги/доступные показатели продавца	Не изобретать WB-аналог Ozon FBS error index; факт отсутствия отдельной метрики виден	Нет	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-16	Reviews/questions aggregate	PASS_WITH_ENTITLEMENT_BOUNDARIES_AND_REVIEW_ENTITLEMENT_GUIDANCE_GAP	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Сводка отзывов и вопросов	Отзывы/вопросы	Права/тариф/пустота различены; персональные данные покупателей исключены из лишних выгрузок	Не нужны реальные персональные данные покупателей	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-17	Advertising campaigns	PASS	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Найти рекламные кампании	Продвижение	Полный перечень в обозначенных границах; disabled/недоступный метод отсекается до запроса	Рекламные права	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-18	Advertising statistics	PASS_WITH_PRODUCT_LEVEL_COVERAGE_AND_GUIDANCE_GAP	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Получить рекламную статистику	Продвижение/статистика	Кампания/товар/день и задержка отчёта обозначены; нет ложной детализации	Период с реальными расходами	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-19	Cross-surface orchestration	PASS_WITH_STOCK_PROVIDER_OMISSION_LIMIT	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Соединить минимум два разных источника	Реклама × остатки или продажи × финансы	Проверены grain/key/join, пропущенные ID и дубли; расходы не задвоены	Нет	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-20	Bridge + external-world investigation	PASS_WITH_TRANSIENT_PROVIDER_RATE_LIMIT_RECOVERY	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Совместить кабинет с внешним исследованием	Разрешённые API + публичные источники	Внешний поиск выполняет ИИ; отделены цитируемый факт, частный факт и гипотеза	Контекст события при необходимости	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-21	SEO / semantic core of own card	PASS_WITH_RECOVERY_AND_DATA_READINESS_GUIDANCE_GAP	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Предложить семантику и улучшения своей карточки	Контент + доступная поисковая аналитика	Реальные запросы отделены от идей модели; нет выдуманных частот/позиций	Период и право на поисковую аналитику, если требуется тариф	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-22	Competitor SEO / positioning benchmark	PARTIAL_WITH_COMPETITOR_DISCOVERY_COVERAGE_BOUNDARY	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Сравнить карточку с конкурентами	Своя карточка + законно доступные публичные карточки	Конкуренты действительно сопоставимы; чужие продажи/конверсия не выдуманы	Ссылки 3–5 конкурентов, если самостоятельный поиск не даёт доказательств	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-23	Category/search position & coverage boundary	PASS_WITH_SEARCH_POSITION_AND_CATEGORY_COVERAGE_BOUNDARIES	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Проверить позиции и сравнение категории	Доступные поисковые/категорийные отчёты	Регион/период/тариф и определение позиции явны; null не ноль	Тарифные права только если выбран соответствующий сценарий	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-24	SKU monthly unit economics	REOPENED__STORAGE_PLACEMENT_REQUIRED_FOR_UNIT_ECONOMICS	OZON_AI_WORKER_CAPABILITY_AWARENESS_LAYER_20_TESTS_2026-09-02.md	Рассчитать месячный вклад проданного SKU	Реализация + удержания + хранение/логистика + реклама	Все известные расходы учтены без двойного счёта; распределение общих расходов прозрачно; нет названия чистая прибыль без COGS/налогов	COGS/внешние затраты отложены владельцем после начальной бесплатной беты; сейчас проверяем вклад после расходов площадки, не полную прибыль	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
CAP-25	SEO card optimization / monthly query collection	IN_PROGRESS	OZON_BUSINESS_VALUE_TEST_45_CAP25_SEO_CARD_OPTIMIZATION_2026-09-11.md	Собрать месячную поисковую базу и улучшить карточки	Поисковая аналитика + контент	Дедуп по бизнес-ключу; полнота не доказана номерами страниц; рекомендации привязаны к фактам; накопление только в файлах владельца	Доступ к поисковым данным; прошлые выгрузки только при сравнении месяцев	A: получение/сверка/счётчик запросов; владелец: деловой смысл и полезность	API_MAPPING_REQUIRED	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN
