target_id	registry_id	source_ranking_url	terminal_state	final_url	page_role	content_relevance	m4c_change_class	m4c_change_summary	candidate_delta_count	new_candidate_count	possible_variant_count	affected_existing_candidate_ids	proposed_m6_effect	search_visibility_demand_boundary	recommended_next_state	confidence	evidence_refs	notes
M4QR2TR0011	REG024	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0_c_%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D0%BE%D0%BC_%D0%BE%D1%82%D1%87%D0%B5%D1%82%D1%8B_%D0%B8_%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B0	INSPECTED	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0_c_%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D0%BE%D0%BC_%D0%BE%D1%82%D1%87%D0%B5%D1%82%D1%8B_%D0%B8_%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B0	HELP_DOCUMENTATION	SELLER_DATA_OR_OPERATIONAL_TASK_CONTEXT_NOT_PRODUCT_CAPABILITY_PROOF	ADD_CURRENT_URL_AND_PAGE_EVIDENCE	Current exact ranking URL and visible public page add bounded URL/page evidence for the same authorized registry entity.	1	0	1		KEEP_EXISTING_VALIDATION_ROUTE	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	M4C_ACCEPTANCE_ADDITIVE_ENRICHMENT_PENDING_MAIN_CHAT_QA	HIGH_CURRENT_PAGE_EVIDENCE_WITH_UNVALIDATED_CANDIDATES	M4QR2TR0011 || PassB: M4QR2Q00035 || M4QR2Q00036 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0012	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/analitika-marketpleysov/	INSPECTED	https://www.moysklad.ru/poleznoe/marketplejsy/analitika-marketpleysov/	ARTICLE_OR_GUIDE	MIXED_MARKET_OR_COMPETITOR_CONTEXT_REQUIRES_TASK_VALIDATION	ADD_CURRENT_URL_AND_PAGE_EVIDENCE	Current exact ranking URL and visible public page add bounded URL/page evidence for the same authorized registry entity.	2	0	1	M4CCAND000686	KEEP_EXISTING_VALIDATION_ROUTE	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	M4C_ACCEPTANCE_ADDITIVE_ENRICHMENT_PENDING_MAIN_CHAT_QA	HIGH_CURRENT_PAGE_EVIDENCE_WITH_UNVALIDATED_CANDIDATES	M4QR2TR0012 || PassB: M4QR2Q00005 || M4QR2Q00017 || M4QR2Q00019 || M4QR2Q00020 || M4QR2Q00022 || M4QR2Q00030 || M4QR2Q00042 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0013	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-analitika-uluchshaet-prodazhi-na-marketpleysakh/	INSPECTED	https://www.moysklad.ru/poleznoe/marketplejsy/kak-analitika-uluchshaet-prodazhi-na-marketpleysakh/	ARTICLE_OR_GUIDE	SELLER_DATA_OR_OPERATIONAL_TASK_CONTEXT_NOT_PRODUCT_CAPABILITY_PROOF	ADD_CURRENT_URL_AND_PAGE_EVIDENCE	Current exact ranking URL and visible public page add bounded URL/page evidence for the same authorized registry entity.	4	2	0	M4CCAND003670	ADD_NEW_CANDIDATE_FOR_LATER_VALIDATION	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	M4C_ACCEPTANCE_ADDITIVE_ENRICHMENT_PENDING_MAIN_CHAT_QA	HIGH_CURRENT_PAGE_EVIDENCE_WITH_UNVALIDATED_CANDIDATES	M4QR2TR0013 || PassB: M4QR2Q00035 || M4QR2Q00036 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0014	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-nachat-prodavat-na-wildberries/	INSPECTED	https://www.moysklad.ru/poleznoe/marketplejsy/kak-nachat-prodavat-na-wildberries/	ARTICLE_OR_GUIDE	ADJACENT_MIXED_SELLER_TASK_AND_UNSUPPORTED_ACTION_BOUNDARY	ADD_CURRENT_URL_AND_PAGE_EVIDENCE	Current exact ranking URL and visible public page add bounded URL/page evidence for the same authorized registry entity.	11	8	1		ADD_NEW_CANDIDATE_FOR_LATER_VALIDATION	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	M4C_ACCEPTANCE_ADDITIVE_ENRICHMENT_PENDING_MAIN_CHAT_QA	HIGH_CURRENT_PAGE_EVIDENCE_WITH_UNVALIDATED_CANDIDATES	M4QR2TR0014 || PassB: M4QR2Q00010 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0015	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-schitat-yunit-ekonomiku-dlya-marketpleysov/	INSPECTED	https://www.moysklad.ru/poleznoe/marketplejsy/kak-schitat-yunit-ekonomiku-dlya-marketpleysov/	ARTICLE_OR_GUIDE	SELLER_DATA_OR_OPERATIONAL_TASK_CONTEXT_NOT_PRODUCT_CAPABILITY_PROOF	ADD_CURRENT_URL_AND_PAGE_EVIDENCE	Current exact ranking URL and visible public page add bounded URL/page evidence for the same authorized registry entity.	3	1	0	M4CCAND000570 || M4CCAND003677	ADD_NEW_CANDIDATE_FOR_LATER_VALIDATION	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	M4C_ACCEPTANCE_ADDITIVE_ENRICHMENT_PENDING_MAIN_CHAT_QA	HIGH_CURRENT_PAGE_EVIDENCE_WITH_UNVALIDATED_CANDIDATES	M4QR2TR0015 || PassB: M4QR2Q00040 || M4QR2Q00045 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0016	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kartochka-tovara-na-wildberries/	INSPECTED	https://www.moysklad.ru/poleznoe/marketplejsy/kartochka-tovara-na-wildberries/	ARTICLE_OR_GUIDE	SELLER_DATA_OR_OPERATIONAL_TASK_CONTEXT_NOT_PRODUCT_CAPABILITY_PROOF	ADD_CURRENT_URL_AND_PAGE_EVIDENCE	Current exact ranking URL and visible public page add bounded URL/page evidence for the same authorized registry entity.	5	4	0		ADD_NEW_CANDIDATE_FOR_LATER_VALIDATION	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	M4C_ACCEPTANCE_ADDITIVE_ENRICHMENT_PENDING_MAIN_CHAT_QA	HIGH_CURRENT_PAGE_EVIDENCE_WITH_UNVALIDATED_CANDIDATES	M4QR2TR0016 || PassB: M4QR2Q00009 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0017	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/samye-prodavaemye-tovary-na-wildberries/	INSPECTED	https://www.moysklad.ru/poleznoe/marketplejsy/samye-prodavaemye-tovary-na-wildberries/	ARTICLE_OR_GUIDE	OUT_OF_LAUNCH_PRODUCT_SCOPE_OR_EXTERNAL_INTELLIGENCE	OUT_OF_SCOPE	Current page is an accepted-entity ranking URL, but its dominant task is external intelligence/accounting or another unsupported launch scope.	3	1	0		NO_CHANGE	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	M4C_ACCEPTANCE_ADDITIVE_ENRICHMENT_PENDING_MAIN_CHAT_QA	HIGH_CURRENT_PAGE_EVIDENCE_WITH_UNVALIDATED_CANDIDATES	M4QR2TR0017 || PassB: M4QR2Q00003 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0018	REG025	https://mpboost.pro/analytics/	INSPECTED	https://mpboost.pro/analytics/	PUBLIC_PRODUCT_OR_SERVICE_LANDING	SELLER_DATA_OR_OPERATIONAL_TASK_CONTEXT_NOT_PRODUCT_CAPABILITY_PROOF	ADD_CURRENT_URL_AND_PAGE_EVIDENCE	Current exact ranking URL and visible public page add bounded URL/page evidence for the same authorized registry entity.	1	0	1		KEEP_EXISTING_VALIDATION_ROUTE	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	M4C_ACCEPTANCE_ADDITIVE_ENRICHMENT_PENDING_MAIN_CHAT_QA	HIGH_CURRENT_PAGE_EVIDENCE_WITH_UNVALIDATED_CANDIDATES	M4QR2TR0018 || PassB: M4QR2Q00004 || M4QR2Q00005 || M4QR2Q00015 || M4QR2Q00017 || M4QR2Q00018 || M4QR2Q00021 || M4QR2Q00022 || M4QR2Q00042 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0019	REG026	https://mpfact.ru/tpost/kak-poschitat-pribyl	INSPECTED	https://mpfact.ru/tpost/kak-poschitat-pribyl	ARTICLE_OR_GUIDE	SELLER_DATA_OR_OPERATIONAL_TASK_CONTEXT_NOT_PRODUCT_CAPABILITY_PROOF	ADD_CURRENT_URL_AND_PAGE_EVIDENCE	Current exact ranking URL and visible public page add bounded URL/page evidence for the same authorized registry entity.	4	3	1		ADD_NEW_CANDIDATE_FOR_LATER_VALIDATION	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	M4C_ACCEPTANCE_ADDITIVE_ENRICHMENT_PENDING_MAIN_CHAT_QA	HIGH_CURRENT_PAGE_EVIDENCE_WITH_UNVALIDATED_CANDIDATES	M4QR2TR0019 || PassB: M4QR2Q00044 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0020	REG027	https://mpmgr.ru/blog/ads-promotion/analytics-metrics-wildberries-ads	TIMEOUT	https://mpmgr.ru/blog/ads-promotion/analytics-metrics-wildberries-ads		CURRENT_CONTENT_UNAVAILABLE	TARGET_INACCESSIBLE_KEEP_DURABLE_HISTORY	Exact target currently inaccessible; retain accepted historical M4C entity/page evidence and do not invent page content.	0	0	0		HOLD	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	CURRENT_TARGET_TERMINAL; PRESERVE_DURABLE_M4C_HISTORY	HIGH_TERMINAL_ACCESS_OBSERVATION; NO_CURRENT_PAGE_EVIDENCE	M4QR2TR0020 || PassB: M4QR2Q00024 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0021	REG027	https://mpmgr.ru/blog/ads-promotion/audit-reklamy-drr-wildberries	TIMEOUT			CURRENT_CONTENT_UNAVAILABLE	TARGET_INACCESSIBLE_KEEP_DURABLE_HISTORY	Exact target currently inaccessible; retain accepted historical M4C entity/page evidence and do not invent page content.	0	0	0		HOLD	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	CURRENT_TARGET_TERMINAL; PRESERVE_DURABLE_M4C_HISTORY	HIGH_TERMINAL_ACCESS_OBSERVATION; NO_CURRENT_PAGE_EVIDENCE	M4QR2TR0021 || PassB: M4QR2Q00024 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0022	REG027	https://mpmgr.ru/blog/analytics/drr-kak-schitat	TIMEOUT			CURRENT_CONTENT_UNAVAILABLE	TARGET_INACCESSIBLE_KEEP_DURABLE_HISTORY	Exact target currently inaccessible; retain accepted historical M4C entity/page evidence and do not invent page content.	0	0	0		HOLD	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	CURRENT_TARGET_TERMINAL; PRESERVE_DURABLE_M4C_HISTORY	HIGH_TERMINAL_ACCESS_OBSERVATION; NO_CURRENT_PAGE_EVIDENCE	M4QR2TR0022 || PassB: M4QR2Q00024 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0023	REG027	https://mpmgr.ru/blog/business/marzhinalnost-i-rentabelnost-marketpleysy	TIMEOUT			CURRENT_CONTENT_UNAVAILABLE	TARGET_INACCESSIBLE_KEEP_DURABLE_HISTORY	Exact target currently inaccessible; retain accepted historical M4C entity/page evidence and do not invent page content.	0	0	0		HOLD	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	CURRENT_TARGET_TERMINAL; PRESERVE_DURABLE_M4C_HISTORY	HIGH_TERMINAL_ACCESS_OBSERVATION; NO_CURRENT_PAGE_EVIDENCE	M4QR2TR0023 || PassB: M4QR2Q00031 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
M4QR2TR0024	REG027	https://mpmgr.ru/blog/business/vidy-pribyli-sellery	TIMEOUT			CURRENT_CONTENT_UNAVAILABLE	TARGET_INACCESSIBLE_KEEP_DURABLE_HISTORY	Exact target currently inaccessible; retain accepted historical M4C entity/page evidence and do not invent page content.	0	0	0		HOLD	Current Yandex ranking and public competitor page wording are visibility/context only; independent demand validation remains open.	CURRENT_TARGET_TERMINAL; PRESERVE_DURABLE_M4C_HISTORY	HIGH_TERMINAL_ACCESS_OBSERVATION; NO_CURRENT_PAGE_EVIDENCE	M4QR2TR0024 || PassB: M4QR2Q00040 || M4QR2Q00044 || M4C_PAGE_NONE	No M4C exact final/canonical equivalent; all 74 Pass B sibling-host identity holds remain unchanged. Candidate counts describe page wording, not search volume.
