candidate_delta_id	target_id	registry_id	source_url	page_role	raw_candidate_text	normalized_comparison_key	source_location_or_context	reconciliation_status	existing_m4c_candidate_ids	semantic_notes	proposed_m6_route	claim_boundary
M4QR2CD00018	M4QR2TR0008	REG022	https://marpla.ru/blog/trebovaniya-k-kartochkam-tovara-wildberries-pravila-zapolneniya/	ARTICLE_OR_GUIDE	Требования к заполнению карточки	требования к заполнению карточки	H2[2]; Требования к карточкам товара Wildberries — правила заполнения	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00019	M4QR2TR0009	REG024	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D0%BE%D1%82%D1%87%D0%B5%D1%82_%D1%82%D0%BE%D0%B2%D0%B0%D1%80%D1%8B_%D0%BD%D0%B0_%D1%80%D0%B5%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8	HELP_DOCUMENTATION	Отчет Товары на реализации	отчет товары на реализации	H1; Отчет Товары на реализации	POSSIBLE_VARIANT		Distinct exact wording of a broad accepted seller task; possible variant only, no synonym/identity merge.	KEEP_EXISTING_VALIDATION_QUESTION_PENDING_EXACT_DEMAND_CHECK	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00020	M4QR2TR0010	REG024	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D0%BF%D0%BE%D0%BB%D1%83%D1%87%D0%B5%D0%BD%D0%BD%D1%8B%D0%B8_%D0%BE%D1%82%D1%87%D0%B5%D1%82_%D0%BA%D0%BE%D0%BC%D0%B8%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B5%D1%80%D0%B0_%D0%B8%D0%B7_ozon	HELP_DOCUMENTATION	Полученный отчет комиссионера из Ozon	полученный отчет комиссионера из ozon	H1; Полученный отчет комиссионера из Ozon	POSSIBLE_VARIANT		Distinct exact wording of a broad accepted seller task; possible variant only, no synonym/identity merge.	KEEP_EXISTING_VALIDATION_QUESTION_PENDING_EXACT_DEMAND_CHECK	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00021	M4QR2TR0011	REG024	https://support.moysklad.ru/hc/ru/%D0%BE%D0%BD%D0%BB%D0%B0%D0%B8%D0%BD%20%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%BB%D1%8F/%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D1%8B/%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%B0_c_%D0%BC%D0%B0%D1%80%D0%BA%D0%B5%D1%82%D0%BF%D0%BB%D0%B5%D0%B8%D1%81%D0%BE%D0%BC_%D0%BE%D1%82%D1%87%D0%B5%D1%82%D1%8B_%D0%B8_%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%D0%B0	HELP_DOCUMENTATION	Работа c маркетплейсом: отчеты и аналитика	работа c маркетплейсом: отчеты и аналитика	H1; Работа c маркетплейсом: отчеты и аналитика	POSSIBLE_VARIANT		Distinct exact wording of a broad accepted seller task; possible variant only, no synonym/identity merge.	KEEP_EXISTING_VALIDATION_QUESTION_PENDING_EXACT_DEMAND_CHECK	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00022	M4QR2TR0012	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/analitika-marketpleysov/	ARTICLE_OR_GUIDE	Аналитика маркетплейсов: 25 сервисов для внешнего и внутреннего анализа	аналитика маркетплейсов: 25 сервисов для внешнего и внутреннего анализа	H1; Аналитика маркетплейсов: 25 сервисов для внешнего и внутреннего анализа	POSSIBLE_VARIANT		Distinct exact wording of a broad accepted seller task; possible variant only, no synonym/identity merge.	KEEP_EXISTING_VALIDATION_QUESTION_PENDING_EXACT_DEMAND_CHECK	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00023	M4QR2TR0012	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/analitika-marketpleysov/	ARTICLE_OR_GUIDE	Внутренняя аналитика	внутренняя аналитика	H2[6]; Аналитика маркетплейсов: 25 сервисов для внешнего и внутреннего анализа	ALREADY_PRESENT	M4CCAND000686	Exact-safe raw wording already occurs in accepted M4C (1 source occurrences; same entity=0); no new demand claim.	KEEP_EXISTING_M4C_M6_ROUTE	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00024	M4QR2TR0013	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-analitika-uluchshaet-prodazhi-na-marketpleysakh/	ARTICLE_OR_GUIDE	Как аналитика улучшает продажи на маркетплейсах	как аналитика улучшает продажи на маркетплейсах	H1; Как аналитика улучшает продажи на маркетплейсах	ALREADY_PRESENT	M4CCAND003670	Exact-safe raw wording already occurs in accepted M4C (1 source occurrences; same entity=1); no new demand claim.	KEEP_EXISTING_M4C_M6_ROUTE	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00025	M4QR2TR0013	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-analitika-uluchshaet-prodazhi-na-marketpleysakh/	ARTICLE_OR_GUIDE	Как контролировать остатки и товары на реализации	как контролировать остатки и товары на реализации	H2[4]; Как аналитика улучшает продажи на маркетплейсах	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00026	M4QR2TR0013	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-analitika-uluchshaet-prodazhi-na-marketpleysakh/	ARTICLE_OR_GUIDE	Как считать прибыль и убытки на маркетплейсах	как считать прибыль и убытки на маркетплейсах	H2[9]; Как аналитика улучшает продажи на маркетплейсах	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00027	M4QR2TR0013	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-analitika-uluchshaet-prodazhi-na-marketpleysakh/	ARTICLE_OR_GUIDE	Как сервис аналитики маркетплейсов помогает бизнесу	как сервис аналитики маркетплейсов помогает бизнесу	H2[10]; Как аналитика улучшает продажи на маркетплейсах	AMBIGUOUS		Mixed autonomous/AI/market intelligence claim or under-specified heading; no product/demand inference.	HOLD_FOR_M6_TASK_AND_CAPABILITY_REVIEW	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00028	M4QR2TR0014	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-nachat-prodavat-na-wildberries/	ARTICLE_OR_GUIDE	Как начать продавать на Wildberries: пошаговая инструкция с нуля	как начать продавать на wildberries: пошаговая инструкция с нуля	H1; Как начать продавать на Wildberries: пошаговая инструкция с нуля	POSSIBLE_VARIANT		Distinct exact wording of a broad accepted seller task; possible variant only, no synonym/identity merge.	KEEP_EXISTING_VALIDATION_QUESTION_PENDING_EXACT_DEMAND_CHECK	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00029	M4QR2TR0014	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-nachat-prodavat-na-wildberries/	ARTICLE_OR_GUIDE	Как нанести код маркировки на товар	как нанести код маркировки на товар	H4[9]; Как начать продавать на Wildberries: пошаговая инструкция с нуля	OUT_OF_SCOPE		Explicit 1C/accounting, external intelligence, onboarding/mutation, or another task outside launch product scope; preserve as page evidence.	NO_M6_PROMOTION_UNSUPPORTED_OR_DIFFERENT_TASK	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00030	M4QR2TR0014	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-nachat-prodavat-na-wildberries/	ARTICLE_OR_GUIDE	Как подготовить маркированные товары к поставке	как подготовить маркированные товары к поставке	H4[10]; Как начать продавать на Wildberries: пошаговая инструкция с нуля	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00031	M4QR2TR0014	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-nachat-prodavat-na-wildberries/	ARTICLE_OR_GUIDE	Как зарегистрироваться и стать продавцом на Wildberries: пошаговая инструкция	как зарегистрироваться и стать продавцом на wildberries: пошаговая инструкция	H2[17]; Как начать продавать на Wildberries: пошаговая инструкция с нуля	OUT_OF_SCOPE		Explicit 1C/accounting, external intelligence, onboarding/mutation, or another task outside launch product scope; preserve as page evidence.	NO_M6_PROMOTION_UNSUPPORTED_OR_DIFFERENT_TASK	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00032	M4QR2TR0014	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-nachat-prodavat-na-wildberries/	ARTICLE_OR_GUIDE	Расчет юнит-экономики до первой закупки	расчет юнит-экономики до первой закупки	H3[38]; Как начать продавать на Wildberries: пошаговая инструкция с нуля	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
M4QR2CD00033	M4QR2TR0014	REG024	https://www.moysklad.ru/poleznoe/marketplejsy/kak-nachat-prodavat-na-wildberries/	ARTICLE_OR_GUIDE	Как вывести карточки в ТОП выдачи маркетплейса	как вывести карточки в топ выдачи маркетплейса	H3[41]; Как начать продавать на Wildberries: пошаговая инструкция с нуля	NEW_CANDIDATE		Previously unrecorded exact source wording of a concrete seller task; no Wordstat/Search demand proof from page.	ADD_CANDIDATE_FOR_LATER_M6_VALIDATION_ONLY	TARGETED_PUBLIC_PAGE_OBSERVATION_ONLY; NOT_WORDSTAT_DEMAND; NOT_OCTOPORT_PRODUCT_FACT; NOT_FINAL_CLUSTER_OR_PAGE_DECISION; NEW_CANDIDATE_OR_POSSIBLE_VARIANT_IS_NOT_DEMAND
