TEST_ID	Requirement	Why_Manual_Live	Dependency	Status	Owner_Action	Pass_Criteria	Fail_Class	Evidence	Next_Test
Q1C-DIALOGUE-17	Parallel independent dialogues	Needs live stores/dialogues	Q1C-OZON-07 and Q1C-WB-10	BLOCKED_OWNER_CREDENTIAL	Run one bounded action in each dialogue	One executor each and no cross-delivery	FAIL_PRODUCT|FAIL_OWNER_DATA_UNAVAILABLE	safe dialogue/store labels	Q1C-MBROWSER-18
Q1C-MBROWSER-18	Two installations independently usable	Needs second legitimate browser/device	Q1C-EXT-03	BLOCKED_OWNER_BROWSER	Sign in second installation and run bounded action	No exclusive lease or cross-delivery	FAIL_BROWSER_ENVIRONMENT|FAIL_OWNER_DATA_UNAVAILABLE|FAIL_PRODUCT	browser/device safe IDs	Q1C-OFFLINE-19
Q1C-OFFLINE-19	Offline signed authority/grace	Needs controlled server-unavailable condition	Q1C-BS-04 plus valid authority	READY	Run one allowed Start/Resume while server unavailable	Grace authority permits operation per policy	FAIL_ENVIRONMENT|FAIL_PRODUCT	safe authority/result class	Q1C-CACHE-20
Q1C-CACHE-20	Cache expiry denial	Already proven by deterministic fixtures	Accepted automation	ALREADY_ACCEPTED_AUTOMATED	Do not reproduce live	Fresh/grace/expired rules remain green	FAIL_PRODUCT	automated evidence ID	Q1C-UNKNOWN-21
Q1C-UNKNOWN-21	Provider UNKNOWN no replay	Unsafe to manufacture live ambiguity	Accepted automation	ALREADY_ACCEPTED_AUTOMATED	Do not send ambiguous real request	No automatic replay or burst	FAIL_PRODUCT	automated evidence ID	Q1C-429-22
Q1C-429-22	429 retry safety	Unsafe to abuse real provider	Accepted automation	ALREADY_ACCEPTED_AUTOMATED	Do not force 429	Retry-After policy remains green	FAIL_PRODUCT	automated evidence ID	Q1C-FINISH-23
Q1C-FINISH-23	Finish abort semantics	Owner UX and stale-work behavior	Q1C-OZON-07 or Q1C-WB-10	READY	Select Finish once on active Work	Work terminates and stale command does not run	FAIL_PRODUCT	safe state/result class	Q1C-TRANSFER-24
Q1C-TRANSFER-24	Transfer owner UX	Needs two owner installations	Q1C-MBROWSER-18	BLOCKED_OWNER_BROWSER	Initiate and confirm one safe transfer	UX completes without secret evidence	FAIL_BROWSER_ENVIRONMENT|FAIL_OWNER_DATA_UNAVAILABLE|FAIL_PRODUCT	safe result/device IDs	Q1C-EXPORT-25
Q1C-EXPORT-25	Export/import owner UX	Needs safe local owner data	Q1C-BS-04	READY	Export then import through product UI	Local state restores without uploading artifact	FAIL_BROWSER_ENVIRONMENT|FAIL_OWNER_DATA_UNAVAILABLE|FAIL_PRODUCT	safe result class only	Q1C-B2-26
Q1C-B2-26	Feedback/support UX	Needs authenticated owner session	Q1C-BS-04	READY	Submit one synthetic non-sensitive case	Case ID and safe diagnostics only	FAIL_PRODUCT|FAIL_ENVIRONMENT	case ID/category/status/redacted screenshot	Q1C-HEALTH-27
Q1C-HEALTH-27	Live Work Health provenance	Accepted Stream-2 boundary and owner Work needed	OWNER_DEFERRED_TEST-I1-ONLINE-WORK-HEALTH-20260917	STREAM2_DEPENDENCY	Observe one live Work Health result	Authoritative passive provenance recorded by Stream-2 owner	STREAM2_DEPENDENCY|FAIL_PROVIDER|FAIL_PRODUCT	safe health/result class	Q1C-CHROME-28
Q1C-CHROME-28	Real Chrome manual smoke	Branded Chrome environment route needs direct proof	Chrome runtime	BLOCKED_OWNER_BROWSER	Install/open popup/auth-state harmless smoke	Direct Chrome evidence only	FAIL_BROWSER_ENVIRONMENT|FAIL_PRODUCT	Chrome version/package SHA/result	Q1C-OPERA-29
Q1C-OPERA-29	Real Opera smoke	Owner UI smoke is optional after bounded automation	Opera 136 package	ALREADY_ACCEPTED_AUTOMATED	Do not repeat full matrix; optional focused smoke	Opera 24/24 bounded truth remains valid	FAIL_BROWSER_ENVIRONMENT|FAIL_PRODUCT	Opera version/package SHA if run	Q1C-YANDEX-30
Q1C-YANDEX-30	Yandex manual/runtime smoke	Needs legitimate runtime	Yandex package/runtime	BLOCKED_OWNER_BROWSER	Load package and open popup once	Direct Yandex evidence or precise defer	FAIL_BROWSER_ENVIRONMENT|FAIL_PRODUCT	Yandex version/package SHA/result	Q1C-FIREFOX-31
Q1C-FIREFOX-31	Firefox manual/runtime smoke	Needs real Firefox WebExtension route	Firefox package/runtime	BLOCKED_OWNER_BROWSER	Load package via legitimate developer route	Direct Firefox evidence or precise defer	FAIL_BROWSER_ENVIRONMENT|FAIL_PRODUCT	Firefox version/package SHA/result	Q1C-SAFARI-32
Q1C-SAFARI-32	Safari/macOS smoke	Linux cannot prove Safari	Real macOS/Xcode/Safari	BLOCKED_REAL_MAC	Run minimum Safari install/open smoke	Direct macOS evidence only	FAIL_BROWSER_ENVIRONMENT	macOS/Safari version/result	Q1C-PRIVACY-33
Q1C-PRIVACY-33	Evidence redaction/privacy	Required for every returned evidence set	Any completed card	READY	Review and redact evidence before return	No OTP/credential/token/cookie/report/AI/transfer secret	FAIL_PRODUCT|FAIL_ENVIRONMENT	redaction confirmation	Q1C-ACCOUNT-34
Q1C-ACCOUNT-34	Owner logout/retain/delete UX	Requires owner decision and live state	Q1C-AUTH-02	READY	Execute accepted account lifecycle UX only if chosen	State follows privacy/deletion contract	FAIL_PRODUCT|FAIL_OWNER_DATA_UNAVAILABLE	safe result/IDs only	Q1C-APP-35
Q1C-APP-35	Optional Seller Agents service restart	Only if architect approves maintenance window	Preprod operational support	READY	Exercise supported service restart/reopen path	Health recovers without trust/data change	FAIL_ENVIRONMENT|FAIL_PRODUCT	timestamp health revision	END
