diagnostic_id	semantic_identity_id	diagnostic_class	observed_conflict	expected_review	final_resolution	changed_by_diagnostic	sibling_impact_checked	notes
M8D000011	M8SID_1faae67f8757eedf	MARKETPLACE_SCOPE_MIX	M6SRC04871:HOLD_AMBIGUOUS	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_M6_SOURCE_IDENTITY; M6_SOURCE_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC04871:HOLD_AMBIGUOUS; Product Truth current
M8D000012	M8SID_0f8a956cfead4b13	MARKETPLACE_SCOPE_MIX	M6SRC03884:HOLD_AMBIGUOUS	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_M6_SOURCE_IDENTITY; M6_SOURCE_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC03884:HOLD_AMBIGUOUS; Product Truth current
M8D000013	M8SID_6bc74acdd24608f0	MARKETPLACE_SCOPE_MIX	ai-помощник для wildberries, ozon и яндекс.маркета - mp manager	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_SOURCE_FRAGMENT; SOURCE_FRAGMENT	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=NO_EXACT_M6_SOURCE_LINK; Product Truth current
M8D000014	M8SID_757ae078e386fdec	MARKETPLACE_SCOPE_MIX	api mp manager для wb, ozon и яндекс.маркет - mp manager	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_SOURCE_FRAGMENT; SOURCE_FRAGMENT	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=NO_EXACT_M6_SOURCE_LINK; Product Truth current
M8D000015	M8SID_ef514d539b8d591b	MARKETPLACE_SCOPE_MIX	M6SRC05335:HOLD_AMBIGUOUS	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_M6_SOURCE_IDENTITY; M6_SOURCE_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC05335:HOLD_AMBIGUOUS; Product Truth current
M8D000016	M8SID_32205ed92a172f2e	READ_ONLY_MUTATION	M6SRC04871:HOLD_AMBIGUOUS	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_M6_SOURCE_IDENTITY; M6_SOURCE_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC04871:HOLD_AMBIGUOUS; Product Truth current
M8D000017	M8SID_f9e519afedf9bb21	MARKETPLACE_SCOPE_MIX	how an ai agent automates analytics for wildberries and ozon: price and stock monitoring	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_COMPETITOR_ONLY; COMPETITOR_ONLY	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC05094:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000018	M8SID_a0fb6f43aa303c35	MARKETPLACE_SCOPE_MIX	how to build a scalable e-commerce store on wildberries and ozon with ai automation	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_COMPETITOR_ONLY; COMPETITOR_ONLY	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC02847:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000019	M8SID_78fd622495b87ddc	MARKETPLACE_SCOPE_MIX	l10: практические статьи, инструкции и разборы для селлеров на wildberries, ozon и яндекс.маркете.	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_SOURCE_FRAGMENT; SOURCE_FRAGMENT	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=NO_EXACT_M6_SOURCE_LINK; Product Truth current
M8D000020	M8SID_a9303ecdabe4a2fd	READ_ONLY_MUTATION	M6SRC02344:HOLD_AMBIGUOUS	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_M6_SOURCE_IDENTITY; M6_SOURCE_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC02344:HOLD_AMBIGUOUS; Product Truth current
M8D000021	M8SID_c6c39610d3c89e61	MARKETPLACE_SCOPE_MIX	M6SRC04871:HOLD_AMBIGUOUS	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_M6_SOURCE_IDENTITY; M6_SOURCE_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC04871:HOLD_AMBIGUOUS; Product Truth current
M8D000022	M8SID_16134538eb8319b8	READ_ONLY_MUTATION	M6SRC02344:HOLD_AMBIGUOUS	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_M6_SOURCE_IDENTITY; M6_SOURCE_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC02344:HOLD_AMBIGUOUS; Product Truth current
M8D000023	M8SID_75d215d605d8ac4c	MARKETPLACE_SCOPE_MIX	l54: все инструменты работают в связке с остальными площадками — ozon ведётся в том же кабинете, что wildberries и яндекс маркет.	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_SOURCE_FRAGMENT; SOURCE_FRAGMENT	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=NO_EXACT_M6_SOURCE_LINK; Product Truth current
M8D000024	M8SID_03211dacfd615c8f	MARKETPLACE_SCOPE_MIX	M6SRC03884:HOLD_AMBIGUOUS | M6SRC02344:HOLD_AMBIGUOUS	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_M6_SOURCE_IDENTITY; M6_SOURCE_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC03884:HOLD_AMBIGUOUS | M6SRC02344:HOLD_AMBIGUOUS; Product Truth current
M8D000025	M8SID_923a147fbb25f50e	MARKETPLACE_SCOPE_MIX	l92: при выходе на несколько площадок работайте из одного окна — есть готовые интеграции с ozon, wildberries, яндекс маркетом, мегамаркетом и другими.	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_SOURCE_FRAGMENT; SOURCE_FRAGMENT	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=NO_EXACT_M6_SOURCE_LINK; Product Truth current
M8D000026	M8SID_42b2238a4e55c444	READ_ONLY_MUTATION	M6SRC02344:HOLD_AMBIGUOUS | M6SRC01405:HOLD_AMBIGUOUS | M6SRC04871:HOLD_AMBIGUOUS	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_M6_SOURCE_IDENTITY; M6_SOURCE_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC02344:HOLD_AMBIGUOUS | M6SRC01405:HOLD_AMBIGUOUS | M6SRC04871:HOLD_AMBIGUOUS; Product Truth current
M8D000027	M8SID_9cb62e9aad60faf6	MARKETPLACE_SCOPE_MIX	mcp для селлеров: как подключить ии-агента к wildberries, ozon и яндекс маркету	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_OTHER_ENTITY_NAVIGATION; NAMED_ENTITY_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC05520:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000028	M8SID_84dda3153aa398e8	OPERATOR_DEVELOPER	mcp-серверы для работы с аналитикой маркетплейсов через chatgpt, deepseek, claude code	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_DEVELOPER_INTENT; DEVELOPER_COLLISION	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=NO_EXACT_M6_SOURCE_LINK; Product Truth current
M8D000029	M8SID_4637f948e04936c7	EXTERNAL_INTERNAL_ANALYTICS	onbuy покоряет европу: маркетплейс с кэшбэком и неконкурентной моделью вышел еще в 8 стран, квартальный доход вырос на 152%	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_SOURCE_FRAGMENT; SOURCE_FRAGMENT	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC05121:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000030	M8SID_e64eb3d348397ec4	MARKETPLACE_SCOPE_MIX	openclaw на mac mini: как установить open-source ии-агента и подключить его к ozon, wb и whatsapp бизнеса	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_COMPETITOR_ONLY; COMPETITOR_ONLY	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=NO_EXACT_M6_SOURCE_LINK; Product Truth current
M8D000031	M8SID_f4361763a79f7611	BUYER_SELLER_ROLE	ozon запустил а/б-тест отзывов: мнения покупателей могут не показываться части аудитории	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_COMPETITOR_ONLY; COMPETITOR_ONLY	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC00590:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000032	M8SID_3ca360044889792c	MARKETPLACE_SCOPE_MIX	ozon или wildberries: кто крупнее в 2026 году и что это значит продавцу	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_COMPETITOR_ONLY; COMPETITOR_ONLY	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC01236:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000033	M8SID_5cf2da29aab45ff2	MARKETPLACE_SCOPE_MIX	ozon обошел wildberries по числу пвз	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_M4Q_AMBIGUOUS; M4Q_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC00393:OUT_OF_PRODUCT_SCOPE; Product Truth current
M8D000034	M8SID_f49f9a87382a96e3	BUYER_SELLER_ROLE	ozon отчитался за 2025 год: чистая прибыль, рост оборота до 4,16 трлн и 65 млн покупателей	Check role/entity/capability against Product Truth and exact source evidence	EXCLUDED / X_BUYER_ONLY; BUYER_ONLY	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC03910:OWNER_OR_PRODUCT_FACT_REQUIRED; Product Truth current
M8D000035	M8SID_e500a62ac142316f	BUYER_SELLER_ROLE	ozon рассылки: новый инструмент для прямого контакта с покупателем	Check role/entity/capability against Product Truth and exact source evidence	EXCLUDED / X_BUYER_ONLY; BUYER_ONLY	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC00186:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000036	M8SID_d1f7847868860385	MARKETPLACE_SCOPE_MIX	pim для маркетплейсов: как публиковать товары на ozon и wb	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_COMPETITOR_ONLY; COMPETITOR_ONLY	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC04326:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000037	M8SID_10c9479a94f509f6	HUMAN_SOFTWARE_ROLE	rwb среда: обучение и мероприятия wildberries	Check role/entity/capability against Product Truth and exact source evidence	EXCLUDED / X_HUMAN_TRAINING; HUMAN_TRAINING	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC04988:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000038	M8SID_5b46804d999bb1a7	HUMAN_SOFTWARE_ROLE	say agency вакансии	Check role/entity/capability against Product Truth and exact source evidence	EXCLUDED / X_M2R_NOISE; M2R_NOISE	NO	FULL_EXACT_KEY_UNIVERSE	M2R=M2R:line=382:B02/B02-02; M6=NO_EXACT_M6_SOURCE_LINK; Product Truth current
M8D000039	M8SID_11fef8393404f70e	MARKETPLACE_SCOPE_MIX	sellerstats - api кабинет продавца на маркетплейсах wildberries, ozon и яндекс маркет	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_OTHER_ENTITY_NAVIGATION; NAMED_ENTITY_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=NO_EXACT_M6_SOURCE_LINK; Product Truth current
M8D000040	M8SID_861b5a79beaa6f0e	MARKETPLACE_SCOPE_MIX	sellerstats - аналитика брендов на маркетплейсах wildberries, ozon и яндекс маркет	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_OTHER_ENTITY_NAVIGATION; NAMED_ENTITY_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=NO_EXACT_M6_SOURCE_LINK; Product Truth current
M8D000041	M8SID_18a6ba245b97938a	MARKETPLACE_SCOPE_MIX	sellerstats - аналитика категорий на маркетплейсах wildberries, ozon и яндекс маркет	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_OTHER_ENTITY_NAVIGATION; NAMED_ENTITY_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=NO_EXACT_M6_SOURCE_LINK; Product Truth current
M8D000042	M8SID_512f1768b3104105	MARKETPLACE_SCOPE_MIX	sellerstats - аналитика поисковых запросов и seo на маркетплейсах wildberries, ozon и яндекс маркет	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_OTHER_ENTITY_NAVIGATION; NAMED_ENTITY_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=NO_EXACT_M6_SOURCE_LINK; Product Truth current
M8D000043	M8SID_85d5c2ba7e1f99bb	MARKETPLACE_SCOPE_MIX	sellerstats - аналитика продавцов на маркетплейсах wildberries, ozon и яндекс маркет	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_OTHER_ENTITY_NAVIGATION; NAMED_ENTITY_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=NO_EXACT_M6_SOURCE_LINK; Product Truth current
M8D000044	M8SID_939400f4389936e3	MARKETPLACE_SCOPE_MIX	sellerstats - аналитика товаров на маркетплейсах wildberries, ozon и яндекс маркет	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_OTHER_ENTITY_NAVIGATION; NAMED_ENTITY_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=NO_EXACT_M6_SOURCE_LINK; Product Truth current
M8D000045	M8SID_c04c8c5513fe415b	MARKETPLACE_SCOPE_MIX	sellerstats - плагин аналитики для браузера на маркетплейсах wildberries и ozon	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_OTHER_ENTITY_NAVIGATION; NAMED_ENTITY_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=NO_EXACT_M6_SOURCE_LINK; Product Truth current
M8D000046	M8SID_a7a9c21f0579c430	MARKETPLACE_SCOPE_MIX	sellerstats - подбор ниши на маркетплейсах wildberries, ozon и яндекс маркет	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_OTHER_ENTITY_NAVIGATION; NAMED_ENTITY_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=NO_EXACT_M6_SOURCE_LINK; Product Truth current
M8D000047	M8SID_611ca005427d9240	MARKETPLACE_SCOPE_MIX	sellmonitor mcp: wildberries-mcp и ozon-mcp для ai-ассистентов	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_OTHER_ENTITY_NAVIGATION; NAMED_ENTITY_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=NO_EXACT_M6_SOURCE_LINK; Product Truth current
M8D000048	M8SID_11c6856018892997	READ_ONLY_MUTATION	sellmonitor обновил инструменты управления ценами на мп для селлеров	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_OTHER_ENTITY_NAVIGATION; NAMED_ENTITY_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC05587:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000049	M8SID_ab57b9aebb430266	MARKETPLACE_SCOPE_MIX	M6SRC02344:HOLD_AMBIGUOUS	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_M6_SOURCE_IDENTITY; M6_SOURCE_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC02344:HOLD_AMBIGUOUS; Product Truth current
M8D000050	M8SID_eac98b488fe5471d	MARKETPLACE_SCOPE_MIX	seo-оптимизация wildberries и ozon: разница seo-оптимизации двух маркетплейсов	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_COMPETITOR_ONLY; COMPETITOR_ONLY	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=NO_EXACT_M6_SOURCE_LINK; Product Truth current
M8D000051	M8SID_5accda0c3dba3a1c	MARKETPLACE_SCOPE_MIX	M6SRC02344:HOLD_AMBIGUOUS	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_M6_SOURCE_IDENTITY; M6_SOURCE_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC02344:HOLD_AMBIGUOUS; Product Truth current
M8D000052	M8SID_9d5437a522f74d91	MARKETPLACE_SCOPE_MIX	seo-тексты для wildberries и ozon: как нейросети пишут карточки, которые продают	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_COMPETITOR_ONLY; COMPETITOR_ONLY	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC02522:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000053	M8SID_8959dfbd0f279a52	MARKETPLACE_SCOPE_MIX	wb + ozon + яндекс маркет: как продавать на трех площадках и не сойти с ума	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_OTHER_ENTITY_NAVIGATION; NAMED_ENTITY_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC03278:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000054	M8SID_e8805924b0890b27	MARKETPLACE_SCOPE_MIX	wildberries & ozon — e-commerce: how ai is transforming seller training on asibiont.com	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_OTHER_ENTITY_NAVIGATION; NAMED_ENTITY_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC03438:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000055	M8SID_c799d4fcefad0b89	MARKETPLACE_SCOPE_MIX	wildberries and ozon — e-commerce: how ai is transforming sales training in 2026	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_COMPETITOR_ONLY; COMPETITOR_ONLY	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC04284:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000056	M8SID_0e1b826c4458046a	MARKETPLACE_SCOPE_MIX	wildberries and ozon — e-commerce: how ai transforms sales training on marketplaces	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_COMPETITOR_ONLY; COMPETITOR_ONLY	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC04210:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000057	M8SID_36f77cf8ed0ff917	BUYER_SELLER_ROLE	wildberries внедрил ии-помощника для ответов на отзывы: теперь нейросеть общается с покупателями	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_COMPETITOR_ONLY; COMPETITOR_ONLY	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC03372:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000058	M8SID_a8cd00fbba999309	BUYER_SELLER_ROLE	wildberries внедряет ии-пересказ отзывов: как нейросеть помогает покупателям и продавцам в 2026 году	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_COMPETITOR_ONLY; COMPETITOR_ONLY	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC04746:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000059	M8SID_c00c929a745a0770	BUYER_SELLER_ROLE	M6SRC01152:HOLD_AMBIGUOUS	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_M6_SOURCE_IDENTITY; M6_SOURCE_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC01152:HOLD_AMBIGUOUS; Product Truth current
M8D000060	M8SID_95ee28dbad9df3f6	MARKETPLACE_SCOPE_MIX	wildberries и ozon выполнили предписания фас: что изменилось для селлеров	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_COMPETITOR_ONLY; COMPETITOR_ONLY	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC04566:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000061	M8SID_ce9ee321950cd712	MARKETPLACE_SCOPE_MIX	wildberries и ozon не потеряли селлеров после атак: что это значит для продавцов	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_COMPETITOR_ONLY; COMPETITOR_ONLY	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC00149:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000062	M8SID_5643bcf9ed0d1e61	MARKETPLACE_SCOPE_MIX	wildberries и ozon признаны доминирующими в беларуси	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_COMPETITOR_ONLY; COMPETITOR_ONLY	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC04036:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000063	M8SID_3085a11f29119c9f	MARKETPLACE_SCOPE_MIX	wildberries и ozon: главные изменения для селлеров за неделю	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_COMPETITOR_ONLY; COMPETITOR_ONLY	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC05425:NO_INCREMENTAL_INFORMATION_GAIN; Product Truth current
M8D000064	M8SID_2bfdbdc30c4b5a98	MARKETPLACE_SCOPE_MIX	wildberries, ozon, яндекс и avito выступили против национальной модели торговли	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_OTHER_ENTITY_NAVIGATION; NAMED_ENTITY_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC00238:OUT_OF_PRODUCT_SCOPE; Product Truth current
M8D000065	M8SID_f6046ce84a577292	MARKETPLACE_SCOPE_MIX	wildberries, ozon, яндекс маркет — в одном кабинете	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_OTHER_ENTITY_NAVIGATION; NAMED_ENTITY_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=NO_EXACT_M6_SOURCE_LINK; Product Truth current
M8D000066	M8SID_443c91aa4232d7de	EXTERNAL_INTERNAL_ANALYTICS	M6SRC02140:HOLD_AMBIGUOUS	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_M6_SOURCE_IDENTITY; M6_SOURCE_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC02140:HOLD_AMBIGUOUS; Product Truth current
M8D000067	M8SID_0f207b9cd6550c06	EXTERNAL_INTERNAL_ANALYTICS	M6SRC00245:HOLD_AMBIGUOUS	Check role/entity/capability against Product Truth and exact source evidence	REVIEW_HOLD / H_M6_SOURCE_IDENTITY; M6_SOURCE_HOLD	NO	FULL_EXACT_KEY_UNIVERSE	M2R=; M6=M6SRC00245:HOLD_AMBIGUOUS; Product Truth current
