semantic_identity_id	hold_class	exact_unknown	current_evidence	missing_evidence	why_not_guess	blocking_for_m9	reopen_trigger	claim_boundary
M8SID_197c90393903a37e	H_SOURCE_FRAGMENT	Recover an independently plausible complete user query from the source fragment	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=RECOVERED_TARGETED_PAGE_AND_COMPETITOR_WORDING; m6=M6SRC06091:OUT_OF_PRODUCT_SCOPE	Recover an independently plausible complete user query from the source fragment	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible complete user query from the source fragment	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_3a96ecc486762e37	H_SOURCE_FRAGMENT	Recover an independently plausible complete user query from the source fragment	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=RECOVERED_TARGETED_PAGE_AND_COMPETITOR_WORDING; m6=M6SRC06084:OUT_OF_PRODUCT_SCOPE	Recover an independently plausible complete user query from the source fragment	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible complete user query from the source fragment	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_650b744ef4bffa1c	H_SOURCE_FRAGMENT	Recover an independently plausible complete user query from the source fragment	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=RECOVERED_TARGETED_PAGE_AND_COMPETITOR_WORDING; m6=M6SRC06087:OUT_OF_PRODUCT_SCOPE	Recover an independently plausible complete user query from the source fragment	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible complete user query from the source fragment	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_d4d14fc635bd815d	H_M6_SOURCE_IDENTITY	Clarify the source wording and seller task without semantic rewriting	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=M6SRC03710:HOLD_AMBIGUOUS	Clarify the source wording and seller task without semantic rewriting	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Clarify the source wording and seller task without semantic rewriting	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_6dbf5072e9a3db93	H_SOURCE_FRAGMENT	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=NO_EXACT_M6_SOURCE_LINK	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_d517ff5f1f30be42	H_SOURCE_FRAGMENT	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=NO_EXACT_M6_SOURCE_LINK	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_0cd6d3bde9990093	H_SOURCE_FRAGMENT	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=NO_EXACT_M6_SOURCE_LINK	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_06132419fbb3c5ff	H_SOURCE_FRAGMENT	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=NO_EXACT_M6_SOURCE_LINK	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_2c18b72bd0ad6c15	H_SOURCE_FRAGMENT	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=NO_EXACT_M6_SOURCE_LINK	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_80c42a2d591250fb	H_M6_SOURCE_IDENTITY	Clarify the source wording and seller task without semantic rewriting	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=M6SRC03884:HOLD_AMBIGUOUS	Clarify the source wording and seller task without semantic rewriting	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Clarify the source wording and seller task without semantic rewriting	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_ee230da4d3e37bae	H_M6_SOURCE_IDENTITY	Clarify the source wording and seller task without semantic rewriting	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=M6SRC04871:HOLD_AMBIGUOUS	Clarify the source wording and seller task without semantic rewriting	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Clarify the source wording and seller task without semantic rewriting	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_90cfba87f7093108	H_SOURCE_FRAGMENT	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=NO_EXACT_M6_SOURCE_LINK	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_5aefcd6e450066a2	H_SOURCE_FRAGMENT	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=NO_EXACT_M6_SOURCE_LINK	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_0e10b08688f6d54a	H_SOURCE_FRAGMENT	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=NO_EXACT_M6_SOURCE_LINK	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_9e0f276f2f997bdb	H_M6_SOURCE_IDENTITY	Clarify the source wording and seller task without semantic rewriting	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=M6SRC01405:HOLD_AMBIGUOUS	Clarify the source wording and seller task without semantic rewriting	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Clarify the source wording and seller task without semantic rewriting	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_cc60028576d91a15	H_SOURCE_FRAGMENT	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=NO_EXACT_M6_SOURCE_LINK	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_ff0463cba81cb28e	H_SOURCE_FRAGMENT	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=NO_EXACT_M6_SOURCE_LINK	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_4af8539307f5388c	H_M6_SOURCE_IDENTITY	Clarify the source wording and seller task without semantic rewriting	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=M6SRC03884:HOLD_AMBIGUOUS	Clarify the source wording and seller task without semantic rewriting	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Clarify the source wording and seller task without semantic rewriting	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_ec35fb3aad890d1a	H_M6_SOURCE_IDENTITY	Clarify the source wording and seller task without semantic rewriting	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=M6SRC04871:HOLD_AMBIGUOUS	Clarify the source wording and seller task without semantic rewriting	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Clarify the source wording and seller task without semantic rewriting	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_0895a161dfa40231	H_M6_SOURCE_IDENTITY	Clarify the source wording and seller task without semantic rewriting	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=M6SRC01405:HOLD_AMBIGUOUS	Clarify the source wording and seller task without semantic rewriting	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Clarify the source wording and seller task without semantic rewriting	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_9646e87eeafb0c4c	H_SOURCE_FRAGMENT	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=NO_EXACT_M6_SOURCE_LINK	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_23f16527d2ebad69	H_M6_SOURCE_IDENTITY	Clarify the source wording and seller task without semantic rewriting	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=M6SRC03884:HOLD_AMBIGUOUS	Clarify the source wording and seller task without semantic rewriting	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Clarify the source wording and seller task without semantic rewriting	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_4f1057d5b18ea2b9	H_SOURCE_FRAGMENT	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=NO_EXACT_M6_SOURCE_LINK	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_84762cc5c2e73830	H_M6_SOURCE_IDENTITY	Clarify the source wording and seller task without semantic rewriting	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=M6SRC02344:HOLD_AMBIGUOUS	Clarify the source wording and seller task without semantic rewriting	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Clarify the source wording and seller task without semantic rewriting	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_e19fe61cbdaa0fba	H_SOURCE_FRAGMENT	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=NO_EXACT_M6_SOURCE_LINK	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Recover an independently plausible user query; page copy or a navigation fragment is not a search task	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_d03a2f01f526dce7	H_M6_SOURCE_IDENTITY	Clarify the source wording and seller task without semantic rewriting	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=M6SRC03884:HOLD_AMBIGUOUS	Clarify the source wording and seller task without semantic rewriting	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Clarify the source wording and seller task without semantic rewriting	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_6d4a3d6b00ea6397	H_M6_SOURCE_IDENTITY	Clarify the source wording and seller task without semantic rewriting	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=M6SRC04621:HOLD_AMBIGUOUS | M6SRC03884:HOLD_AMBIGUOUS	Clarify the source wording and seller task without semantic rewriting	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Clarify the source wording and seller task without semantic rewriting	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_32a0905487e86b3e	H_M6_SOURCE_IDENTITY	Clarify the source wording and seller task without semantic rewriting	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=M6SRC00804:HOLD_AMBIGUOUS	Clarify the source wording and seller task without semantic rewriting	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Clarify the source wording and seller task without semantic rewriting	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_62d770e67a11cff3	H_M6_SOURCE_IDENTITY	Clarify the source wording and seller task without semantic rewriting	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=M6SRC02464:HOLD_AMBIGUOUS	Clarify the source wording and seller task without semantic rewriting	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Clarify the source wording and seller task without semantic rewriting	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_25ca39211d7341da	H_M6_SOURCE_IDENTITY	Clarify the source wording and seller task without semantic rewriting	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=M6SRC03028:HOLD_AMBIGUOUS	Clarify the source wording and seller task without semantic rewriting	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Clarify the source wording and seller task without semantic rewriting	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_54bef87e7e228988	H_OTHER_ENTITY_NAVIGATION	Separate named competitor/vendor navigation from the generic Octoport seller task	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=M6SRC04288:NO_INCREMENTAL_INFORMATION_GAIN	Separate named competitor/vendor navigation from the generic Octoport seller task	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Separate named competitor/vendor navigation from the generic Octoport seller task	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_79c633525e2a78b4	H_M6_SOURCE_IDENTITY	Clarify the source wording and seller task without semantic rewriting	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=M6SRC01076:HOLD_AMBIGUOUS	Clarify the source wording and seller task without semantic rewriting	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Clarify the source wording and seller task without semantic rewriting	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_2b82692708f56401	H_M6_SOURCE_IDENTITY	Clarify the source wording and seller task without semantic rewriting	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=M6SRC02388:HOLD_AMBIGUOUS	Clarify the source wording and seller task without semantic rewriting	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Clarify the source wording and seller task without semantic rewriting	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_d0573e1e00720bff	H_COMPETITOR_ONLY	Public competitor wording alone cannot prove demand, referent and Octoport product fit	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=M6SRC01945:NO_INCREMENTAL_INFORMATION_GAIN	Public competitor wording alone cannot prove demand, referent and Octoport product fit	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Public competitor wording alone cannot prove demand, referent and Octoport product fit	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
M8SID_4cdcbfb2c957eb66	H_COMPETITOR_ONLY	Public competitor wording alone cannot prove demand, referent and Octoport product fit	demand=NO_ACCEPTED_WORDSTAT_EVIDENCE; search=NO_EXACT_ORGANIC_QUERY_OBSERVATION; competitor=PUBLIC_COMPETITOR_WORDING; m6=M6SRC01183:NO_INCREMENTAL_INFORMATION_GAIN	Public competitor wording alone cannot prove demand, referent and Octoport product fit	No exact frozen authority resolves the named referent/task/capability conflict.	YES_FOR_THIS_IDENTITY	Public competitor wording alone cannot prove demand, referent and Octoport product fit	Search-only semantic identity; no final cluster/page/URL/IA. Competitor and Search observations do not prove demand or product capability.
