execution_query_id	exact_query_text	exact_safe_comparison_key	source_universe_row_ids	source_classes	marketplace_scope	task_or_candidate_groups	existing_demand_evidence	m3_relation	information_gain_question	downstream_decision	planned_search_type	planned_region	planned_page	planned_depth	planned_group_mode	planned_docs_in_group	planned_family_mode	planned_fix_typo_mode	planned_sort	provider_limit_check	batch_id
M4QR2Q00011	какой ии выбрать для маркетплейсов	какой ии выбрать для маркетплейсов	M4QR2U00015	M3	OZON_WB_OR_MARKETPLACE	M3_R12	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	M3_ACCEPTED_R12_HISTORICAL_TOP20	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M3_CURRENT_TOP100_CONTROL_REFRESH_AND_60_COMPETITOR_VISIBILITY	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=34; words=5	M4Q-R2-B001
M4QR2Q00012	отчеты для селлеров маркетплейсов	отчеты для селлеров маркетплейсов	M4QR2U00008	M3	OZON_WB_OR_MARKETPLACE	M3_R05	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	M3_ACCEPTED_R05_HISTORICAL_TOP20	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M3_CURRENT_TOP100_CONTROL_REFRESH_AND_60_COMPETITOR_VISIBILITY	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=33; words=4	M4Q-R2-B001
M4QR2Q00013	подключить chatgpt к маркетплейсу	подключить chatgpt к маркетплейсу	M4QR2U00004	M3	OZON_WB_OR_MARKETPLACE	M3_R01	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	M3_ACCEPTED_R01_HISTORICAL_TOP20	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M3_CURRENT_TOP100_CONTROL_REFRESH_AND_60_COMPETITOR_VISIBILITY	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=33; words=4	M4Q-R2-B001
M4QR2Q00014	поисковые запросы wildberries для продавца	поисковые запросы wildberries для продавца	M4QR2U00012	M3	OZON_WB_OR_MARKETPLACE	M3_R09	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	M3_ACCEPTED_R09_HISTORICAL_TOP20	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M3_CURRENT_TOP100_CONTROL_REFRESH_AND_60_COMPETITOR_VISIBILITY	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=42; words=5	M4Q-R2-B001
M4QR2Q00015	помощник селлера маркетплейсов	помощник селлера маркетплейсов	M4QR2U00009	M3	OZON_WB_OR_MARKETPLACE	M3_R06	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	M3_ACCEPTED_R06_HISTORICAL_TOP20	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M3_CURRENT_TOP100_CONTROL_REFRESH_AND_60_COMPETITOR_VISIBILITY	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=30; words=3	M4Q-R2-B001
M4QR2Q00016	11 шагов к увеличению маржинальности на маркетплейсах	11 шагов к увеличению маржинальности на маркетплейсах	M4QR2U05269 || M4QR2U09766	M4C_CANDIDATE || M4C_M6_GROUP	OZON_WB_OR_MARKETPLACE	CG_08a7f3bf34a79c2b6127 / 11 шагов к увеличению маржинальности на маркетплейсах	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	NO_EXACT_M3_CONTROL	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M4Q_KNOWN_QUERY_60_COMPETITOR_VISIBILITY_AND_M4C_M6_ROUTE_RECONCILIATION	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=53; words=7	M4Q-R2-B001
M4QR2Q00017	12 Telegram-ботов для селлеров: аналитика, цены и контроль без компьютера	12 telegram-ботов для селлеров: аналитика, цены и контроль без компьютера	M4QR2U07845 || M4QR2U11765	M4C_CANDIDATE || M4C_M6_GROUP	OZON_WB_OR_MARKETPLACE	CG_5fdea97f3eb2c9e5186b / 12 telegram ботов для селлеров аналитика цены и контроль без компьютера	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	NO_EXACT_M3_CONTROL	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M4Q_KNOWN_QUERY_60_COMPETITOR_VISIBILITY_AND_M4C_M6_ROUTE_RECONCILIATION	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=73; words=10	M4Q-R2-B001
M4QR2Q00018	1С для торговли: маркетплейсы, ИИ-аналитика, доставка и госинтеграции в одной системе	1с для торговли: маркетплейсы, ии-аналитика, доставка и госинтеграции в одной системе	M4QR2U05275 || M4QR2U11414	M4C_CANDIDATE || M4C_M6_GROUP	OZON_WB_OR_MARKETPLACE	CG_50aa3a2afe5316e49f22 / 1с для торговли маркетплейсы ии аналитика доставка и госинтеграции в одной системе	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	NO_EXACT_M3_CONTROL	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M4Q_KNOWN_QUERY_60_COMPETITOR_VISIBILITY_AND_M4C_M6_ROUTE_RECONCILIATION	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=85; words=11	M4Q-R2-B001
M4QR2Q00019	1С:Бухгалтерия для маркетплейсов: продажи, возвраты и сверка выплат	1с:бухгалтерия для маркетплейсов: продажи, возвраты и сверка выплат	M4QR2U05274 || M4QR2U15090	M4C_CANDIDATE || M4C_M6_GROUP	OZON_WB_OR_MARKETPLACE	CG_ed73c75f2912d14ce6c4 / 1с бухгалтерия для маркетплейсов продажи возвраты и сверка выплат	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	NO_EXACT_M3_CONTROL	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M4Q_KNOWN_QUERY_60_COMPETITOR_VISIBILITY_AND_M4C_M6_ROUTE_RECONCILIATION	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=67; words=8	M4Q-R2-B001
M4QR2Q00020	3 неочевидных способа увеличить прибыль карточки на Wildberries	3 неочевидных способа увеличить прибыль карточки на wildberries	M4QR2U04568 || M4QR2U12079	M4C_CANDIDATE || M4C_M6_GROUP	OZON_WB_OR_MARKETPLACE	CG_6cb4a228f558541e3337 / 3 неочевидных способа увеличить прибыль карточки на wildberries	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	NO_EXACT_M3_CONTROL	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M4Q_KNOWN_QUERY_60_COMPETITOR_VISIBILITY_AND_M4C_M6_ROUTE_RECONCILIATION	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=63; words=8	M4Q-R2-B001
M4QR2Q00021	5 критических ошибок на маркетплейсах: как превратить убытки в системную прибыль	5 критических ошибок на маркетплейсах: как превратить убытки в системную прибыль	M4QR2U05289 || M4QR2U10839	M4C_CANDIDATE || M4C_M6_GROUP	OZON_WB_OR_MARKETPLACE	CG_37fe3e64993fcbc0842c / 5 критических ошибок на маркетплейсах как превратить убытки в системную прибыль	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	NO_EXACT_M3_CONTROL	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M4Q_KNOWN_QUERY_60_COMPETITOR_VISIBILITY_AND_M4C_M6_ROUTE_RECONCILIATION	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=80; words=11	M4Q-R2-B001
M4QR2Q00022	ABC анализ для Wildberries: понятие, инструкция по проведению	abc анализ для wildberries: понятие, инструкция по проведению	M4QR2U04690 || M4QR2U13946	M4C_CANDIDATE || M4C_M6_GROUP	OZON_WB_OR_MARKETPLACE	CG_bc8cdc650b298910d498 / abc анализ для wildberries понятие инструкция по проведению	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	NO_EXACT_M3_CONTROL	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M4Q_KNOWN_QUERY_60_COMPETITOR_VISIBILITY_AND_M4C_M6_ROUTE_RECONCILIATION	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=61; words=8	M4Q-R2-B001
M4QR2Q00023	ABC анализ товаровна Wildberries	abc анализ товаровна wildberries	M4QR2U04839 || M4QR2U10616	M4C_CANDIDATE || M4C_M6_GROUP	OZON_WB_OR_MARKETPLACE	CG_2e23cedb07415877b54d / abc анализ товаровна wildberries	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	NO_EXACT_M3_CONTROL	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M4Q_KNOWN_QUERY_60_COMPETITOR_VISIBILITY_AND_M4C_M6_ROUTE_RECONCILIATION	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=32; words=4	M4Q-R2-B001
M4QR2Q00024	ABC-анализ на маркетплейсах: как найти самые прибыльные товар	abc-анализ на маркетплейсах: как найти самые прибыльные товар	M4QR2U07816 || M4QR2U12569	M4C_CANDIDATE || M4C_M6_GROUP	OZON_WB_OR_MARKETPLACE	CG_822507aee80dacd35630 / abc анализ на маркетплейсах как найти самые прибыльные товар	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	NO_EXACT_M3_CONTROL	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M4Q_KNOWN_QUERY_60_COMPETITOR_VISIBILITY_AND_M4C_M6_ROUTE_RECONCILIATION	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=61; words=8	M4Q-R2-B001
M4QR2Q00025	ABC-анализ на маркетплейсах: расчёт в Excel и работа с группами	abc-анализ на маркетплейсах: расчёт в excel и работа с группами	M4QR2U05802 || M4QR2U15091	M4C_CANDIDATE || M4C_M6_GROUP	OZON_WB_OR_MARKETPLACE	CG_ed7548f9a3a8712013ea / abc анализ на маркетплейсах расчёт в excel и работа с группами	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	NO_EXACT_M3_CONTROL	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M4Q_KNOWN_QUERY_60_COMPETITOR_VISIBILITY_AND_M4C_M6_ROUTE_RECONCILIATION	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=63; words=10	M4Q-R2-B001
M4QR2Q00026	ABC-анализ товаров на OZON	abc-анализ товаров на ozon	M4QR2U04838 || M4QR2U10802	M4C_CANDIDATE || M4C_M6_GROUP	OZON_WB_OR_MARKETPLACE	CG_36b03a5302e6877b6a3a / abc анализ товаров на ozon	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	NO_EXACT_M3_CONTROL	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M4Q_KNOWN_QUERY_60_COMPETITOR_VISIBILITY_AND_M4C_M6_ROUTE_RECONCILIATION	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=26; words=4	M4Q-R2-B001
M4QR2Q00027	AI агент Wildberries с аналитикой MPStats и данными магазина	ai агент wildberries с аналитикой mpstats и данными магазина	M4QR2U02362 || M4QR2U02365	M4C_CANDIDATE	OZON_WB_OR_MARKETPLACE	CG_3d621831207def21df00 / inventory_supply || CG_784a0c23768daa763122 / search_or_niche_analytics	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	NO_EXACT_M3_CONTROL	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M4Q_KNOWN_QUERY_60_COMPETITOR_VISIBILITY_AND_M4C_M6_ROUTE_RECONCILIATION	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=60; words=9	M4Q-R2-B001
M4QR2Q00028	AI в продажах: как селлеры маркетплейсов увеличивают прибыль с помощью ИИ	ai в продажах: как селлеры маркетплейсов увеличивают прибыль с помощью ии	M4QR2U04571 || M4QR2U15045	M4C_CANDIDATE || M4C_M6_GROUP	OZON_WB_OR_MARKETPLACE	CG_eb0396195d986073f23a / ai в продажах как селлеры маркетплейсов увеличивают прибыль с помощью ии	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	NO_EXACT_M3_CONTROL	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M4Q_KNOWN_QUERY_60_COMPETITOR_VISIBILITY_AND_M4C_M6_ROUTE_RECONCILIATION	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=73; words=11	M4Q-R2-B001
M4QR2Q00029	Alibaba объединяет ИИ-платформу Qwen с маркетплейсами: шопинг через диалог вместо поиска	alibaba объединяет ии-платформу qwen с маркетплейсами: шопинг через диалог вместо поиска	M4QR2U05321 || M4QR2U13493	M4C_CANDIDATE || M4C_M6_GROUP	OZON_WB_OR_MARKETPLACE	CG_a95e5f4824be80e9b009 / alibaba объединяет ии платформу qwen с маркетплейсами шопинг через диалог вместо поиска	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	NO_EXACT_M3_CONTROL	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M4Q_KNOWN_QUERY_60_COMPETITOR_VISIBILITY_AND_M4C_M6_ROUTE_RECONCILIATION	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=88; words=11	M4Q-R2-B001
M4QR2Q00030	chatgpt для маркетплейсов	chatgpt для маркетплейсов	M4QR2U00294 || M4QR2U00295	M2R	GENERIC_MARKETPLACE	F2	M2R_OBSERVED_WORDSTAT:DIRECT_RESULT=67 || TESTED_SEED=67	NO_EXACT_M3_CONTROL	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M4Q_KNOWN_QUERY_60_COMPETITOR_VISIBILITY_AND_M4C_M6_ROUTE_RECONCILIATION	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=25; words=3	M4Q-R2-B001
M4QR2Q00031	MCP для селлеров: как подключить ИИ-агента к Wildberries, Ozon и Яндекс Маркету	mcp для селлеров: как подключить ии-агента к wildberries, ozon и яндекс маркету	M4QR2U07960 || M4QR2U15089	M4C_CANDIDATE || M4C_M6_GROUP	OZON_WB_OR_MARKETPLACE	CG_ed6684099150ee502ef3 / mcp для селлеров как подключить ии агента к wildberries ozon и яндекс маркету	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	NO_EXACT_M3_CONTROL	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M4Q_KNOWN_QUERY_60_COMPETITOR_VISIBILITY_AND_M4C_M6_ROUTE_RECONCILIATION	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=79; words=12	M4Q-R2-B001
M4QR2Q00032	OpenClaw на Mac mini: как установить open-source ИИ-агента и подключить его к Ozon, WB и WhatsApp бизнеса	openclaw на mac mini: как установить open-source ии-агента и подключить его к ozon, wb и whatsapp бизнеса	M4QR2U08186	M4C_CANDIDATE	OZON_WB_OR_MARKETPLACE	CG_ad786e3de14b161ea86a / openclaw на mac mini как установить open source ии агента и подключить его к ozon wb и whatsapp бизнеса	NO_M2R_EXACT_PHRASE_DEMAND_EVIDENCE; M4C_TOPIC_IS_NOT_DEMAND	NO_EXACT_M3_CONTROL	Does any of 60 authorized competitors rank for this exact observed query in current Yandex top-100; at which rank and ranking URL?	M4Q_KNOWN_QUERY_60_COMPETITOR_VISIBILITY_AND_M4C_M6_ROUTE_RECONCILIATION	SEARCH_TYPE_RU	225	0	100	GROUP_MODE_FLAT	1	FAMILY_MODE_MODERATE	FIX_TYPO_MODE_OFF	RELEVANCE_DESCENDING	PASS; chars=105; words=17	M4Q-R2-B001
